"Geographic Area Name","35.0 to 39.9 percent (2021)","MoE"
"Auburn city, Alabama","444","± 419"
"Birmingham city, Alabama","4,553","± 1,075"
"Dothan city, Alabama","677","± 264"
"Hoover city, Alabama","274","± 270"
"Huntsville city, Alabama","3,112","± 1,505"
"Mobile city, Alabama","1,798","± 795"
"Montgomery city, Alabama","1,736","± 853"
"Tuscaloosa city, Alabama","1,492","± 961"
"Anchorage municipality, Alaska","3,542","± 1,363"
"Avondale city, Arizona","316","± 274"
"Casas Adobes CDP, Arizona","977","± 629"
"Chandler city, Arizona","2,514","± 791"
"Flagstaff city, Arizona","613","± 388"
"Gilbert town, Arizona","441","± 286"
"Glendale city, Arizona","3,273","± 1,242"
"Goodyear city, Arizona","588","± 453"
"Mesa city, Arizona","5,579","± 1,211"
"Peoria city, Arizona","1,309","± 638"
"Phoenix city, Arizona","18,266","± 3,054"
"Scottsdale city, Arizona","1,658","± 687"
"Surprise city, Arizona","607","± 342"
"Tempe city, Arizona","2,882","± 919"
"Tucson city, Arizona","7,333","± 1,731"
"Yuma city, Arizona","1,147","± 537"
"Conway city, Arkansas","917","± 508"
"Fayetteville city, Arkansas","1,237","± 744"
"Fort Smith city, Arkansas","393","± 371"
"Jonesboro city, Arkansas","605","± 518"
"Little Rock city, Arkansas","1,406","± 700"
"Rogers city, Arkansas","667","± 442"
"Springdale city, Arkansas","443","± 430"
"Alameda city, California","1,645","± 778"
"Alhambra city, California","1,547","± 592"
"Anaheim city, California","4,530","± 1,252"
"Antioch city, California","1,354","± 733"
"Apple Valley town, California","1,077","± 706"
"Arden-Arcade CDP, California","2,495","± 1,105"
"Bakersfield city, California","4,748","± 1,572"
"Baldwin Park city, California","286","± 263"
"Bellflower city, California","1,313","± 616"
"Berkeley city, California","2,038","± 968"
"Buena Park city, California","989","± 660"
"Burbank city, California","2,526","± 1,295"
"Camarillo city, California","507","± 529"
"Carlsbad city, California","897","± 434"
"Carmichael CDP, California","852","± 478"
"Carson city, California","1,172","± 784"
"Castro Valley CDP, California","222","± 268"
"Chico city, California","1,041","± 533"
"Chino city, California","1,071","± 669"
"Chino Hills city, California","226","± 356"
"Chula Vista city, California","2,665","± 1,023"
"Citrus Heights city, California","1,210","± 547"
"Clovis city, California","1,006","± 542"
"Compton city, California","735","± 420"
"Concord city, California","2,157","± 964"
"Corona city, California","1,644","± 717"
"Costa Mesa city, California","1,789","± 825"
"Daly City city, California","717","± 654"
"Davis city, California","405","± 294"
"Downey city, California","1,618","± 677"
"Dublin city, California","190","± 138"
"East Los Angeles CDP, California","1,293","± 439"
"El Cajon city, California","1,260","± 787"
"Elk Grove city, California","1,428","± 886"
"El Monte city, California","1,237","± 566"
