"Geographic Area Name","50.0 percent or more (2021)","MoE"
"Auburn city, Alabama","6,495","± 1,716"
"Birmingham city, Alabama","12,366","± 1,860"
"Dothan city, Alabama","3,134","± 493"
"Hoover city, Alabama","2,875","± 1,056"
"Huntsville city, Alabama","7,194","± 1,829"
"Mobile city, Alabama","9,985","± 1,673"
"Montgomery city, Alabama","12,028","± 2,306"
"Tuscaloosa city, Alabama","7,506","± 1,927"
"Anchorage municipality, Alaska","8,391","± 1,753"
"Avondale city, Arizona","3,175","± 1,236"
"Casas Adobes CDP, Arizona","1,738","± 580"
"Chandler city, Arizona","7,297","± 1,723"
"Flagstaff city, Arizona","7,886","± 1,956"
"Gilbert town, Arizona","4,722","± 1,303"
"Glendale city, Arizona","10,865","± 1,878"
"Goodyear city, Arizona","2,175","± 1,430"
"Mesa city, Arizona","17,519","± 2,293"
"Peoria city, Arizona","4,106","± 1,083"
"Phoenix city, Arizona","60,144","± 4,142"
"Scottsdale city, Arizona","9,493","± 1,899"
"Surprise city, Arizona","2,815","± 1,213"
"Tempe city, Arizona","11,903","± 2,199"
"Tucson city, Arizona","26,515","± 2,906"
"Yuma city, Arizona","2,604","± 815"
"Conway city, Arkansas","3,416","± 917"
"Fayetteville city, Arkansas","4,877","± 1,388"
"Fort Smith city, Arkansas","3,516","± 1,234"
"Jonesboro city, Arkansas","4,221","± 1,392"
"Little Rock city, Arkansas","9,610","± 2,322"
"Rogers city, Arkansas","1,247","± 662"
"Springdale city, Arkansas","1,614","± 812"
"Alameda city, California","2,688","± 681"
"Alhambra city, California","5,128","± 1,039"
"Anaheim city, California","15,977","± 2,007"
"Antioch city, California","5,907","± 1,632"
"Apple Valley town, California","1,848","± 784"
"Arden-Arcade CDP, California","7,588","± 1,515"
"Bakersfield city, California","14,099","± 1,987"
"Baldwin Park city, California","1,645","± 673"
"Bellflower city, California","4,507","± 972"
"Berkeley city, California","6,463","± 1,244"
"Buena Park city, California","2,736","± 1,067"
"Burbank city, California","8,754","± 1,687"
"Camarillo city, California","2,785","± 905"
"Carlsbad city, California","4,979","± 1,417"
"Carmichael CDP, California","3,897","± 1,124"
"Carson city, California","1,797","± 804"
"Castro Valley CDP, California","2,342","± 922"
"Chico city, California","7,822","± 1,471"
"Chino city, California","2,385","± 1,070"
"Chino Hills city, California","1,994","± 909"
"Chula Vista city, California","11,990","± 2,532"
"Citrus Heights city, California","4,794","± 1,336"
"Clovis city, California","2,786","± 835"
"Compton city, California","3,506","± 1,093"
"Concord city, California","6,737","± 1,716"
"Corona city, California","4,978","± 1,269"
"Costa Mesa city, California","6,475","± 1,502"
"Daly City city, California","4,537","± 1,232"
"Davis city, California","5,329","± 1,065"
"Downey city, California","5,011","± 1,186"
"Dublin city, California","1,432","± 532"
"East Los Angeles CDP, California","4,354","± 1,080"
"El Cajon city, California","6,728","± 1,639"
"Elk Grove city, California","3,408","± 942"
"El Monte city, California","6,065","± 1,085"
"Escondido city, California","6,336","± 1,387"
"Fairfield city, California","6,010","± 1,079"
"Folsom city, California","1,512","± 592"
"Fontana city, California","3,805","± 1,164"
"Fremont city, California","4,963","± 1,259"
"Fresno city, California","24,188","± 2,992"
"Fullerton city, California","7,147","± 1,585"
"Garden Grove city, California","7,649","± 1,398"
"Glendale city, California","16,624","± 2,045"
"Hawthorne city, California","7,575","± 1,564"
"Hayward city, California","6,304","± 1,332"
"Hemet city, California","5,650","± 1,638"
"Hesperia city, California","3,339","± 1,203"
"Huntington Beach city, California","10,465","± 2,053"
"Indio city, California","2,314","± 1,141"
"Inglewood city, California","7,582","± 1,236"
"Irvine city, California","15,775","± 2,765"
"Jurupa Valley city, California","2,271","± 793"
"Lake Elsinore city, California","2,391","± 1,380"
"Lake Forest city, California","2,368","± 914"
"Lakewood city, California","1,572","± 741"
"Lancaster city, California","7,620","± 1,554"
"Livermore city, California","2,032","± 976"
"Lodi city, California","2,244","± 852"
"Long Beach city, California","29,150","± 2,794"
"Los Angeles city, California","291,578","± 9,259"
"Lynwood city, California","2,816","± 842"
"Madera city, California","3,521","± 1,241"
"Manteca city, California","1,221","± 757"
"Menifee city, California","2,572","± 1,463"
"Merced city, California","4,922","± 987"
"Milpitas city, California","1,576","± 561"
