"Source Table: ACSDT1Y2024.B25070"

"UNIVERSE CONSTANTS"
"Total:"

"Geographic Area Name","50.0 percent or more","MoE"
"Auburn city, Alabama","3,709","± 975"
"Birmingham city, Alabama","11,688","± 2,259"
"Dothan city, Alabama","2,639","± 593"
"Hoover city, Alabama","1,231","± 977"
"Huntsville city, Alabama","8,115","± 1,779"
"Madison city, Alabama","1,965","± 1,081"
"Mobile city, Alabama","9,522","± 2,121"
"Montgomery city, Alabama","9,945","± 2,135"
"Tuscaloosa city, Alabama","9,065","± 1,887"
"Anchorage municipality, Alaska","8,056","± 1,844"
"Avondale city, Arizona","3,128","± 1,326"
"Buckeye city, Arizona","941","± 702"
"Casa Grande city, Arizona","556","± 473"
"Casas Adobes CDP, Arizona","2,126","± 980"
"Chandler city, Arizona","11,001","± 2,400"
"Flagstaff city, Arizona","6,042","± 1,786"
"Gilbert town, Arizona","5,567","± 1,724"
"Glendale city, Arizona","9,179","± 2,239"
"Goodyear city, Arizona","3,316","± 1,180"
"Maricopa city, Arizona","570","± 382"
"Mesa city, Arizona","17,960","± 2,854"
"Peoria city, Arizona","4,051","± 1,138"
"Phoenix city, Arizona","64,555","± 5,096"
"San Tan Valley CDP, Arizona","1,295","± 660"
"Scottsdale city, Arizona","9,758","± 2,315"
"Surprise city, Arizona","3,002","± 1,214"
"Tempe city, Arizona","13,116","± 2,974"
"Tucson city, Arizona","27,568","± 3,090"
"Yuma city, Arizona","2,984","± 1,065"
"Conway city, Arkansas","2,788","± 1,337"
"Fayetteville city, Arkansas","4,309","± 1,333"
"Fort Smith city, Arkansas","3,205","± 1,134"
"Jonesboro city, Arkansas","3,353","± 1,299"
"Little Rock city, Arkansas","7,888","± 2,287"
"Rogers city, Arkansas","2,164","± 1,008"
"Springdale city, Arkansas","2,439","± 965"
"Alameda city, California","3,622","± 1,551"
"Alhambra city, California","3,816","± 976"
"Anaheim city, California","18,802","± 2,735"
"Antioch city, California","4,037","± 1,254"
"Apple Valley town, California","1,416","± 857"
"Arden-Arcade CDP, California","6,597","± 1,846"
"Bakersfield city, California","15,625","± 2,049"
"Baldwin Park city, California","2,203","± 757"
"Bellflower city, California","3,217","± 1,060"
"Berkeley city, California","8,859","± 1,483"
"Brentwood city, California","1,601","± 717"
"Buena Park city, California","3,751","± 1,321"
"Burbank city, California","7,496","± 1,749"
"Camarillo city, California","2,704","± 1,144"
"Carlsbad city, California","4,358","± 1,287"
"Carmichael CDP, California","4,517","± 1,332"
"Carson city, California","2,025","± 1,045"
"Castro Valley CDP, California","906","± 496"
"Chico city, California","8,734","± 1,572"
"Chino city, California","3,037","± 1,287"
"Chino Hills city, California","1,220","± 635"
"Chula Vista city, California","13,416","± 2,740"
"Citrus Heights city, California","3,400","± 1,110"
"Clovis city, California","5,319","± 1,646"
"Compton city, California","3,707","± 1,019"
"Concord city, California","5,434","± 1,449"
"Corona city, California","5,628","± 1,596"
"Costa Mesa city, California","5,304","± 1,502"
"Daly City city, California","3,086","± 1,017"
"Davis city, California","7,725","± 1,451"
"Downey city, California","4,752","± 1,322"
"Dublin city, California","1,492","± 826"
"East Los Angeles CDP, California","5,733","± 1,065"
"El Cajon city, California","7,519","± 1,487"
"Elk Grove city, California","4,935","± 1,372"
"El Monte city, California","4,789","± 1,038"
"Escondido city, California","5,970","± 1,352"
"Fairfield city, California","4,899","± 1,294"
"Folsom city, California","2,369","± 1,015"
"Fontana city, California","4,966","± 1,153"
"Fremont city, California","5,589","± 1,628"
"Fresno city, California","27,432","± 3,206"
"Fullerton city, California","7,902","± 1,874"
"Garden Grove city, California","8,095","± 1,480"
"Glendale city, California","13,064","± 2,203"
"Hawthorne city, California","7,176","± 1,785"
"Hayward city, California","5,740","± 1,515"
"Hemet city, California","4,280","± 1,335"
"Hesperia city, California","2,413","± 829"
"Huntington Beach city, California","8,139","± 1,760"
"Indio city, California","1,980","± 966"
"Inglewood city, California","8,464","± 1,769"
"Irvine city, California","16,335","± 2,824"
"Jurupa Valley city, California","3,366","± 969"
"Lake Elsinore city, California","1,826","± 912"
"Lake Forest city, California","1,983","± 741"
"Lakewood city, California","1,396","± 721"
"Lancaster city, California","7,266","± 1,448"
"Livermore city, California","3,473","± 1,576"
"Lodi city, California","2,150","± 1,013"
