"Geographic Area Name","Total Burdened (2021)","MoE"
"Auburn city, Alabama","14,300","± 1,861"
"Birmingham city, Alabama","48,444","± 3,262"
"Dothan city, Alabama","12,638","± 963"
"Hoover city, Alabama","11,040","± 2,111"
"Huntsville city, Alabama","41,110","± 2,989"
"Madison city, Alabama","7,519","± 1,594"
"Mobile city, Alabama","32,418","± 2,470"
"Montgomery city, Alabama","37,541","± 2,945"
"Tuscaloosa city, Alabama","27,962","± 2,277"
"Anchorage municipality, Alaska","41,645","± 3,544"
"Avondale city, Arizona","12,722","± 2,227"
"Buckeye city, Arizona","6,849","± 1,928"
"Casa Grande city, Arizona","5,341","± 1,549"
"Casas Adobes CDP, Arizona","10,158","± 1,875"
"Chandler city, Arizona","40,550","± 3,868"
"Flagstaff city, Arizona","17,253","± 2,077"
"Gilbert town, Arizona","25,839","± 3,278"
"Glendale city, Arizona","40,113","± 3,722"
"Goodyear city, Arizona","10,369","± 2,256"
"Maricopa city, Arizona","4,530","± 1,353"
"Mesa city, Arizona","70,154","± 4,717"
"Peoria city, Arizona","17,594","± 2,452"
"Phoenix city, Arizona","267,479","± 8,411"
"San Tan Valley CDP, Arizona","6,769","± 1,601"
"Scottsdale city, Arizona","42,701","± 4,148"
"Surprise city, Arizona","11,029","± 2,199"
"Tempe city, Arizona","48,151","± 3,567"
"Tucson city, Arizona","111,068","± 3,851"
"Yuma city, Arizona","12,004","± 1,906"
"Conway city, Arkansas","15,047","± 1,550"
"Fayetteville city, Arkansas","25,894","± 2,627"
"Fort Smith city, Arkansas","17,136","± 2,021"
"Jonesboro city, Arkansas","14,796","± 1,801"
"Little Rock city, Arkansas","41,398","± 3,265"
"Rogers city, Arkansas","12,550","± 1,674"
"Springdale city, Arkansas","14,202","± 1,975"
"Alameda city, California","14,035","± 1,783"
"Alhambra city, California","18,709","± 1,768"
"Anaheim city, California","58,023","± 3,791"
"Antioch city, California","13,550","± 2,004"
"Apple Valley town, California","6,999","± 1,780"
"Arden-Arcade CDP, California","20,909","± 2,657"
"Bakersfield city, California","51,396","± 3,281"
"Baldwin Park city, California","8,768","± 1,223"
"Bellflower city, California","14,866","± 1,739"
"Berkeley city, California","25,888","± 1,837"
"Brentwood city, California","3,971","± 1,359"
"Buena Park city, California","11,168","± 1,621"
"Burbank city, California","24,887","± 2,190"
"Camarillo city, California","8,656","± 1,379"
"Carlsbad city, California","16,146","± 1,935"
"Carmichael CDP, California","13,673","± 2,042"
"Carson city, California","8,171","± 1,596"
"Castro Valley CDP, California","5,302","± 1,132"
"Chico city, California","26,213","± 2,241"
"Chino city, California","7,611","± 1,653"
"Chino Hills city, California","8,347","± 1,532"
"Chula Vista city, California","37,638","± 3,745"
"Citrus Heights city, California","12,905","± 1,883"
"Clovis city, California","16,159","± 2,274"
"Compton city, California","10,196","± 1,277"
"Concord city, California","17,723","± 2,110"
"Corona city, California","19,546","± 2,343"
"Costa Mesa city, California","25,870","± 2,113"
"Daly City city, California","14,725","± 1,913"
"Davis city, California","14,293","± 1,682"
"Downey city, California","17,166","± 2,017"
"Dublin city, California","7,306","± 1,444"
"East Los Angeles CDP, California","20,214","± 1,935"
"El Cajon city, California","17,770","± 1,644"
"Elk Grove city, California","13,880","± 2,016"
"El Monte city, California","17,317","± 1,440"
"Escondido city, California","21,615","± 1,980"
"Fairfield city, California","16,054","± 1,984"
"Folsom city, California","10,998","± 1,738"
"Fontana city, California","22,141","± 2,317"
"Fremont city, California","32,292","± 2,694"
"Fresno city, California","88,362","± 3,854"
"Fullerton city, California","23,990","± 2,675"
"Garden Grove city, California","24,330","± 2,195"
"Glendale city, California","47,259","± 3,110"
"Hawthorne city, California","23,328","± 2,472"
"Hayward city, California","21,537","± 2,010"
"Hemet city, California","11,454","± 1,854"
"Hesperia city, California","9,290","± 1,655"
"Huntington Beach city, California","34,671","± 2,492"
"Indio city, California","9,994","± 1,614"
"Inglewood city, California","25,560","± 2,527"
"Irvine city, California","61,124","± 3,706"
"Jurupa Valley city, California","9,887","± 1,723"
"Lake Elsinore city, California","6,767","± 1,585"
"Lake Forest city, California","10,213","± 1,658"
"Lakewood city, California","7,227","± 1,417"
"Lancaster city, California","16,907","± 2,194"
"Livermore city, California","10,749","± 2,077"
"Lodi city, California","10,169","± 1,369"
"Long Beach city, California","100,647","± 4,643"
"Los Angeles city, California","949,439","± 11,216"
"Lynwood city, California","8,160","± 1,075"
"Madera city, California","8,368","± 1,163"
"Manteca city, California","7,604","± 1,369"
"Menifee city, California","8,528","± 1,942"
"Merced city, California","12,743","± 1,382"
