"Geographic Area Name","Total Cost Burden","MoE"
"Auburn city, Alabama","15,118","± 1,865"
"Birmingham city, Alabama","46,905","± 3,301"
"Dothan city, Alabama","13,583","± 904"
"Hoover city, Alabama","10,728","± 1,770"
"Huntsville city, Alabama","37,536","± 2,967"
"Mobile city, Alabama","36,548","± 2,797"
"Montgomery city, Alabama","35,560","± 2,503"
"Tuscaloosa city, Alabama","22,889","± 2,553"
"Anchorage municipality, Alaska","39,885","± 3,085"
"Avondale city, Arizona","10,595","± 1,524"
"Casas Adobes CDP, Arizona","10,422","± 1,486"
"Chandler city, Arizona","36,632","± 3,017"
"Flagstaff city, Arizona","17,494","± 2,108"
"Gilbert town, Arizona","23,489","± 2,796"
"Glendale city, Arizona","38,141","± 2,666"
"Goodyear city, Arizona","7,405","± 1,710"
"Mesa city, Arizona","72,966","± 3,782"
"Peoria city, Arizona","17,153","± 2,298"
"Phoenix city, Arizona","247,802","± 8,175"
"Scottsdale city, Arizona","38,990","± 2,937"
"Surprise city, Arizona","12,266","± 1,867"
"Tempe city, Arizona","45,175","± 2,627"
"Tucson city, Arizona","108,360","± 3,896"
"Yuma city, Arizona","15,050","± 2,184"
"Conway city, Arkansas","14,061","± 1,235"
"Fayetteville city, Arkansas","21,324","± 2,158"
"Fort Smith city, Arkansas","15,703","± 1,847"
"Jonesboro city, Arkansas","12,807","± 1,905"
"Little Rock city, Arkansas","40,186","± 3,284"
"Rogers city, Arkansas","10,836","± 1,392"
"Springdale city, Arkansas","12,761","± 2,068"
"Alameda city, California","16,601","± 1,621"
"Alhambra city, California","17,826","± 1,361"
"Anaheim city, California","53,924","± 3,074"
"Antioch city, California","13,429","± 1,837"
"Apple Valley town, California","8,510","± 1,722"
"Arden-Arcade CDP, California","22,314","± 2,361"
"Bakersfield city, California","49,609","± 3,692"
"Baldwin Park city, California","6,361","± 1,148"
"Bellflower city, California","15,369","± 1,447"
"Berkeley city, California","23,686","± 2,283"
"Buena Park city, California","10,046","± 1,233"
"Burbank city, California","24,602","± 2,540"
"Camarillo city, California","9,370","± 1,484"
"Carlsbad city, California","18,475","± 2,439"
"Carmichael CDP, California","15,559","± 2,159"
"Carson city, California","6,845","± 1,527"
"Castro Valley CDP, California","6,135","± 1,237"
"Chico city, California","22,801","± 2,003"
"Chino city, California","9,341","± 1,604"
"Chino Hills city, California","6,487","± 1,133"
