City,Pct_30_35_2021,Pct_30_35_2024,Pct_35_40_2021,Pct_35_40_2024,Pct_40_50_2021,Pct_40_50_2024,Pct_50plus_2021,Pct_50plus_2024,Total_Burdened_2021,Total_Burdened_2024
"Auburn city, Alabama","1,006",949,444,679,"1,357",654,"6,495","3,709","14,300","15,118"
"Birmingham city, Alabama","3,751","5,633","4,553","2,543","4,219","3,441","12,366","11,688","48,444","46,905"
"Dothan city, Alabama","1,392","1,153",677,"1,099","1,091","1,048","3,134","2,639","12,638","13,583"
"Hoover city, Alabama",741,888,274,229,846,"2,657","2,875","1,231","11,040","10,728"
"Huntsville city, Alabama","2,628","2,158","3,112","1,873","3,245","2,776","7,194","8,115","41,110","37,536"
"Madison city, Alabama",,515,,0,,69,,"1,965","7,519",
"Mobile city, Alabama","3,106","2,250","1,798","2,212","3,026","2,742","9,985","9,522","32,418","36,548"
"Montgomery city, Alabama","2,584","2,699","1,736","2,377","2,900","3,603","12,028","9,945","37,541","35,560"
"Tuscaloosa city, Alabama","1,592","1,785","1,492","1,109","1,302",858,"7,506","9,065","27,962","22,889"
"Anchorage municipality, Alaska","4,588","3,544","3,542","1,436","3,725","2,079","8,391","8,056","41,645","39,885"
"Avondale city, Arizona",778,"1,376",316,573,324,"1,415","3,175","3,128","12,722","10,595"
"Buckeye city, Arizona",,"1,211",,556,,731,,941,"6,849",
"Casa Grande city, Arizona",,567,,620,,781,,556,"5,341",
"Casas Adobes CDP, Arizona",672,"1,425",977,238,"1,171",682,"1,738","2,126","10,158","10,422"
"Chandler city, Arizona","4,276","4,080","2,514","2,965","2,356","2,440","7,297","11,001","40,550","36,632"
"Flagstaff city, Arizona","1,192",936,613,747,533,"1,086","7,886","6,042","17,253","17,494"
"Gilbert town, Arizona","2,509","2,926",441,"1,575","1,080","2,118","4,722","5,567","25,839","23,489"
"Glendale city, Arizona","2,616","4,416","3,273","3,558","2,945","5,302","10,865","9,179","40,113","38,141"
"Goodyear city, Arizona",868,673,588,344,"1,059","1,900","2,175","3,316","10,369","7,405"
"Maricopa city, Arizona",,262,,507,,452,,570,"4,530",
"Mesa city, Arizona","6,400","9,386","5,579","5,019","7,798","6,161","17,519","17,960","70,154","72,966"
"Peoria city, Arizona","1,628","2,464","1,309","1,380","2,510","2,603","4,106","4,051","17,594","17,153"
"Phoenix city, Arizona","20,307","23,192","18,266","18,416","24,982","27,636","60,144","64,555","267,479","247,802"
"San Tan Valley CDP, Arizona",,591,,467,,777,,"1,295","6,769",
"Scottsdale city, Arizona","2,884","2,656","1,658","4,438","2,499","5,047","9,493","9,758","42,701","38,990"
"Surprise city, Arizona","1,460","1,639",607,375,"2,516",303,"2,815","3,002","11,029","12,266"
"Tempe city, Arizona","3,823","4,899","2,882","1,533","5,093","4,034","11,903","13,116","48,151","45,175"
"Tucson city, Arizona","8,694","10,659","7,333","6,643","9,321","13,654","26,515","27,568","111,068","108,360"
"Yuma city, Arizona","1,787",598,"1,147",713,"1,678",382,"2,604","2,984","12,004","15,050"
"Conway city, Arkansas","1,836",486,917,"1,868","1,000","2,086","3,416","2,788","15,047","14,061"
"Fayetteville city, Arkansas","1,959","1,975","1,237","1,816",993,"2,211","4,877","4,309","25,894","21,324"
"Fort Smith city, Arkansas","1,147",819,393,632,"1,035",846,"3,516","3,205","17,136","15,703"
"Jonesboro city, Arkansas",842,"1,231",605,"1,520",894,"1,339","4,221","3,353","14,796","12,807"
"Little Rock city, Arkansas","4,219","3,704","1,406","2,735","4,808","2,624","9,610","7,888","41,398","40,186"
"Rogers city, Arkansas","1,051","1,153",667,701,696,913,"1,247","2,164","12,550","10,836"
"Springdale city, Arkansas",906,"1,443",443,558,"1,639","1,606","1,614","2,439","14,202","12,761"
"Alameda city, California","1,074","1,484","1,645",422,"1,782",854,"2,688","3,622","14,035","16,601"
"Alhambra city, California","1,534","2,123","1,547","1,062","1,192","1,779","5,128","3,816","18,709","17,826"
"Anaheim city, California","5,621","4,662","4,530","5,052","5,831","5,403","15,977","18,802","58,023","53,924"
"Antioch city, California",878,618,"1,354","1,267","1,543","1,594","5,907","4,037","13,550","13,429"
"Apple Valley town, California",752,558,"1,077","2,111","1,087",542,"1,848","1,416","6,999","8,510"
"Arden-Arcade CDP, California","1,611","1,427","2,495",943,"2,011","1,745","7,588","6,597","20,909","22,314"
"Bakersfield city, California","3,651","3,965","4,748","4,330","5,876","5,321","14,099","15,625","51,396","49,609"
"Baldwin Park city, California",514,757,286,501,823,653,"1,645","2,203","8,768","6,361"
"Bellflower city, California",927,"1,733","1,313","1,373","1,856","1,972","4,507","3,217","14,866","15,369"
"Berkeley city, California","1,891","1,898","2,038",926,"2,483","1,949","6,463","8,859","25,888","23,686"
"Brentwood city, California",,214,,45,,674,,"1,601","3,971",
"Buena Park city, California",676,609,989,294,"1,200","1,730","2,736","3,751","11,168","10,046"
"Burbank city, California","2,256","3,021","2,526","1,520","1,355","2,694","8,754","7,496","24,887","24,602"
"Camarillo city, California","1,623",280,507,"1,427",890,579,"2,785","2,704","8,656","9,370"
"Carlsbad city, California","1,623","1,063",897,"1,707","1,970","1,701","4,979","4,358","16,146","18,475"
"Carmichael CDP, California","1,848",913,852,"1,279","1,861","1,885","3,897","4,517","13,673","15,559"
"Carson city, California",688,569,"1,172",376,415,948,"1,797","2,025","8,171","6,845"
"Castro Valley CDP, California",486,473,222,465,750,189,"2,342",906,"5,302","6,135"
"Chico city, California","1,220","1,717","1,041","1,748","2,369","2,746","7,822","8,734","26,213","22,801"
"Chino city, California",841,913,"1,071",342,977,920,"2,385","3,037","7,611","9,341"
"Chino Hills city, California",427,733,226,404,376,"1,351","1,994","1,220","8,347","6,487"
"Chula Vista city, California","3,634","4,345","2,665","3,396","3,529","3,205","11,990","13,416","37,638","34,862"
"Citrus Heights city, California","1,225","1,563","1,210",777,"1,421",953,"4,794","3,400","12,905","14,274"
"Clovis city, California",860,430,"1,006","1,362","1,763","2,384","2,786","5,319","16,159","12,010"
"Compton city, California",318,471,735,859,740,"1,047","3,506","3,707","10,196","10,744"
"Concord city, California","1,412",716,"2,157","2,031","1,772","2,663","6,737","5,434","17,723","20,093"
"Corona city, California","2,113","2,619","1,644","1,809","1,857","2,594","4,978","5,628","19,546","18,444"
"Costa Mesa city, California","1,937","4,225","1,789","1,539","2,161","2,744","6,475","5,304","25,870","26,210"
"Daly City city, California","1,219","1,782",717,"1,910","1,247","1,673","4,537","3,086","14,725","13,559"
"Davis city, California","1,197",820,405,718,"1,244",884,"5,329","7,725","14,293","14,206"
"Downey city, California","2,845","1,494","1,618","1,385","1,501","1,552","5,011","4,752","17,166","17,200"
"Dublin city, California",310,791,190,484,549,551,"1,432","1,492","7,306","6,865"
"East Los Angeles CDP, California","1,556","1,303","1,293","1,193","1,909","1,711","4,354","5,733","20,214","21,119"
"El Cajon city, California","1,513",553,"1,260","1,019","2,409","2,483","6,728","7,519","17,770","19,761"
"Elk Grove city, California","1,134","1,739","1,428",572,988,855,"3,408","4,935","13,880","14,148"
"El Monte city, California",787,"1,442","1,237","1,464","2,190","1,447","6,065","4,789","17,317","18,038"
"Escondido city, California","2,413","1,809","1,654","2,174","3,023","1,835","6,336","5,970","21,615","22,574"
"Fairfield city, California","1,971",421,701,964,"2,050","3,049","6,010","4,899","16,054","15,826"
"Folsom city, California",654,728,614,552,"1,040","1,170","1,512","2,369","10,998","8,447"
"Fontana city, California","1,172","1,827","1,567","1,888","1,632","2,475","3,805","4,966","22,141","18,346"
"Fremont city, California","2,267","2,846","1,464","2,259","2,264","3,409","4,963","5,589","32,292","29,280"
"Fresno city, California","6,689","7,817","6,144","5,105","7,363","8,769","24,188","27,432","88,362","90,608"
"Fullerton city, California","2,658","1,465","1,347","1,800","3,009","2,659","7,147","7,902","23,990","24,898"
"Garden Grove city, California","1,889","1,591","1,264","1,654","1,551","2,971","7,649","8,095","24,330","22,145"
"Glendale city, California","3,560","3,949","2,422","3,548","4,074","5,724","16,624","13,064","47,259","45,620"
"Hawthorne city, California","1,466","1,723","1,464","2,114","1,934","4,040","7,575","7,176","23,328","21,752"
"Hayward city, California","2,273","2,785","1,038","1,314","1,866","1,487","6,304","5,740","21,537","21,856"
"Hemet city, California","1,219",263,396,245,946,"2,557","5,650","4,280","11,454","13,503"
"Hesperia city, California","1,509",875,580,606,527,"1,122","3,339","2,413","9,290","10,050"
"Huntington Beach city, California","2,414","3,514","2,802","2,808","2,490","4,051","10,465","8,139","34,671","34,476"
"Indio city, California","1,300",655,"1,192","1,250","1,132","1,234","2,314","1,980","9,994","12,408"
"Inglewood city, California","2,768","3,335","2,089","2,095","1,802","3,055","7,582","8,464","25,560","23,731"
"Irvine city, California","5,983","4,489","3,215","3,679","5,530","6,836","15,775","16,335","61,124","61,787"
"Jurupa Valley city, California",877,"1,004",700,231,693,695,"2,271","3,366","9,887","8,988"
"Lake Elsinore city, California",663,508,383,961,"1,068",591,"2,391","1,826","6,767","6,684"
"Lake Forest city, California","1,207","1,480","1,154","1,128",698,"1,159","2,368","1,983","10,213","8,994"
"Lakewood city, California","1,110",414,245,537,965,800,"1,572","1,396","7,227","7,159"
"Lancaster city, California","1,452",974,568,667,"2,177","1,332","7,620","7,266","16,907","21,455"
"Livermore city, California","1,173",428,902,964,827,865,"2,032","3,473","10,749","9,547"
"Lodi city, California","1,238","1,028",883,809,670,"1,288","2,244","2,150","10,169","10,790"
"Long Beach city, California","10,878","9,871","6,244","6,477","9,900","12,440","29,150","26,864","100,647","103,129"
"Los Angeles city, California","75,097","86,883","56,104","67,881","87,032","88,392","291,578","286,484","949,439","889,109"
"Lynwood city, California",890,976,58,563,394,786,"2,816","2,350","8,160","8,111"
"Madera city, California",530,"1,078",616,324,697,"1,005","3,521","2,571","8,368","9,743"
"Manteca city, California",895,959,610,232,701,959,"1,221","1,728","7,604","7,468"
"Menifee city, California",329,736,880,"1,324",331,"1,043","2,572","3,382","8,528","7,722"
"Merced city, California","1,178","1,371",931,704,"1,970",599,"4,922","4,409","12,743","16,857"
"Milpitas city, California",981,787,497,162,680,"1,728","1,576","1,339","11,518","9,333"
"Mission Viejo city, California",904,"1,046",417,672,629,356,"2,011","2,173","7,736","7,529"
"Modesto city, California","2,711","3,363","2,315","3,025","3,829","3,328","8,045","8,185","29,679","29,435"
"Moreno Valley city, California","2,477","1,757","2,186","1,215","1,970","2,964","5,814","6,575","21,957","20,952"
"Mountain View city, California","2,408",975,"1,198",634,"1,570",853,"3,201","4,472","21,835","21,577"
"Murrieta city, California",951,"1,337",459,998,"1,436","1,959","2,554","1,987","11,370","8,554"
"Napa city, California","1,292","1,437",693,424,"1,309","1,518","2,960","3,107","10,914","11,474"
