"Geographic Area Name","Median gross rent (2024)","MoE"
"Auburn city, Alabama","1,159","± 77"
"Birmingham city, Alabama","1,206","± 43"
"Dothan city, Alabama","1,016","± 48"
"Hoover city, Alabama","1,441","± 98"
"Huntsville city, Alabama","1,241","± 62"
"Madison city, Alabama","1,430","± 125"
"Mobile city, Alabama","1,136","± 51"
"Montgomery city, Alabama","1,110","± 64"
"Tuscaloosa city, Alabama","1,058","± 80"
"Anchorage municipality, Alaska","1,536","± 86"
"Avondale city, Arizona","1,873","± 155"
"Buckeye city, Arizona","2,466","± 300"
"Casa Grande city, Arizona","1,604","± 128"
"Casas Adobes CDP, Arizona","1,861","± 152"
"Chandler city, Arizona","2,000","± 82"
"Flagstaff city, Arizona","1,753","± 144"
"Gilbert town, Arizona","2,167","± 83"
"Glendale city, Arizona","1,708","± 65"
"Goodyear city, Arizona","2,082","± 121"
"Maricopa city, Arizona","2,147","± 140"
"Mesa city, Arizona","1,708","± 39"
"Peoria city, Arizona","1,989","± 115"
"Phoenix city, Arizona","1,712","± 33"
"Queen Creek town, Arizona","2,256","± 217"
"San Tan Valley CDP, Arizona","2,260","± 92"
"Scottsdale city, Arizona","2,117","± 103"
"Surprise city, Arizona","2,064","± 114"
"Tempe city, Arizona","1,818","± 55"
"Tucson city, Arizona","1,235","± 31"
"Yuma city, Arizona","1,260","± 159"
"Conway city, Arkansas","1,037","± 108"
"Fayetteville city, Arkansas","1,119","± 38"
"Fort Smith city, Arkansas","965","± 64"
"Jonesboro city, Arkansas","872","± 66"
"Little Rock city, Arkansas","1,136","± 42"
"Rogers city, Arkansas","1,430","± 119"
"Springdale city, Arkansas","1,138","± 56"
"Alameda city, California","2,437","± 136"
"Alhambra city, California","2,201","± 79"
"Anaheim city, California","2,258","± 52"
"Antioch city, California","2,192","± 205"
"Apple Valley town, California","1,653","± 114"
"Arden-Arcade CDP, California","1,643","± 73"
"Bakersfield city, California","1,708","± 59"
"Baldwin Park city, California","1,782","± 94"
"Bellflower city, California","1,856","± 93"
"Berkeley city, California","2,024","± 113"
"Brentwood city, California","3,056","± 269"
"Buena Park city, California","2,221","± 139"
"Burbank city, California","2,245","± 70"
"Camarillo city, California","2,582","± 217"
"Carlsbad city, California","2,771","± 369"
"Carmichael CDP, California","1,802","± 74"
"Carson city, California","1,963","± 225"
"Castro Valley CDP, California","2,440","± 269"
"Chico city, California","1,475","± 71"
"Chino city, California","2,354","± 132"
"Chino Hills city, California","2,961","± 229"
"Chula Vista city, California","2,338","± 107"
"Citrus Heights city, California","1,940","± 92"
"Clovis city, California","1,795","± 123"
"Compton city, California","1,729","± 161"
"Concord city, California","2,300","± 71"
"Corona city, California","2,307","± 96"
"Costa Mesa city, California","2,477","± 125"
"Daly City city, California","2,618","± 180"
"Davis city, California","2,248","± 95"
"Downey city, California","2,017","± 115"
"Dublin city, California","3,092","± 381"
"East Los Angeles CDP, California","1,577","± 75"
