"Geographic Area Name","Median value (2024)","MoE"
"Auburn city, Alabama","392,900","± 27,725"
"Birmingham city, Alabama","189,800","± 10,282"
"Dothan city, Alabama","222,800","± 8,633"
"Hoover city, Alabama","424,100","± 19,908"
"Huntsville city, Alabama","339,400","± 12,993"
"Madison city, Alabama","444,500","± 29,159"
"Mobile city, Alabama","200,000","± 15,074"
"Montgomery city, Alabama","197,700","± 12,669"
"Tuscaloosa city, Alabama","278,500","± 40,488"
"Anchorage municipality, Alaska","429,600","± 16,429"
"Avondale city, Arizona","437,800","± 13,093"
"Buckeye city, Arizona","441,100","± 14,028"
"Casa Grande city, Arizona","356,800","± 21,839"
"Casas Adobes CDP, Arizona","361,700","± 14,535"
"Chandler city, Arizona","546,800","± 20,194"
"Flagstaff city, Arizona","602,300","± 40,516"
"Gilbert town, Arizona","624,400","± 10,471"
"Glendale city, Arizona","431,300","± 10,239"
"Goodyear city, Arizona","487,300","± 13,477"
"Maricopa city, Arizona","395,000","± 20,332"
"Mesa city, Arizona","440,800","± 8,293"
"Peoria city, Arizona","494,600","± 19,427"
"Phoenix city, Arizona","454,900","± 6,467"
"Queen Creek town, Arizona","653,500","± 18,861"
"San Tan Valley CDP, Arizona","430,400","± 10,965"
"Scottsdale city, Arizona","856,700","± 28,769"
"Surprise city, Arizona","450,800","± 8,602"
"Tempe city, Arizona","488,600","± 21,410"
"Tucson city, Arizona","299,700","± 9,164"
"Yuma city, Arizona","270,100","± 13,832"
"Conway city, Arkansas","298,200","± 19,360"
"Fayetteville city, Arkansas","376,400","± 27,745"
"Fort Smith city, Arkansas","215,000","± 15,855"
"Jonesboro city, Arkansas","233,900","± 18,057"
"Little Rock city, Arkansas","270,700","± 17,239"
"Rogers city, Arkansas","396,700","± 49,740"
"Springdale city, Arkansas","322,400","± 18,433"
"Alameda city, California","1,160,500","± 74,389"
"Alhambra city, California","892,700","± 37,117"
"Anaheim city, California","892,200","± 18,692"
"Antioch city, California","647,400","± 19,135"
"Apple Valley town, California","444,900","± 21,164"
"Arden-Arcade CDP, California","571,900","± 56,752"
"Bakersfield city, California","406,500","± 11,274"
"Baldwin Park city, California","636,300","± 29,159"
"Bellflower city, California","726,900","± 57,468"
"Berkeley city, California","1,429,700","± 78,578"
"Brentwood city, California","842,800","± 39,849"
"Buena Park city, California","861,500","± 22,830"
"Burbank city, California","1,121,000","± 44,499"
"Camarillo city, California","871,300","± 29,470"
"Carlsbad city, California","1,570,500","± 59,134"
"Carmichael CDP, California","597,200","± 22,565"
"Carson city, California","768,200","± 30,616"
"Castro Valley CDP, California","1,141,100","± 43,211"
"Chico city, California","467,900","± 18,551"
"Chino city, California","708,000","± 38,208"
"Chino Hills city, California","890,200","± 35,405"
"Chula Vista city, California","839,000","± 20,594"
"Citrus Heights city, California","471,800","± 13,865"
"Clovis city, California","503,700","± 29,412"
"Compton city, California","610,400","± 14,761"
"Concord city, California","788,800","± 31,097"
"Corona city, California","746,500","± 32,758"
"Costa Mesa city, California","1,166,800","± 50,617"
"Daly City city, California","1,111,300","± 35,626"
"Davis city, California","901,500","± 46,453"
"Downey city, California","844,000","± 35,850"
"Dublin city, California","1,371,300","± 93,274"
"East Los Angeles CDP, California","649,500","± 23,094"
"Eastvale city, California","884,800","± 24,612"
"El Cajon city, California","772,200","± 42,516"
"Elk Grove city, California","648,700","± 9,895"
"El Monte city, California","668,200","± 31,447"
"Escondido city, California","777,600","± 36,428"
"Fairfield city, California","638,700","± 17,724"
"Folsom city, California","770,500","± 36,490"
"Fontana city, California","615,800","± 13,248"
"Fremont city, California","1,478,200","± 67,717"
"Fresno city, California","396,300","± 10,036"
"Fullerton city, California","924,900","± 37,080"
"Garden Grove city, California","870,000","± 20,029"
"Glendale city, California","1,182,800","± 68,832"
"Hawthorne city, California","855,700","± 35,322"
"Hayward city, California","884,700","± 32,148"
"Hemet city, California","410,300","± 19,890"
"Hesperia city, California","438,700","± 13,775"
"Huntington Beach city, California","1,163,800","± 36,415"
"Indio city, California","514,700","± 28,422"
"Inglewood city, California","798,300","± 52,482"
"Irvine city, California","1,510,300","± 87,958"
"Jurupa Valley city, California","626,600","± 26,160"
"Lake Elsinore city, California","603,100","± 15,223"
"Lake Forest city, California","1,087,500","± 48,844"
"Lakewood city, California","847,800","± 13,342"
"Lancaster city, California","473,800","± 17,428"
"Livermore city, California","1,157,100","± 35,471"
"Lodi city, California","517,600","± 41,319"
"Long Beach city, California","849,500","± 23,244"
"Los Angeles city, California","947,900","± 10,150"
"Lynwood city, California","646,200","± 29,582"
"Madera city, California","394,200","± 25,692"
"Manteca city, California","617,300","± 19,904"
"Menifee city, California","586,100","± 15,157"
"Merced city, California","369,300","± 16,248"
"Milpitas city, California","1,456,200","± 122,298"
"Mission Viejo city, California","1,110,600","± 42,809"
"Modesto city, California","467,600","± 10,992"
"Moreno Valley city, California","581,500","± 10,663"
"Mountain View city, California","1,947,100","± 225,745"
"Murrieta city, California","677,600","± 21,710"
"Napa city, California","866,700","± 27,265"
"Norwalk city, California","679,500","± 29,638"
"Oakland city, California","884,000","± 33,560"
"Oceanside city, California","820,800","± 21,754"
"Ontario city, California","654,200","± 18,975"
"Orange city, California","1,069,700","± 37,680"
"Oxnard city, California","698,000","± 24,211"
"Palmdale city, California","508,300","± 22,678"
"Pasadena city, California","1,209,600","± 56,505"
"Perris city, California","535,600","± 31,001"
"Pittsburg city, California","595,700","± 22,897"
"Pleasanton city, California","1,534,600","± 74,287"
"Pomona city, California","636,700","± 19,264"
"Rancho Cordova city, California","529,400","± 30,484"
"Rancho Cucamonga city, California","766,300","± 32,014"
"Redding city, California","395,100","± 17,444"
"Redlands city, California","613,600","± 29,608"
"Redondo Beach city, California","1,302,800","± 125,806"
"Redwood City city, California","1,875,600","± 133,671"
"Rialto city, California","543,300","± 22,508"
"Richmond city, California","663,900","± 19,367"
"Riverside city, California","616,400","± 10,337"
"Rocklin city, California","693,100","± 22,493"
"Roseville city, California","668,600","± 15,179"
"Sacramento city, California","515,800","± 18,676"
"Salinas city, California","687,700","± 30,017"
"San Bernardino city, California","461,400","± 16,338"
"San Buenaventura (Ventura) city, California","873,100","± 21,871"
"San Diego city, California","980,700","± 16,456"
"San Francisco city, California","1,314,700","± 41,701"
"San Jose city, California","1,271,200","± 50,693"
"San Leandro city, California","851,400","± 25,329"
"San Marcos city, California","969,000","± 50,932"
"San Mateo city, California","1,639,400","± 80,418"
"San Ramon city, California","1,758,600","± 82,145"
"Santa Ana city, California","772,600","± 30,232"
"Santa Barbara city, California","1,732,200","± 179,377"
"Santa Clara city, California","1,648,300","± 72,275"
"Santa Clarita city, California","813,900","± 23,818"
"Santa Maria city, California","580,000","± 19,173"
