Geographic Area Name,Median gross rent (2021),Median gross rent (2024),Median value (2021),Median value (2024)
"Auburn city, Alabama","1,009","1,159","319,300","392,900"
"Birmingham city, Alabama",895,"1,206","117,600","189,800"
"Dothan city, Alabama",832,"1,016","169,200","222,800"
"Hoover city, Alabama","1,212","1,441","363,200","424,100"
"Huntsville city, Alabama",983,"1,241","250,400","339,400"
"Mobile city, Alabama",932,"1,136","158,200","200,000"
"Montgomery city, Alabama",951,"1,110","136,800","197,700"
"Tuscaloosa city, Alabama",934,"1,058","217,200","278,500"
"Anchorage municipality, Alaska","1,335","1,536","346,200","429,600"
"Avondale city, Arizona","1,592","1,873","334,900","437,800"
"Buckeye city, Arizona","1,333","2,466","333,300","441,100"
"Casas Adobes CDP, Arizona","1,368","1,861","271,900","361,700"
"Chandler city, Arizona","1,617","2,000","435,100","546,800"
"Flagstaff city, Arizona","1,413","1,753","457,500","602,300"
"Gilbert town, Arizona","1,742","2,167","484,600","624,400"
"Glendale city, Arizona","1,235","1,708","325,400","431,300"
"Goodyear city, Arizona","1,543","2,082","401,400","487,300"
"Mesa city, Arizona","1,302","1,708","350,100","440,800"
"Peoria city, Arizona","1,460","1,989","407,600","494,600"
"Phoenix city, Arizona","1,293","1,712","352,600","454,900"
"Queen Creek town, Arizona","2,026","2,256","516,100","653,500"
"San Tan Valley CDP, Arizona","1,692","2,260","347,000","430,400"
"Scottsdale city, Arizona","1,669","2,117","674,900","856,700"
"Surprise city, Arizona","1,692","2,064","354,100","450,800"
"Tempe city, Arizona","1,428","1,818","414,600","488,600"
"Tucson city, Arizona",956,"1,235","224,800","299,700"
"Yuma city, Arizona",966,"1,260","189,000","270,100"
"Conway city, Arkansas",934,"1,037","230,900","298,200"
"Fayetteville city, Arkansas",869,"1,119","272,300","376,400"
"Fort Smith city, Arkansas",677,965,"146,200","215,000"
"Jonesboro city, Arkansas",819,872,"197,600","233,900"
"Little Rock city, Arkansas",960,"1,136","191,700","270,700"
"Rogers city, Arkansas","1,053","1,430","225,300","396,700"
"Springdale city, Arkansas","1,021","1,138","215,900","322,400"
"Alameda city, California","1,981","2,437","1,077,900","1,160,500"
"Alhambra city, California","1,702","2,201","718,100","892,700"
"Anaheim city, California","1,833","2,258","688,400","892,200"
"Antioch city, California","1,942","2,192","577,900","647,400"
"Apple Valley town, California","1,237","1,653","353,500","444,900"
"Arden-Arcade CDP, California","1,280","1,643","480,300","571,900"
"Bakersfield city, California","1,219","1,708","318,600","406,500"
"Baldwin Park city, California","1,658","1,782","536,500","636,300"
"Bellflower city, California","1,621","1,856","595,800","726,900"
"Berkeley city, California","1,923","2,024","1,270,000","1,429,700"
"Buena Park city, California","1,893","2,221","666,800","861,500"
"Burbank city, California","1,911","2,245","940,400","1,121,000"
"Camarillo city, California","2,288","2,582","694,200","871,300"
"Carlsbad city, California","2,437","2,771","1,042,900","1,570,500"
