City,Pct_30_35_2021,Pct_30_35_2024,Pct_35_40_2021,Pct_35_40_2024,Pct_40_50_2021,Pct_40_50_2024,Pct_50plus_2021,Pct_50plus_2024,Total_Burdened_2021,Total_Burdened_2024,Median gross rent (2021),Median gross rent (2024),Median value (2021),Median value (2024),Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024,Population_2021,Population_2024,EmpPopRatio_2021,EmpPopRatio_2024,LFPR_2021,LFPR_2024,Median_HH_Income_2021,Median_HH_Income_2024,Unemployment_Rate_2021,Unemployment_Rate_2024
"Anchorage municipality, Alaska","4,588","3,544","3,542","1,436","3,725","2,079","8,391","8,056","41,645","39,885","1,335","1,536","346,200","429,600","119,808","121,214","109,584","109,479","10,224","11,735","69,699","67,834","39,885","41,645","119,808","121,214","119,808","121,214","55,881","58,928","5,201","3,066","7,343","6,755","3,411","2,838",288121.0,289600.0,60.8%,62.6%,70.2%,71.2%,"86,654","105,356",6.6%,4.8%
"Chandler city, Arizona","4,276","4,080","2,514","2,965","2,356","2,440","7,297","11,001","40,550","36,632","1,617","2,000","435,100","546,800","112,136","114,957","107,668","110,074","4,468","4,883","71,036","69,524","36,632","40,550","112,136","114,957","112,136","114,957","77,015","75,858","5,409","5,122","1,988","2,796","8,420","10,695",279445.0,281243.0,68.7%,68.4%,71.2%,70.6%,"94,613","110,284",3.3%,3.2%
"Gilbert town, Arizona","2,509","2,926",441,"1,575","1,080","2,118","4,722","5,567","25,839","23,489","1,742","2,167","484,600","624,400","95,508","104,289","93,472","97,717","2,036","6,572","69,983","71,878","23,489","25,839","95,508","104,289","95,508","104,289","78,781","86,057","3,260","2,676","1,532","1,355","5,105","6,613",273138.0,288797.0,69.6%,68.9%,72.6%,71.8%,"104,802","124,968",4.2%,3.9%
"Glendale city, Arizona","2,616","4,416","3,273","3,558","2,945","5,302","10,865","9,179","40,113","38,141","1,235","1,708","325,400","431,300","95,584","98,383","90,604","94,483","4,980","3,900","52,463","54,370","38,141","40,113","95,584","98,383","95,584","98,383","58,573","58,762","5,968","7,201","3,473","4,099","7,177","8,634",249627.0,258121.0,59.4%,63.9%,65.2%,68.4%,"62,910","75,711",6.9%,5.7%
"Mesa city, Arizona","6,400","9,386","5,579","5,019","7,798","6,161","17,519","17,960","70,154","72,966","1,302","1,708","350,100","440,800","221,995","223,662","199,112","199,972","22,883","23,690","126,146","129,818","72,966","70,154","221,995","223,662","221,995","223,662","123,997","124,712","11,053","11,119","6,173","6,224","11,844","14,298",509492.0,517142.0,61.2%,62.0%,64.0%,64.3%,"69,266","85,580",4.2%,3.4%
"Phoenix city, Arizona","20,307","23,192","18,266","18,416","24,982","27,636","60,144","64,555","267,479","247,802","1,293","1,712","352,600","454,900","644,625","678,852","602,039","631,270","42,586","47,582","354,237","363,791","247,802","267,479","644,625","678,852","644,625","678,852","388,485","401,557","34,469","42,392","26,726","27,932","72,619","82,267",1624539.0,1673122.0,63.5%,66.7%,67.6%,69.7%,"68,435","85,246",5.9%,4.1%
"Tucson city, Arizona","8,694","10,659","7,333","6,643","9,321","13,654","26,515","27,568","111,068","108,360",956,"1,235","224,800","299,700","242,816","251,448","223,068","233,314","19,748","18,134","114,708","122,246","108,360","111,068","242,816","251,448","242,816","251,448","129,856","132,203","13,611","19,370","14,170","14,049","20,826","21,696",543215.0,554011.0,57.3%,58.3%,62.7%,62.5%,"50,306","60,483",6.9%,5.1%
"Anaheim city, California","5,621","4,662","4,530","5,052","5,831","5,403","15,977","18,802","58,023","53,924","1,833","2,258","688,400","892,200","110,319","113,613","105,608","108,465","4,711","5,148","51,684","50,442","53,924","58,023","110,319","113,613","110,319","113,613","47,158","46,136","6,057","4,805","7,526","6,052","19,006","20,369",345935.0,344579.0,59.9%,64.9%,65.0%,68.4%,"81,747","101,145",7.7%,5.0%
"Bakersfield city, California","3,651","3,965","4,748","4,330","5,876","5,321","14,099","15,625","51,396","49,609","1,219","1,708","318,600","406,500","134,270","139,391","128,007","133,186","6,263","6,205","78,398","81,790","49,609","51,396","134,270","139,391","134,270","139,391","96,006","102,427","2,668","3,326","2,984","1,585","6,848","6,367",407581.0,417461.0,57.1%,58.5%,62.4%,62.5%,"66,666","82,093",8.3%,6.2%
"Chula Vista city, California","3,634","4,345","2,665","3,396","3,529","3,205","11,990","13,416","37,638","34,862","1,894","2,338","655,100","839,000","88,821","91,470","83,451","88,103","5,370","3,367","48,589","50,465","34,862","37,638","88,821","91,470","88,821","91,470","47,291","46,555","5,060","3,986","4,430","3,666","7,402","10,777",277211.0,278548.0,58.9%,58.6%,67.4%,63.9%,"91,949","105,101",9.7%,4.7%
