"Geographic Area Name","Owner-occupied housing units (2024)","MoE"
"Auburn city, Alabama","15,706","± 1,697"
"Birmingham city, Alabama","42,686","± 3,226"
"Dothan city, Alabama","18,090","± 1,121"
"Hoover city, Alabama","28,812","± 2,220"
"Huntsville city, Alabama","55,692","± 2,598"
"Madison city, Alabama","17,488","± 1,821"
"Mobile city, Alabama","49,795","± 2,951"
"Montgomery city, Alabama","45,484","± 2,552"
"Tuscaloosa city, Alabama","17,664","± 1,909"
"Anchorage municipality, Alaska","67,834","± 3,533"
"Avondale city, Arizona","18,464","± 2,355"
"Buckeye city, Arizona","31,834","± 2,881"
"Casa Grande city, Arizona","15,373","± 1,762"
"Casas Adobes CDP, Arizona","23,080","± 2,442"
"Chandler city, Arizona","69,524","± 3,904"
"Flagstaff city, Arizona","13,309","± 1,658"
"Gilbert town, Arizona","71,878","± 3,552"
"Glendale city, Arizona","54,370","± 3,983"
"Goodyear city, Arizona","32,344","± 2,531"
"Maricopa city, Arizona","21,062","± 2,419"
"Mesa city, Arizona","129,818","± 5,009"
"Peoria city, Arizona","57,887","± 3,000"
"Phoenix city, Arizona","363,791","± 9,079"
"Queen Creek town, Arizona","23,876","± 2,391"
"San Tan Valley CDP, Arizona","29,899","± 3,001"
"Scottsdale city, Arizona","78,697","± 3,670"
"Surprise city, Arizona","53,522","± 2,894"
"Tempe city, Arizona","33,176","± 2,628"
"Tucson city, Arizona","122,246","± 4,228"
"Yuma city, Arizona","27,905","± 2,039"
"Conway city, Arkansas","12,963","± 1,484"
"Fayetteville city, Arkansas","16,195","± 1,931"
"Fort Smith city, Arkansas","20,557","± 1,980"
"Jonesboro city, Arkansas","18,936","± 1,823"
"Little Rock city, Arkansas","47,340","± 3,245"
"Rogers city, Arkansas","15,911","± 1,573"
"Springdale city, Arkansas","16,234","± 1,718"
"Alameda city, California","16,825","± 1,626"
"Alhambra city, California","13,183","± 1,591"
"Anaheim city, California","50,442","± 2,984"
"Antioch city, California","24,245","± 1,936"
"Apple Valley town, California","19,482","± 1,814"
"Arden-Arcade CDP, California","17,849","± 1,997"
"Bakersfield city, California","81,790","± 3,144"
"Baldwin Park city, California","11,000","± 1,319"
"Bellflower city, California","9,668","± 1,396"
"Berkeley city, California","21,974","± 1,579"
"Brentwood city, California","17,412","± 1,817"
"Buena Park city, California","14,621","± 1,578"
"Burbank city, California","19,003","± 1,894"
"Camarillo city, California","17,369","± 1,658"
"Carlsbad city, California","28,105","± 2,103"
"Carmichael CDP, California","17,812","± 1,578"
"Carson city, California","20,255","± 2,202"
"Castro Valley CDP, California","15,329","± 1,658"
"Chico city, California","18,870","± 1,821"
"Chino city, California","19,318","± 1,861"
"Chino Hills city, California","15,619","± 1,917"
"Chula Vista city, California","50,465","± 3,253"
"Citrus Heights city, California","21,571","± 2,028"
"Clovis city, California","30,467","± 2,566"
"Compton city, California","12,667","± 1,473"
"Concord city, California","31,365","± 2,401"
"Corona city, California","32,021","± 2,376"
"Costa Mesa city, California","15,433","± 1,825"
"Daly City city, California","18,821","± 2,054"
"Davis city, California","10,210","± 1,308"
"Downey city, California","17,613","± 1,554"
"Dublin city, California","16,362","± 1,515"
"East Los Angeles CDP, California","11,767","± 1,540"
"Eastvale city, California","12,863","± 1,828"
"El Cajon city, California","14,221","± 1,979"
"Elk Grove city, California","41,658","± 2,481"
"El Monte city, California","12,316","± 1,402"
"Escondido city, California","26,129","± 2,216"
"Fairfield city, California","25,185","± 2,158"
"Folsom city, California","21,458","± 1,904"
"Fontana city, California","37,934","± 2,389"
"Fremont city, California","47,661","± 2,710"
"Fresno city, California","93,036","± 4,130"
"Fullerton city, California","26,574","± 2,389"
"Garden Grove city, California","25,956","± 2,204"
"Glendale city, California","23,771","± 2,413"
"Hawthorne city, California","7,972","± 1,299"
"Hayward city, California","30,123","± 2,503"
"Hemet city, California","20,661","± 1,977"
"Hesperia city, California","19,436","± 1,934"
"Huntington Beach city, California","42,029","± 3,101"
"Indio city, California","19,833","± 2,078"
"Inglewood city, California","16,020","± 1,767"
"Irvine city, California","53,967","± 3,306"
"Jurupa Valley city, California","18,038","± 1,884"
"Lake Elsinore city, California","15,310","± 1,529"
"Lake Forest city, California","20,668","± 2,139"
"Lakewood city, California","18,830","± 1,937"
"Lancaster city, California","33,702","± 2,938"
"Livermore city, California","21,704","± 1,703"
"Lodi city, California","14,244","± 1,687"
"Long Beach city, California","70,126","± 3,436"
"Los Angeles city, California","531,430","± 8,428"
"Lynwood city, California","7,223","± 1,029"
"Madera city, California","9,683","± 1,378"
"Manteca city, California","20,251","± 1,555"
"Menifee city, California","31,153","± 2,378"
"Merced city, California","14,316","± 1,599"
"Milpitas city, California","13,365","± 1,849"
"Mission Viejo city, California","25,543","± 2,497"
"Modesto city, California","45,001","± 2,867"
"Moreno Valley city, California","34,415","± 2,013"
"Mountain View city, California","15,464","± 1,818"
"Murrieta city, California","24,143","± 2,286"
"Napa city, California","18,304","± 1,738"
"Newport Beach city, California","18,985","± 2,317"
"Norwalk city, California","17,989","± 1,467"
"Oakland city, California","81,383","± 4,439"
"Oceanside city, California","38,162","± 2,854"
"Ontario city, California","33,425","± 2,407"
"Orange city, California","24,999","± 2,371"
"Oxnard city, California","32,080","± 2,722"
"Palmdale city, California","30,886","± 2,467"
"Palo Alto city, California","13,654","± 1,335"
"Pasadena city, California","24,307","± 2,644"
"Perris city, California","14,146","± 1,833"
"Pittsburg city, California","14,928","± 1,970"
"Pleasanton city, California","19,038","± 1,987"
"Pomona city, California","22,531","± 1,956"
"Rancho Cordova city, California","16,740","± 1,693"
"Rancho Cucamonga city, California","36,007","± 2,246"
"Redding city, California","21,816","± 2,014"
"Redlands city, California","14,525","± 1,462"
"Redondo Beach city, California","14,103","± 1,555"
"Redwood City city, California","15,485","± 1,849"
"Rialto city, California","19,134","± 1,612"
"Richmond city, California","22,770","± 2,918"
"Riverside city, California","57,170","± 3,707"
"Rocklin city, California","17,893","± 1,434"
"Roseville city, California","43,431","± 2,205"
"Sacramento city, California","101,161","± 4,838"
"Salinas city, California","18,650","± 2,165"
"San Bernardino city, California","34,168","± 2,489"
"San Buenaventura (Ventura) city, California","22,869","± 2,169"
"San Diego city, California","252,195","± 6,592"
"San Francisco city, California","136,566","± 4,815"
"San Jose city, California","184,111","± 5,602"
"San Leandro city, California","17,777","± 1,890"
"San Marcos city, California","20,778","± 1,859"
"San Mateo city, California","19,892","± 1,843"
"San Ramon city, California","22,323","± 1,338"
"Santa Ana city, California","36,583","± 2,902"
"Santa Barbara city, California","15,221","± 1,837"
"Santa Clara city, California","21,337","± 2,129"
"Santa Clarita city, California","54,167","± 2,864"
"Santa Maria city, California","14,525","± 1,880"
"Santa Monica city, California","12,503","± 1,724"
"Santa Rosa city, California","39,252","± 2,870"
"Simi Valley city, California","32,939","± 1,962"
"South Gate city, California","13,007","± 1,277"
"Stockton city, California","52,891","± 3,263"
"Sunnyvale city, California","27,428","± 2,153"
"Temecula city, California","24,550","± 2,102"
"Thousand Oaks city, California","34,372","± 2,175"
"Torrance city, California","30,011","± 2,354"
"Tracy city, California","21,248","± 1,736"
"Tulare city, California","12,295","± 1,544"
"Turlock city, California","14,984","± 1,629"
"Tustin city, California","12,994","± 1,501"
"Union City city, California","12,196","± 1,276"
"Upland city, California","15,266","± 1,490"
"Vacaville city, California","22,411","± 2,041"
"Vallejo city, California","24,489","± 2,152"
"Victorville city, California","26,251","± 2,796"
"Visalia city, California","30,970","± 2,199"
"Vista city, California","19,387","± 2,513"
"Walnut Creek city, California","22,721","± 1,817"
"West Covina city, California","20,563","± 1,878"
"Westminster city, California","15,519","± 1,530"
"Whittier city, California","17,330","± 1,940"
"Yorba Linda city, California","19,567","± 1,563"
"Yuba City city, California","13,618","± 1,878"
"Arvada city, Colorado","36,994","± 1,943"
"Aurora city, Colorado","94,167","± 4,299"
"Boulder city, Colorado","19,311","± 1,780"
"Broomfield city, Colorado","20,177","± 1,018"
"Castle Rock town, Colorado","24,613","± 1,786"
"Centennial city, Colorado","32,980","± 1,953"
"Colorado Springs city, Colorado","119,989","± 4,412"
"Commerce City city, Colorado","17,323","± 2,559"
"Denver city, Colorado","168,087","± 5,132"
"Fort Collins city, Colorado","38,160","± 2,075"
"Grand Junction city, Colorado","20,531","± 1,634"
"Greeley city, Colorado","25,700","± 2,016"
"Highlands Ranch CDP, Colorado","29,661","± 1,797"
