"Geographic Area Name","Total Units (2021)","MoE"
"Auburn city, Alabama","35,161","± 1,718"
"Birmingham city, Alabama","108,533","± 3,483"
"Dothan city, Alabama","33,868","± 863"
"Hoover city, Alabama","38,821","± 2,279"
"Huntsville city, Alabama","104,141","± 2,739"
"Mobile city, Alabama","88,507","± 2,906"
"Montgomery city, Alabama","93,055","± 1,294"
"Tuscaloosa city, Alabama","50,913","± 2,716"
"Anchorage municipality, Alaska","119,808","± 653"
"Avondale city, Arizona","27,650","± 2,162"
"Buckeye city, Arizona","32,639","± 2,416"
"Casas Adobes CDP, Arizona","33,648","± 1,937"
"Chandler city, Arizona","112,136","± 2,952"
"Flagstaff city, Arizona","32,601","± 2,024"
"Gilbert town, Arizona","95,508","± 2,738"
"Glendale city, Arizona","95,584","± 2,891"
"Goodyear city, Arizona","35,841","± 2,697"
"Mesa city, Arizona","221,995","± 5,732"
"Peoria city, Arizona","78,694","± 3,140"
"Phoenix city, Arizona","644,625","± 7,668"
"Queen Creek town, Arizona","21,886","± 1,565"
"San Tan Valley CDP, Arizona","35,927","± 2,809"
"Scottsdale city, Arizona","138,984","± 3,824"
"Surprise city, Arizona","62,261","± 3,139"
"Tempe city, Arizona","83,172","± 3,116"
"Tucson city, Arizona","242,816","± 4,430"
"Yuma city, Arizona","43,608","± 2,055"
"Conway city, Arkansas","27,470","± 1,462"
"Fayetteville city, Arkansas","44,706","± 2,253"
"Fort Smith city, Arkansas","39,962","± 1,412"
"Jonesboro city, Arkansas","34,452","± 1,092"
"Little Rock city, Arkansas","99,876","± 2,946"
"Rogers city, Arkansas","29,356","± 1,761"
"Springdale city, Arkansas","30,493","± 1,989"
"Alameda city, California","32,416","± 1,740"
"Alhambra city, California","31,005","± 1,521"
"Anaheim city, California","110,319","± 3,231"
"Antioch city, California","37,650","± 2,100"
"Apple Valley town, California","25,390","± 2,381"
"Arden-Arcade CDP, California","42,032","± 2,739"
"Bakersfield city, California","134,270","± 3,483"
"Baldwin Park city, California","19,605","± 1,074"
"Bellflower city, California","24,831","± 1,491"
"Berkeley city, California","50,228","± 3,340"
"Buena Park city, California","24,966","± 1,623"
"Burbank city, California","48,556","± 2,819"
"Camarillo city, California","28,678","± 2,004"
"Carlsbad city, California","51,596","± 2,963"
"Carmichael CDP, California","33,816","± 2,736"
"Carson city, California","26,409","± 2,517"
"Castro Valley CDP, California","24,109","± 2,045"
"Chico city, California","42,758","± 1,872"
"Chino city, California","27,283","± 1,522"
"Chino Hills city, California","26,151","± 1,100"
"Chula Vista city, California","88,821","± 3,236"
"Citrus Heights city, California","35,496","± 2,579"
"Clovis city, California","40,037","± 1,947"
"Compton city, California","29,793","± 2,047"
"Concord city, California","47,251","± 2,268"
"Corona city, California","50,613","± 2,474"
"Costa Mesa city, California","45,564","± 2,340"
"Daly City city, California","37,568","± 2,550"
"Davis city, California","27,592","± 1,326"
"Downey city, California","37,581","± 2,160"
"Dublin city, California","25,372","± 1,412"
"East Los Angeles CDP, California","33,124","± 2,061"
"Eastvale city, California","18,782","± 1,667"
"El Cajon city, California","34,992","± 2,341"
"Elk Grove city, California","54,385","± 1,832"
"El Monte city, California","29,935","± 1,290"
"Escondido city, California","52,542","± 2,082"
"Fairfield city, California","40,027","± 1,946"
"Folsom city, California","29,667","± 2,625"
"Fontana city, California","58,533","± 2,316"
"Fremont city, California","79,480","± 2,623"
"Fresno city, California","188,756","± 3,250"
"Fullerton city, California","49,834","± 2,225"
"Garden Grove city, California","50,253","± 2,442"
"Glendale city, California","76,220","± 2,680"
"Hawthorne city, California","31,161","± 1,659"
"Hayward city, California","50,777","± 2,198"
"Hemet city, California","36,642","± 2,894"
"Hesperia city, California","29,886","± 2,026"
"Huntington Beach city, California","83,658","± 2,528"
"Indio city, California","40,749","± 2,517"
"Inglewood city, California","40,083","± 2,146"
"Irvine city, California","122,260","± 5,673"
"Jurupa Valley city, California","28,677","± 1,710"
"Lake Elsinore city, California","21,975","± 1,723"
"Lake Forest city, California","32,522","± 1,670"
"Lakewood city, California","27,028","± 1,590"
"Lancaster city, California","53,460","± 2,586"
"Livermore city, California","32,363","± 1,859"
"Lodi city, California","25,828","± 1,594"
"Long Beach city, California","179,856","± 4,443"
"Los Angeles city, California","1,542,391","± 9,733"
"Lynwood city, California","16,429","± 1,176"
"Madera city, California","19,676","± 1,560"
"Manteca city, California","28,237","± 1,933"
"Menifee city, California","37,422","± 2,266"
"Merced city, California","30,158","± 1,684"
"Milpitas city, California","24,559","± 1,101"
"Mission Viejo city, California","36,316","± 1,878"
"Modesto city, California","74,871","± 2,729"
"Moreno Valley city, California","55,128","± 2,619"
"Mountain View city, California","39,492","± 1,970"
"Murrieta city, California","36,573","± 2,414"
"Napa city, California","32,314","± 1,059"
"Newport Beach city, California","47,062","± 2,359"
"Norwalk city, California","26,860","± 1,317"
"Oakland city, California","186,660","± 4,202"
"Oceanside city, California","64,694","± 2,793"
"Ontario city, California","57,356","± 2,464"
"Orange city, California","45,377","± 1,968"
"Oxnard city, California","53,778","± 2,323"
"Palmdale city, California","47,738","± 1,927"
"Palo Alto city, California","27,757","± 1,942"
"Pasadena city, California","64,644","± 2,924"
"Perris city, California","19,964","± 1,481"
"Pittsburg city, California","24,600","± 1,723"
"Pleasanton city, California","30,092","± 1,391"
"Pomona city, California","41,376","± 1,710"
"Rancho Cordova city, California","30,125","± 1,733"
"Rancho Cucamonga city, California","59,083","± 2,631"
"Redding city, California","39,738","± 1,708"
"Redlands city, California","25,688","± 2,488"
"Redondo Beach city, California","28,355","± 2,941"
"Redwood City city, California","32,232","± 1,837"
"Rialto city, California","30,380","± 1,772"
"Richmond city, California","42,082","± 2,472"
"Riverside city, California","94,246","± 2,944"
"Rocklin city, California","26,221","± 1,233"
"Roseville city, California","59,392","± 1,856"
"Sacramento city, California","210,715","± 4,391"
"Salinas city, California","43,045","± 1,751"
"San Bernardino city, California","66,188","± 2,916"
"San Buenaventura (Ventura) city, California","46,360","± 2,225"
"San Diego city, California","555,456","± 7,850"
"San Francisco city, California","412,269","± 1,484"
"San Jose city, California","340,561","± 4,585"
"San Leandro city, California","32,100","± 2,095"
"San Marcos city, California","35,300","± 2,017"
"San Mateo city, California","41,607","± 1,873"
"San Ramon city, California","30,255","± 1,507"
"Santa Ana city, California","80,604","± 2,558"
"Santa Barbara city, California","37,875","± 2,181"
"Santa Clara city, California","52,276","± 2,239"
"Santa Clarita city, California","74,788","± 2,724"
