"Geographic Area Name","Occupied (2024)","MoE"
"Auburn city, Alabama","30,006","± 2,106"
"Birmingham city, Alabama","91,130","± 3,356"
"Dothan city, Alabama","30,728","± 1,111"
"Hoover city, Alabama","39,852","± 2,187"
"Huntsville city, Alabama","96,802","± 2,805"
"Madison city, Alabama","25,007","± 1,969"
"Mobile city, Alabama","82,213","± 2,823"
"Montgomery city, Alabama","83,025","± 1,987"
"Tuscaloosa city, Alabama","45,626","± 2,334"
"Anchorage municipality, Alaska","109,479","± 2,451"
"Avondale city, Arizona","31,186","± 2,134"
"Buckeye city, Arizona","38,683","± 2,502"
"Casa Grande city, Arizona","20,714","± 1,904"
"Casas Adobes CDP, Arizona","33,238","± 2,585"
"Chandler city, Arizona","110,074","± 4,285"
"Flagstaff city, Arizona","30,562","± 1,595"
"Gilbert town, Arizona","97,717","± 3,045"
"Glendale city, Arizona","94,483","± 4,185"
"Goodyear city, Arizona","42,713","± 2,344"
"Maricopa city, Arizona","25,592","± 2,079"
"Mesa city, Arizona","199,972","± 5,554"
"Peoria city, Arizona","75,481","± 3,340"
"Phoenix city, Arizona","631,270","± 8,668"
"Queen Creek town, Arizona","27,129","± 2,400"
"San Tan Valley CDP, Arizona","36,668","± 3,162"
"Scottsdale city, Arizona","121,398","± 4,050"
"Surprise city, Arizona","64,551","± 2,688"
"Tempe city, Arizona","81,327","± 3,192"
"Tucson city, Arizona","233,314","± 4,795"
"Yuma city, Arizona","39,909","± 2,537"
"Conway city, Arkansas","28,010","± 1,265"
"Fayetteville city, Arkansas","42,089","± 2,252"
"Fort Smith city, Arkansas","37,693","± 1,519"
"Jonesboro city, Arkansas","33,732","± 1,453"
"Little Rock city, Arkansas","88,738","± 3,214"
"Rogers city, Arkansas","28,461","± 1,658"
"Springdale city, Arkansas","30,436","± 2,262"
"Alameda city, California","30,860","± 1,619"
"Alhambra city, California","31,892","± 1,573"
"Anaheim city, California","108,465","± 3,643"
"Antioch city, California","37,795","± 2,233"
"Apple Valley town, California","26,481","± 1,902"
"Arden-Arcade CDP, California","38,758","± 2,933"
"Bakersfield city, California","133,186","± 3,199"
"Baldwin Park city, California","19,768","± 1,293"
"Bellflower city, California","24,534","± 1,757"
"Berkeley city, California","47,862","± 2,130"
"Brentwood city, California","21,383","± 1,500"
"Buena Park city, California","25,789","± 1,791"
"Burbank city, California","43,890","± 2,200"
"Camarillo city, California","26,025","± 1,423"
"Carlsbad city, California","44,251","± 1,959"
"Carmichael CDP, California","31,485","± 2,531"
"Carson city, California","28,426","± 1,868"
"Castro Valley CDP, California","20,631","± 1,574"
"Chico city, California","45,083","± 1,992"
"Chino city, California","26,929","± 1,692"
"Chino Hills city, California","23,966","± 1,460"
"Chula Vista city, California","88,103","± 3,715"
"Citrus Heights city, California","34,476","± 2,148"
