"Geographic Area Name","Vacant (2024)","MoE"
"Auburn city, Alabama","6,883","± 1,678"
"Birmingham city, Alabama","19,627","± 2,094"
"Dothan city, Alabama","3,967","± 788"
"Hoover city, Alabama","2,088","± 1,244"
"Huntsville city, Alabama","9,664","± 1,779"
"Madison city, Alabama","1,510","± 906"
"Mobile city, Alabama","14,129","± 2,019"
"Montgomery city, Alabama","12,271","± 2,038"
"Tuscaloosa city, Alabama","7,698","± 1,556"
"Anchorage municipality, Alaska","11,735","± 2,371"
"Avondale city, Arizona","2,894","± 1,108"
"Buckeye city, Arizona","2,087","± 1,248"
"Casa Grande city, Arizona","3,954","± 1,075"
"Casas Adobes CDP, Arizona","1,807","± 974"
"Chandler city, Arizona","4,883","± 1,615"
"Flagstaff city, Arizona","3,055","± 1,196"
"Gilbert town, Arizona","6,572","± 1,685"
"Glendale city, Arizona","3,900","± 1,347"
"Goodyear city, Arizona","5,927","± 1,759"
"Maricopa city, Arizona","1,797","± 969"
"Mesa city, Arizona","23,690","± 3,005"
"Peoria city, Arizona","5,200","± 1,506"
"Phoenix city, Arizona","47,582","± 4,565"
"Queen Creek town, Arizona","2,435","± 1,226"
"San Tan Valley CDP, Arizona","2,823","± 1,215"
"Scottsdale city, Arizona","18,368","± 2,855"
"Surprise city, Arizona","4,899","± 1,618"
"Tempe city, Arizona","10,115","± 2,645"
"Tucson city, Arizona","18,134","± 3,033"
"Yuma city, Arizona","4,814","± 1,379"
"Conway city, Arkansas","3,026","± 1,153"
"Fayetteville city, Arkansas","5,853","± 1,696"
"Fort Smith city, Arkansas","3,789","± 1,372"
"Jonesboro city, Arkansas","3,237","± 1,381"
"Little Rock city, Arkansas","10,276","± 2,079"
"Rogers city, Arkansas","2,853","± 1,476"
"Springdale city, Arkansas","2,207","± 1,025"
"Alameda city, California","1,460","± 853"
"Alhambra city, California","3,239","± 1,234"
"Anaheim city, California","5,148","± 1,580"
"Antioch city, California","2,084","± 913"
"Apple Valley town, California","1,146","± 698"
"Arden-Arcade CDP, California","3,273","± 1,340"
"Bakersfield city, California","6,205","± 1,697"
"Baldwin Park city, California","542","± 324"
"Bellflower city, California","1,639","± 837"
"Berkeley city, California","6,340","± 1,731"
"Brentwood city, California","417","± 415"
"Buena Park city, California","0","± 225"
"Burbank city, California","3,038","± 1,285"
"Camarillo city, California","1,451","± 904"
"Carlsbad city, California","3,224","± 1,534"
"Carmichael CDP, California","1,857","± 1,001"
"Carson city, California","874","± 724"
"Castro Valley CDP, California","1,087","± 881"
"Chico city, California","4,309","± 1,476"
"Chino city, California","371","± 379"
"Chino Hills city, California","155","± 262"
"Chula Vista city, California","3,367","± 1,117"
"Citrus Heights city, California","606","± 482"
"Clovis city, California","2,879","± 1,214"
"Compton city, California","784","± 458"
"Concord city, California","2,516","± 1,157"
"Corona city, California","938","± 634"
"Costa Mesa city, California","3,062","± 1,501"
"Daly City city, California","4,778","± 1,299"
"Davis city, California","2,252","± 1,037"
"Downey city, California","764","± 512"
"Dublin city, California","897","± 704"
"East Los Angeles CDP, California","1,726","± 686"
"Eastvale city, California","291","± 340"
"El Cajon city, California","1,349","± 807"
"Elk Grove city, California","908","± 635"
"El Monte city, California","977","± 569"
"Escondido city, California","1,452","± 694"
"Fairfield city, California","1,814","± 940"
"Folsom city, California","1,137","± 831"
"Fontana city, California","1,684","± 985"
"Fremont city, California","3,644","± 1,453"
"Fresno city, California","8,052","± 1,811"
"Fullerton city, California","1,740","± 965"
"Garden Grove city, California","2,189","± 996"
"Glendale city, California","4,877","± 1,440"
"Hawthorne city, California","1,260","± 674"
"Hayward city, California","2,660","± 1,002"
"Hemet city, California","3,364","± 1,329"
"Hesperia city, California","992","± 598"
"Huntington Beach city, California","5,314","± 1,821"
"Indio city, California","6,483","± 1,513"
"Inglewood city, California","2,735","± 1,046"
"Irvine city, California","6,723","± 2,457"
"Jurupa Valley city, California","509","± 430"
"Lake Elsinore city, California","497","± 431"
"Lake Forest city, California","739","± 594"
"Lakewood city, California","740","± 502"
"Lancaster city, California","3,037","± 985"
"Livermore city, California","288","± 304"
"Lodi city, California","1,785","± 968"
"Long Beach city, California","10,443","± 2,233"
"Los Angeles city, California","106,442","± 6,003"
"Lynwood city, California","513","± 384"
"Madera city, California","1,097","± 681"
"Manteca city, California","976","± 629"
"Menifee city, California","1,786","± 1,054"
"Merced city, California","1,909","± 789"
"Milpitas city, California","917","± 718"
"Mission Viejo city, California","1,515","± 870"
"Modesto city, California","1,202","± 761"
"Moreno Valley city, California","3,028","± 952"
"Mountain View city, California","3,051","± 1,362"
"Murrieta city, California","1,475","± 1,012"
"Napa city, California","2,648","± 1,028"
"Newport Beach city, California","7,620","± 1,992"
"Norwalk city, California","140","± 232"
"Oakland city, California","14,585","± 2,179"
"Oceanside city, California","4,978","± 1,309"
"Ontario city, California","2,105","± 931"
"Orange city, California","1,584","± 980"
"Oxnard city, California","3,754","± 1,320"
"Palmdale city, California","2,094","± 792"
"Palo Alto city, California","3,190","± 1,258"
"Pasadena city, California","6,559","± 1,723"
"Perris city, California","614","± 496"
"Pittsburg city, California","360","± 363"
"Pleasanton city, California","1,501","± 824"
"Pomona city, California","1,569","± 715"
"Rancho Cordova city, California","1,999","± 980"
"Rancho Cucamonga city, California","2,024","± 998"
"Redding city, California","4,960","± 1,515"
"Redlands city, California","1,524","± 884"
"Redondo Beach city, California","1,992","± 944"
"Redwood City city, California","1,508","± 757"
"Rialto city, California","584","± 437"
"Richmond city, California","1,746","± 1,021"
"Riverside city, California","4,974","± 1,734"
"Rocklin city, California","1,299","± 867"
"Roseville city, California","2,355","± 1,148"
"Sacramento city, California","12,904","± 1,934"
"Salinas city, California","1,409","± 851"
"San Bernardino city, California","2,460","± 734"
"San Buenaventura (Ventura) city, California","3,017","± 972"
"San Diego city, California","46,276","± 5,147"
"San Francisco city, California","48,213","± 4,822"
"San Jose city, California","14,231","± 2,633"
"San Leandro city, California","1,818","± 770"
"San Marcos city, California","919","± 663"
"San Mateo city, California","2,847","± 1,099"
"San Ramon city, California","409","± 503"
"Santa Ana city, California","2,780","± 1,050"
"Santa Barbara city, California","4,593","± 1,362"
"Santa Clara city, California","2,490","± 1,134"
"Santa Clarita city, California","1,052","± 674"
"Santa Maria city, California","1,336","± 892"
"Santa Monica city, California","5,093","± 1,540"
"Santa Rosa city, California","4,960","± 1,473"
"Simi Valley city, California","701","± 474"
"South Gate city, California","364","± 342"
"Stockton city, California","5,554","± 1,423"
"Sunnyvale city, California","2,340","± 1,221"
"Temecula city, California","948","± 641"
