"Geographic Area Name","Units Built (2024)","MoE"
"Auburn city, Alabama","36,889","± 1,964"
"Birmingham city, Alabama","110,757","± 3,747"
"Dothan city, Alabama","34,695","± 1,103"
"Hoover city, Alabama","41,940","± 2,384"
"Huntsville city, Alabama","106,466","± 2,793"
"Madison city, Alabama","26,517","± 1,974"
"Mobile city, Alabama","96,342","± 2,851"
"Montgomery city, Alabama","95,296","± 1,288"
"Tuscaloosa city, Alabama","53,324","± 1,917"
"Anchorage municipality, Alaska","121,214","± 261"
"Avondale city, Arizona","34,080","± 2,413"
"Buckeye city, Arizona","40,770","± 2,561"
"Casa Grande city, Arizona","24,668","± 2,108"
"Casas Adobes CDP, Arizona","35,045","± 2,609"
"Chandler city, Arizona","114,957","± 4,707"
"Flagstaff city, Arizona","33,617","± 1,603"
"Gilbert town, Arizona","104,289","± 3,581"
"Glendale city, Arizona","98,383","± 4,413"
"Goodyear city, Arizona","48,640","± 2,715"
"Maricopa city, Arizona","27,389","± 2,213"
"Mesa city, Arizona","223,662","± 6,128"
"Peoria city, Arizona","80,681","± 3,623"
"Phoenix city, Arizona","678,852","± 8,847"
"San Tan Valley CDP, Arizona","39,491","± 3,269"
"Scottsdale city, Arizona","139,766","± 4,792"
"Surprise city, Arizona","69,450","± 3,019"
"Tempe city, Arizona","91,442","± 4,344"
"Tucson city, Arizona","251,448","± 4,460"
"Yuma city, Arizona","44,723","± 2,771"
"Conway city, Arkansas","31,036","± 1,129"
"Fayetteville city, Arkansas","47,942","± 2,272"
"Fort Smith city, Arkansas","41,482","± 1,216"
"Jonesboro city, Arkansas","36,969","± 1,106"
"Little Rock city, Arkansas","99,014","± 2,978"
"Rogers city, Arkansas","31,314","± 2,080"
"Springdale city, Arkansas","32,643","± 2,515"
"Alameda city, California","32,320","± 1,897"
"Alhambra city, California","35,131","± 1,995"
"Anaheim city, California","113,613","± 4,035"
"Antioch city, California","39,879","± 2,205"
"Apple Valley town, California","27,627","± 2,058"
"Arden-Arcade CDP, California","42,031","± 3,173"
"Bakersfield city, California","139,391","± 3,602"
"Baldwin Park city, California","20,310","± 1,315"
"Bellflower city, California","26,173","± 1,886"
"Berkeley city, California","54,202","± 2,952"
"Brentwood city, California","21,800","± 1,483"
"Buena Park city, California","25,789","± 1,791"
"Burbank city, California","46,928","± 2,657"
"Camarillo city, California","27,476","± 1,662"
"Carlsbad city, California","47,475","± 2,648"
"Carmichael CDP, California","33,342","± 2,457"
"Carson city, California","29,300","± 2,032"
"Castro Valley CDP, California","21,718","± 1,694"
"Chico city, California","49,392","± 1,978"
"Chino city, California","27,300","± 1,761"
"Chino Hills city, California","24,121","± 1,448"
