"Geographic Area Name","1, detached (2024)","MoE"
"Auburn city, Alabama","17,351","± 1,591"
"Birmingham city, Alabama","66,117","± 3,565"
"Dothan city, Alabama","24,717","± 1,260"
"Hoover city, Alabama","28,453","± 2,084"
"Huntsville city, Alabama","69,001","± 2,689"
"Madison city, Alabama","18,453","± 1,872"
"Mobile city, Alabama","67,051","± 2,733"
"Montgomery city, Alabama","67,391","± 3,130"
"Tuscaloosa city, Alabama","26,666","± 2,414"
"Anchorage municipality, Alaska","58,928","± 2,889"
"Avondale city, Arizona","23,279","± 2,038"
"Casa Grande city, Arizona","19,392","± 1,745"
"Casas Adobes CDP, Arizona","23,765","± 2,554"
"Chandler city, Arizona","75,858","± 3,329"
"Flagstaff city, Arizona","14,735","± 1,694"
"Gilbert town, Arizona","86,057","± 3,163"
"Glendale city, Arizona","58,762","± 3,509"
"Goodyear city, Arizona","40,519","± 2,593"
"Mesa city, Arizona","124,712","± 4,600"
"Peoria city, Arizona","63,478","± 3,004"
"Phoenix city, Arizona","401,557","± 8,081"
"Scottsdale city, Arizona","69,606","± 3,717"
"Surprise city, Arizona","60,985","± 2,827"
"Tempe city, Arizona","32,688","± 2,535"
"Tucson city, Arizona","132,203","± 4,145"
"Yuma city, Arizona","27,416","± 2,380"
"Conway city, Arkansas","16,887","± 1,741"
"Fayetteville city, Arkansas","22,540","± 2,094"
"Fort Smith city, Arkansas","29,549","± 1,990"
"Jonesboro city, Arkansas","25,848","± 2,089"
"Little Rock city, Arkansas","60,546","± 3,120"
"Rogers city, Arkansas","19,832","± 1,758"
"Springdale city, Arkansas","21,205","± 2,101"
"Alameda city, California","14,118","± 1,486"
"Alhambra city, California","14,828","± 1,665"
"Anaheim city, California","46,136","± 3,205"
"Antioch city, California","30,535","± 1,875"
"Apple Valley town, California","21,811","± 1,925"
"Arden-Arcade CDP, California","21,016","± 2,051"
"Bakersfield city, California","102,427","± 3,281"
"Baldwin Park city, California","13,191","± 1,285"
"Bellflower city, California","11,902","± 1,427"
"Berkeley city, California","23,414","± 2,006"
"Buena Park city, California","15,504","± 1,800"
"Burbank city, California","20,441","± 1,841"
"Camarillo city, California","14,481","± 1,610"
"Carlsbad city, California","24,841","± 2,165"
"Carmichael CDP, California","19,506","± 1,856"
"Carson city, California","20,763","± 1,890"
"Castro Valley CDP, California","16,683","± 1,629"
"Chico city, California","22,528","± 1,790"
"Chino city, California","19,443","± 1,687"
"Chino Hills city, California","17,065","± 1,373"
"Chula Vista city, California","46,555","± 2,776"
"Citrus Heights city, California","20,637","± 1,881"
"Clovis city, California","36,608","± 2,481"
"Compton city, California","16,486","± 1,817"
"Concord city, California","31,523","± 2,457"
"Corona city, California","33,741","± 2,368"
"Costa Mesa city, California","15,526","± 1,938"
"Daly City city, California","18,930","± 1,960"
"Davis city, California","12,162","± 1,463"
"Downey city, California","19,063","± 1,615"
"Dublin city, California","12,833","± 1,548"
"East Los Angeles CDP, California","18,442","± 1,881"
"El Cajon city, California","14,955","± 1,786"
"Elk Grove city, California","49,366","± 2,110"
"El Monte city, California","16,624","± 1,641"
"Escondido city, California","23,677","± 1,974"
"Fairfield city, California","30,425","± 2,178"
"Folsom city, California","23,708","± 2,077"
"Fontana city, California","46,097","± 2,274"
"Fremont city, California","46,621","± 2,657"
"Fresno city, California","116,969","± 4,176"
"Fullerton city, California","25,971","± 2,256"
"Garden Grove city, California","28,827","± 2,119"
"Glendale city, California","24,452","± 2,299"
"Hawthorne city, California","8,636","± 1,447"
"Hayward city, California","25,501","± 2,156"
"Hemet city, California","19,047","± 2,237"
"Hesperia city, California","24,280","± 2,074"
"Huntington Beach city, California","39,396","± 3,064"
