"Geographic Area Name","20 to 49 (2021)","MoE"
"Auburn city, Alabama","1,503","± 685"
"Birmingham city, Alabama","6,875","± 1,381"
"Dothan city, Alabama","626","± 399"
"Hoover city, Alabama","1,632","± 713"
"Huntsville city, Alabama","3,288","± 1,559"
"Mobile city, Alabama","3,354","± 1,188"
"Montgomery city, Alabama","1,030","± 756"
"Tuscaloosa city, Alabama","5,348","± 1,159"
"Anchorage municipality, Alaska","7,343","± 1,380"
"Avondale city, Arizona","556","± 523"
"Casas Adobes CDP, Arizona","168","± 205"
"Chandler city, Arizona","1,988","± 863"
"Flagstaff city, Arizona","583","± 426"
"Gilbert town, Arizona","1,532","± 929"
"Glendale city, Arizona","3,473","± 1,258"
"Goodyear city, Arizona","199","± 243"
"Mesa city, Arizona","6,173","± 1,412"
"Peoria city, Arizona","1,184","± 818"
"Phoenix city, Arizona","26,726","± 3,005"
"Scottsdale city, Arizona","5,203","± 1,376"
"Surprise city, Arizona","726","± 324"
"Tempe city, Arizona","5,344","± 1,429"
"Tucson city, Arizona","14,170","± 2,108"
"Yuma city, Arizona","248","± 257"
"Conway city, Arkansas","678","± 598"
"Fayetteville city, Arkansas","2,416","± 1,048"
"Fort Smith city, Arkansas","1,586","± 993"
"Jonesboro city, Arkansas","914","± 636"
"Little Rock city, Arkansas","3,772","± 1,195"
"Rogers city, Arkansas","723","± 576"
"Springdale city, Arkansas","212","± 237"
"Alameda city, California","2,711","± 711"
"Alhambra city, California","1,937","± 669"
"Anaheim city, California","7,526","± 1,576"
"Antioch city, California","672","± 513"
"Apple Valley town, California","0","± 218"
"Arden-Arcade CDP, California","3,245","± 1,133"
"Bakersfield city, California","2,984","± 1,002"
"Baldwin Park city, California","612","± 380"
"Bellflower city, California","3,664","± 768"
"Berkeley city, California","4,218","± 1,083"
"Buena Park city, California","1,365","± 665"
"Burbank city, California","4,513","± 1,570"
"Camarillo city, California","1,709","± 756"
"Carlsbad city, California","1,606","± 561"
"Carmichael CDP, California","2,805","± 1,283"
"Carson city, California","425","± 280"
"Castro Valley CDP, California","1,058","± 579"
"Chico city, California","1,162","± 596"
"Chino city, California","225","± 196"
"Chino Hills city, California","116","± 131"
"Chula Vista city, California","4,430","± 1,143"
"Citrus Heights city, California","839","± 499"
"Clovis city, California","373","± 269"
"Compton city, California","702","± 481"
"Concord city, California","4,210","± 1,252"
"Corona city, California","1,040","± 693"
"Costa Mesa city, California","2,574","± 776"
"Daly City city, California","3,331","± 926"
"Davis city, California","1,511","± 622"
"Downey city, California","3,778","± 1,235"
"Dublin city, California","486","± 307"
"East Los Angeles CDP, California","536","± 432"
"El Cajon city, California","5,778","± 1,641"
"Elk Grove city, California","246","± 217"
"El Monte city, California","1,862","± 747"
"Escondido city, California","2,753","± 963"
"Fairfield city, California","1,222","± 610"
"Folsom city, California","379","± 447"
"Fontana city, California","677","± 430"
"Fremont city, California","2,750","± 633"
"Fresno city, California","6,485","± 1,594"
"Fullerton city, California","2,820","± 1,023"
"Garden Grove city, California","2,512","± 826"
"Glendale city, California","12,306","± 1,901"
"Hawthorne city, California","5,481","± 1,130"
"Hayward city, California","2,235","± 688"
