"Geographic Area Name","50 or more (2021)","MoE"
"Auburn city, Alabama","1,289","± 819"
"Birmingham city, Alabama","6,644","± 1,607"
"Dothan city, Alabama","402","± 163"
"Hoover city, Alabama","922","± 604"
"Huntsville city, Alabama","5,469","± 1,509"
"Mobile city, Alabama","3,036","± 876"
"Montgomery city, Alabama","1,904","± 785"
"Tuscaloosa city, Alabama","4,009","± 1,069"
"Anchorage municipality, Alaska","3,411","± 888"
"Avondale city, Arizona","852","± 469"
"Casas Adobes CDP, Arizona","3,036","± 933"
"Chandler city, Arizona","8,420","± 1,720"
"Flagstaff city, Arizona","1,713","± 760"
"Gilbert town, Arizona","5,105","± 1,504"
"Glendale city, Arizona","7,177","± 1,566"
"Goodyear city, Arizona","1,180","± 979"
"Mesa city, Arizona","11,844","± 1,723"
"Peoria city, Arizona","4,325","± 1,048"
"Phoenix city, Arizona","72,619","± 5,009"
"Scottsdale city, Arizona","18,569","± 2,102"
"Surprise city, Arizona","2,469","± 825"
"Tempe city, Arizona","14,864","± 2,214"
"Tucson city, Arizona","20,826","± 2,521"
"Yuma city, Arizona","1,623","± 736"
"Conway city, Arkansas","1,414","± 765"
"Fayetteville city, Arkansas","2,719","± 1,194"
"Fort Smith city, Arkansas","1,476","± 665"
"Jonesboro city, Arkansas","805","± 503"
"Little Rock city, Arkansas","11,175","± 2,470"
"Rogers city, Arkansas","379","± 412"
"Springdale city, Arkansas","416","± 360"
"Alameda city, California","3,750","± 1,139"
"Alhambra city, California","1,031","± 499"
"Anaheim city, California","19,006","± 2,347"
"Antioch city, California","2,193","± 813"
"Apple Valley town, California","454","± 509"
"Arden-Arcade CDP, California","6,519","± 1,353"
"Bakersfield city, California","6,848","± 1,856"
"Baldwin Park city, California","649","± 344"
"Bellflower city, California","1,633","± 574"
"Berkeley city, California","4,951","± 1,270"
"Buena Park city, California","1,107","± 453"
"Burbank city, California","5,819","± 1,288"
"Camarillo city, California","1,870","± 827"
"Carlsbad city, California","1,756","± 842"
"Carmichael CDP, California","3,065","± 914"
"Carson city, California","1,332","± 723"
"Castro Valley CDP, California","979","± 531"
"Chico city, California","3,259","± 1,047"
"Chino city, California","2,267","± 837"
"Chino Hills city, California","1,386","± 730"
"Chula Vista city, California","7,402","± 1,504"
"Citrus Heights city, California","1,866","± 640"
"Clovis city, California","2,243","± 668"
"Compton city, California","355","± 281"
"Concord city, California","5,120","± 1,212"
"Corona city, California","2,628","± 771"
"Costa Mesa city, California","4,961","± 1,365"
"Daly City city, California","3,396","± 981"
