City,Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024
"Auburn city, Alabama","35,161","36,889","29,136","30,006","6,025","6,883","14,018","15,706","15,118","14,300","35,161","36,889","35,161","36,889","16,474","17,351","5,100","4,138","1,503","2,656","1,289","3,340"
"Birmingham city, Alabama","108,533","110,757","87,570","91,130","20,963","19,627","40,665","42,686","46,905","48,444","108,533","110,757","108,533","110,757","64,470","66,117","8,641","8,540","6,875","6,977","6,644","10,513"
"Dothan city, Alabama","33,868","34,695","30,301","30,728","3,567","3,967","16,718","18,090","13,583","12,638","33,868","34,695","33,868","34,695","24,364","24,717","1,353","1,234",626,293,402,815
"Hoover city, Alabama","38,821","41,940","36,721","39,852","2,100","2,088","25,993","28,812","10,728","11,040","38,821","41,940","38,821","41,940","26,413","28,453","4,118","4,426","1,632","1,315",922,"1,890"
"Huntsville city, Alabama","104,141","106,466","96,551","96,802","7,590","9,664","59,015","55,692","37,536","41,110","104,141","106,466","104,141","106,466","69,906","69,001","6,906","6,851","3,288","2,951","5,469","5,428"
"Mobile city, Alabama","88,507","96,342","77,991","82,213","10,516","14,129","41,443","49,795","36,548","32,418","88,507","96,342","88,507","96,342","60,286","67,051","7,734","5,792","3,354","3,778","3,036","4,687"
"Montgomery city, Alabama","93,055","95,296","81,529","83,025","11,526","12,271","45,969","45,484","35,560","37,541","93,055","95,296","93,055","95,296","65,296","67,391","6,542","4,033","1,030",529,"1,904","3,782"
"Tuscaloosa city, Alabama","50,913","53,324","39,266","45,626","11,647","7,698","16,377","17,664","22,889","27,962","50,913","53,324","50,913","53,324","26,262","26,666","5,547","6,589","5,348","2,141","4,009","5,461"
"Anchorage municipality, Alaska","119,808","121,214","109,584","109,479","10,224","11,735","69,699","67,834","39,885","41,645","119,808","121,214","119,808","121,214","55,881","58,928","5,201","3,066","7,343","6,755","3,411","2,838"
"Avondale city, Arizona","27,650","34,080","26,611","31,186","1,039","2,894","16,016","18,464","10,595","12,722","27,650","34,080","27,650","34,080","22,101","23,279",606,396,556,174,852,"6,570"
"Buckeye city, Arizona","32,639","40,770","30,913","38,683","1,726","2,087","28,562","31,834","2,351","6,849","32,639","40,770",,,,,,,,,,
"Casas Adobes CDP, Arizona","33,648","35,045","31,869","33,238","1,779","1,807","21,447","23,080","10,422","10,158","33,648","35,045","33,648","35,045","21,390","23,765","1,523","1,792",168,"1,497","3,036","2,917"
"Chandler city, Arizona","112,136","114,957","107,668","110,074","4,468","4,883","71,036","69,524","36,632","40,550","112,136","114,957","112,136","114,957","77,015","75,858","5,409","5,122","1,988","2,796","8,420","10,695"
"Flagstaff city, Arizona","32,601","33,617","29,435","30,562","3,166","3,055","11,941","13,309","17,494","17,253","32,601","33,617","32,601","33,617","14,389","14,735","3,613","2,320",583,541,"1,713","3,656"
