"Geographic Area Name","Employment/Population Ratio"
"Birmingham city, Alabama","54.2%"
"Dothan city, Alabama","53.3%"
"Hoover city, Alabama","66.4%"
"Huntsville city, Alabama","59.5%"
"Mobile city, Alabama","54.1%"
"Montgomery city, Alabama","53.0%"
"Tuscaloosa city, Alabama","55.1%"
"Anchorage municipality, Alaska","60.8%"
"Avondale city, Arizona","64.4%"
"Casas Adobes CDP, Arizona","59.6%"
"Chandler city, Arizona","68.7%"
"Flagstaff city, Arizona","61.5%"
"Gilbert town, Arizona","69.6%"
"Glendale city, Arizona","59.4%"
"Goodyear city, Arizona","53.4%"
"Mesa city, Arizona","61.2%"
"Peoria city, Arizona","59.2%"
"Phoenix city, Arizona","63.5%"
"San Tan Valley CDP, Arizona","63.3%"
"Scottsdale city, Arizona","60.1%"
"Surprise city, Arizona","54.3%"
"Tempe city, Arizona","67.4%"
"Tucson city, Arizona","57.3%"
"Yuma city, Arizona","51.2%"
"Fayetteville city, Arkansas","65.9%"
"Fort Smith city, Arkansas","54.6%"
"Jonesboro city, Arkansas","54.6%"
"Little Rock city, Arkansas","61.4%"
"Rogers city, Arkansas","68.3%"
"Springdale city, Arkansas","65.1%"
"Alameda city, California","62.2%"
"Alhambra city, California","56.3%"
"Anaheim city, California","59.9%"
"Antioch city, California","57.3%"
"Arden-Arcade CDP, California","62.2%"
"Bakersfield city, California","57.1%"
"Baldwin Park city, California","56.2%"
"Bellflower city, California","59.8%"
"Berkeley city, California","56.6%"
"Buena Park city, California","62.8%"
"Burbank city, California","59.1%"
"Camarillo city, California","56.0%"
"Carlsbad city, California","56.4%"
"Carmichael CDP, California","55.8%"
"Carson city, California","54.1%"
"Chico city, California","58.5%"
"Chino city, California","60.3%"
"Chino Hills city, California","60.0%"
"Chula Vista city, California","58.9%"
"Citrus Heights city, California","58.0%"
"Clovis city, California","62.1%"
"Compton city, California","56.3%"
"Concord city, California","60.9%"
"Corona city, California","62.2%"
"Costa Mesa city, California","69.5%"
"Daly City city, California","61.4%"
"Davis city, California","55.5%"
"Downey city, California","59.6%"
"East Los Angeles CDP, California","58.9%"
"El Cajon city, California","53.9%"
"Elk Grove city, California","60.7%"
"El Monte city, California","55.0%"
"Escondido city, California","61.2%"
"Fairfield city, California","55.3%"
"Folsom city, California","54.4%"
"Fontana city, California","62.3%"
"Fremont city, California","63.8%"
"Fresno city, California","56.1%"
"Fullerton city, California","59.4%"
"Garden Grove city, California","57.6%"
"Glendale city, California","56.8%"
"Hawthorne city, California","63.4%"
"Hayward city, California","60.9%"
"Hemet city, California","43.9%"
"Hesperia city, California","53.1%"
"Huntington Beach city, California","61.2%"
"Indio city, California","52.8%"
"Inglewood city, California","60.8%"
"Irvine city, California","63.0%"
"Jurupa Valley city, California","58.8%"
"Lake Forest city, California","60.9%"
"Lakewood city, California","65.9%"
"Lancaster city, California","49.9%"
"Livermore city, California","63.8%"
"Lodi city, California","56.5%"
"Long Beach city, California","61.6%"
"Los Angeles city, California","58.9%"
"Lynwood city, California","52.9%"
"Madera city, California","51.2%"
"Manteca city, California","54.9%"
"Menifee city, California","53.8%"
"Merced city, California","50.9%"
"Milpitas city, California","61.6%"
"Mission Viejo city, California","59.3%"
"Modesto city, California","57.7%"
"Moreno Valley city, California","57.4%"
"Mountain View city, California","69.6%"
"Murrieta city, California","54.3%"
"Napa city, California","61.3%"
"Newport Beach city, California","58.8%"
"Norwalk city, California","55.4%"
"Oakland city, California","61.8%"
"Oceanside city, California","56.9%"
"Ontario city, California","59.0%"
"Orange city, California","62.1%"
"Oxnard city, California","62.5%"
"Palmdale city, California","55.6%"
"Palo Alto city, California","59.8%"
"Pasadena city, California","63.8%"
"Perris city, California","57.5%"
"Pittsburg city, California","60.6%"
"Pleasanton city, California","61.1%"
"Pomona city, California","57.5%"
"Rancho Cordova city, California","59.5%"
"Rancho Cucamonga city, California","57.6%"
"Redding city, California","55.6%"
"Redlands city, California","57.2%"
"Redondo Beach city, California","58.9%"
"Redwood City city, California","66.2%"
"Rialto city, California","57.0%"
"Richmond city, California","61.2%"
"Riverside city, California","60.9%"
"Rocklin city, California","60.3%"
"Roseville city, California","63.4%"
"Sacramento city, California","58.0%"
"Salinas city, California","57.8%"
"San Bernardino city, California","55.0%"
"San Buenaventura (Ventura) city, California","58.9%"
"San Diego city, California","59.8%"
"San Francisco city, California","62.8%"
"San Jose city, California","62.9%"
"San Leandro city, California","61.1%"
"San Marcos city, California","58.0%"
"San Mateo city, California","64.3%"
"San Ramon city, California","66.2%"
"Santa Ana city, California","60.9%"
"Santa Barbara city, California","62.3%"
"Santa Clara city, California","66.5%"
"Santa Clarita city, California","61.9%"
"Santa Maria city, California","59.3%"
"Santa Monica city, California","64.0%"
"Santa Rosa city, California","59.6%"
"Simi Valley city, California","63.4%"
"South Gate city, California","59.2%"
"Stockton city, California","54.3%"
"Sunnyvale city, California","65.5%"
"Temecula city, California","56.4%"
"Thousand Oaks city, California","58.0%"
"Torrance city, California","59.8%"
"Tracy city, California","56.2%"
"Tulare city, California","52.5%"
"Turlock city, California","55.0%"
"Tustin city, California","65.0%"
"Union City city, California","59.9%"
"Upland city, California","58.7%"
"Vacaville city, California","57.4%"
"Vallejo city, California","55.6%"
"Victorville city, California","49.1%"
"Visalia city, California","55.6%"
"Vista city, California","63.1%"
"Walnut Creek city, California","57.1%"
"West Covina city, California","55.9%"
"Westminster city, California","52.3%"
"Whittier city, California","58.7%"
"Yorba Linda city, California","54.3%"
"Yuba City city, California","52.9%"
"Arvada city, Colorado","67.3%"
"Aurora city, Colorado","66.5%"
"Boulder city, Colorado","59.7%"
"Broomfield city, Colorado","66.8%"
"Castle Rock town, Colorado","70.6%"
"Centennial city, Colorado","63.9%"
"Colorado Springs city, Colorado","60.7%"
"Denver city, Colorado","69.3%"
"Fort Collins city, Colorado","68.2%"
"Grand Junction city, Colorado","57.7%"
"Greeley city, Colorado","60.6%"
"Highlands Ranch CDP, Colorado","69.4%"
"Lakewood city, Colorado","62.3%"
"Longmont city, Colorado","63.8%"
"Loveland city, Colorado","53.9%"
"Pueblo city, Colorado","50.2%"
"Thornton city, Colorado","69.2%"
"Westminster city, Colorado","69.3%"
"Bridgeport city, Connecticut","61.8%"
"Danbury city, Connecticut","66.0%"
"Hartford city, Connecticut","53.5%"
"New Britain city, Connecticut","61.8%"
"New Haven city, Connecticut","55.9%"
"Norwalk city, Connecticut","64.0%"
"Stamford city, Connecticut","68.6%"
"Waterbury city, Connecticut","56.3%"
"Wilmington city, Delaware","57.2%"
"Washington city, District of Columbia","64.2%"
"Boca Raton city, Florida","56.1%"
"Boynton Beach city, Florida","59.7%"
"Brandon CDP, Florida","62.5%"
"Cape Coral city, Florida","56.3%"
"Clearwater city, Florida","53.5%"
"Coral Springs city, Florida","66.2%"
"Davie town, Florida","63.3%"
"Daytona Beach city, Florida","50.7%"
"Deerfield Beach city, Florida","58.0%"
"Deltona city, Florida","59.0%"
"Doral city, Florida","65.8%"
"Fort Lauderdale city, Florida","61.5%"
"Fort Myers city, Florida","48.1%"
"Gainesville city, Florida","56.6%"
"Hialeah city, Florida","57.9%"
"Hollywood city, Florida","62.2%"
"Homestead city, Florida","58.5%"
"Jacksonville city, Florida","59.9%"
"Kendall CDP, Florida","60.1%"
"Kissimmee city, Florida","62.6%"
"Lakeland city, Florida","53.4%"
"Largo city, Florida","55.7%"
"Lauderhill city, Florida","55.9%"
"Lehigh Acres CDP, Florida","57.6%"
"Melbourne city, Florida","56.5%"
"Miami city, Florida","60.4%"
"Miami Beach city, Florida","61.3%"
"Miami Gardens city, Florida","53.9%"
"Miramar city, Florida","71.2%"
"Orlando city, Florida","63.7%"
"Palm Bay city, Florida","57.2%"
"Palm Coast city, Florida","47.4%"
"Pembroke Pines city, Florida","61.4%"
"Pine Hills CDP, Florida","59.5%"
"Plantation city, Florida","63.9%"
"Pompano Beach city, Florida","56.4%"
"Port Charlotte CDP, Florida","44.1%"
"Port St. Lucie city, Florida","56.0%"
"Riverview CDP, Florida","67.1%"
"St. Petersburg city, Florida","61.1%"
"Spring Hill CDP, Florida","51.9%"
"Sunrise city, Florida","62.0%"
"Tallahassee city, Florida","64.3%"
"Tampa city, Florida","62.0%"
"Town 'n' Country CDP, Florida","64.2%"
"Weston city, Florida","60.6%"
"West Palm Beach city, Florida","57.7%"
"Albany city, Georgia","47.8%"
"Athens-Clarke County unified government (balance), Georgia","61.1%"
"Atlanta city, Georgia","62.7%"
"Augusta-Richmond County consolidated government (balance), Georgia","52.1%"
"Columbus city, Georgia","52.0%"
"Johns Creek city, Georgia","62.1%"
"Macon-Bibb County, Georgia","53.4%"
"Sandy Springs city, Georgia","70.1%"
"Savannah city, Georgia","56.9%"
"Warner Robins city, Georgia","58.7%"
"Urban Honolulu CDP, Hawaii","55.0%"
"Boise City city, Idaho","65.5%"
"Idaho Falls city, Idaho","60.3%"
"Arlington Heights village, Illinois","66.1%"
"Aurora city, Illinois","67.6%"
"Bloomington city, Illinois","66.1%"
"Bolingbrook village, Illinois","68.8%"
"Champaign city, Illinois","57.9%"
"Chicago city, Illinois","60.4%"
"Cicero town, Illinois","56.5%"
"Decatur city, Illinois","47.1%"
"Elgin city, Illinois","65.3%"
"Evanston city, Illinois","57.3%"
"Joliet city, Illinois","63.4%"
"Naperville city, Illinois","63.4%"
"Palatine village, Illinois","66.1%"
"Peoria city, Illinois","54.2%"
"Rockford city, Illinois","51.2%"
"Schaumburg village, Illinois","63.6%"
"Skokie village, Illinois","57.3%"
"Springfield city, Illinois","54.3%"
"Waukegan city, Illinois","63.1%"
"Bloomington city, Indiana","51.0%"
"Carmel city, Indiana","67.7%"
"Evansville city, Indiana","58.9%"
"Fort Wayne city, Indiana","60.9%"
"Hammond city, Indiana","56.5%"
"Indianapolis city (balance), Indiana","63.6%"
"Lafayette city, Indiana","62.3%"
"South Bend city, Indiana","56.3%"
"Ames city, Iowa","57.4%"
"Cedar Rapids city, Iowa","65.7%"
"Davenport city, Iowa","60.4%"
"Des Moines city, Iowa","66.2%"
"Iowa City city, Iowa","70.2%"
"Sioux City city, Iowa","64.2%"
"Waterloo city, Iowa","61.9%"
"Kansas City city, Kansas","60.1%"
"Lawrence city, Kansas","62.6%"
"Olathe city, Kansas","70.1%"
"Overland Park city, Kansas","70.1%"
"Topeka city, Kansas","58.1%"
"Wichita city, Kansas","60.7%"
"Bowling Green city, Kentucky","64.2%"
"Lexington-Fayette urban county, Kentucky","63.8%"
"Louisville/Jefferson County metro government (balance), Kentucky","60.8%"
"Baton Rouge city, Louisiana","53.2%"
"Kenner city, Louisiana","56.5%"
"Lafayette city, Louisiana","61.7%"
"Metairie CDP, Louisiana","61.6%"
"New Orleans city, Louisiana","53.6%"
"Shreveport city, Louisiana","50.0%"
"Portland city, Maine","66.1%"
"Baltimore city, Maryland","57.2%"
"Bethesda CDP, Maryland","62.7%"
"Columbia CDP, Maryland","66.4%"
"Ellicott City CDP, Maryland","61.0%"
"Frederick city, Maryland","64.8%"
"Gaithersburg city, Maryland","68.7%"
"Germantown CDP, Maryland","67.8%"
"Glen Burnie CDP, Maryland","64.7%"
"Rockville city, Maryland","63.6%"
"Silver Spring CDP, Maryland","70.4%"
"Waldorf CDP, Maryland","66.6%"
"Boston city, Massachusetts","63.6%"
"Brockton city, Massachusetts","62.7%"
"Cambridge city, Massachusetts","66.9%"
"Fall River city, Massachusetts","54.3%"
"Framingham city, Massachusetts","70.2%"
"Haverhill city, Massachusetts","65.8%"
"Lawrence city, Massachusetts","59.5%"
"Lowell city, Massachusetts","62.3%"
"Lynn city, Massachusetts","61.7%"
"New Bedford city, Massachusetts","56.8%"
"Newton city, Massachusetts","65.2%"
"Quincy city, Massachusetts","65.8%"
"Somerville city, Massachusetts","71.8%"
"Springfield city, Massachusetts","46.4%"
"Worcester city, Massachusetts","58.2%"
"Ann Arbor city, Michigan","59.6%"
"Dearborn city, Michigan","48.7%"
"Detroit city, Michigan","45.3%"
"Farmington Hills city, Michigan","65.5%"
"Flint city, Michigan","46.1%"
"Grand Rapids city, Michigan","64.6%"
"Kalamazoo city, Michigan","59.6%"
"Lansing city, Michigan","58.2%"
"Livonia city, Michigan","56.9%"
"Rochester Hills city, Michigan","62.2%"
"Southfield city, Michigan","54.6%"
"Sterling Heights city, Michigan","55.7%"
"Troy city, Michigan","59.0%"
"Warren city, Michigan","56.8%"
"Westland city, Michigan","58.5%"
"Wyoming city, Michigan","66.9%"
"Blaine city, Minnesota","67.4%"
"Bloomington city, Minnesota","61.2%"
"Duluth city, Minnesota","60.6%"
"Eagan city, Minnesota","73.2%"
"Lakeville city, Minnesota","71.1%"
"Minneapolis city, Minnesota","67.4%"
"Rochester city, Minnesota","67.3%"
"St. Cloud city, Minnesota","65.0%"
"St. Paul city, Minnesota","65.5%"
"Gulfport city, Mississippi","48.6%"
"Jackson city, Mississippi","52.7%"
"Columbia city, Missouri","64.4%"
"Independence city, Missouri","54.6%"
"Kansas City city, Missouri","65.3%"
"Lee's Summit city, Missouri","67.8%"
"O'Fallon city, Missouri","72.9%"
"St. Charles city, Missouri","64.8%"
"St. Joseph city, Missouri","56.8%"
"St. Louis city, Missouri","60.3%"
"Springfield city, Missouri","60.5%"
"Billings city, Montana","61.1%"
"Missoula city, Montana","68.3%"
"Lincoln city, Nebraska","69.0%"
"Omaha city, Nebraska","65.8%"
"Enterprise CDP, Nevada","64.5%"
"Henderson city, Nevada","57.3%"
"Las Vegas city, Nevada","54.6%"
"North Las Vegas city, Nevada","55.9%"
"Paradise CDP, Nevada","56.3%"
"Reno city, Nevada","62.3%"
"Sparks city, Nevada","62.7%"
"Spring Valley CDP, Nevada","59.2%"
"Sunrise Manor CDP, Nevada","53.4%"
"Manchester city, New Hampshire","71.7%"
"Nashua city, New Hampshire","66.4%"
"Bayonne city, New Jersey","59.3%"
"Camden city, New Jersey","47.7%"
"Clifton city, New Jersey","60.6%"
"East Orange city, New Jersey","56.4%"
"Elizabeth city, New Jersey","60.3%"
"Jersey City city, New Jersey","61.5%"
"Newark city, New Jersey","50.4%"
"Passaic city, New Jersey","58.3%"
"Paterson city, New Jersey","53.6%"
"Toms River CDP, New Jersey","60.0%"
"Trenton city, New Jersey","51.3%"
"Union City city, New Jersey","59.2%"
"Albuquerque city, New Mexico","59.6%"
"Las Cruces city, New Mexico","55.0%"
"Rio Rancho city, New Mexico","56.2%"
"Santa Fe city, New Mexico","58.3%"
"Albany city, New York","56.0%"
"Buffalo city, New York","53.6%"
"Cheektowaga CDP, New York","63.0%"
"Mount Vernon city, New York","55.3%"
"New Rochelle city, New York","62.9%"
"New York city, New York","55.1%"
"Rochester city, New York","54.7%"
"Schenectady city, New York","53.6%"
"Syracuse city, New York","49.9%"
"Yonkers city, New York","56.7%"
"Asheville city, North Carolina","53.6%"
"Cary town, North Carolina","65.4%"
"Charlotte city, North Carolina","68.3%"
"Concord city, North Carolina","67.4%"
"Durham city, North Carolina","63.5%"
"Fayetteville city, North Carolina","46.0%"
"Gastonia city, North Carolina","61.2%"
"Greensboro city, North Carolina","60.3%"
"Greenville city, North Carolina","55.2%"
"High Point city, North Carolina","57.5%"
"Jacksonville city, North Carolina","24.4%"
"Raleigh city, North Carolina","64.8%"
"Wilmington city, North Carolina","58.9%"
"Winston-Salem city, North Carolina","57.0%"
"Bismarck city, North Dakota","64.8%"
"Fargo city, North Dakota","70.6%"
"Akron city, Ohio","55.0%"
"Canton city, Ohio","49.9%"
"Cincinnati city, Ohio","59.3%"
"Cleveland city, Ohio","52.4%"
"Columbus city, Ohio","65.3%"
"Dayton city, Ohio","49.7%"
"Lorain city, Ohio","52.6%"
"Parma city, Ohio","61.3%"
"Toledo city, Ohio","57.0%"
"Broken Arrow city, Oklahoma","63.8%"
"Edmond city, Oklahoma","62.2%"
"Lawton city, Oklahoma","43.1%"
"Norman city, Oklahoma","59.7%"
"Oklahoma City city, Oklahoma","61.9%"
"Tulsa city, Oklahoma","58.8%"
"Beaverton city, Oregon","66.2%"
"Eugene city, Oregon","58.1%"
"Gresham city, Oregon","58.5%"
"Hillsboro city, Oregon","64.2%"
"Medford city, Oregon","54.6%"
"Portland city, Oregon","65.6%"
"Salem city, Oregon","56.6%"
"Allentown city, Pennsylvania","52.9%"
"Bethlehem city, Pennsylvania","56.8%"
"Erie city, Pennsylvania","53.4%"
"Philadelphia city, Pennsylvania","56.3%"
"Pittsburgh city, Pennsylvania","58.5%"
"Reading city, Pennsylvania","50.0%"
"Scranton city, Pennsylvania","54.1%"
"Cranston city, Rhode Island","59.5%"
"Pawtucket city, Rhode Island","65.3%"
