"Geographic Area Name","Employment/Population Ratio (2024)"
"Birmingham city, Alabama","58.3%"
"Dothan city, Alabama","53.4%"
"Huntsville city, Alabama","64.0%"
"Mobile city, Alabama","57.0%"
"Montgomery city, Alabama","57.0%"
"Tuscaloosa city, Alabama","55.4%"
"Anchorage municipality, Alaska","62.6%"
"Avondale city, Arizona","69.2%"
"Buckeye city, Arizona","54.1%"
"Chandler city, Arizona","68.4%"
"Flagstaff city, Arizona","69.6%"
"Gilbert town, Arizona","68.9%"
"Glendale city, Arizona","63.9%"
"Goodyear city, Arizona","53.0%"
"Maricopa city, Arizona","68.3%"
"Mesa city, Arizona","62.0%"
"Peoria city, Arizona","59.1%"
"Phoenix city, Arizona","66.7%"
"Queen Creek town, Arizona","66.6%"
"San Tan Valley CDP, Arizona","61.6%"
"Scottsdale city, Arizona","59.9%"
"Surprise city, Arizona","56.0%"
"Tempe city, Arizona","69.7%"
"Tucson city, Arizona","58.3%"
"Yuma city, Arizona","52.2%"
"Conway city, Arkansas","66.5%"
"Fayetteville city, Arkansas","62.9%"
"Fort Smith city, Arkansas","59.4%"
"Jonesboro city, Arkansas","56.6%"
"Little Rock city, Arkansas","61.4%"
"Springdale city, Arkansas","66.6%"
"Alameda city, California","64.9%"
"Alhambra city, California","66.4%"
"Anaheim city, California","64.9%"
"Antioch city, California","58.2%"
"Apple Valley town, California","55.0%"
"Arden-Arcade CDP, California","61.0%"
"Bakersfield city, California","58.5%"
"Baldwin Park city, California","59.1%"
"Bellflower city, California","64.5%"
"Berkeley city, California","54.0%"
"Brentwood city, California","58.1%"
"Burbank city, California","64.1%"
"Camarillo city, California","58.6%"
"Carlsbad city, California","62.3%"
"Carmichael CDP, California","55.0%"
"Carson city, California","56.7%"
"Chico city, California","61.1%"
"Chino city, California","60.6%"
"Chino Hills city, California","59.2%"
"Chula Vista city, California","58.6%"
"Citrus Heights city, California","60.0%"
"Clovis city, California","59.1%"
"Compton city, California","60.5%"
"Concord city, California","62.0%"
"Corona city, California","65.3%"
"Costa Mesa city, California","72.4%"
"Daly City city, California","65.4%"
"Davis city, California","53.3%"
"Downey city, California","63.6%"
"East Los Angeles CDP, California","59.4%"
"Eastvale city, California","63.5%"
"El Cajon city, California","54.3%"
"Elk Grove city, California","59.9%"
"El Monte city, California","62.0%"
"Escondido city, California","62.9%"
"Fairfield city, California","56.6%"
"Folsom city, California","57.0%"
"Fontana city, California","62.8%"
"Fremont city, California","66.0%"
"Fresno city, California","58.2%"
"Fullerton city, California","62.9%"
"Garden Grove city, California","60.9%"
"Glendale city, California","60.7%"
"Hawthorne city, California","63.7%"
"Hayward city, California","62.7%"
"Hemet city, California","53.4%"
"Hesperia city, California","50.6%"
"Huntington Beach city, California","62.6%"
"Indio city, California","57.0%"
"Inglewood city, California","60.3%"
"Irvine city, California","62.9%"
"Jurupa Valley city, California","61.1%"
"Lake Forest city, California","71.0%"
"Lakewood city, California","65.3%"
"Lancaster city, California","56.2%"
"Long Beach city, California","63.3%"
"Los Angeles city, California","62.7%"
"Lynwood city, California","55.6%"
"Madera city, California","55.4%"
"Manteca city, California","57.5%"
"Menifee city, California","57.3%"
"Merced city, California","56.3%"
"Milpitas city, California","63.5%"
"Mission Viejo city, California","56.3%"
