"Geographic Area Name","Labor Force Participation Rate"
"Birmingham city, Alabama","61.3%"
"Dothan city, Alabama","57.3%"
"Huntsville city, Alabama","66.5%"
"Mobile city, Alabama","60.2%"
"Montgomery city, Alabama","60.2%"
"Tuscaloosa city, Alabama","60.4%"
"Anchorage municipality, Alaska","71.2%"
"Avondale city, Arizona","72.3%"
"Buckeye city, Arizona","58.7%"
"Chandler city, Arizona","70.6%"
"Flagstaff city, Arizona","72.4%"
"Gilbert town, Arizona","71.8%"
"Glendale city, Arizona","68.4%"
"Goodyear city, Arizona","54.7%"
"Maricopa city, Arizona","72.1%"
"Mesa city, Arizona","64.3%"
"Peoria city, Arizona","62.8%"
"Phoenix city, Arizona","69.7%"
"Queen Creek town, Arizona","69.5%"
"San Tan Valley CDP, Arizona","64.9%"
"Scottsdale city, Arizona","61.7%"
"Surprise city, Arizona","60.2%"
"Tempe city, Arizona","74.0%"
"Tucson city, Arizona","62.5%"
"Yuma city, Arizona","60.8%"
"Conway city, Arkansas","69.0%"
"Fayetteville city, Arkansas","64.4%"
"Fort Smith city, Arkansas","62.9%"
"Jonesboro city, Arkansas","59.9%"
"Little Rock city, Arkansas","64.2%"
"Springdale city, Arkansas","68.0%"
"Alameda city, California","69.4%"
"Alhambra city, California","68.4%"
"Anaheim city, California","68.4%"
"Antioch city, California","65.2%"
"Apple Valley town, California","58.4%"
"Arden-Arcade CDP, California","67.5%"
"Bakersfield city, California","62.5%"
"Baldwin Park city, California","61.6%"
"Bellflower city, California","68.4%"
"Berkeley city, California","56.8%"
"Brentwood city, California","61.0%"
"Burbank city, California","69.0%"
"Camarillo city, California","63.6%"
"Carlsbad city, California","65.3%"
"Carmichael CDP, California","59.5%"
"Carson city, California","62.3%"
"Chico city, California","65.8%"
"Chino city, California","63.3%"
"Chino Hills city, California","62.8%"
"Chula Vista city, California","63.9%"
"Citrus Heights city, California","64.7%"
"Clovis city, California","63.2%"
"Compton city, California","67.6%"
"Concord city, California","66.0%"
"Corona city, California","68.7%"
"Costa Mesa city, California","75.5%"
"Daly City city, California","67.9%"
"Davis city, California","59.8%"
"Downey city, California","66.5%"
"East Los Angeles CDP, California","64.1%"
"Eastvale city, California","66.7%"
"El Cajon city, California","58.4%"
"Elk Grove city, California","63.0%"
"El Monte city, California","65.2%"
"Escondido city, California","66.8%"
"Fairfield city, California","62.7%"
"Folsom city, California","60.2%"
"Fontana city, California","66.4%"
"Fremont city, California","69.2%"
"Fresno city, California","64.3%"
"Fullerton city, California","65.4%"
"Garden Grove city, California","64.2%"
"Glendale city, California","65.1%"
"Hawthorne city, California","67.1%"
"Hayward city, California","66.5%"
"Hemet city, California","57.5%"
"Hesperia city, California","55.6%"
"Huntington Beach city, California","65.1%"
"Indio city, California","59.0%"
"Inglewood city, California","64.4%"
"Irvine city, California","66.5%"
"Jurupa Valley city, California","64.4%"
"Lake Forest city, California","73.6%"
"Lakewood city, California","67.7%"
"Lancaster city, California","60.8%"
"Long Beach city, California","66.9%"
"Los Angeles city, California","67.3%"
"Lynwood city, California","60.6%"
"Madera city, California","63.3%"
"Manteca city, California","60.0%"
"Menifee city, California","61.8%"
"Merced city, California","60.6%"
"Milpitas city, California","66.4%"
"Mission Viejo city, California","61.1%"
"Modesto city, California","61.2%"
"Moreno Valley city, California","65.8%"
"Mountain View city, California","74.9%"
"Murrieta city, California","65.3%"
"Napa city, California","64.6%"
"Norwalk city, California","67.2%"
"Oakland city, California","69.9%"
"Oceanside city, California","66.3%"
"Ontario city, California","67.8%"
