"Geographic Area Name","Median household income","MoE"
"Auburn city, Alabama","48,531","± 12,614"
"Birmingham city, Alabama","36,614","± 1,690"
"Dothan city, Alabama","45,088","± 4,657"
"Hoover city, Alabama","99,276","± 7,347"
"Huntsville city, Alabama","70,757","± 5,762"
"Mobile city, Alabama","43,786","± 4,601"
"Montgomery city, Alabama","46,957","± 4,694"
"Tuscaloosa city, Alabama","41,770","± 7,294"
"Anchorage municipality, Alaska","86,654","± 5,528"
"Avondale city, Arizona","71,423","± 4,328"
"Buckeye city, Arizona","75,417","± 4,545"
"Casas Adobes CDP, Arizona","71,547","± 5,492"
"Chandler city, Arizona","94,613","± 3,689"
"Flagstaff city, Arizona","61,386","± 3,220"
"Gilbert town, Arizona","104,802","± 4,103"
"Glendale city, Arizona","62,910","± 4,083"
"Goodyear city, Arizona","90,577","± 8,043"
"Mesa city, Arizona","69,266","± 2,932"
"Peoria city, Arizona","92,566","± 8,229"
"Phoenix city, Arizona","68,435","± 1,626"
"Queen Creek town, Arizona","121,262","± 12,496"
"San Tan Valley CDP, Arizona","81,956","± 14,040"
"Scottsdale city, Arizona","99,097","± 7,127"
"Surprise city, Arizona","78,411","± 6,470"
"Tempe city, Arizona","68,662","± 6,668"
"Tucson city, Arizona","50,306","± 2,137"
"Yuma city, Arizona","54,260","± 3,935"
"Conway city, Arkansas","53,029","± 5,164"
"Fayetteville city, Arkansas","61,428","± 11,779"
"Fort Smith city, Arkansas","44,718","± 5,599"
"Jonesboro city, Arkansas","45,497","± 6,526"
"Little Rock city, Arkansas","53,565","± 5,973"
"Rogers city, Arkansas","67,408","± 6,941"
"Springdale city, Arkansas","63,396","± 6,113"
"Alameda city, California","115,468","± 21,343"
"Alhambra city, California","72,222","± 6,778"
"Anaheim city, California","81,747","± 5,420"
"Antioch city, California","81,008","± 12,996"
"Apple Valley town, California","63,031","± 7,615"
"Arden-Arcade CDP, California","62,145","± 9,388"
"Bakersfield city, California","66,666","± 3,803"
"Baldwin Park city, California","69,854","± 9,193"
"Bellflower city, California","67,909","± 8,719"
"Berkeley city, California","101,048","± 11,890"
"Buena Park city, California","101,346","± 11,780"
"Burbank city, California","81,177","± 6,255"
"Camarillo city, California","100,238","± 14,140"
"Carlsbad city, California","124,669","± 12,330"
"Carmichael CDP, California","71,656","± 8,546"
"Carson city, California","92,609","± 8,258"
"Castro Valley CDP, California","121,384","± 17,317"
"Chico city, California","61,850","± 4,273"
