"Geographic Area Name","Population","MoE"
"Auburn city, Alabama","83,761","± 24"
"Birmingham city, Alabama","198,477","± 2,719"
"Dothan city, Alabama","72,735","± 1,827"
"Hoover city, Alabama","93,002","± 55"
"Huntsville city, Alabama","230,157","± 2,131"
"Madison city, Alabama","67,204","± 3,608"
"Mobile city, Alabama","201,355","± 51"
"Montgomery city, Alabama","195,826","± 32"
"Tuscaloosa city, Alabama","114,274","± 58"
"Anchorage municipality, Alaska","289,600","*****"
"Avondale city, Arizona","96,626","± 69"
"Buckeye city, Arizona","114,327","± 36"
"Casa Grande city, Arizona","68,929","± 29"
"Casas Adobes CDP, Arizona","74,298","± 6,584"
"Chandler city, Arizona","281,243","± 61"
"Flagstaff city, Arizona","77,549","± 37"
"Gilbert town, Arizona","288,797","± 52"
"Glendale city, Arizona","258,121","± 80"
"Goodyear city, Arizona","118,175","± 49"
"Maricopa city, Arizona","76,658","± 28"
"Mesa city, Arizona","517,142","± 58"
"Peoria city, Arizona","199,932","± 59"
"Phoenix city, Arizona","1,673,122","± 151"
"Queen Creek town, Arizona","92,557","± 9,265"
"San Tan Valley CDP, Arizona","123,211","± 11,428"
"Scottsdale city, Arizona","246,183","± 48"
"Surprise city, Arizona","167,569","± 39"
"Tempe city, Arizona","190,113","± 34"
"Tucson city, Arizona","554,011","± 53"
"Yuma city, Arizona","103,561","± 26"
"Conway city, Arkansas","70,704","± 30"
"Fayetteville city, Arkansas","103,124","± 38"
"Fort Smith city, Arkansas","90,517","± 37"
"Jonesboro city, Arkansas","82,386","± 19"
"Little Rock city, Arkansas","204,793","± 68"
"Rogers city, Arkansas","75,648","± 44"
"Springdale city, Arkansas","89,641","± 2,564"
"Alameda city, California","78,807","± 46"
"Alhambra city, California","80,289","± 47"
"Anaheim city, California","344,579","± 83"
"Antioch city, California","118,455","± 47"
"Apple Valley town, California","75,039","± 42"
"Arden-Arcade CDP, California","90,375","± 9,346"
"Bakersfield city, California","417,461","± 58"
"Baldwin Park city, California","69,244","± 33"
"Bellflower city, California","75,720","± 34"
"Berkeley city, California","121,730","± 66"
"Brentwood city, California","66,289","± 29"
"Buena Park city, California","82,597","± 57"
"Burbank city, California","103,543","± 43"
"Camarillo city, California","69,868","± 51"
"Carlsbad city, California","113,575","± 41"
"Carmichael CDP, California","78,540","± 7,994"
"Carson city, California","91,370","± 59"
"Castro Valley CDP, California","65,947","± 6,355"
"Chico city, California","102,907","± 25"
"Chino city, California","94,006","± 39"
"Chino Hills city, California","77,412","± 46"
"Chula Vista city, California","278,548","± 51"
"Citrus Heights city, California","86,910","± 29"
"Clovis city, California","127,994","± 37"
"Compton city, California","91,122","± 31"
"Concord city, California","124,030","± 54"
"Corona city, California","161,540","± 47"
"Costa Mesa city, California","109,140","± 33"
"Daly City city, California","101,424","± 41"
"Davis city, California","67,129","± 27"
"Downey city, California","109,365","± 33"
"Dublin city, California","70,544","± 28"
"East Los Angeles CDP, California","114,544","± 10,594"
"Eastvale city, California","70,739","± 46"
"El Cajon city, California","103,287","± 36"
"Elk Grove city, California","182,779","± 84"
"El Monte city, California","104,621","± 62"
"Escondido city, California","148,852","± 45"
"Fairfield city, California","122,654","± 40"
"Folsom city, California","88,096","± 35"
"Fontana city, California","218,453","± 46"
"Fremont city, California","228,191","± 36"
"Fresno city, California","550,091","± 72"
"Fullerton city, California","140,051","± 40"
"Garden Grove city, California","172,331","± 100"
"Glendale city, California","187,802","± 90"
"Hawthorne city, California","83,629","± 33"
"Hayward city, California","158,433","± 49"
"Hemet city, California","92,908","± 31"
"Hesperia city, California","101,844","± 37"
"Huntington Beach city, California","193,171","± 79"
"Indio city, California","94,283","± 39"
"Inglewood city, California","102,765","± 42"
"Irvine city, California","318,693","± 56"
"Jurupa Valley city, California","108,158","± 35"
