"Geographic Area Name","Unemployment Rate"
"Birmingham city, Alabama","7.4%"
"Dothan city, Alabama","5.3%"
"Hoover city, Alabama","3.5%"
"Huntsville city, Alabama","3.9%"
"Mobile city, Alabama","7.8%"
"Montgomery city, Alabama","8.6%"
"Tuscaloosa city, Alabama","6.4%"
"Anchorage municipality, Alaska","6.6%"
"Avondale city, Arizona","7.3%"
"Casas Adobes CDP, Arizona","4.7%"
"Chandler city, Arizona","3.3%"
"Flagstaff city, Arizona","9.8%"
"Gilbert town, Arizona","4.2%"
"Glendale city, Arizona","6.9%"
"Goodyear city, Arizona","3.4%"
"Mesa city, Arizona","4.2%"
"Peoria city, Arizona","4.6%"
"Phoenix city, Arizona","5.9%"
"San Tan Valley CDP, Arizona","3.8%"
"Scottsdale city, Arizona","4.3%"
"Surprise city, Arizona","4.4%"
"Tempe city, Arizona","6.5%"
"Tucson city, Arizona","6.9%"
"Yuma city, Arizona","8.3%"
"Fayetteville city, Arkansas","3.6%"
"Fort Smith city, Arkansas","7.3%"
"Jonesboro city, Arkansas","7.4%"
"Little Rock city, Arkansas","5.1%"
"Rogers city, Arkansas","6.2%"
"Springdale city, Arkansas","1.9%"
"Alameda city, California","6.5%"
"Alhambra city, California","9.3%"
"Anaheim city, California","7.7%"
"Antioch city, California","8.7%"
"Arden-Arcade CDP, California","8.3%"
"Bakersfield city, California","8.3%"
"Baldwin Park city, California","7.9%"
"Bellflower city, California","8.2%"
"Berkeley city, California","9.4%"
"Buena Park city, California","8.6%"
"Burbank city, California","9.2%"
"Camarillo city, California","7.0%"
"Carlsbad city, California","5.6%"
"Carmichael CDP, California","8.4%"
"Carson city, California","9.6%"
"Chico city, California","8.3%"
"Chino city, California","8.3%"
"Chino Hills city, California","9.8%"
"Chula Vista city, California","9.7%"
"Citrus Heights city, California","8.4%"
"Clovis city, California","7.1%"
"Compton city, California","6.6%"
"Concord city, California","6.7%"
"Corona city, California","7.0%"
"Costa Mesa city, California","5.5%"
"Daly City city, California","8.8%"
"Davis city, California","4.9%"
