City,Population_2021,Population_2024,EmpPopRatio_2021,EmpPopRatio_2024,LFPR_2021,LFPR_2024,Median_HH_Income_2021,Median_HH_Income_2024,Unemployment_Rate_2021,Unemployment_Rate_2024
"Auburn city, Alabama","78,552","83,761",,,,,"48,531","69,615",,
"Birmingham city, Alabama","196,410","198,477",54.2%,58.3%,58.9%,61.3%,"36,614","51,355",7.4%,4.6%
"Dothan city, Alabama","71,283","72,735",53.3%,53.4%,56.6%,57.3%,"45,088","55,846",5.3%,5.5%
"Hoover city, Alabama","92,588","93,002",66.4%,,68.9%,,"99,276","106,844",3.5%,
"Huntsville city, Alabama","215,482","230,157",59.5%,64.0%,62.2%,66.5%,"70,757","83,235",3.9%,3.3%
"Mobile city, Alabama","184,960","201,355",54.1%,57.0%,58.7%,60.2%,"43,786","55,307",7.8%,4.8%
"Montgomery city, Alabama","198,659","195,826",53.0%,57.0%,59.6%,60.2%,"46,957","59,292",8.6%,3.6%
"Tuscaloosa city, Alabama","100,606","114,274",55.1%,55.4%,58.9%,60.4%,"41,770","54,212",6.4%,8.2%
"Anchorage municipality, Alaska","288,121","289,600",60.8%,62.6%,70.2%,71.2%,"86,654","105,356",6.6%,4.8%
"Avondale city, Arizona","90,562","96,626",64.4%,69.2%,70.5%,72.3%,"71,423","88,152",7.3%,3.3%
"Buckeye city, Arizona","101,314","114,327",,54.1%,,58.7%,"75,417","94,199",,5.3%
"Casas Adobes CDP, Arizona","73,450","74,298",59.6%,,64.1%,,"71,547","83,415",4.7%,
"Chandler city, Arizona","279,445","281,243",68.7%,68.4%,71.2%,70.6%,"94,613","110,284",3.3%,3.2%
"Flagstaff city, Arizona","76,984","77,549",61.5%,69.6%,68.3%,72.4%,"61,386","74,417",9.8%,3.0%
"Gilbert town, Arizona","273,138","288,797",69.6%,68.9%,72.6%,71.8%,"104,802","124,968",4.2%,3.9%
"Glendale city, Arizona","249,627","258,121",59.4%,63.9%,65.2%,68.4%,"62,910","75,711",6.9%,5.7%
"Goodyear city, Arizona","101,744","118,175",53.4%,53.0%,56.2%,54.7%,"90,577","97,186",3.4%,2.5%
"Mesa city, Arizona","509,492","517,142",61.2%,62.0%,64.0%,64.3%,"69,266","85,580",4.2%,3.4%
"Peoria city, Arizona","194,910","199,932",59.2%,59.1%,62.2%,62.8%,"92,566","97,333",4.6%,5.1%
"Phoenix city, Arizona","1,624,539","1,673,122",63.5%,66.7%,67.6%,69.7%,"68,435","85,246",5.9%,4.1%
"Queen Creek town, Arizona","69,311","92,557",,66.6%,,69.5%,"121,262","155,001",,3.9%
"San Tan Valley CDP, Arizona","103,399","123,211",63.3%,61.6%,65.8%,64.9%,"81,956","99,217",3.8%,5.0%
"Scottsdale city, Arizona","242,754","246,183",60.1%,59.9%,62.9%,61.7%,"99,097","104,893",4.3%,2.8%
"Surprise city, Arizona","149,191","167,569",54.3%,56.0%,57.5%,60.2%,"78,411","100,824",4.4%,6.2%
"Tempe city, Arizona","184,109","190,113",67.4%,69.7%,72.0%,74.0%,"68,662","78,044",6.5%,5.8%
"Tucson city, Arizona","543,215","554,011",57.3%,58.3%,62.7%,62.5%,"50,306","60,483",6.9%,5.1%
