"Geographic Area Name","Multi-Family, 10+ Units","MoE"
"Auburn city, Alabama","4,138","± 1,211"
"Birmingham city, Alabama","8,540","± 1,866"
"Dothan city, Alabama","1,234","± 395"
"Hoover city, Alabama","4,426","± 1,641"
"Huntsville city, Alabama","6,851","± 1,862"
"Madison city, Alabama","1,230","± 757"
"Mobile city, Alabama","5,792","± 1,426"
"Montgomery city, Alabama","4,033","± 1,662"
"Tuscaloosa city, Alabama","6,589","± 1,695"
"Anchorage municipality, Alaska","3,066","± 947"
"Avondale city, Arizona","396","± 310"
"Casa Grande city, Arizona","408","± 274"
"Casas Adobes CDP, Arizona","1,792","± 825"
"Chandler city, Arizona","5,122","± 1,629"
"Flagstaff city, Arizona","2,320","± 1,229"
"Gilbert town, Arizona","2,676","± 1,105"
"Glendale city, Arizona","7,201","± 1,959"
"Goodyear city, Arizona","174","± 206"
"Mesa city, Arizona","11,119","± 2,517"
"Peoria city, Arizona","1,269","± 801"
"Phoenix city, Arizona","42,392","± 4,993"
"Scottsdale city, Arizona","8,692","± 2,338"
"Surprise city, Arizona","536","± 239"
"Tempe city, Arizona","10,357","± 2,777"
"Tucson city, Arizona","19,370","± 3,121"
"Yuma city, Arizona","739","± 522"
"Conway city, Arkansas","5,416","± 1,747"
"Fayetteville city, Arkansas","9,143","± 2,048"
"Fort Smith city, Arkansas","1,825","± 909"
"Jonesboro city, Arkansas","1,140","± 834"
"Little Rock city, Arkansas","7,938","± 2,032"
"Rogers city, Arkansas","2,350","± 1,268"
"Springdale city, Arkansas","3,470","± 1,220"
"Alameda city, California","924","± 772"
"Alhambra city, California","1,815","± 671"
"Anaheim city, California","4,805","± 1,551"
"Antioch city, California","574","± 423"
"Apple Valley town, California","0","± 225"
"Arden-Arcade CDP, California","3,552","± 1,453"
"Bakersfield city, California","3,326","± 1,197"
"Baldwin Park city, California","1,728","± 659"
"Bellflower city, California","1,732","± 781"
"Berkeley city, California","4,246","± 1,229"
"Buena Park city, California","825","± 693"
"Burbank city, California","6,272","± 1,632"
"Camarillo city, California","1,079","± 727"
"Carlsbad city, California","2,564","± 1,070"
"Carmichael CDP, California","808","± 510"
"Carson city, California","465","± 412"
"Castro Valley CDP, California","886","± 554"
"Chico city, California","2,300","± 943"
"Chino city, California","439","± 321"
"Chino Hills city, California","797","± 696"
"Chula Vista city, California","3,986","± 1,309"
"Citrus Heights city, California","1,191","± 612"
"Clovis city, California","964","± 866"
"Compton city, California","187","± 188"
"Concord city, California","2,321","± 1,120"
"Corona city, California","3,312","± 1,154"
"Costa Mesa city, California","4,024","± 1,280"
"Daly City city, California","1,684","± 722"
"Davis city, California","1,324","± 625"
"Downey city, California","2,398","± 934"
"Dublin city, California","389","± 382"
"East Los Angeles CDP, California","574","± 378"
"El Cajon city, California","2,654","± 946"
"Elk Grove city, California","1,406","± 921"
"El Monte city, California","2,764","± 859"
"Escondido city, California","3,349","± 1,040"
"Fairfield city, California","1,348","± 688"
"Folsom city, California","1,524","± 756"
"Fontana city, California","1,540","± 728"
"Fremont city, California","2,746","± 849"
"Fresno city, California","7,900","± 2,093"
"Fullerton city, California","3,443","± 1,219"
"Garden Grove city, California","2,430","± 1,030"
"Glendale city, California","10,311","± 1,627"
"Hawthorne city, California","2,290","± 982"
"Hayward city, California","2,066","± 943"
"Hemet city, California","1,484","± 859"
"Hesperia city, California","692","± 510"
"Huntington Beach city, California","3,573","± 1,318"
"Indio city, California","978","± 694"
"Inglewood city, California","4,462","± 1,382"
"Irvine city, California","4,982","± 1,354"
"Jurupa Valley city, California","610","± 300"
"Lake Elsinore city, California","907","± 801"
"Lake Forest city, California","1,735","± 867"
"Lakewood city, California","768","± 592"
"Lancaster city, California","1,470","± 614"
"Livermore city, California","648","± 408"
"Lodi city, California","1,241","± 624"
"Long Beach city, California","19,589","± 2,219"
"Los Angeles city, California","149,786","± 6,346"
"Lynwood city, California","797","± 475"
"Madera city, California","311","± 298"
"Manteca city, California","609","± 577"
"Menifee city, California","119","± 199"
"Merced city, California","1,322","± 678"
"Milpitas city, California","345","± 281"
"Mission Viejo city, California","524","± 434"
"Modesto city, California","2,333","± 971"
"Moreno Valley city, California","1,917","± 720"
"Mountain View city, California","3,729","± 1,096"
"Murrieta city, California","1,191","± 626"
"Napa city, California","1,196","± 584"
