Region,"Median household income","MoE"
"Abilene, TX Metro Area","61,262","± 4,667"
"Aguadilla, PR Metro Area","21,290","± 1,817"
"Akron, OH Metro Area","70,125","± 2,884"
"Albany, GA Metro Area","53,056","± 3,269"
"Albany, OR Metro Area","70,548","± 5,902"
"Albany-Schenectady-Troy, NY Metro Area","82,410","± 1,860"
"Albuquerque, NM Metro Area","67,640","± 2,150"
"Alexandria, LA Metro Area","52,390","± 5,890"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","81,159","± 1,947"
"Altoona, PA Metro Area","54,002","± 3,163"
"Amarillo, TX Metro Area","63,994","± 3,203"
"Ames, IA Metro Area","72,007","± 5,217"
"Amherst Town-Northampton, MA Metro Area","79,969","± 6,752"
"Anchorage, AK Metro Area","94,150","± 4,935"
"Ann Arbor, MI Metro Area","83,754","± 4,347"
"Anniston-Oxford, AL Metro Area","50,780","± 3,944"
"Appleton, WI Metro Area","83,966","± 6,547"
"Arecibo, PR Metro Area","27,118","± 2,995"
"Asheville, NC Metro Area","67,837","± 4,601"
"Athens-Clarke County, GA Metro Area","67,364","± 4,967"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","86,505","± 862"
"Atlantic City-Hammonton, NJ Metro Area","80,073","± 3,159"
"Auburn-Opelika, AL Metro Area","57,580","± 4,809"
"Augusta-Richmond County, GA-SC Metro Area","67,152","± 2,867"
"Austin-Round Rock-San Marcos, TX Metro Area","98,508","± 2,382"
"Bakersfield-Delano, CA Metro Area","68,893","± 2,594"
"Baltimore-Columbia-Towson, MD Metro Area","94,289","± 1,744"
"Bangor, ME Metro Area","66,333","± 4,916"
"Barnstable Town, MA Metro Area","89,893","± 3,937"
"Baton Rouge, LA Metro Area","64,550","± 2,748"
"Battle Creek, MI Metro Area","57,514","± 4,443"
"Bay City, MI Metro Area","58,675","± 5,300"
"Beaumont-Port Arthur, TX Metro Area","62,896","± 3,308"
"Beckley, WV Metro Area","52,437","± 5,491"
"Bellingham, WA Metro Area","74,884","± 5,251"
"Bend, OR Metro Area","91,658","± 5,035"
"Billings, MT Metro Area","70,849","± 5,208"
"Binghamton, NY Metro Area","64,035","± 3,584"
"Birmingham, AL Metro Area","69,284","± 1,967"
"Bismarck, ND Metro Area","83,440","± 7,745"
"Blacksburg-Christiansburg-Radford, VA Metro Area","61,309","± 2,755"
"Bloomington, IL Metro Area","77,200","± 6,702"
"Bloomington, IN Metro Area","58,666","± 4,250"
"Boise City, ID Metro Area","82,526","± 2,481"
"Boston-Cambridge-Newton, MA-NH Metro Area","110,697","± 1,909"
"Boulder, CO Metro Area","95,363","± 6,878"
"Bowling Green, KY Metro Area","60,620","± 4,379"
"Bozeman, MT Metro Area","91,158","± 4,908"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","99,609","± 3,833"
"Bridgeport-Stamford-Danbury, CT Metro Area","111,058","± 2,837"
"Brownsville-Harlingen, TX Metro Area","52,210","± 2,610"
"Brunswick-St. Simons, GA Metro Area","69,235","± 5,378"
"Buffalo-Cheektowaga, NY Metro Area","69,861","± 1,917"
"Burlington, NC Metro Area","65,633","± 5,901"
"Burlington-South Burlington, VT Metro Area","95,497","± 6,283"
"Canton-Massillon, OH Metro Area","63,774","± 3,658"
"Cape Coral-Fort Myers, FL Metro Area","71,547","± 1,921"
"Cape Girardeau, MO-IL Metro Area","66,427","± 6,045"
"Carson City, NV Metro Area","73,077","± 7,076"
"Casper, WY Metro Area","73,203","± 5,720"
"Cedar Rapids, IA Metro Area","73,569","± 3,163"
"Chambersburg, PA Metro Area","75,875","± 3,995"
"Champaign-Urbana, IL Metro Area","62,092","± 4,771"
"Charleston, WV Metro Area","55,415","± 2,787"
"Charleston-North Charleston, SC Metro Area","85,165","± 2,757"
