Region,Occupied,Vacant
"Abilene, TX Metro Area","66,460","10,192"
"Aguadilla, PR Metro Area","89,374","34,625"
"Akron, OH Metro Area","298,193","22,949"
"Albany, GA Metro Area","59,228","8,028"
"Albany, OR Metro Area","51,636","2,239"
"Albany-Schenectady-Troy, NY Metro Area","386,690","37,930"
"Albuquerque, NM Metro Area","381,326","24,178"
"Alexandria, LA Metro Area","58,235","9,843"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","345,257","18,710"
"Altoona, PA Metro Area","50,651","5,303"
"Amarillo, TX Metro Area","102,739","13,768"
"Ames, IA Metro Area","49,962","4,324"
"Amherst Town-Northampton, MA Metro Area","61,802","5,328"
"Anchorage, AK Metro Area","148,995","23,179"
"Ann Arbor, MI Metro Area","149,379","10,748"
"Anniston-Oxford, AL Metro Area","46,310","7,233"
"Appleton, WI Metro Area","99,606","4,290"
"Arecibo, PR Metro Area","65,668","20,477"
"Asheville, NC Metro Area","164,757","43,628"
"Athens-Clarke County, GA Metro Area","87,635","6,666"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","2,341,283","197,073"
"Atlantic City-Hammonton, NJ Metro Area","158,674","72,996"
"Auburn-Opelika, AL Metro Area","81,935","9,928"
"Augusta-Richmond County, GA-SC Metro Area","236,371","39,217"
"Austin-Round Rock-San Marcos, TX Metro Area","1,036,074","54,100"
"Bakersfield-Delano, CA Metro Area","289,845","19,787"
"Baltimore-Columbia-Towson, MD Metro Area","1,127,320","77,208"
"Bangor, ME Metro Area","66,556","9,546"
"Barnstable Town, MA Metro Area","109,475","57,434"
"Baton Rouge, LA Metro Area","334,402","53,698"
"Battle Creek, MI Metro Area","54,568","5,107"
"Bay City, MI Metro Area","44,417","4,283"
"Beaumont-Port Arthur, TX Metro Area","150,294","24,232"
"Beckley, WV Metro Area","44,847","8,841"
"Bellingham, WA Metro Area","93,449","11,767"
"Bend, OR Metro Area","107,729","16,044"
"Billings, MT Metro Area","81,750","4,924"
"Binghamton, NY Metro Area","99,826","15,861"
"Birmingham, AL Metro Area","471,767","59,867"
"Bismarck, ND Metro Area","57,951","2,955"
"Blacksburg-Christiansburg-Radford, VA Metro Area","71,419","13,423"
"Bloomington, IL Metro Area","71,060","4,571"
"Bloomington, IN Metro Area","70,681","6,490"
"Boise City, ID Metro Area","314,846","15,690"
"Boston-Cambridge-Newton, MA-NH Metro Area","1,949,953","121,780"
"Boulder, CO Metro Area","137,425","8,948"
"Bowling Green, KY Metro Area","77,804","6,275"
"Bozeman, MT Metro Area","54,621","5,345"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","109,652","9,033"
"Bridgeport-Stamford-Danbury, CT Metro Area","356,931","21,991"
"Brownsville-Harlingen, TX Metro Area","143,033","19,027"
"Brunswick-St. Simons, GA Metro Area","48,281","10,077"
"Buffalo-Cheektowaga, NY Metro Area","502,324","40,741"
"Burlington, NC Metro Area","70,911","7,495"
"Burlington-South Burlington, VT Metro Area","96,541","8,089"
"Canton-Massillon, OH Metro Area","168,115","13,842"
"Cape Coral-Fort Myers, FL Metro Area","326,338","125,764"
"Cape Girardeau, MO-IL Metro Area","39,485","4,998"
"Carson City, NV Metro Area","24,562",921
"Casper, WY Metro Area","34,332","3,206"
"Cedar Rapids, IA Metro Area","114,563","8,947"
"Chambersburg, PA Metro Area","62,966","4,481"
"Champaign-Urbana, IL Metro Area","102,205","7,423"
"Charleston, WV Metro Area","89,395","16,544"
"Charleston-North Charleston, SC Metro Area","347,045","39,898"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","1,103,360","87,145"
"Charlottesville, VA Metro Area","92,687","10,145"
"Chattanooga, TN-GA Metro Area","235,003","23,216"
"Cheyenne, WY Metro Area","44,460","2,232"
"Chicago-Naperville-Elgin, IL-IN Metro Area","3,671,659","240,243"
"Chico, CA Metro Area","86,279","7,585"
"Cincinnati, OH-KY-IN Metro Area","921,306","52,809"
"Clarksville, TN-KY Metro Area","129,593","10,912"
"Cleveland, OH Metro Area","931,312","89,502"
"Cleveland, TN Metro Area","50,001","5,659"
"Coeur d'Alene, ID Metro Area","74,253","8,401"
"College Station-Bryan, TX Metro Area","107,713","13,591"
"Colorado Springs, CO Metro Area","311,530","15,728"
"Columbia, MO Metro Area","87,256","7,015"
