Region,Owner occupied,Renter occupied
"Abilene, TX Metro Area","41,393","25,067"
"Aguadilla, PR Metro Area","59,197","30,177"
"Akron, OH Metro Area","203,203","94,990"
"Albany, GA Metro Area","31,494","27,734"
"Albany, OR Metro Area","34,539","17,097"
"Albany-Schenectady-Troy, NY Metro Area","247,226","139,464"
"Albuquerque, NM Metro Area","260,235","121,091"
"Alexandria, LA Metro Area","36,464","21,771"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","240,526","104,731"
"Altoona, PA Metro Area","36,296","14,355"
"Amarillo, TX Metro Area","66,837","35,902"
"Ames, IA Metro Area","31,008","18,954"
"Amherst Town-Northampton, MA Metro Area","40,448","21,354"
"Anchorage, AK Metro Area","99,752","49,243"
"Ann Arbor, MI Metro Area","93,487","55,892"
"Anniston-Oxford, AL Metro Area","31,834","14,476"
"Appleton, WI Metro Area","72,758","26,848"
"Arecibo, PR Metro Area","46,985","18,683"
"Asheville, NC Metro Area","114,432","50,325"
"Athens-Clarke County, GA Metro Area","49,083","38,552"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","1,570,338","770,945"
"Atlantic City-Hammonton, NJ Metro Area","114,311","44,363"
"Auburn-Opelika, AL Metro Area","52,554","29,381"
"Augusta-Richmond County, GA-SC Metro Area","166,773","69,598"
"Austin-Round Rock-San Marcos, TX Metro Area","602,192","433,882"
"Bakersfield-Delano, CA Metro Area","173,197","116,648"
"Baltimore-Columbia-Towson, MD Metro Area","755,740","371,580"
"Bangor, ME Metro Area","47,597","18,959"
"Barnstable Town, MA Metro Area","85,922","23,553"
"Baton Rouge, LA Metro Area","231,880","102,522"
"Battle Creek, MI Metro Area","39,504","15,064"
"Bay City, MI Metro Area","34,497","9,920"
"Beaumont-Port Arthur, TX Metro Area","102,647","47,647"
"Beckley, WV Metro Area","33,357","11,490"
"Bellingham, WA Metro Area","58,907","34,542"
"Bend, OR Metro Area","77,302","30,427"
"Billings, MT Metro Area","55,586","26,164"
"Binghamton, NY Metro Area","68,289","31,537"
"Birmingham, AL Metro Area","334,827","136,940"
"Bismarck, ND Metro Area","42,648","15,303"
"Blacksburg-Christiansburg-Radford, VA Metro Area","45,659","25,760"
"Bloomington, IL Metro Area","46,522","24,538"
"Bloomington, IN Metro Area","39,231","31,450"
"Boise City, ID Metro Area","227,332","87,514"
"Boston-Cambridge-Newton, MA-NH Metro Area","1,200,208","749,745"
"Boulder, CO Metro Area","84,169","53,256"
"Bowling Green, KY Metro Area","48,490","29,314"
"Bozeman, MT Metro Area","32,972","21,649"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","77,690","31,962"
"Bridgeport-Stamford-Danbury, CT Metro Area","232,075","124,856"
"Brownsville-Harlingen, TX Metro Area","94,661","48,372"
"Brunswick-St. Simons, GA Metro Area","33,173","15,108"
"Buffalo-Cheektowaga, NY Metro Area","332,076","170,248"
"Burlington, NC Metro Area","46,822","24,089"
"Burlington-South Burlington, VT Metro Area","67,175","29,366"
"Canton-Massillon, OH Metro Area","118,420","49,695"
"Cape Coral-Fort Myers, FL Metro Area","245,460","80,878"
"Cape Girardeau, MO-IL Metro Area","26,494","12,991"
"Carson City, NV Metro Area","15,542","9,020"
"Casper, WY Metro Area","25,160","9,172"
"Cedar Rapids, IA Metro Area","84,543","30,020"
"Chambersburg, PA Metro Area","48,109","14,857"
"Champaign-Urbana, IL Metro Area","58,534","43,671"
"Charleston, WV Metro Area","63,132","26,263"
"Charleston-North Charleston, SC Metro Area","241,321","105,724"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","721,432","381,928"
"Charlottesville, VA Metro Area","61,769","30,918"
"Chattanooga, TN-GA Metro Area","161,221","73,782"
"Cheyenne, WY Metro Area","30,206","14,254"
"Chicago-Naperville-Elgin, IL-IN Metro Area","2,420,840","1,250,819"
"Chico, CA Metro Area","48,755","37,524"
"Cincinnati, OH-KY-IN Metro Area","620,924","300,382"
"Clarksville, TN-KY Metro Area","77,693","51,900"
"Cleveland, OH Metro Area","633,722","297,590"
"Cleveland, TN Metro Area","34,468","15,533"
"Coeur d'Alene, ID Metro Area","54,466","19,787"
"College Station-Bryan, TX Metro Area","54,097","53,616"
"Colorado Springs, CO Metro Area","209,563","101,967"
"Columbia, MO Metro Area","51,299","35,957"
"Columbia, SC Metro Area","242,629","103,371"
"Columbus, GA-AL Metro Area","76,554","54,615"
"Columbus, IN Metro Area","23,575","10,202"
"Columbus, OH Metro Area","529,437","350,473"
"Corpus Christi, TX Metro Area","106,330","64,371"
"Corvallis, OR Metro Area","22,030","16,276"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","88,409","33,567"
"Dallas-Fort Worth-Arlington, TX Metro Area","1,769,613","1,189,772"
"Dalton, GA Metro Area","33,844","18,878"
"Daphne-Fairhope-Foley, AL Metro Area","79,134","26,564"
"Davenport-Moline-Rock Island, IA-IL Metro Area","120,130","44,100"
"Dayton-Kettering-Beavercreek, OH Metro Area","223,047","127,612"
"Decatur, AL Metro Area","48,586","15,940"
"Decatur, IL Metro Area","30,175","13,423"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","225,935","74,146"
