Region,Owner Built 2010 to 2019,Owner Built 2020 or later,Rent Built 2010 to 2019,Rent Built 2020 or later,Houses Built
"Abilene, TX Metro Area",5619,1190,3237,1114,11160
"Aguadilla, PR Metro Area",3108,82,1870,33,5093
"Akron, OH Metro Area",8516,1953,7671,1076,19216
"Albany, GA Metro Area",2023,416,3349,177,5965
"Albany, OR Metro Area",3328,1073,2034,329,6764
"Albany-Schenectady-Troy, NY Metro Area",16970,3425,18599,3834,42828
"Albuquerque, NM Metro Area",20054,7508,12443,938,40943
"Alexandria, LA Metro Area",4406,1462,2160,88,8116
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",11157,3105,9528,1262,25052
"Altoona, PA Metro Area",893,377,358,49,1677
"Amarillo, TX Metro Area",8608,2558,4285,0,15451
"Ames, IA Metro Area",2394,689,2384,1098,6565
"Amherst Town-Northampton, MA Metro Area",2416,582,1767,0,4765
"Anchorage, AK Metro Area",13260,1232,5276,809,20577
"Ann Arbor, MI Metro Area",5831,2664,4318,1672,14485
"Anniston-Oxford, AL Metro Area",2714,621,405,298,4038
"Appleton, WI Metro Area",5546,1470,3810,1714,12540
"Arecibo, PR Metro Area",2556,22,919,0,3497
"Asheville, NC Metro Area",13206,4792,7320,2707,28025
"Athens-Clarke County, GA Metro Area",5682,1817,5701,1231,14431
"Atlanta-Sandy Springs-Roswell, GA Metro Area",178034,67792,119873,33658,399357
"Atlantic City-Hammonton, NJ Metro Area",6440,1858,3681,480,12459
"Auburn-Opelika, AL Metro Area",10362,2792,4821,1043,19018
"Augusta-Richmond County, GA-SC Metro Area",28462,9399,10723,2078,50662
"Austin-Round Rock-San Marcos, TX Metro Area",146938,63066,125954,32808,368766
"Bakersfield-Delano, CA Metro Area",17918,5547,9352,1428,34245
"Baltimore-Columbia-Towson, MD Metro Area",49789,11875,38938,5285,105887
"Bangor, ME Metro Area",4471,756,993,7,6227
"Barnstable Town, MA Metro Area",3700,620,1923,666,6909
"Baton Rouge, LA Metro Area",41588,10086,17821,1806,71301
"Battle Creek, MI Metro Area",970,158,427,69,1624
"Bay City, MI Metro Area",963,256,742,0,1961
"Beaumont-Port Arthur, TX Metro Area",13435,3406,5871,2057,24769
"Beckley, WV Metro Area",1850,169,533,0,2552
"Bellingham, WA Metro Area",4983,1537,4487,1105,12112
"Bend, OR Metro Area",11607,4622,6352,2267,24848
"Billings, MT Metro Area",7384,2153,2906,841,13284
"Binghamton, NY Metro Area",1651,294,943,35,2923
"Birmingham, AL Metro Area",35403,11795,14828,1289,63315
"Bismarck, ND Metro Area",7442,1181,3289,265,12177
"Blacksburg-Christiansburg-Radford, VA Metro Area",4054,1507,3461,1011,10033
"Bloomington, IL Metro Area",2570,446,1874,683,5573
"Bloomington, IN Metro Area",3611,370,2862,745,7588
"Boise City, ID Metro Area",38501,18504,18009,7100,82114
"Boston-Cambridge-Newton, MA-NH Metro Area",65178,16988,80349,18023,180538
"Boulder, CO Metro Area",6812,2661,9071,1820,20364
"Bowling Green, KY Metro Area",5975,3305,4996,1346,15622
"Bozeman, MT Metro Area",7202,2464,5646,1342,16654
"Bremerton-Silverdale-Port Orchard, WA Metro Area",6803,2170,3002,1359,13334
"Bridgeport-Stamford-Danbury, CT Metro Area",9573,1817,15429,5135,31954
"Brownsville-Harlingen, TX Metro Area",12132,3235,10027,689,26083
"Brunswick-St. Simons, GA Metro Area",3541,708,1207,301,5757
"Buffalo-Cheektowaga, NY Metro Area",9919,2939,10673,2095,25626
"Burlington, NC Metro Area",6308,1803,2080,953,11144
"Burlington-South Burlington, VT Metro Area",4056,661,5156,595,10468
"Canton-Massillon, OH Metro Area",3938,1871,1174,311,7294
"Cape Coral-Fort Myers, FL Metro Area",32086,14108,12079,5404,63677
"Cape Girardeau, MO-IL Metro Area",2058,226,804,642,3730
"Carson City, NV Metro Area",380,174,32,331,917
"Casper, WY Metro Area",3427,464,1486,36,5413
"Cedar Rapids, IA Metro Area",9631,1459,4217,582,15889
"Chambersburg, PA Metro Area",2655,763,1324,164,4906
"Champaign-Urbana, IL Metro Area",4743,574,6217,635,12169
"Charleston, WV Metro Area",2625,533,1099,836,5093
"Charleston-North Charleston, SC Metro Area",44035,15894,27053,7175,94157
"Charlotte-Concord-Gastonia, NC-SC Metro Area",115943,41470,87878,20017,265308
"Charlottesville, VA Metro Area",8737,2081,4387,1580,16785
"Chattanooga, TN-GA Metro Area",16616,6160,11253,2125,36154
"Cheyenne, WY Metro Area",5325,1241,2036,203,8805
"Chicago-Naperville-Elgin, IL-IN Metro Area",104518,24240,100008,17632,246398
"Chico, CA Metro Area",3593,1799,3194,1505,10091
"Cincinnati, OH-KY-IN Metro Area",41554,16213,26192,6197,90156
"Clarksville, TN-KY Metro Area",15223,5560,9723,2753,33259
"Cleveland, OH Metro Area",26277,7135,16411,4542,54365
"Cleveland, TN Metro Area",3198,1495,1268,749,6710
"Coeur d'Alene, ID Metro Area",9975,3401,4267,1711,19354
"College Station-Bryan, TX Metro Area",11728,3793,13078,1854,30453
"Colorado Springs, CO Metro Area",25756,11409,16061,4126,57352
"Columbia, MO Metro Area",6416,2018,8240,404,17078
"Columbia, SC Metro Area",34995,12710,20545,2033,70283
