Region,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Gross Rent Burden
"Abilene, TX Metro Area",2046,2043,1829,4839,10757
"Aguadilla, PR Metro Area",1267,731,1160,3205,6363
"Akron, OH Metro Area",7843,5033,7566,22092,42534
"Albany, GA Metro Area",1569,1421,1602,7082,11674
"Albany, OR Metro Area",1257,1075,1637,3766,7735
"Albany-Schenectady-Troy, NY Metro Area",10999,6795,9695,31083,58572
"Albuquerque, NM Metro Area",9562,7413,9911,28783,55669
"Alexandria, LA Metro Area",1454,950,1599,4333,8336
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",9278,6426,9440,24478,49622
"Altoona, PA Metro Area",1367,1169,1057,2423,6016
"Amarillo, TX Metro Area",2703,2003,3357,7362,15425
"Ames, IA Metro Area",1552,711,1538,5097,8898
"Amherst Town-Northampton, MA Metro Area",1933,1090,1689,4832,9544
"Anchorage, AK Metro Area",4670,3814,4264,9680,22428
"Ann Arbor, MI Metro Area",4547,3105,5155,16465,29272
"Anniston-Oxford, AL Metro Area",927,619,955,2842,5343
"Appleton, WI Metro Area",2148,1229,1794,3467,8638
"Arecibo, PR Metro Area",607,528,687,2446,4268
"Asheville, NC Metro Area",5163,3404,4981,10495,24043
"Athens-Clarke County, GA Metro Area",2582,2378,3171,11757,19888
"Atlanta-Sandy Springs-Roswell, GA Metro Area",68788,52715,73200,197562,392265
"Atlantic City-Hammonton, NJ Metro Area",3654,2567,3614,12693,22528
"Auburn-Opelika, AL Metro Area",1746,1409,1654,8092,12901
"Augusta-Richmond County, GA-SC Metro Area",6177,3691,6411,18096,34375
"Austin-Round Rock-San Marcos, TX Metro Area",35043,26225,33937,86781,181986
"Bakersfield-Delano, CA Metro Area",9418,8432,11499,29487,58836
"Baltimore-Columbia-Towson, MD Metro Area",30994,23491,33916,89759,178160
"Bangor, ME Metro Area",1704,1468,1789,3521,8482
"Barnstable Town, MA Metro Area",1763,1375,1704,5694,10536
"Baton Rouge, LA Metro Area",7763,5897,8271,25850,47781
"Battle Creek, MI Metro Area",1548,599,1314,3175,6636
"Bay City, MI Metro Area",836,519,766,2088,4209
"Beaumont-Port Arthur, TX Metro Area",3368,2638,4003,11197,21206
"Beckley, WV Metro Area",778,553,602,2576,4509
"Bellingham, WA Metro Area",3021,2886,3463,9561,18931
