Region,"Median value (dollars)","MoE"
"Abilene, TX Metro Area","172,800","± 5,101"
"Aguadilla, PR Metro Area","120,000","± 2,670"
"Akron, OH Metro Area","199,000","± 2,389"
"Albany, GA Metro Area","148,800","± 5,528"
"Albany, OR Metro Area","344,600","± 5,941"
"Albany-Schenectady-Troy, NY Metro Area","268,400","± 2,382"
"Albuquerque, NM Metro Area","263,500","± 2,729"
"Alexandria, LA Metro Area","173,600","± 4,855"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","277,800","± 2,079"
"Altoona, PA Metro Area","156,700","± 3,807"
"Amarillo, TX Metro Area","196,500","± 4,917"
"Ames, IA Metro Area","231,600","± 4,636"
"Amherst Town-Northampton, MA Metro Area","363,400","± 5,426"
"Anchorage, AK Metro Area","358,900","± 4,200"
"Ann Arbor, MI Metro Area","353,000","± 4,504"
"Anniston-Oxford, AL Metro Area","149,500","± 6,196"
"Appleton, WI Metro Area","246,000","± 2,788"
"Arecibo, PR Metro Area","111,700","± 2,378"
"Asheville, NC Metro Area","338,400","± 5,920"
"Athens-Clarke County, GA Metro Area","280,900","± 5,387"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","335,100","± 1,536"
"Atlantic City-Hammonton, NJ Metro Area","302,600","± 5,290"
"Auburn-Opelika, AL Metro Area","224,600","± 7,425"
"Augusta-Richmond County, GA-SC Metro Area","207,300","± 3,374"
"Austin-Round Rock-San Marcos, TX Metro Area","434,800","± 2,897"
"Bakersfield-Delano, CA Metro Area","310,600","± 3,299"
"Baltimore-Columbia-Towson, MD Metro Area","373,300","± 1,771"
"Bangor, ME Metro Area","193,800","± 4,708"
"Barnstable Town, MA Metro Area","575,900","± 9,649"
"Baton Rouge, LA Metro Area","232,300","± 2,564"
"Battle Creek, MI Metro Area","151,500","± 3,614"
"Bay City, MI Metro Area","135,100","± 5,219"
"Beaumont-Port Arthur, TX Metro Area","164,300","± 4,260"
"Beckley, WV Metro Area","123,400","± 5,696"
"Bellingham, WA Metro Area","536,100","± 9,388"
"Bend, OR Metro Area","550,400","± 12,305"
"Billings, MT Metro Area","322,700","± 6,401"
"Binghamton, NY Metro Area","146,700","± 2,601"
"Birmingham, AL Metro Area","226,200","± 2,570"
"Bismarck, ND Metro Area","295,500","± 5,280"
"Blacksburg-Christiansburg-Radford, VA Metro Area","228,400","± 5,106"
"Bloomington, IL Metro Area","198,300","± 3,556"
"Bloomington, IN Metro Area","242,800","± 5,962"
"Boise City, ID Metro Area","434,400","± 4,208"
"Boston-Cambridge-Newton, MA-NH Metro Area","610,900","± 2,066"
"Boulder, CO Metro Area","713,900","± 8,867"
"Bowling Green, KY Metro Area","219,400","± 4,874"
"Bozeman, MT Metro Area","604,900","± 15,083"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","505,700","± 10,247"
"Bridgeport-Stamford-Danbury, CT Metro Area","530,800","± 7,323"
"Brownsville-Harlingen, TX Metro Area","120,000","± 2,519"
"Brunswick-St. Simons, GA Metro Area","221,400","± 9,572"
"Buffalo-Cheektowaga, NY Metro Area","209,600","± 1,823"
"Burlington, NC Metro Area","221,200","± 5,689"
"Burlington-South Burlington, VT Metro Area","370,400","± 5,570"
"Canton-Massillon, OH Metro Area","177,400","± 2,625"
"Cape Coral-Fort Myers, FL Metro Area","326,300","± 3,843"
"Cape Girardeau, MO-IL Metro Area","195,200","± 6,325"
"Carson City, NV Metro Area","426,700","± 9,270"
"Casper, WY Metro Area","260,400","± 8,373"
"Cedar Rapids, IA Metro Area","202,100","± 3,880"
"Chambersburg, PA Metro Area","236,300","± 4,420"
"Champaign-Urbana, IL Metro Area","194,400","± 4,494"
"Charleston, WV Metro Area","128,900","± 4,111"
"Charleston-North Charleston, SC Metro Area","345,400","± 3,597"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","319,400","± 2,166"
"Charlottesville, VA Metro Area","397,600","± 7,828"
"Chattanooga, TN-GA Metro Area","246,000","± 3,114"
"Cheyenne, WY Metro Area","324,900","± 8,248"
"Chicago-Naperville-Elgin, IL-IN Metro Area","301,900","± 1,331"
"Chico, CA Metro Area","408,700","± 8,846"
"Cincinnati, OH-KY-IN Metro Area","240,200","± 1,485"
"Clarksville, TN-KY Metro Area","229,400","± 4,193"
"Cleveland, OH Metro Area","201,000","± 1,475"
"Cleveland, TN Metro Area","218,500","± 6,471"
"Coeur d'Alene, ID Metro Area","467,400","± 7,577"
"College Station-Bryan, TX Metro Area","261,900","± 5,307"
"Colorado Springs, CO Metro Area","431,600","± 3,520"
