Region,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Owner Cost Burden
"Abilene, TX Metro Area",1432,970,1586,1511,5499
"Aguadilla, PR Metro Area",978,1003,1337,3056,6374
"Akron, OH Metro Area",6223,4286,4953,9615,25077
"Albany, GA Metro Area",790,672,855,2208,4525
"Albany, OR Metro Area",1954,937,1245,2474,6610
"Albany-Schenectady-Troy, NY Metro Area",8769,5152,7052,11937,32910
"Albuquerque, NM Metro Area",9140,7761,7909,18749,43559
"Alexandria, LA Metro Area",1138,769,746,1631,4284
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",9019,6828,7162,12776,35785
"Altoona, PA Metro Area",763,519,694,1505,3481
"Amarillo, TX Metro Area",2313,1269,1675,3610,8867
"Ames, IA Metro Area",1122,464,574,1172,3332
"Amherst Town-Northampton, MA Metro Area",1706,1490,1602,2520,7318
"Anchorage, AK Metro Area",5404,3279,4051,7097,19831
"Ann Arbor, MI Metro Area",3716,1663,2769,4737,12885
"Anniston-Oxford, AL Metro Area",1035,588,807,1131,3561
"Appleton, WI Metro Area",2293,1185,1535,2595,7608
"Arecibo, PR Metro Area",1374,642,1014,2234,5264
"Asheville, NC Metro Area",3989,2876,2934,6060,15859
"Athens-Clarke County, GA Metro Area",2010,916,1280,2694,6900
"Atlanta-Sandy Springs-Roswell, GA Metro Area",64783,41315,51738,108594,266430
"Atlantic City-Hammonton, NJ Metro Area",5222,3505,4601,9061,22389
"Auburn-Opelika, AL Metro Area",1445,1294,1167,2962,6868
"Augusta-Richmond County, GA-SC Metro Area",5381,2894,3920,8340,20535
"Austin-Round Rock-San Marcos, TX Metro Area",26970,17487,19367,36522,100346
"Bakersfield-Delano, CA Metro Area",8395,6316,8175,16448,39334
"Baltimore-Columbia-Towson, MD Metro Area",34493,21132,23202,50630,129457
"Bangor, ME Metro Area",1169,1079,1062,2286,5596
"Barnstable Town, MA Metro Area",3716,3148,3210,7846,17920
"Baton Rouge, LA Metro Area",6777,5323,6525,12412,31037
"Battle Creek, MI Metro Area",1240,987,1103,2180,5510
"Bay City, MI Metro Area",1334,683,731,1320,4068
"Beaumont-Port Arthur, TX Metro Area",2073,1506,1872,4574,10025
"Beckley, WV Metro Area",521,371,530,1707,3129
"Bellingham, WA Metro Area",3264,2101,2415,5129,12909
"Bend, OR Metro Area",3924,2448,3236,6553,16161
"Billings, MT Metro Area",2105,1231,1328,2982,7646
"Binghamton, NY Metro Area",1691,1525,1569,2747,7532
"Birmingham, AL Metro Area",10598,6398,8107,19234,44337
"Bismarck, ND Metro Area",1322,1222,1019,1484,5047
"Blacksburg-Christiansburg-Radford, VA Metro Area",1038,828,1009,1754,4629
"Bloomington, IL Metro Area",1348,787,1081,1806,5022
"Bloomington, IN Metro Area",1402,830,951,1491,4674
"Boise City, ID Metro Area",9469,7151,7031,12419,36070
"Boston-Cambridge-Newton, MA-NH Metro Area",57291,39943,45783,95607,238624
"Boulder, CO Metro Area",3080,2915,2652,6934,15581
"Bowling Green, KY Metro Area",1051,737,1042,1821,4651
"Bozeman, MT Metro Area",1773,1104,984,2194,6055
"Bremerton-Silverdale-Port Orchard, WA Metro Area",4463,2929,2343,4639,14374
"Bridgeport-Stamford-Danbury, CT Metro Area",10780,8794,9333,24769,53676
"Brownsville-Harlingen, TX Metro Area",2415,1389,2493,3760,10057
"Brunswick-St. Simons, GA Metro Area",872,805,958,2306,4941
"Buffalo-Cheektowaga, NY Metro Area",9457,6602,7211,15458,38728
"Burlington, NC Metro Area",1241,964,1485,1964,5654
"Burlington-South Burlington, VT Metro Area",2720,1718,2283,3861,10582
"Canton-Massillon, OH Metro Area",3690,2439,2534,4720,13383
"Cape Coral-Fort Myers, FL Metro Area",8531,7006,8038,18950,42525
"Cape Girardeau, MO-IL Metro Area",804,427,467,1172,2870
"Carson City, NV Metro Area",736,398,422,1061,2617
"Casper, WY Metro Area",1169,700,725,1365,3959
"Cedar Rapids, IA Metro Area",3301,1788,2054,3668,10811
"Chambersburg, PA Metro Area",2012,1239,922,2339,6512
"Champaign-Urbana, IL Metro Area",1524,1098,1003,2636,6261
"Charleston, WV Metro Area",1478,698,1131,2306,5613
"Charleston-North Charleston, SC Metro Area",8910,5965,6601,16986,38462
"Charlotte-Concord-Gastonia, NC-SC Metro Area",25845,18212,20730,40369,105156
"Charlottesville, VA Metro Area",2808,1120,1486,3553,8967
"Chattanooga, TN-GA Metro Area",4710,2786,4341,7317,19154
"Cheyenne, WY Metro Area",1365,923,1153,1913,5354
"Chicago-Naperville-Elgin, IL-IN Metro Area",105785,70046,83769,175525,435125
"Chico, CA Metro Area",2062,1533,1819,4088,9502
"Cincinnati, OH-KY-IN Metro Area",20751,15114,15301,28987,80153
"Clarksville, TN-KY Metro Area",2987,2401,2114,4721,12223
"Cleveland, OH Metro Area",20415,13345,17131,32687,83578
"Cleveland, TN Metro Area",907,517,567,1944,3935
"Coeur d'Alene, ID Metro Area",2799,1214,2002,3874,9889
"College Station-Bryan, TX Metro Area",1882,1682,1230,3095,7889
"Colorado Springs, CO Metro Area",10779,7711,8541,14999,42030
"Columbia, MO Metro Area",1790,994,885,2287,5956
"Columbia, SC Metro Area",8680,5205,6526,14251,34662
"Columbus, GA-AL Metro Area",2954,2307,1825,5219,12305
"Columbus, IN Metro Area",394,391,450,859,2094
"Columbus, OH Metro Area",19350,12325,15177,26798,73650
"Corpus Christi, TX Metro Area",3437,2650,2948,5857,14892
"Corvallis, OR Metro Area",651,698,743,1238,3330
"Crestview-Fort Walton Beach-Destin, FL Metro Area",3654,2667,2979,5905,15205
"Dallas-Fort Worth-Arlington, TX Metro Area",76837,54098,60019,111265,302219
"Dalton, GA Metro Area",739,851,589,1076,3255
"Daphne-Fairhope-Foley, AL Metro Area",2659,1882,1570,5202,11313
"Davenport-Moline-Rock Island, IA-IL Metro Area",3746,1876,2845,4734,13201
"Dayton-Kettering-Beavercreek, OH Metro Area",7541,4744,5205,9573,27063
"Decatur, AL Metro Area",1196,1034,755,1870,4855
"Decatur, IL Metro Area",888,411,729,1280,3308
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",8549,7105,7609,16495,39758
"Denver-Aurora-Centennial, CO Metro Area",40895,25847,32321,58349,157412
"Des Moines-West Des Moines, IA Metro Area",7476,5592,5185,9096,27349
"Detroit-Warren-Dearborn, MI Metro Area",43162,26850,33831,71335,175178
"Dothan, AL Metro Area",1354,772,835,2170,5131
"Dover, DE Metro Area",2092,1708,1590,3490,8880
"Dubuque, IA Metro Area",1102,771,753,1326,3952
"Duluth, MN-WI Metro Area",3031,1903,2278,3630,10842
"Durham-Chapel Hill, NC Metro Area",5318,3710,4264,8241,21533
"Eagle Pass, TX Metro Area",302,143,394,674,1513
"Eau Claire, WI Metro Area",1620,1203,1186,1969,5978
"El Centro, CA Metro Area",1182,1107,1173,2686,6148
"Elizabethtown, KY Metro Area",958,771,1080,1440,4249
"Elkhart-Goshen, IN Metro Area",2193,1392,1198,2528,7311
"Elmira, NY Metro Area",645,402,432,1310,2789
"El Paso, TX Metro Area",7488,4720,7199,13157,32564
"Enid, OK Metro Area",489,226,299,657,1671
"Erie, PA Metro Area",2869,1614,1727,3392,9602
"Eugene-Springfield, OR Metro Area",4982,3449,3483,7341,19255
"Evansville, IN Metro Area",2887,1589,1740,3700,9916
"Fairbanks-College, AK Metro Area",928,491,971,1249,3639
"Fargo, ND-MN Metro Area",2137,1301,1794,2440,7672
"Farmington, NM Metro Area",859,506,962,1851,4178
"Fayetteville, NC Metro Area",3445,2423,3324,6969,16161
