Region,Population
"Abilene, TX Metro Area","165,252"
"Aguadilla-Isabela, PR Metro Area","339,441"
"Akron, OH Metro Area","703,200"
"Albany, GA Metro Area","153,857"
"Albany-Lebanon, OR Metro Area","116,672"
"Albany-Schenectady-Troy, NY Metro Area","870,716"
"Albuquerque, NM Metro Area","887,077"
"Alexandria, LA Metro Area","153,922"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","821,173"
"Altoona, PA Metro Area","127,089"
"Amarillo, TX Metro Area","251,933"
"Ames, IA Metro Area","115,848"
"Anchorage, AK Metro Area","380,821"
"Ann Arbor, MI Metro Area","344,791"
"Anniston-Oxford, AL Metro Area","118,572"
"Appleton, WI Metro Area","225,666"
"Arecibo, PR Metro Area","199,471"
"Asheville, NC Metro Area","424,858"
"Athens-Clarke County, GA Metro Area","192,541"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","5,286,728"
"Atlantic City-Hammonton, NJ Metro Area","274,549"
"Auburn-Opelika, AL Metro Area","140,247"
"Augusta-Richmond County, GA-SC Metro Area","564,873"
"Austin-Round Rock-San Marcos, TX Metro Area","1,716,289"
"Bakersfield-Delano, CA Metro Area","839,631"
"Baltimore-Columbia-Towson, MD Metro Area","2,710,489"
"Bangor, ME Metro Area","153,923"
"Barnstable Town, MA Metro Area","215,888"
"Baton Rouge, LA Metro Area","825,905"
"Battle Creek, MI Metro Area","136,146"
"Bay City, MI Metro Area","107,771"
"Beaumont-Port Arthur, TX Metro Area","388,745"
"Beckley, WV Metro Area","124,898"
"Bellingham, WA Metro Area","201,140"
"Bend, OR Metro Area","157,733"
"Billings, MT Metro Area","167,167"
"Binghamton, NY Metro Area","251,725"
"Birmingham, AL Metro Area","1,061,024"
"Bismarck, ND Metro Area","110,625"
"Blacksburg-Christiansburg, VA Metro Area","162,958"
"Bloomington, IL Metro Area","169,572"
"Bloomington, IN Metro Area","159,549"
"Bloomsburg-Berwick, PA Metro Area","85,562"
"Boise City, ID Metro Area","616,561"
"Boston-Cambridge-Newton, MA-NH Metro Area","4,552,402"
"Boulder, CO Metro Area","294,567"
"Bowling Green, KY Metro Area","158,599"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","251,133"
"Bridgeport-Stamford-Danbury, CT Metro Area","916,829"
"Brownsville-Harlingen, TX Metro Area","406,220"
"Brunswick, GA Metro Area","112,370"
"Buffalo-Cheektowaga, NY Metro Area","1,135,509"
"Burlington, NC Metro Area","151,131"
"Burlington-South Burlington, VT Metro Area","211,261"
"California-Lexington Park, MD Metro Area","105,151"
"Canton-Massillon, OH Metro Area","404,422"
"Cape Coral-Fort Myers, FL Metro Area","618,754"
"Cape Girardeau, MO-IL Metro Area","96,275"
"Carbondale-Marion, IL Metro Area","139,157"
"Carson City, NV Metro Area","55,274"
"Casper, WY Metro Area","75,450"
"Cedar Rapids, IA Metro Area","257,940"
"Chambersburg-Waynesboro, PA Metro Area","149,618"
"Champaign-Urbana, IL Metro Area","217,810"
"Charleston, WV Metro Area","278,009"
"Charleston-North Charleston, SC Metro Area","664,607"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","2,243,960"
"Charlottesville, VA Metro Area","201,559"
"Chattanooga, TN-GA Metro Area","528,143"
"Cheyenne, WY Metro Area","91,738"
"Chicago-Naperville-Elgin, IL-IN Metro Area","9,461,105"
"Chico, CA Metro Area","220,000"
"Cincinnati, OH-KY-IN Metro Area","2,137,667"
"Clarksville, TN-KY Metro Area","273,949"
"Cleveland, TN Metro Area","115,788"
"Cleveland, OH Metro Area","2,077,240"
"Coeur d'Alene, ID Metro Area","138,494"
"College Station-Bryan, TX Metro Area","228,660"
"Colorado Springs, CO Metro Area","645,613"
"Columbia, MO Metro Area","190,387"
"Columbia, SC Metro Area","767,598"
"Columbus, GA-AL Metro Area","307,788"
"Columbus, IN Metro Area","76,794"
"Columbus, OH Metro Area","1,901,974"
"Corpus Christi, TX Metro Area","405,027"
"Corvallis, OR Metro Area","85,579"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","235,865"
"Cumberland, MD-WV Metro Area","103,299"
"Dallas-Fort Worth-Arlington, TX Metro Area","6,366,542"
"Dalton, GA Metro Area","142,227"
"Danville, IL Metro Area","81,625"
"Daphne-Fairhope-Foley, AL Metro Area","182,265"
"Davenport-Moline-Rock Island, IA-IL Metro Area","379,690"
"Dayton-Kettering-Beavercreek, OH Metro Area","799,232"
"Decatur, AL Metro Area","153,829"
"Decatur, IL Metro Area","110,768"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","590,289"
"Denver-Aurora-Centennial, CO Metro Area","2,543,482"
"Des Moines-West Des Moines, IA Metro Area","606,475"
"Detroit-Warren-Dearborn, MI Metro Area","4,296,250"
"Dothan, AL Metro Area","145,639"
"Dover, DE Metro Area","162,310"
"Dubuque, IA Metro Area","93,653"
"Duluth, MN-WI Metro Area","290,637"
"Durham-Chapel Hill, NC Metro Area","564,273"
"East Stroudsburg, PA Metro Area","169,842"
"Eau Claire, WI Metro Area","161,151"
"El Centro, CA Metro Area","174,528"
"Elizabethtown-Fort Knox, KY Metro Area","148,338"
"Elkhart-Goshen, IN Metro Area","197,559"
"Elmira, NY Metro Area","88,830"
"El Paso, TX Metro Area","804,123"
"Enid, OK Metro Area","60,580"
"Erie, PA Metro Area","280,566"
"Eugene-Springfield, OR Metro Area","351,715"
"Evansville, IN-KY Metro Area","311,552"
"Fairbanks-College, AK Metro Area","97,581"
"Fargo, ND-MN Metro Area","208,777"
"Farmington, NM Metro Area","130,044"
"Fayetteville, NC Metro Area","481,061"
"Fayetteville-Springdale-Rogers, AR Metro Area","440,121"
"Flagstaff, AZ Metro Area","134,421"
"Flint, MI Metro Area","425,790"
"Florence, SC Metro Area","205,566"
"Florence-Muscle Shoals, AL Metro Area","147,137"
"Fond du Lac, WI Metro Area","101,633"
"Fort Collins, CO Metro Area","299,630"
"Fort Smith, AR-OK Metro Area","248,208"
"Fort Wayne, IN Metro Area","388,621"
"Fresno, CA Metro Area","930,450"
"Gadsden, AL Metro Area","104,430"
"Gainesville, FL Metro Area","305,076"
"Gainesville, GA Metro Area","179,684"
"Gettysburg, PA Metro Area","101,407"
"Glens Falls, NY Metro Area","128,923"
"Goldsboro, NC Metro Area","122,623"
"Grand Forks, ND-MN Metro Area","98,461"
"Grand Island, NE Metro Area","72,726"
"Grand Junction, CO Metro Area","146,723"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","993,670"
"Grants Pass, OR Metro Area","82,713"
"Great Falls, MT Metro Area","81,327"
"Greeley, CO Metro Area","252,825"
"Green Bay, WI Metro Area","306,241"
"Greensboro-High Point, NC Metro Area","723,801"
"Greenville, NC Metro Area","168,148"
"Greenville-Anderson-Greer, SC Metro Area","824,112"
"Guayama, PR Metro Area","84,214"
"Gulfport-Biloxi, MS Metro Area","388,488"
"Hagerstown-Martinsburg, MD-WV Metro Area","269,140"
"Hammond, LA Metro Area","121,097"
"Hanford-Corcoran, CA Metro Area","152,982"
"Harrisburg-Carlisle, PA Metro Area","549,475"
"Harrisonburg, VA Metro Area","125,228"
"Hartford-West Hartford-East Hartford, CT Metro Area","1,212,381"
"Hattiesburg, MS Metro Area","162,410"
"Hickory-Lenoir-Morganton, NC Metro Area","365,497"
"Hilton Head Island-Bluffton, SC Metro Area","187,010"
"Hinesville, GA Metro Area","77,917"
"Homosassa Springs, FL Metro Area","141,236"
"Hot Springs, AR Metro Area","96,024"
"Houma-Thibodaux, LA Metro Area","208,178"
"Houston-Pasadena-The Woodlands, TX Metro Area","5,920,416"
"Huntington-Ashland, WV-KY-OH Metro Area","370,908"
"Huntsville, AL Metro Area","417,593"
"Idaho Falls, ID Metro Area","133,265"
"Indianapolis-Carmel-Greenwood, IN Metro Area","1,887,877"
"Iowa City, IA Metro Area","152,586"
"Ithaca, NY Metro Area","101,564"
"Jackson, MI Metro Area","160,248"
"Jackson, MS Metro Area","586,320"
"Jackson, TN Metro Area","179,694"
"Jacksonville, FL Metro Area","1,345,596"
"Jacksonville, NC Metro Area","177,772"
"Janesville-Beloit, WI Metro Area","160,331"
"Jefferson City, MO Metro Area","149,807"
"Johnson City, TN Metro Area","198,716"
"Johnstown, PA Metro Area","143,679"
"Jonesboro, AR Metro Area","121,026"
"Joplin, MO Metro Area","175,518"
"Kahului-Wailuku-Lahaina, HI Metro Area","154,834"
"Kalamazoo-Portage, MI Metro Area","250,331"
"Kankakee, IL Metro Area","113,449"
"Kansas City, MO-KS Metro Area","2,009,342"
"Kennewick-Richland, WA Metro Area","253,340"
"Killeen-Temple, TX Metro Area","405,300"
"Kingsport-Bristol, TN-VA Metro Area","309,544"
"Kingston, NY Metro Area","182,493"
"Knoxville, TN Metro Area","814,914"
"Kokomo, IN Metro Area","82,752"
