"Region","35 to 39 minutes","MoE"
"Abilene, TX Metro Area","664","± 206"
"Aguadilla, PR Metro Area","3,250","± 572"
"Akron, OH Metro Area","12,553","± 976"
"Albany, GA Metro Area","991","± 249"
"Albany, OR Metro Area","1,674","± 300"
"Albany-Schenectady-Troy, NY Metro Area","12,652","± 870"
"Albuquerque, NM Metro Area","9,734","± 873"
"Alexandria, LA Metro Area","861","± 240"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","11,625","± 797"
"Altoona, PA Metro Area","1,121","± 244"
"Amarillo, TX Metro Area","1,647","± 337"
"Ames, IA Metro Area","1,170","± 223"
"Amherst Town-Northampton, MA Metro Area","2,691","± 447"
"Anchorage, AK Metro Area","2,792","± 599"
"Ann Arbor, MI Metro Area","4,368","± 402"
"Anniston-Oxford, AL Metro Area","1,143","± 275"
"Appleton, WI Metro Area","3,773","± 452"
"Arecibo, PR Metro Area","1,879","± 414"
"Asheville, NC Metro Area","4,019","± 539"
"Athens-Clarke County, GA Metro Area","2,144","± 402"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","106,910","± 3,516"
"Atlantic City-Hammonton, NJ Metro Area","3,219","± 471"
"Auburn-Opelika, AL Metro Area","1,787","± 339"
"Augusta-Richmond County, GA-SC Metro Area","7,659","± 888"
"Austin-Round Rock-San Marcos, TX Metro Area","35,665","± 2,059"
"Bakersfield-Delano, CA Metro Area","4,657","± 595"
"Baltimore-Columbia-Towson, MD Metro Area","46,822","± 1,674"
"Bangor, ME Metro Area","1,534","± 281"
"Barnstable Town, MA Metro Area","2,294","± 456"
"Baton Rouge, LA Metro Area","11,106","± 981"
"Battle Creek, MI Metro Area","1,146","± 254"
"Bay City, MI Metro Area","1,694","± 296"
"Beaumont-Port Arthur, TX Metro Area","3,231","± 505"
"Beckley, WV Metro Area","798","± 224"
"Bellingham, WA Metro Area","2,019","± 401"
"Bend, OR Metro Area","2,756","± 538"
"Billings, MT Metro Area","1,112","± 235"
"Binghamton, NY Metro Area","1,536","± 232"
"Birmingham, AL Metro Area","19,936","± 1,335"
"Bismarck, ND Metro Area","513","± 157"
"Blacksburg-Christiansburg-Radford, VA Metro Area","1,613","± 288"
"Bloomington, IL Metro Area","1,421","± 293"
"Bloomington, IN Metro Area","1,667","± 272"
"Boise City, ID Metro Area","10,334","± 1,120"
"Boston-Cambridge-Newton, MA-NH Metro Area","83,489","± 2,251"
"Boulder, CO Metro Area","3,412","± 511"
"Bowling Green, KY Metro Area","2,037","± 401"
"Bozeman, MT Metro Area","446","± 163"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","2,767","± 492"
"Bridgeport-Stamford-Danbury, CT Metro Area","11,255","± 1,056"
"Brownsville-Harlingen, TX Metro Area","2,347","± 503"
"Brunswick-St. Simons, GA Metro Area","1,143","± 351"
"Buffalo-Cheektowaga, NY Metro Area","13,625","± 821"
"Burlington, NC Metro Area","2,968","± 485"
"Burlington-South Burlington, VT Metro Area","3,935","± 457"
"Canton-Massillon, OH Metro Area","6,329","± 613"
"Cape Coral-Fort Myers, FL Metro Area","10,662","± 1,009"
"Cape Girardeau, MO-IL Metro Area","1,214","± 322"
"Carson City, NV Metro Area","568","± 272"
"Casper, WY Metro Area","189","± 132"
"Cedar Rapids, IA Metro Area","2,931","± 412"
"Chambersburg, PA Metro Area","1,775","± 304"
"Champaign-Urbana, IL Metro Area","1,439","± 228"
"Charleston, WV Metro Area","1,725","± 380"
"Charleston-North Charleston, SC Metro Area","13,285","± 1,150"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","42,924","± 1,987"
"Charlottesville, VA Metro Area","3,125","± 455"
"Chattanooga, TN-GA Metro Area","7,733","± 792"
"Cheyenne, WY Metro Area","461","± 161"
