"Region","90 or more minutes","MoE"
"Abilene, TX Metro Area","1,263","± 287"
"Aguadilla, PR Metro Area","2,233","± 497"
"Akron, OH Metro Area","4,978","± 629"
"Albany, GA Metro Area","1,355","± 427"
"Albany, OR Metro Area","1,672","± 441"
"Albany-Schenectady-Troy, NY Metro Area","6,383","± 601"
"Albuquerque, NM Metro Area","8,402","± 845"
"Alexandria, LA Metro Area","2,481","± 473"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","14,762","± 1,100"
"Altoona, PA Metro Area","1,112","± 269"
"Amarillo, TX Metro Area","2,368","± 431"
"Ames, IA Metro Area","791","± 211"
"Amherst Town-Northampton, MA Metro Area","1,150","± 249"
"Anchorage, AK Metro Area","4,555","± 457"
"Ann Arbor, MI Metro Area","1,765","± 296"
"Anniston-Oxford, AL Metro Area","1,178","± 303"
"Appleton, WI Metro Area","2,208","± 325"
"Arecibo, PR Metro Area","2,367","± 458"
"Asheville, NC Metro Area","2,039","± 318"
"Athens-Clarke County, GA Metro Area","2,765","± 504"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","81,956","± 2,790"
"Atlantic City-Hammonton, NJ Metro Area","4,805","± 697"
"Auburn-Opelika, AL Metro Area","1,509","± 351"
"Augusta-Richmond County, GA-SC Metro Area","3,486","± 637"
"Austin-Round Rock-San Marcos, TX Metro Area","18,032","± 1,592"
"Bakersfield-Delano, CA Metro Area","11,695","± 1,052"
"Baltimore-Columbia-Towson, MD Metro Area","37,364","± 1,795"
"Bangor, ME Metro Area","1,710","± 299"
"Barnstable Town, MA Metro Area","4,489","± 755"
"Baton Rouge, LA Metro Area","9,631","± 1,069"
"Battle Creek, MI Metro Area","932","± 181"
"Bay City, MI Metro Area","1,130","± 248"
"Beaumont-Port Arthur, TX Metro Area","3,361","± 528"
"Beckley, WV Metro Area","1,226","± 350"
"Bellingham, WA Metro Area","2,375","± 333"
"Bend, OR Metro Area","2,101","± 426"
"Billings, MT Metro Area","1,700","± 325"
"Binghamton, NY Metro Area","1,723","± 282"
"Birmingham, AL Metro Area","9,694","± 1,059"
"Bismarck, ND Metro Area","1,272","± 309"
"Blacksburg-Christiansburg-Radford, VA Metro Area","892","± 249"
"Bloomington, IL Metro Area","1,128","± 243"
"Bloomington, IN Metro Area","1,501","± 313"
"Boise City, ID Metro Area","4,863","± 678"
"Boston-Cambridge-Newton, MA-NH Metro Area","66,923","± 2,438"
"Boulder, CO Metro Area","2,066","± 445"
"Bowling Green, KY Metro Area","2,127","± 376"
"Bozeman, MT Metro Area","1,087","± 315"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","7,923","± 644"
"Bridgeport-Stamford-Danbury, CT Metro Area","24,950","± 1,311"
"Brownsville-Harlingen, TX Metro Area","1,909","± 398"
"Brunswick-St. Simons, GA Metro Area","426","± 163"
"Buffalo-Cheektowaga, NY Metro Area","6,515","± 766"
"Burlington, NC Metro Area","1,427","± 367"
"Burlington-South Burlington, VT Metro Area","1,432","± 294"
"Canton-Massillon, OH Metro Area","2,700","± 377"
