"Region","Bachelor's degree","MoE"
"Abilene, TX Metro Area","19,424","± 1,197"
"Aguadilla, PR Metro Area","34,371","± 1,633"
"Akron, OH Metro Area","105,592","± 2,540"
"Albany, GA Metro Area","12,019","± 924"
"Albany, OR Metro Area","12,644","± 795"
"Albany-Schenectady-Troy, NY Metro Area","140,304","± 2,304"
"Albuquerque, NM Metro Area","123,872","± 2,874"
"Alexandria, LA Metro Area","13,623","± 853"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","125,073","± 2,853"
"Altoona, PA Metro Area","14,289","± 902"
"Amarillo, TX Metro Area","30,214","± 1,347"
"Ames, IA Metro Area","19,778","± 805"
"Amherst Town-Northampton, MA Metro Area","24,534","± 987"
"Anchorage, AK Metro Area","56,529","± 1,744"
"Ann Arbor, MI Metro Area","63,851","± 1,666"
"Anniston-Oxford, AL Metro Area","9,842","± 713"
"Appleton, WI Metro Area","38,970","± 1,232"
"Arecibo, PR Metro Area","26,902","± 1,525"
"Asheville, NC Metro Area","76,355","± 2,524"
"Athens-Clarke County, GA Metro Area","29,401","± 1,305"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","1,052,716","± 9,535"
"Atlantic City-Hammonton, NJ Metro Area","56,739","± 1,786"
"Auburn-Opelika, AL Metro Area","26,187","± 1,500"
"Augusta-Richmond County, GA-SC Metro Area","73,182","± 2,421"
"Austin-Round Rock-San Marcos, TX Metro Area","510,058","± 6,415"
"Bakersfield-Delano, CA Metro Area","68,949","± 2,357"
"Baltimore-Columbia-Towson, MD Metro Area","460,896","± 5,727"
"Bangor, ME Metro Area","20,953","± 1,219"
"Barnstable Town, MA Metro Area","46,953","± 1,690"
"Baton Rouge, LA Metro Area","106,900","± 3,215"
"Battle Creek, MI Metro Area","13,333","± 716"
"Bay City, MI Metro Area","10,924","± 763"
"Beaumont-Port Arthur, TX Metro Area","36,009","± 1,663"
"Beckley, WV Metro Area","10,053","± 868"
"Bellingham, WA Metro Area","36,442","± 1,288"
"Bend, OR Metro Area","46,400","± 1,815"
"Billings, MT Metro Area","29,716","± 1,192"
"Binghamton, NY Metro Area","26,800","± 1,154"
"Birmingham, AL Metro Area","164,788","± 3,144"
"Bismarck, ND Metro Area","23,471","± 1,065"
"Blacksburg-Christiansburg-Radford, VA Metro Area","20,237","± 1,127"
"Bloomington, IL Metro Area","33,000","± 1,301"
"Bloomington, IN Metro Area","21,494","± 1,025"
"Boise City, ID Metro Area","129,077","± 2,644"
"Boston-Cambridge-Newton, MA-NH Metro Area","956,390","± 7,605"
"Boulder, CO Metro Area","75,524","± 1,411"
"Bowling Green, KY Metro Area","19,870","± 1,133"
"Bozeman, MT Metro Area","26,317","± 1,043"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","45,717","± 1,391"
"Bridgeport-Stamford-Danbury, CT Metro Area","181,451","± 2,989"
"Brownsville-Harlingen, TX Metro Area","35,367","± 1,745"
"Brunswick-St. Simons, GA Metro Area","12,781","± 920"
"Buffalo-Cheektowaga, NY Metro Area","162,113","± 2,752"
"Burlington, NC Metro Area","22,130","± 1,160"
"Burlington-South Burlington, VT Metro Area","44,081","± 1,461"
"Canton-Massillon, OH Metro Area","44,111","± 1,563"
"Cape Coral-Fort Myers, FL Metro Area","112,874","± 2,981"
"Cape Girardeau, MO-IL Metro Area","12,379","± 744"
"Carson City, NV Metro Area","6,595","± 543"
"Casper, WY Metro Area","9,214","± 678"
"Cedar Rapids, IA Metro Area","42,034","± 1,407"
"Chambersburg, PA Metro Area","15,824","± 1,027"
"Champaign-Urbana, IL Metro Area","28,948","± 1,192"
"Charleston, WV Metro Area","23,636","± 1,070"
"Charleston-North Charleston, SC Metro Area","142,278","± 3,423"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","469,692","± 5,938"
"Charlottesville, VA Metro Area","40,896","± 1,284"
"Chattanooga, TN-GA Metro Area","79,058","± 2,337"
"Cheyenne, WY Metro Area","13,646","± 822"
"Chicago-Naperville-Elgin, IL-IN Metro Area","1,571,320","± 8,618"
"Chico, CA Metro Area","28,185","± 1,349"
"Cincinnati, OH-KY-IN Metro Area","345,663","± 4,912"
"Clarksville, TN-KY Metro Area","35,608","± 1,722"
"Cleveland, OH Metro Area","308,055","± 3,642"
"Cleveland, TN Metro Area","12,543","± 1,069"
"Coeur d'Alene, ID Metro Area","23,688","± 1,341"
"College Station-Bryan, TX Metro Area","33,510","± 1,438"
"Colorado Springs, CO Metro Area","126,042","± 2,549"
"Columbia, MO Metro Area","35,027","± 1,285"
"Columbia, SC Metro Area","116,586","± 3,237"
"Columbus, GA-AL Metro Area","34,819","± 1,657"
"Columbus, IN Metro Area","11,362","± 888"
"Columbus, OH Metro Area","355,537","± 4,741"
"Corpus Christi, TX Metro Area","44,872","± 1,548"
"Corvallis, OR Metro Area","17,133","± 811"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","44,534","± 1,710"
"Dallas-Fort Worth-Arlington, TX Metro Area","1,253,820","± 11,092"
"Dalton, GA Metro Area","9,753","± 900"
"Daphne-Fairhope-Foley, AL Metro Area","35,348","± 2,174"
"Davenport-Moline-Rock Island, IA-IL Metro Area","48,830","± 1,369"
"Dayton-Kettering-Beavercreek, OH Metro Area","103,153","± 2,318"
"Decatur, AL Metro Area","15,410","± 979"
"Decatur, IL Metro Area","11,341","± 715"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","94,056","± 2,589"
"Denver-Aurora-Centennial, CO Metro Area","636,282","± 5,162"
"Des Moines-West Des Moines, IA Metro Area","127,163","± 2,652"
"Detroit-Warren-Dearborn, MI Metro Area","624,435","± 6,731"
"Dothan, AL Metro Area","14,279","± 688"
"Dover, DE Metro Area","20,394","± 1,318"
"Dubuque, IA Metro Area","14,411","± 698"
"Duluth, MN-WI Metro Area","39,451","± 1,080"
"Durham-Chapel Hill, NC Metro Area","107,279","± 2,766"
"Eagle Pass, TX Metro Area","3,794","± 587"
"Eau Claire, WI Metro Area","24,425","± 1,205"
"El Centro, CA Metro Area","12,731","± 1,102"
"Elizabethtown, KY Metro Area","11,977","± 910"
"Elkhart-Goshen, IN Metro Area","16,723","± 959"
"Elmira, NY Metro Area","8,778","± 705"
"El Paso, TX Metro Area","93,069","± 2,949"
"Enid, OK Metro Area","6,251","± 630"
"Erie, PA Metro Area","34,597","± 1,330"
"Eugene-Springfield, OR Metro Area","52,544","± 1,695"
"Evansville, IN Metro Area","34,757","± 1,456"
"Fairbanks-College, AK Metro Area","12,151","± 1,147"
"Fargo, ND-MN Metro Area","45,246","± 1,362"
"Farmington, NM Metro Area","7,897","± 672"
"Fayetteville, NC Metro Area","41,582","± 1,438"
"Fayetteville-Springdale-Rogers, AR Metro Area","78,933","± 2,125"
"Flagstaff, AZ Metro Area","20,482","± 1,105"
"Flint, MI Metro Area","41,695","± 1,795"
"Florence, SC Metro Area","18,913","± 1,002"
"Florence-Muscle Shoals, AL Metro Area","15,955","± 962"
"Fond du Lac, WI Metro Area","10,972","± 643"
"Fort Collins-Loveland, CO Metro Area","75,554","± 1,756"
"Fort Smith, AR-OK Metro Area","21,392","± 1,364"
"Fort Wayne, IN Metro Area","59,385","± 1,839"
"Fresno, CA Metro Area","110,576","± 2,941"
"Gadsden, AL Metro Area","7,698","± 739"
"Gainesville, FL Metro Area","44,226","± 1,767"
"Gainesville, GA Metro Area","23,186","± 1,022"
"Gettysburg, PA Metro Area","10,664","± 698"
"Glens Falls, NY Metro Area","14,913","± 918"
"Goldsboro, NC Metro Area","11,536","± 854"
"Grand Forks, ND-MN Metro Area","14,371","± 753"
"Grand Island, NE Metro Area","6,780","± 536"
"Grand Junction, CO Metro Area","23,024","± 1,314"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","177,335","± 3,329"
"Grants Pass, OR Metro Area","8,115","± 669"
"Great Falls, MT Metro Area","10,618","± 785"
"Greeley, CO Metro Area","45,440","± 1,526"
"Green Bay, WI Metro Area","47,295","± 1,419"
"Greensboro-High Point, NC Metro Area","105,077","± 2,725"
"Greenville, NC Metro Area","20,921","± 1,014"
"Greenville-Anderson-Greer, SC Metro Area","134,905","± 3,317"
"Guayama, PR Metro Area","7,968","± 668"
"Gulfport-Biloxi, MS Metro Area","44,950","± 1,746"
"Hagerstown-Martinsburg, MD-WV Metro Area","29,831","± 1,375"
"Hammond, LA Metro Area","12,994","± 1,360"
"Hanford-Corcoran, CA Metro Area","8,991","± 696"
"Harrisburg-Carlisle, PA Metro Area","91,964","± 2,299"
"Harrisonburg, VA Metro Area","14,673","± 817"
"Hartford-West Hartford-East Hartford, CT Metro Area","187,435","± 3,084"
"Hattiesburg, MS Metro Area","17,169","± 1,098"
"Helena, MT Metro Area","17,471","± 929"
"Hickory-Lenoir-Morganton, NC Metro Area","38,585","± 1,733"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","40,056","± 1,545"
"Hinesville, GA Metro Area","6,095","± 635"
"Homosassa Springs, FL Metro Area","16,064","± 1,268"
"Hot Springs, AR Metro Area","12,092","± 831"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","17,294","± 1,139"
"Houston-Pasadena-The Woodlands, TX Metro Area","1,043,551","± 9,616"
"Huntington-Ashland, WV-KY-OH Metro Area","34,460","± 1,296"
"Huntsville, AL Metro Area","88,161","± 2,511"
"Idaho Falls, ID Metro Area","21,112","± 1,087"
"Indianapolis-Carmel-Greenwood, IN Metro Area","338,705","± 4,937"
"Iowa City, IA Metro Area","30,716","± 1,114"
"Ithaca, NY Metro Area","15,474","± 756"
"Jackson, MI Metro Area","17,268","± 847"
"Jackson, MS Metro Area","78,591","± 2,634"
"Jackson, TN Metro Area","17,124","± 970"
"Jacksonville, FL Metro Area","263,239","± 5,480"
"Jacksonville, NC Metro Area","20,233","± 1,289"
"Janesville-Beloit, WI Metro Area","20,000","± 1,101"
"Jefferson City, MO Metro Area","20,742","± 916"
"Johnson City, TN Metro Area","25,034","± 1,359"
"Johnstown, PA Metro Area","14,657","± 721"
"Jonesboro, AR Metro Area","13,276","± 920"
"Joplin, MO-KS Metro Area","21,893","± 981"
"Kahului-Wailuku, HI Metro Area","23,737","± 1,161"
"Kalamazoo-Portage, MI Metro Area","40,744","± 1,512"
"Kankakee, IL Metro Area","8,936","± 706"
"Kansas City, MO-KS Metro Area","365,123","± 4,511"
"Kennewick-Richland, WA Metro Area","34,766","± 1,695"
"Kenosha, WI Metro Area","22,620","± 1,132"
"Killeen-Temple, TX Metro Area","51,171","± 2,173"
"Kingsport-Bristol, TN-VA Metro Area","35,740","± 1,415"
"Kingston, NY Metro Area","27,094","± 1,309"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","91,391","± 2,277"
"Knoxville, TN Metro Area","124,553","± 2,354"
"Kokomo, IN Metro Area","7,730","± 527"
"La Crosse-Onalaska, WI-MN Metro Area","23,432","± 1,031"
"Lafayette, LA Metro Area","52,645","± 1,857"
"Lafayette-West Lafayette, IN Metro Area","26,641","± 1,141"
"Lake Charles, LA Metro Area","24,925","± 1,377"
"Lake Havasu City-Kingman, AZ Metro Area","15,551","± 1,057"
"Lakeland-Winter Haven, FL Metro Area","80,742","± 2,508"
"Lancaster, PA Metro Area","74,352","± 2,138"
"Lansing-East Lansing, MI Metro Area","66,735","± 1,977"
"Laredo, TX Metro Area","22,416","± 1,263"
"Las Cruces, NM Metro Area","24,324","± 1,121"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","286,282","± 3,965"
"Lawrence, KS Metro Area","20,500","± 1,097"
"Lawton, OK Metro Area","12,777","± 697"
"Lebanon, PA Metro Area","15,036","± 947"
"Lewiston, ID-WA Metro Area","7,800","± 594"
"Lewiston-Auburn, ME Metro Area","12,348","± 766"
"Lexington-Fayette, KY Metro Area","80,105","± 2,162"
"Lexington Park, MD Metro Area","27,939","± 1,329"
"Lima, OH Metro Area","8,513","± 543"
"Lincoln, NE Metro Area","56,071","± 1,447"
"Little Rock-North Little Rock-Conway, AR Metro Area","102,574","± 2,726"
"Logan, UT-ID Metro Area","19,549","± 790"
"Longview, TX Metro Area","27,182","± 1,313"
"Longview-Kelso, WA Metro Area","8,973","± 778"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","2,175,480","± 11,315"
"Louisville/Jefferson County, KY-IN Metro Area","184,127","± 3,198"
"Lubbock, TX Metro Area","41,033","± 1,408"
"Lynchburg, VA Metro Area","34,358","± 1,168"
"Macon-Bibb County, GA Metro Area","19,853","± 1,066"
"Madison, WI Metro Area","137,961","± 2,365"
"Manchester-Nashua, NH Metro Area","77,518","± 2,209"
"Manhattan, KS Metro Area","16,364","± 848"
"Mankato, MN Metro Area","14,673","± 725"
"Mansfield, OH Metro Area","9,853","± 716"
"Mayagüez, PR Metro Area","30,827","± 1,192"
"McAllen-Edinburg-Mission, TX Metro Area","70,640","± 2,434"
"Medford, OR Metro Area","30,128","± 1,368"
"Memphis, TN-MS-AR Metro Area","164,482","± 3,479"
"Merced, CA Metro Area","17,760","± 1,372"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","967,281","± 10,496"
"Michigan City-La Porte, IN Metro Area","11,407","± 752"
"Midland, MI Metro Area","13,148","± 662"
"Midland, TX Metro Area","23,158","± 1,771"
"Milwaukee-Waukesha, WI Metro Area","271,178","± 4,031"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","733,550","± 5,154"
"Minot, ND Metro Area","9,992","± 791"
"Missoula, MT Metro Area","24,184","± 937"
"Mobile, AL Metro Area","45,444","± 2,015"
"Modesto, CA Metro Area","46,297","± 2,130"
"Monroe, LA Metro Area","22,943","± 1,090"
"Monroe, MI Metro Area","16,562","± 918"
"Montgomery, AL Metro Area","47,143","± 1,875"
"Morgantown, WV Metro Area","17,428","± 982"
"Morristown, TN Metro Area","10,387","± 727"
"Mount Vernon-Anacortes, WA Metro Area","16,796","± 772"
"Muncie, IN Metro Area","10,543","± 840"
"Muskegon-Norton Shores, MI Metro Area","18,266","± 911"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","47,837","± 1,642"
"Napa, CA Metro Area","23,885","± 988"
"Naples-Marco Island, FL Metro Area","69,373","± 1,963"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","356,216","± 5,082"
"New Haven, CT Metro Area","84,323","± 2,576"
"New Orleans-Metairie, LA Metro Area","135,786","± 2,950"
"New York-Newark-Jersey City, NY-NJ Metro Area","3,465,456","± 16,442"
"Niles, MI Metro Area","19,480","± 812"
"North Port-Bradenton-Sarasota, FL Metro Area","148,724","± 2,653"
"Norwich-New London-Willimantic, CT Metro Area","37,885","± 1,542"
"Ocala, FL Metro Area","41,315","± 2,165"
"Odessa, TX Metro Area","11,234","± 1,171"
"Ogden, UT Metro Area","90,696","± 2,325"
"Oklahoma City, OK Metro Area","201,396","± 3,087"
"Olympia-Lacey-Tumwater, WA Metro Area","48,591","± 1,656"
"Omaha, NE-IA Metro Area","159,712","± 2,305"
"Orlando-Kissimmee-Sanford, FL Metro Area","439,223","± 6,549"
"Oshkosh-Neenah, WI Metro Area","24,993","± 1,105"
"Owensboro, KY Metro Area","11,104","± 819"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","128,351","± 2,807"
"Paducah, KY-IL Metro Area","10,631","± 741"
"Palm Bay-Melbourne-Titusville, FL Metro Area","94,125","± 2,651"
"Panama City-Panama City Beach, FL Metro Area","24,461","± 1,329"
"Parkersburg-Vienna, WV Metro Area","9,046","± 719"
"Pensacola-Ferry Pass-Brent, FL Metro Area","67,652","± 2,139"
"Peoria, IL Metro Area","50,908","± 1,639"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","1,048,224","± 7,955"
"Phoenix-Mesa-Chandler, AZ Metro Area","729,148","± 6,645"
"Pinehurst-Southern Pines, NC Metro Area","18,084","± 901"
"Pittsburgh, PA Metro Area","403,577","± 4,802"
"Pittsfield, MA Metro Area","19,480","± 1,015"
"Pocatello, ID Metro Area","11,078","± 701"
"Ponce, PR Metro Area","41,026","± 1,621"
"Portland-South Portland, ME Metro Area","112,181","± 2,547"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","466,803","± 5,303"
"Port St. Lucie, FL Metro Area","70,878","± 2,228"
"Prescott Valley-Prescott, AZ Metro Area","32,658","± 1,546"
"Providence-Warwick, RI-MA Metro Area","252,585","± 4,006"
"Provo-Orem-Lehi, UT Metro Area","107,202","± 2,177"
"Pueblo, CO Metro Area","19,072","± 1,087"
"Punta Gorda, FL Metro Area","25,246","± 1,357"
"Racine-Mount Pleasant, WI Metro Area","25,503","± 1,281"
"Raleigh-Cary, NC Metro Area","302,685","± 3,951"
"Rapid City, SD Metro Area","22,703","± 954"
"Reading, PA Metro Area","51,020","± 1,522"
"Redding, CA Metro Area","20,528","± 1,099"
"Reno, NV Metro Area","75,383","± 2,211"
"Richmond, VA Metro Area","225,465","± 3,613"
"Riverside-San Bernardino-Ontario, CA Metro Area","467,101","± 5,986"
"Roanoke, VA Metro Area","43,339","± 1,435"
"Rochester, MN Metro Area","38,343","± 1,107"
"Rochester, NY Metro Area","156,670","± 2,334"
"Rockford, IL Metro Area","35,289","± 1,437"
"Rocky Mount, NC Metro Area","13,732","± 1,029"
"Rome, GA Metro Area","9,328","± 646"
"Sacramento-Roseville-Folsom, CA Metro Area","379,918","± 4,465"
"Saginaw, MI Metro Area","19,466","± 901"
"St. Cloud, MN Metro Area","23,206","± 838"
"St. George, UT Metro Area","25,871","± 1,401"
"St. Joseph, MO-KS Metro Area","12,667","± 775"
"St. Louis, MO-IL Metro Area","437,752","± 4,869"
"Salem, OR Metro Area","50,587","± 1,667"
"Salinas, CA Metro Area","46,167","± 1,565"
"Salisbury, MD Metro Area","13,579","± 917"
"Salt Lake City-Murray, UT Metro Area","194,516","± 3,066"
"San Angelo, TX Metro Area","13,204","± 1,144"
"San Antonio-New Braunfels, TX Metro Area","344,377","± 4,903"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","580,152","± 5,592"
"Sandusky, OH Metro Area","15,531","± 984"
"San Francisco-Oakland-Fremont, CA Metro Area","1,019,630","± 7,513"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","383,775","± 5,024"
"San Juan-Bayamón-Caguas, PR Metro Area","334,732","± 4,637"
"San Luis Obispo-Paso Robles, CA Metro Area","46,166","± 1,465"
"Santa Cruz-Watsonville, CA Metro Area","45,391","± 1,634"
"Santa Fe, NM Metro Area","26,025","± 938"
"Santa Maria-Santa Barbara, CA Metro Area","60,231","± 1,734"
"Santa Rosa-Petaluma, CA Metro Area","83,196","± 1,766"
"Savannah, GA Metro Area","59,943","± 1,916"
"Scranton--Wilkes-Barre, PA Metro Area","66,200","± 2,214"
"Seattle-Tacoma-Bellevue, WA Metro Area","792,775","± 6,308"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","25,931","± 1,303"
"Sebring, FL Metro Area","10,017","± 852"
"Sheboygan, WI Metro Area","15,177","± 783"
"Sherman-Denison, TX Metro Area","15,142","± 1,092"
"Shreveport-Bossier City, LA Metro Area","39,831","± 1,694"
"Sierra Vista-Douglas, AZ Metro Area","15,057","± 894"
"Sioux City, IA-NE-SD Metro Area","14,685","± 908"
"Sioux Falls, SD-MN Metro Area","47,952","± 1,451"
"Slidell-Mandeville-Covington, LA Metro Area","43,862","± 1,979"
"South Bend-Mishawaka, IN-MI Metro Area","40,004","± 1,447"
"Spartanburg, SC Metro Area","38,047","± 1,653"
"Spokane-Spokane Valley, WA Metro Area","81,509","± 2,419"
"Springfield, IL Metro Area","30,020","± 1,251"
"Springfield, MA Metro Area","54,356","± 2,058"
"Springfield, MO Metro Area","59,840","± 1,852"
"Springfield, OH Metro Area","10,774","± 835"
"State College, PA Metro Area","21,816","± 867"
"Staunton-Stuarts Draft, VA Metro Area","14,976","± 900"
"Stockton-Lodi, CA Metro Area","73,689","± 2,490"
"Sumter, SC Metro Area","9,755","± 908"
"Syracuse, NY Metro Area","86,152","± 2,315"
"Tallahassee, FL Metro Area","57,511","± 1,585"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","507,296","± 5,589"
"Terre Haute, IN Metro Area","15,652","± 787"
"Texarkana, TX-AR Metro Area","12,210","± 841"
"Toledo, OH Metro Area","73,589","± 1,746"
"Topeka, KS Metro Area","30,095","± 1,114"
"Traverse City, MI Metro Area","26,077","± 1,016"
"Trenton-Princeton, NJ Metro Area","62,940","± 1,838"
"Tucson, AZ Metro Area","146,720","± 2,859"
"Tulsa, OK Metro Area","134,604","± 1,912"
"Tuscaloosa, AL Metro Area","29,002","± 1,397"
"Twin Falls, ID Metro Area","9,666","± 933"
"Tyler, TX Metro Area","28,778","± 1,485"
"Urban Honolulu, HI Metro Area","167,802","± 2,882"
"Utica-Rome, NY Metro Area","30,926","± 1,059"
"Valdosta, GA Metro Area","13,714","± 999"
"Vallejo, CA Metro Area","60,797","± 2,035"
"Victoria, TX Metro Area","9,223","± 795"
"Vineland, NJ Metro Area","12,331","± 892"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","256,939","± 4,114"
"Visalia, CA Metro Area","28,892","± 1,560"
"Waco, TX Metro Area","30,217","± 1,483"
"Walla Walla, WA Metro Area","6,905","± 563"
"Warner Robins, GA Metro Area","22,998","± 1,601"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","1,160,075","± 9,052"
"Waterbury-Shelton, CT Metro Area","61,123","± 1,732"
"Waterloo-Cedar Falls, IA Metro Area","21,649","± 954"
"Watertown-Fort Drum, NY Metro Area","11,359","± 815"
"Wausau, WI Metro Area","18,307","± 737"
"Weirton-Steubenville, WV-OH Metro Area","11,569","± 784"
"Wenatchee-East Wenatchee, WA Metro Area","15,246","± 841"
"Wheeling, WV-OH Metro Area","13,899","± 714"
"Wichita, KS Metro Area","86,221","± 2,310"
"Wichita Falls, TX Metro Area","15,685","± 853"
"Wildwood-The Villages, FL Metro Area","26,375","± 1,617"
"Williamsport, PA Metro Area","12,615","± 894"
"Wilmington, NC Metro Area","80,373","± 2,305"
"Winchester, VA-WV Metro Area","16,863","± 1,016"
"Winston-Salem, NC Metro Area","89,104","± 2,473"
"Worcester, MA Metro Area","135,457","± 2,830"
"Yakima, WA Metro Area","18,944","± 1,080"
"York-Hanover, PA Metro Area","55,071","± 1,806"
"Youngstown-Warren, OH Metro Area","46,847","± 1,717"
"Yuba City, CA Metro Area","15,159","± 1,159"
"Yuma, AZ Metro Area","14,330","± 956"
