"Region","Doctorate degree","MoE"
"Abilene, TX Metro Area","948","± 233"
"Aguadilla, PR Metro Area","1,401","± 291"
"Akron, OH Metro Area","7,152","± 646"
"Albany, GA Metro Area","1,428","± 275"
"Albany, OR Metro Area","691","± 207"
"Albany-Schenectady-Troy, NY Metro Area","13,899","± 1,026"
"Albuquerque, NM Metro Area","15,868","± 1,117"
"Alexandria, LA Metro Area","1,101","± 296"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","8,984","± 854"
"Altoona, PA Metro Area","597","± 177"
"Amarillo, TX Metro Area","1,855","± 285"
"Ames, IA Metro Area","3,728","± 480"
"Amherst Town-Northampton, MA Metro Area","5,434","± 533"
"Anchorage, AK Metro Area","3,749","± 440"
"Ann Arbor, MI Metro Area","15,349","± 934"
"Anniston-Oxford, AL Metro Area","857","± 239"
"Appleton, WI Metro Area","1,385","± 265"
"Arecibo, PR Metro Area","1,662","± 394"
"Asheville, NC Metro Area","5,804","± 647"
"Athens-Clarke County, GA Metro Area","6,620","± 552"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","72,684","± 2,959"
"Atlantic City-Hammonton, NJ Metro Area","2,490","± 356"
"Auburn-Opelika, AL Metro Area","4,121","± 565"
"Augusta-Richmond County, GA-SC Metro Area","5,778","± 647"
"Austin-Round Rock-San Marcos, TX Metro Area","34,297","± 1,679"
"Bakersfield-Delano, CA Metro Area","3,222","± 465"
"Baltimore-Columbia-Towson, MD Metro Area","48,689","± 2,087"
"Bangor, ME Metro Area","2,183","± 323"
"Barnstable Town, MA Metro Area","4,712","± 566"
"Baton Rouge, LA Metro Area","8,366","± 891"
"Battle Creek, MI Metro Area","669","± 185"
"Bay City, MI Metro Area","483","± 175"
"Beaumont-Port Arthur, TX Metro Area","1,708","± 344"
"Beckley, WV Metro Area","502","± 187"
"Bellingham, WA Metro Area","4,014","± 460"
"Bend, OR Metro Area","2,660","± 371"
"Billings, MT Metro Area","1,944","± 427"
"Binghamton, NY Metro Area","2,610","± 423"
"Birmingham, AL Metro Area","12,391","± 839"
"Bismarck, ND Metro Area","727","± 196"
"Blacksburg-Christiansburg-Radford, VA Metro Area","4,868","± 495"
"Bloomington, IL Metro Area","2,091","± 277"
"Bloomington, IN Metro Area","4,423","± 532"
"Boise City, ID Metro Area","7,404","± 725"
"Boston-Cambridge-Newton, MA-NH Metro Area","130,069","± 2,979"
"Boulder, CO Metro Area","12,256","± 872"
"Bowling Green, KY Metro Area","1,532","± 384"
"Bozeman, MT Metro Area","3,163","± 483"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","2,519","± 385"
"Bridgeport-Stamford-Danbury, CT Metro Area","12,189","± 815"
"Brownsville-Harlingen, TX Metro Area","1,340","± 263"
"Brunswick-St. Simons, GA Metro Area","912","± 269"
"Buffalo-Cheektowaga, NY Metro Area","13,860","± 1,114"
"Burlington, NC Metro Area","1,500","± 275"
"Burlington-South Burlington, VT Metro Area","4,766","± 577"
"Canton-Massillon, OH Metro Area","2,033","± 323"
"Cape Coral-Fort Myers, FL Metro Area","8,353","± 758"
"Cape Girardeau, MO-IL Metro Area","937","± 224"
"Carson City, NV Metro Area","348","± 144"
"Casper, WY Metro Area","454","± 140"
"Cedar Rapids, IA Metro Area","1,648","± 251"
"Chambersburg, PA Metro Area","1,337","± 349"
"Champaign-Urbana, IL Metro Area","8,280","± 732"
"Charleston, WV Metro Area","1,804","± 296"
"Charleston-North Charleston, SC Metro Area","9,012","± 991"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","19,945","± 1,307"
"Charlottesville, VA Metro Area","7,962","± 777"
"Chattanooga, TN-GA Metro Area","5,359","± 594"
"Cheyenne, WY Metro Area","555","± 177"
"Chicago-Naperville-Elgin, IL-IN Metro Area","105,309","± 2,663"
"Chico, CA Metro Area","2,193","± 392"
"Cincinnati, OH-KY-IN Metro Area","24,540","± 1,365"
"Clarksville, TN-KY Metro Area","2,195","± 394"
"Cleveland, OH Metro Area","21,533","± 996"
"Cleveland, TN Metro Area","1,099","± 352"
"Coeur d'Alene, ID Metro Area","1,507","± 386"
"College Station-Bryan, TX Metro Area","7,542","± 716"
"Colorado Springs, CO Metro Area","8,828","± 745"
"Columbia, MO Metro Area","5,468","± 566"
"Columbia, SC Metro Area","10,169","± 972"
"Columbus, GA-AL Metro Area","2,628","± 421"
"Columbus, IN Metro Area","419","± 158"
"Columbus, OH Metro Area","24,859","± 1,515"
"Corpus Christi, TX Metro Area","2,765","± 343"
"Corvallis, OR Metro Area","4,384","± 499"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","2,326","± 365"
"Dallas-Fort Worth-Arlington, TX Metro Area","65,351","± 2,627"
"Dalton, GA Metro Area","570","± 184"
"Daphne-Fairhope-Foley, AL Metro Area","2,382","± 495"
"Davenport-Moline-Rock Island, IA-IL Metro Area","2,840","± 389"
"Dayton-Kettering-Beavercreek, OH Metro Area","7,619","± 507"
"Decatur, AL Metro Area","777","± 211"
"Decatur, IL Metro Area","574","± 155"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","5,862","± 562"
"Denver-Aurora-Centennial, CO Metro Area","40,376","± 1,772"
"Des Moines-West Des Moines, IA Metro Area","7,226","± 789"
"Detroit-Warren-Dearborn, MI Metro Area","34,692","± 1,335"
"Dothan, AL Metro Area","612","± 108"
"Dover, DE Metro Area","1,209","± 294"
"Dubuque, IA Metro Area","725","± 164"
"Duluth, MN-WI Metro Area","2,762","± 347"
"Durham-Chapel Hill, NC Metro Area","22,990","± 1,343"
"Eagle Pass, TX Metro Area","45","± 47"
"Eau Claire, WI Metro Area","1,522","± 339"
"El Centro, CA Metro Area","427","± 215"
"Elizabethtown, KY Metro Area","381","± 127"
"Elkhart-Goshen, IN Metro Area","863","± 207"
"Elmira, NY Metro Area","573","± 171"
"El Paso, TX Metro Area","4,736","± 1,149"
"Enid, OK Metro Area","180","± 82"
"Erie, PA Metro Area","2,489","± 324"
"Eugene-Springfield, OR Metro Area","5,566","± 602"
"Evansville, IN Metro Area","1,418","± 233"
"Fairbanks-College, AK Metro Area","1,367","± 318"
"Fargo, ND-MN Metro Area","3,595","± 421"
"Farmington, NM Metro Area","499","± 174"
"Fayetteville, NC Metro Area","2,003","± 304"
"Fayetteville-Springdale-Rogers, AR Metro Area","5,000","± 631"
"Flagstaff, AZ Metro Area","2,474","± 424"
"Flint, MI Metro Area","1,638","± 320"
"Florence, SC Metro Area","1,489","± 323"
"Florence-Muscle Shoals, AL Metro Area","1,285","± 310"
"Fond du Lac, WI Metro Area","513","± 156"
"Fort Collins-Loveland, CO Metro Area","7,527","± 697"
"Fort Smith, AR-OK Metro Area","1,753","± 373"
"Fort Wayne, IN Metro Area","2,787","± 392"
"Fresno, CA Metro Area","6,319","± 638"
"Gadsden, AL Metro Area","554","± 205"
"Gainesville, FL Metro Area","10,528","± 895"
"Gainesville, GA Metro Area","1,950","± 447"
"Gettysburg, PA Metro Area","842","± 176"
"Glens Falls, NY Metro Area","752","± 186"
"Goldsboro, NC Metro Area","438","± 117"
"Grand Forks, ND-MN Metro Area","1,634","± 333"
"Grand Island, NE Metro Area","292","± 104"
"Grand Junction, CO Metro Area","1,582","± 289"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","10,230","± 876"
"Grants Pass, OR Metro Area","623","± 196"
"Great Falls, MT Metro Area","566","± 174"
"Greeley, CO Metro Area","2,929","± 447"
"Green Bay, WI Metro Area","1,857","± 347"
"Greensboro-High Point, NC Metro Area","7,315","± 849"
"Greenville, NC Metro Area","1,822","± 358"
"Greenville-Anderson-Greer, SC Metro Area","10,768","± 1,076"
