"Source Table: ACSDT5Y2023.C24030"

"UNIVERSE CONSTANTS"
"Total: ➡ Female: ➡ Finance and insurance, and real estate, and rental and leasing:"

"Geographic Area Name","Finance and insurance"
"Abilene, TX Metro Area","3,095"
"Aguadilla, PR Metro Area","1,386"
"Akron, OH Metro Area","10,709"
"Albany, GA Metro Area","1,230"
"Albany, OR Metro Area","1,343"
"Albany-Schenectady-Troy, NY Metro Area","14,012"
"Albuquerque, NM Metro Area","11,161"
"Alexandria, LA Metro Area","810"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","9,570"
"Altoona, PA Metro Area","915"
"Amarillo, TX Metro Area","3,580"
"Ames, IA Metro Area","1,228"
"Amherst Town-Northampton, MA Metro Area","1,684"
"Anchorage, AK Metro Area","4,177"
"Ann Arbor, MI Metro Area","2,778"
"Anniston-Oxford, AL Metro Area","927"
"Appleton, WI Metro Area","5,022"
"Arecibo, PR Metro Area","1,190"
"Asheville, NC Metro Area","3,010"
"Athens-Clarke County, GA Metro Area","1,588"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","86,406"
"Atlantic City-Hammonton, NJ Metro Area","3,402"
"Auburn-Opelika, AL Metro Area","2,486"
"Augusta-Richmond County, GA-SC Metro Area","5,055"
"Austin-Round Rock-San Marcos, TX Metro Area","30,862"
"Bakersfield-Delano, CA Metro Area","4,165"
"Baltimore-Columbia-Towson, MD Metro Area","36,264"
"Bangor, ME Metro Area","1,522"
"Barnstable Town, MA Metro Area","2,462"
"Baton Rouge, LA Metro Area","10,238"
"Battle Creek, MI Metro Area","841"
"Bay City, MI Metro Area","975"
"Beaumont-Port Arthur, TX Metro Area","2,774"
"Beckley, WV Metro Area","565"
"Bellingham, WA Metro Area","2,374"
"Bend, OR Metro Area","1,749"
"Billings, MT Metro Area","2,183"
"Binghamton, NY Metro Area","2,424"
"Birmingham, AL Metro Area","22,660"
"Bismarck, ND Metro Area","2,197"
"Blacksburg-Christiansburg-Radford, VA Metro Area","1,074"
"Bloomington, IL Metro Area","7,339"
"Bloomington, IN Metro Area","1,187"
"Boise City, ID Metro Area","10,606"
"Boston-Cambridge-Newton, MA-NH Metro Area","78,872"
"Boulder, CO Metro Area","2,587"
"Bowling Green, KY Metro Area","1,721"
"Bozeman, MT Metro Area","1,090"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","1,727"
"Bridgeport-Stamford-Danbury, CT Metro Area","16,443"
"Brownsville-Harlingen, TX Metro Area","3,653"
"Brunswick-St. Simons, GA Metro Area","673"
"Buffalo-Cheektowaga, NY Metro Area","22,224"
"Burlington, NC Metro Area","2,057"
"Burlington-South Burlington, VT Metro Area","2,792"
"Canton-Massillon, OH Metro Area","5,490"
"Cape Coral-Fort Myers, FL Metro Area","6,472"
"Cape Girardeau, MO-IL Metro Area","1,280"
"Carson City, NV Metro Area","629"
"Casper, WY Metro Area","934"
"Cedar Rapids, IA Metro Area","5,765"
"Chambersburg, PA Metro Area","1,721"
"Champaign-Urbana, IL Metro Area","2,448"
"Charleston, WV Metro Area","3,024"
"Charleston-North Charleston, SC Metro Area","8,183"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","60,615"
"Charlottesville, VA Metro Area","1,875"
"Chattanooga, TN-GA Metro Area","10,364"
"Cheyenne, WY Metro Area","1,073"
"Chicago-Naperville-Elgin, IL-IN Metro Area","139,445"
"Chico, CA Metro Area","1,635"
"Cincinnati, OH-KY-IN Metro Area","36,746"
"Clarksville, TN-KY Metro Area","2,697"
"Cleveland, OH Metro Area","34,717"
"Cleveland, TN Metro Area","1,655"
"Coeur d'Alene, ID Metro Area","1,976"
"College Station-Bryan, TX Metro Area","2,082"
"Colorado Springs, CO Metro Area","10,683"
"Columbia, MO Metro Area","3,736"
"Columbia, SC Metro Area","14,670"
"Columbus, GA-AL Metro Area","7,588"
"Columbus, IN Metro Area","841"
"Columbus, OH Metro Area","43,919"
"Corpus Christi, TX Metro Area","4,181"
"Corvallis, OR Metro Area","634"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","2,865"
"Dallas-Fort Worth-Arlington, TX Metro Area","156,151"
"Dalton, GA Metro Area","814"
"Daphne-Fairhope-Foley, AL Metro Area","2,284"
"Davenport-Moline-Rock Island, IA-IL Metro Area","5,271"
"Dayton-Kettering-Beavercreek, OH Metro Area","10,211"
"Decatur, AL Metro Area","1,360"
"Decatur, IL Metro Area","955"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","10,166"
"Denver-Aurora-Centennial, CO Metro Area","47,589"
"Des Moines-West Des Moines, IA Metro Area","27,095"
"Detroit-Warren-Dearborn, MI Metro Area","61,820"
"Dothan, AL Metro Area","1,117"
"Dover, DE Metro Area","2,233"
"Dubuque, IA Metro Area","2,133"
"Duluth, MN-WI Metro Area","3,548"
"Durham-Chapel Hill, NC Metro Area","5,932"
"Eagle Pass, TX Metro Area","351"
"Eau Claire, WI Metro Area","3,003"
"El Centro, CA Metro Area","499"
"Elizabethtown, KY Metro Area","1,466"
"Elkhart-Goshen, IN Metro Area","1,466"
"Elmira, NY Metro Area","896"
"El Paso, TX Metro Area","7,876"
"Enid, OK Metro Area","414"
"Erie, PA Metro Area","4,322"
"Eugene-Springfield, OR Metro Area","3,707"
"Evansville, IN Metro Area","3,094"
"Fairbanks-College, AK Metro Area","616"
"Fargo, ND-MN Metro Area","5,152"
"Farmington, NM Metro Area","680"
"Fayetteville, NC Metro Area","2,299"
"Fayetteville-Springdale-Rogers, AR Metro Area","4,785"
"Flagstaff, AZ Metro Area","972"
"Flint, MI Metro Area","4,164"
"Florence, SC Metro Area","2,533"
"Florence-Muscle Shoals, AL Metro Area","1,431"
"Fond du Lac, WI Metro Area","1,566"
"Fort Collins-Loveland, CO Metro Area","2,906"
"Fort Smith, AR-OK Metro Area","2,284"
"Fort Wayne, IN Metro Area","6,322"
"Fresno, CA Metro Area","8,936"
"Gadsden, AL Metro Area","689"
"Gainesville, FL Metro Area","2,988"
"Gainesville, GA Metro Area","1,789"
"Gettysburg, PA Metro Area","798"
"Glens Falls, NY Metro Area","1,687"
"Goldsboro, NC Metro Area","1,226"
"Grand Forks, ND-MN Metro Area","1,010"
"Grand Island, NE Metro Area","1,184"
"Grand Junction, CO Metro Area","1,440"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","14,597"
"Grants Pass, OR Metro Area","626"
"Great Falls, MT Metro Area","979"
"Greeley, CO Metro Area","4,080"
"Green Bay, WI Metro Area","6,234"
"Greensboro-High Point, NC Metro Area","10,697"
"Greenville, NC Metro Area","1,769"
"Greenville-Anderson-Greer, SC Metro Area","10,015"
"Guayama, PR Metro Area","256"
"Gulfport-Biloxi, MS Metro Area","4,396"
"Hagerstown-Martinsburg, MD-WV Metro Area","3,456"
"Hammond, LA Metro Area","1,033"
"Hanford-Corcoran, CA Metro Area","642"
"Harrisburg-Carlisle, PA Metro Area","10,285"
"Harrisonburg, VA Metro Area","813"
"Hartford-West Hartford-East Hartford, CT Metro Area","27,557"
"Hattiesburg, MS Metro Area","1,541"
"Helena, MT Metro Area","1,206"
"Hickory-Lenoir-Morganton, NC Metro Area","2,447"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","1,995"
"Hinesville, GA Metro Area","560"
"Homosassa Springs, FL Metro Area","914"
"Hot Springs, AR Metro Area","763"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","1,597"
"Houston-Pasadena-The Woodlands, TX Metro Area","82,152"
"Huntington-Ashland, WV-KY-OH Metro Area","3,004"
"Huntsville, AL Metro Area","4,494"
"Idaho Falls, ID Metro Area","1,219"
"Indianapolis-Carmel-Greenwood, IN Metro Area","30,145"
"Iowa City, IA Metro Area","2,261"
"Ithaca, NY Metro Area","572"
"Jackson, MI Metro Area","1,369"
"Jackson, MS Metro Area","8,682"
"Jackson, TN Metro Area","1,620"
"Jacksonville, FL Metro Area","37,844"
"Jacksonville, NC Metro Area","1,336"
"Janesville-Beloit, WI Metro Area","1,531"
"Jefferson City, MO Metro Area","2,499"
"Johnson City, TN Metro Area","2,405"
"Johnstown, PA Metro Area","1,375"
"Jonesboro, AR Metro Area","1,376"
"Joplin, MO-KS Metro Area","2,001"
"Kahului-Wailuku, HI Metro Area","975"
"Kalamazoo-Portage, MI Metro Area","3,518"
"Kankakee, IL Metro Area","1,464"
"Kansas City, MO-KS Metro Area","42,808"
"Kennewick-Richland, WA Metro Area","2,034"
"Kenosha, WI Metro Area","1,877"
"Killeen-Temple, TX Metro Area","4,699"
"Kingsport-Bristol, TN-VA Metro Area","3,451"
"Kingston, NY Metro Area","2,461"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","7,411"
"Knoxville, TN Metro Area","12,074"
"Kokomo, IN Metro Area","468"
"La Crosse-Onalaska, WI-MN Metro Area","2,358"
"Lafayette, LA Metro Area","4,542"
"Lafayette-West Lafayette, IN Metro Area","1,461"
"Lake Charles, LA Metro Area","2,248"
"Lake Havasu City-Kingman, AZ Metro Area","1,979"
"Lakeland-Winter Haven, FL Metro Area","9,750"
"Lancaster, PA Metro Area","6,513"
"Lansing-East Lansing, MI Metro Area","9,164"
"Laredo, TX Metro Area","2,019"
"Las Cruces, NM Metro Area","1,927"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","24,782"
"Lawrence, KS Metro Area","1,544"
"Lawton, OK Metro Area","1,240"
"Lebanon, PA Metro Area","1,369"
"Lewiston, ID-WA Metro Area","1,293"
"Lewiston-Auburn, ME Metro Area","2,061"
"Lexington-Fayette, KY Metro Area","4,635"
"Lexington Park, MD Metro Area","1,249"
"Lima, OH Metro Area","683"
"Lincoln, NE Metro Area","7,038"
"Little Rock-North Little Rock-Conway, AR Metro Area","12,675"
"Logan, UT-ID Metro Area","922"
"Longview, TX Metro Area","3,426"
"Longview-Kelso, WA Metro Area","886"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","132,793"
"Louisville/Jefferson County, KY-IN Metro Area","23,885"
"Lubbock, TX Metro Area","4,174"
"Lynchburg, VA Metro Area","3,309"
"Macon-Bibb County, GA Metro Area","3,963"
"Madison, WI Metro Area","11,676"
"Manchester-Nashua, NH Metro Area","6,603"
"Manhattan, KS Metro Area","1,130"
"Mankato, MN Metro Area","843"
"Mansfield, OH Metro Area","914"
"Mayagüez, PR Metro Area","904"
"McAllen-Edinburg-Mission, TX Metro Area","5,330"
"Medford, OR Metro Area","1,862"
"Memphis, TN-MS-AR Metro Area","14,214"
"Merced, CA Metro Area","1,230"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","75,902"
"Michigan City-La Porte, IN Metro Area","912"
"Midland, MI Metro Area","880"
"Midland, TX Metro Area","1,258"
"Milwaukee-Waukesha, WI Metro Area","24,545"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","68,230"
"Minot, ND Metro Area","1,089"
"Missoula, MT Metro Area","1,472"
"Mobile, AL Metro Area","4,782"
"Modesto, CA Metro Area","3,403"
"Monroe, LA Metro Area","3,217"
"Monroe, MI Metro Area","1,335"
"Montgomery, AL Metro Area","5,033"
"Morgantown, WV Metro Area","624"
"Morristown, TN Metro Area","627"
"Mount Vernon-Anacortes, WA Metro Area","982"
"Muncie, IN Metro Area","1,498"
"Muskegon-Norton Shores, MI Metro Area","1,265"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","3,509"
"Napa, CA Metro Area","1,000"
"Naples-Marco Island, FL Metro Area","3,914"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","30,681"
"New Haven, CT Metro Area","7,422"
"New Orleans-Metairie, LA Metro Area","9,430"
"New York-Newark-Jersey City, NY-NJ Metro Area","285,230"
"Niles, MI Metro Area","1,287"
"North Port-Bradenton-Sarasota, FL Metro Area","8,946"
"Norwich-New London-Willimantic, CT Metro Area","2,735"
"Ocala, FL Metro Area","4,080"
"Odessa, TX Metro Area","1,246"
"Ogden, UT Metro Area","8,259"
"Oklahoma City, OK Metro Area","19,807"
"Olympia-Lacey-Tumwater, WA Metro Area","3,538"
"Omaha, NE-IA Metro Area","22,359"
"Orlando-Kissimmee-Sanford, FL Metro Area","34,932"
"Oshkosh-Neenah, WI Metro Area","2,582"
"Owensboro, KY Metro Area","1,793"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","10,354"
"Paducah, KY-IL Metro Area","917"
"Palm Bay-Melbourne-Titusville, FL Metro Area","6,677"
"Panama City-Panama City Beach, FL Metro Area","2,345"
"Parkersburg-Vienna, WV Metro Area","1,069"
"Pensacola-Ferry Pass-Brent, FL Metro Area","9,397"
"Peoria, IL Metro Area","5,013"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","104,553"
"Phoenix-Mesa-Chandler, AZ Metro Area","98,545"
"Pinehurst-Southern Pines, NC Metro Area","716"
"Pittsburgh, PA Metro Area","40,102"
"Pittsfield, MA Metro Area","1,367"
"Pocatello, ID Metro Area","1,090"
"Ponce, PR Metro Area","1,230"
"Portland-South Portland, ME Metro Area","11,309"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","29,672"
"Port St. Lucie, FL Metro Area","5,541"
"Prescott Valley-Prescott, AZ Metro Area","2,016"
"Providence-Warwick, RI-MA Metro Area","23,529"
"Provo-Orem-Lehi, UT Metro Area","6,569"
"Pueblo, CO Metro Area","1,030"
"Punta Gorda, FL Metro Area","1,619"
"Racine-Mount Pleasant, WI Metro Area","2,126"
"Raleigh-Cary, NC Metro Area","22,382"
"Rapid City, SD Metro Area","2,324"
"Reading, PA Metro Area","5,001"
"Redding, CA Metro Area","2,112"
"Reno, NV Metro Area","5,211"
"Richmond, VA Metro Area","29,582"
"Riverside-San Bernardino-Ontario, CA Metro Area","34,651"
"Roanoke, VA Metro Area","4,720"
"Rochester, MN Metro Area","1,590"
"Rochester, NY Metro Area","11,290"
"Rockford, IL Metro Area","3,617"
"Rocky Mount, NC Metro Area","1,698"
"Rome, GA Metro Area","394"
"Sacramento-Roseville-Folsom, CA Metro Area","28,456"
"Saginaw, MI Metro Area","2,195"
"St. Cloud, MN Metro Area","2,458"
"St. George, UT Metro Area","1,694"
"St. Joseph, MO-KS Metro Area","1,469"
"St. Louis, MO-IL Metro Area","51,234"
"Salem, OR Metro Area","3,826"
"Salinas, CA Metro Area","2,102"
"Salisbury, MD Metro Area","1,022"
"Salt Lake City-Murray, UT Metro Area","21,197"
"San Angelo, TX Metro Area","1,579"
"San Antonio-New Braunfels, TX Metro Area","43,857"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","30,455"
"Sandusky, OH Metro Area","882"
"San Francisco-Oakland-Fremont, CA Metro Area","56,302"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","14,807"
"San Juan-Bayamón-Caguas, PR Metro Area","25,803"
"San Luis Obispo-Paso Robles, CA Metro Area","1,876"
"Santa Cruz-Watsonville, CA Metro Area","1,651"
"Santa Fe, NM Metro Area","932"
"Santa Maria-Santa Barbara, CA Metro Area","2,790"
"Santa Rosa-Petaluma, CA Metro Area","4,170"
