"Region","Information"
"Abilene, TX Metro Area","314"
"Aguadilla, PR Metro Area","250"
"Akron, OH Metro Area","2,030"
"Albany, GA Metro Area","177"
"Albany, OR Metro Area","154"
"Albany-Schenectady-Troy, NY Metro Area","3,622"
"Albuquerque, NM Metro Area","2,474"
"Alexandria, LA Metro Area","239"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","3,035"
"Altoona, PA Metro Area","339"
"Amarillo, TX Metro Area","673"
"Ames, IA Metro Area","317"
"Amherst Town-Northampton, MA Metro Area","668"
"Anchorage, AK Metro Area","1,501"
"Ann Arbor, MI Metro Area","1,517"
"Anniston-Oxford, AL Metro Area","297"
"Appleton, WI Metro Area","672"
"Arecibo, PR Metro Area","299"
"Asheville, NC Metro Area","920"
"Athens-Clarke County, GA Metro Area","510"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","33,034"
"Atlantic City-Hammonton, NJ Metro Area","807"
"Auburn-Opelika, AL Metro Area","374"
"Augusta-Richmond County, GA-SC Metro Area","1,623"
"Austin-Round Rock-San Marcos, TX Metro Area","14,276"
"Bakersfield-Delano, CA Metro Area","1,337"
"Baltimore-Columbia-Towson, MD Metro Area","9,375"
"Bangor, ME Metro Area","309"
"Barnstable Town, MA Metro Area","935"
"Baton Rouge, LA Metro Area","3,570"
"Battle Creek, MI Metro Area","222"
"Bay City, MI Metro Area","262"
"Beaumont-Port Arthur, TX Metro Area","568"
"Beckley, WV Metro Area","302"
"Bellingham, WA Metro Area","783"
"Bend, OR Metro Area","533"
"Billings, MT Metro Area","497"
"Binghamton, NY Metro Area","558"
"Birmingham, AL Metro Area","3,601"
"Bismarck, ND Metro Area","572"
"Blacksburg-Christiansburg-Radford, VA Metro Area","431"
"Bloomington, IL Metro Area","265"
"Bloomington, IN Metro Area","689"
"Boise City, ID Metro Area","3,581"
"Boston-Cambridge-Newton, MA-NH Metro Area","26,181"
"Boulder, CO Metro Area","2,010"
"Bowling Green, KY Metro Area","215"
"Bozeman, MT Metro Area","417"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","585"
"Bridgeport-Stamford-Danbury, CT Metro Area","5,759"
"Brownsville-Harlingen, TX Metro Area","783"
"Brunswick-St. Simons, GA Metro Area","170"
"Buffalo-Cheektowaga, NY Metro Area","3,479"
"Burlington, NC Metro Area","431"
"Burlington-South Burlington, VT Metro Area","1,028"
"Canton-Massillon, OH Metro Area","1,031"
"Cape Coral-Fort Myers, FL Metro Area","2,049"
"Cape Girardeau, MO-IL Metro Area","233"
"Carson City, NV Metro Area","296"
"Casper, WY Metro Area","169"
"Cedar Rapids, IA Metro Area","1,163"
"Chambersburg, PA Metro Area","302"
"Champaign-Urbana, IL Metro Area","1,030"
"Charleston, WV Metro Area","569"
"Charleston-North Charleston, SC Metro Area","3,575"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","10,728"
"Charlottesville, VA Metro Area","1,013"
"Chattanooga, TN-GA Metro Area","1,251"
"Cheyenne, WY Metro Area","299"
"Chicago-Naperville-Elgin, IL-IN Metro Area","36,277"
"Chico, CA Metro Area","749"
"Cincinnati, OH-KY-IN Metro Area","6,485"
"Clarksville, TN-KY Metro Area","615"
"Cleveland, OH Metro Area","6,771"
"Cleveland, TN Metro Area","85"
"Coeur d'Alene, ID Metro Area","382"
"College Station-Bryan, TX Metro Area","613"
"Colorado Springs, CO Metro Area","3,065"
"Columbia, MO Metro Area","589"
"Columbia, SC Metro Area","3,097"
"Columbus, GA-AL Metro Area","943"
"Columbus, IN Metro Area","157"
"Columbus, OH Metro Area","7,608"
"Corpus Christi, TX Metro Area","583"
"Corvallis, OR Metro Area","260"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","438"
"Dallas-Fort Worth-Arlington, TX Metro Area","29,244"
"Dalton, GA Metro Area","189"
"Daphne-Fairhope-Foley, AL Metro Area","404"
"Davenport-Moline-Rock Island, IA-IL Metro Area","1,326"
"Dayton-Kettering-Beavercreek, OH Metro Area","2,741"
"Decatur, AL Metro Area","295"
"Decatur, IL Metro Area","246"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","1,857"
"Denver-Aurora-Centennial, CO Metro Area","19,154"
"Des Moines-West Des Moines, IA Metro Area","3,213"
"Detroit-Warren-Dearborn, MI Metro Area","11,911"
"Dothan, AL Metro Area","227"
"Dover, DE Metro Area","277"
"Dubuque, IA Metro Area","507"
"Duluth, MN-WI Metro Area","653"
"Durham-Chapel Hill, NC Metro Area","2,182"
"Eagle Pass, TX Metro Area","14"
"Eau Claire, WI Metro Area","729"
"El Centro, CA Metro Area","152"
"Elizabethtown, KY Metro Area","336"
"Elkhart-Goshen, IN Metro Area","337"
"Elmira, NY Metro Area","204"
"El Paso, TX Metro Area","2,035"
"Enid, OK Metro Area","42"
"Erie, PA Metro Area","396"
"Eugene-Springfield, OR Metro Area","884"
"Evansville, IN Metro Area","1,110"
"Fairbanks-College, AK Metro Area","96"
"Fargo, ND-MN Metro Area","817"
"Farmington, NM Metro Area","117"
"Fayetteville, NC Metro Area","664"
"Fayetteville-Springdale-Rogers, AR Metro Area","984"
"Flagstaff, AZ Metro Area","270"
"Flint, MI Metro Area","681"
"Florence, SC Metro Area","299"
"Florence-Muscle Shoals, AL Metro Area","150"
"Fond du Lac, WI Metro Area","361"
"Fort Collins-Loveland, CO Metro Area","997"
"Fort Smith, AR-OK Metro Area","328"
"Fort Wayne, IN Metro Area","1,204"
"Fresno, CA Metro Area","2,624"
"Gadsden, AL Metro Area","211"
"Gainesville, FL Metro Area","756"
"Gainesville, GA Metro Area","448"
"Gettysburg, PA Metro Area","368"
"Glens Falls, NY Metro Area","223"
"Goldsboro, NC Metro Area","292"
"Grand Forks, ND-MN Metro Area","253"
"Grand Island, NE Metro Area","137"
"Grand Junction, CO Metro Area","458"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","2,755"
"Grants Pass, OR Metro Area","100"
"Great Falls, MT Metro Area","97"
"Greeley, CO Metro Area","1,036"
"Green Bay, WI Metro Area","778"
"Greensboro-High Point, NC Metro Area","1,882"
"Greenville, NC Metro Area","425"
"Greenville-Anderson-Greer, SC Metro Area","2,628"
"Guayama, PR Metro Area","137"
"Gulfport-Biloxi, MS Metro Area","733"
"Hagerstown-Martinsburg, MD-WV Metro Area","948"
"Hammond, LA Metro Area","204"
"Hanford-Corcoran, CA Metro Area","137"
"Harrisburg-Carlisle, PA Metro Area","1,547"
"Harrisonburg, VA Metro Area","338"
"Hartford-West Hartford-East Hartford, CT Metro Area","4,111"
"Hattiesburg, MS Metro Area","298"
"Helena, MT Metro Area","256"
"Hickory-Lenoir-Morganton, NC Metro Area","548"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","786"
"Hinesville, GA Metro Area","100"
"Homosassa Springs, FL Metro Area","442"
"Hot Springs, AR Metro Area","216"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","327"
"Houston-Pasadena-The Woodlands, TX Metro Area","14,898"
"Huntington-Ashland, WV-KY-OH Metro Area","1,202"
"Huntsville, AL Metro Area","1,605"
"Idaho Falls, ID Metro Area","523"
"Indianapolis-Carmel-Greenwood, IN Metro Area","5,708"
"Iowa City, IA Metro Area","747"
"Ithaca, NY Metro Area","345"
"Jackson, MI Metro Area","487"
"Jackson, MS Metro Area","1,776"
"Jackson, TN Metro Area","425"
"Jacksonville, FL Metro Area","4,945"
"Jacksonville, NC Metro Area","506"
"Janesville-Beloit, WI Metro Area","593"
"Jefferson City, MO Metro Area","404"
"Johnson City, TN Metro Area","561"
"Johnstown, PA Metro Area","326"
"Jonesboro, AR Metro Area","231"
"Joplin, MO-KS Metro Area","687"
"Kahului-Wailuku, HI Metro Area","475"
"Kalamazoo-Portage, MI Metro Area","693"
"Kankakee, IL Metro Area","258"
"Kansas City, MO-KS Metro Area","10,375"
"Kennewick-Richland, WA Metro Area","467"
"Kenosha, WI Metro Area","442"
"Killeen-Temple, TX Metro Area","1,217"
"Kingsport-Bristol, TN-VA Metro Area","811"
"Kingston, NY Metro Area","1,000"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","3,159"
"Knoxville, TN Metro Area","2,614"
"Kokomo, IN Metro Area","123"
"La Crosse-Onalaska, WI-MN Metro Area","512"
"Lafayette, LA Metro Area","881"
"Lafayette-West Lafayette, IN Metro Area","415"
"Lake Charles, LA Metro Area","385"
"Lake Havasu City-Kingman, AZ Metro Area","217"
"Lakeland-Winter Haven, FL Metro Area","1,565"
"Lancaster, PA Metro Area","1,594"
"Lansing-East Lansing, MI Metro Area","1,411"
"Laredo, TX Metro Area","379"
"Las Cruces, NM Metro Area","269"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","6,640"
"Lawrence, KS Metro Area","453"
"Lawton, OK Metro Area","185"
"Lebanon, PA Metro Area","511"
"Lewiston, ID-WA Metro Area","126"
"Lewiston-Auburn, ME Metro Area","532"
"Lexington-Fayette, KY Metro Area","1,164"
"Lexington Park, MD Metro Area","457"
"Lima, OH Metro Area","213"
"Lincoln, NE Metro Area","911"
"Little Rock-North Little Rock-Conway, AR Metro Area","2,260"
"Logan, UT-ID Metro Area","172"
"Longview, TX Metro Area","605"
"Longview-Kelso, WA Metro Area","170"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","96,104"
"Louisville/Jefferson County, KY-IN Metro Area","3,918"
"Lubbock, TX Metro Area","1,275"
"Lynchburg, VA Metro Area","845"
"Macon-Bibb County, GA Metro Area","479"
"Madison, WI Metro Area","3,556"
"Manchester-Nashua, NH Metro Area","2,220"
"Manhattan, KS Metro Area","432"
"Mankato, MN Metro Area","524"
"Mansfield, OH Metro Area","405"
"Mayagüez, PR Metro Area","301"
"McAllen-Edinburg-Mission, TX Metro Area","1,471"
"Medford, OR Metro Area","858"
"Memphis, TN-MS-AR Metro Area","3,151"
"Merced, CA Metro Area","362"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","20,799"
"Michigan City-La Porte, IN Metro Area","178"
"Midland, MI Metro Area","206"
"Midland, TX Metro Area","287"
"Milwaukee-Waukesha, WI Metro Area","4,600"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","11,804"
"Minot, ND Metro Area","85"
"Missoula, MT Metro Area","608"
"Mobile, AL Metro Area","927"
"Modesto, CA Metro Area","823"
"Monroe, LA Metro Area","1,224"
"Monroe, MI Metro Area","278"
"Montgomery, AL Metro Area","719"
"Morgantown, WV Metro Area","399"
"Morristown, TN Metro Area","282"
"Mount Vernon-Anacortes, WA Metro Area","309"
"Muncie, IN Metro Area","322"
"Muskegon-Norton Shores, MI Metro Area","255"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","1,161"
"Napa, CA Metro Area","382"
"Naples-Marco Island, FL Metro Area","719"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","10,028"
"New Haven, CT Metro Area","2,249"
"New Orleans-Metairie, LA Metro Area","2,924"
"New York-Newark-Jersey City, NY-NJ Metro Area","134,609"
"Niles, MI Metro Area","363"
"North Port-Bradenton-Sarasota, FL Metro Area","1,808"
"Norwich-New London-Willimantic, CT Metro Area","1,065"
"Ocala, FL Metro Area","928"
"Odessa, TX Metro Area","243"
"Ogden, UT Metro Area","1,679"
"Oklahoma City, OK Metro Area","4,333"
"Olympia-Lacey-Tumwater, WA Metro Area","761"
"Omaha, NE-IA Metro Area","3,466"
"Orlando-Kissimmee-Sanford, FL Metro Area","9,492"
"Oshkosh-Neenah, WI Metro Area","524"
"Owensboro, KY Metro Area","253"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","3,599"
"Paducah, KY-IL Metro Area","372"
"Palm Bay-Melbourne-Titusville, FL Metro Area","1,735"
"Panama City-Panama City Beach, FL Metro Area","364"
"Parkersburg-Vienna, WV Metro Area","135"
"Pensacola-Ferry Pass-Brent, FL Metro Area","868"
"Peoria, IL Metro Area","725"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","23,170"
"Phoenix-Mesa-Chandler, AZ Metro Area","14,749"
"Pinehurst-Southern Pines, NC Metro Area","269"
"Pittsburgh, PA Metro Area","6,886"
"Pittsfield, MA Metro Area","561"
"Pocatello, ID Metro Area","81"
"Ponce, PR Metro Area","322"
"Portland-South Portland, ME Metro Area","2,905"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","8,611"
"Port St. Lucie, FL Metro Area","989"
"Prescott Valley-Prescott, AZ Metro Area","391"
"Providence-Warwick, RI-MA Metro Area","5,067"
"Provo-Orem-Lehi, UT Metro Area","2,803"
"Pueblo, CO Metro Area","502"
"Punta Gorda, FL Metro Area","449"
"Racine-Mount Pleasant, WI Metro Area","527"
"Raleigh-Cary, NC Metro Area","6,441"
"Rapid City, SD Metro Area","427"
"Reading, PA Metro Area","887"
"Redding, CA Metro Area","374"
"Reno, NV Metro Area","1,996"
"Richmond, VA Metro Area","3,941"
"Riverside-San Bernardino-Ontario, CA Metro Area","9,066"
"Roanoke, VA Metro Area","722"
"Rochester, MN Metro Area","462"
"Rochester, NY Metro Area","4,096"
"Rockford, IL Metro Area","574"
"Rocky Mount, NC Metro Area","419"
"Rome, GA Metro Area","199"
"Sacramento-Roseville-Folsom, CA Metro Area","6,146"
"Saginaw, MI Metro Area","562"
"St. Cloud, MN Metro Area","209"
"St. George, UT Metro Area","405"
"St. Joseph, MO-KS Metro Area","193"
"St. Louis, MO-IL Metro Area","11,546"
"Salem, OR Metro Area","714"
"Salinas, CA Metro Area","988"
"Salisbury, MD Metro Area","259"
"Salt Lake City-Murray, UT Metro Area","5,736"
"San Angelo, TX Metro Area","341"
"San Antonio-New Braunfels, TX Metro Area","6,412"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","11,363"
"Sandusky, OH Metro Area","324"
"San Francisco-Oakland-Fremont, CA Metro Area","40,100"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","20,471"
"San Juan-Bayamón-Caguas, PR Metro Area","5,429"
"San Luis Obispo-Paso Robles, CA Metro Area","735"
"Santa Cruz-Watsonville, CA Metro Area","1,077"
"Santa Fe, NM Metro Area","478"
"Santa Maria-Santa Barbara, CA Metro Area","1,605"
"Santa Rosa-Petaluma, CA Metro Area","1,311"
"Savannah, GA Metro Area","1,213"
"Scranton--Wilkes-Barre, PA Metro Area","1,444"
"Seattle-Tacoma-Bellevue, WA Metro Area","22,921"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","335"
"Sebring, FL Metro Area","88"
"Sheboygan, WI Metro Area","162"
"Sherman-Denison, TX Metro Area","349"
"Shreveport-Bossier City, LA Metro Area","640"
"Sierra Vista-Douglas, AZ Metro Area","238"
"Sioux City, IA-NE-SD Metro Area","464"
"Sioux Falls, SD-MN Metro Area","936"
"Slidell-Mandeville-Covington, LA Metro Area","582"
"South Bend-Mishawaka, IN-MI Metro Area","915"
"Spartanburg, SC Metro Area","897"
"Spokane-Spokane Valley, WA Metro Area","1,935"
"Springfield, IL Metro Area","436"
"Springfield, MA Metro Area","1,294"
"Springfield, MO Metro Area","1,510"
"Springfield, OH Metro Area","230"
"State College, PA Metro Area","303"
"Staunton-Stuarts Draft, VA Metro Area","300"
"Stockton-Lodi, CA Metro Area","1,461"
"Sumter, SC Metro Area","215"
"Syracuse, NY Metro Area","2,589"
"Tallahassee, FL Metro Area","969"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","10,455"
"Terre Haute, IN Metro Area","397"
"Texarkana, TX-AR Metro Area","112"
"Toledo, OH Metro Area","1,918"
"Topeka, KS Metro Area","599"
"Traverse City, MI Metro Area","389"
"Trenton-Princeton, NJ Metro Area","1,939"
"Tucson, AZ Metro Area","2,728"
"Tulsa, OK Metro Area","3,852"
"Tuscaloosa, AL Metro Area","230"
"Twin Falls, ID Metro Area","227"
"Tyler, TX Metro Area","626"
"Urban Honolulu, HI Metro Area","3,606"
"Utica-Rome, NY Metro Area","561"
"Valdosta, GA Metro Area","234"
"Vallejo, CA Metro Area","1,273"
"Victoria, TX Metro Area","289"
"Vineland, NJ Metro Area","147"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","5,356"
"Visalia, CA Metro Area","400"
"Waco, TX Metro Area","676"
"Walla Walla, WA Metro Area","236"
"Warner Robins, GA Metro Area","389"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","30,992"
"Waterbury-Shelton, CT Metro Area","1,502"
"Waterloo-Cedar Falls, IA Metro Area","523"
"Watertown-Fort Drum, NY Metro Area","409"
"Wausau, WI Metro Area","337"
"Weirton-Steubenville, WV-OH Metro Area","250"
"Wenatchee-East Wenatchee, WA Metro Area","168"
"Wheeling, WV-OH Metro Area","239"
"Wichita, KS Metro Area","1,800"
"Wichita Falls, TX Metro Area","378"
"Wildwood-The Villages, FL Metro Area","96"
"Williamsport, PA Metro Area","58"
"Wilmington, NC Metro Area","2,012"
"Winchester, VA-WV Metro Area","390"
"Winston-Salem, NC Metro Area","1,453"
"Worcester, MA Metro Area","2,503"
"Yakima, WA Metro Area","373"
"York-Hanover, PA Metro Area","910"
"Youngstown-Warren, OH Metro Area","1,342"
"Yuba City, CA Metro Area","374"
"Yuma, AZ Metro Area","276"
