"Region","Management of companies and enterprises"
"Abilene, TX Metro Area","22"
"Aguadilla, PR Metro Area","33"
"Akron, OH Metro Area","249"
"Albany, GA Metro Area","47"
"Albany, OR Metro Area","26"
"Albany-Schenectady-Troy, NY Metro Area","149"
"Albuquerque, NM Metro Area","75"
"Alexandria, LA Metro Area","48"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","176"
"Altoona, PA Metro Area","29"
"Amarillo, TX Metro Area","43"
"Ames, IA Metro Area","17"
"Amherst Town-Northampton, MA Metro Area","30"
"Anchorage, AK Metro Area","200"
"Ann Arbor, MI Metro Area","159"
"Anniston-Oxford, AL Metro Area","33"
"Appleton, WI Metro Area","25"
"Arecibo, PR Metro Area","37"
"Asheville, NC Metro Area","37"
"Athens-Clarke County, GA Metro Area","120"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","2,834"
"Atlantic City-Hammonton, NJ Metro Area","114"
"Auburn-Opelika, AL Metro Area","0"
"Augusta-Richmond County, GA-SC Metro Area","55"
"Austin-Round Rock-San Marcos, TX Metro Area","753"
"Bakersfield-Delano, CA Metro Area","176"
"Baltimore-Columbia-Towson, MD Metro Area","726"
"Bangor, ME Metro Area","21"
"Barnstable Town, MA Metro Area","0"
"Baton Rouge, LA Metro Area","282"
"Battle Creek, MI Metro Area","14"
"Bay City, MI Metro Area","0"
"Beaumont-Port Arthur, TX Metro Area","88"
"Beckley, WV Metro Area","0"
"Bellingham, WA Metro Area","27"
"Bend, OR Metro Area","196"
"Billings, MT Metro Area","64"
"Binghamton, NY Metro Area","23"
"Birmingham, AL Metro Area","267"
"Bismarck, ND Metro Area","63"
"Blacksburg-Christiansburg-Radford, VA Metro Area","0"
"Bloomington, IL Metro Area","119"
"Bloomington, IN Metro Area","0"
"Boise City, ID Metro Area","281"
"Boston-Cambridge-Newton, MA-NH Metro Area","1,889"
"Boulder, CO Metro Area","35"
"Bowling Green, KY Metro Area","38"
"Bozeman, MT Metro Area","18"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","56"
"Bridgeport-Stamford-Danbury, CT Metro Area","663"
"Brownsville-Harlingen, TX Metro Area","54"
"Brunswick-St. Simons, GA Metro Area","7"
"Buffalo-Cheektowaga, NY Metro Area","239"
"Burlington, NC Metro Area","27"
"Burlington-South Burlington, VT Metro Area","17"
"Canton-Massillon, OH Metro Area","114"
"Cape Coral-Fort Myers, FL Metro Area","96"
"Cape Girardeau, MO-IL Metro Area","2"
"Carson City, NV Metro Area","17"
"Casper, WY Metro Area","0"
"Cedar Rapids, IA Metro Area","27"
"Chambersburg, PA Metro Area","0"
"Champaign-Urbana, IL Metro Area","30"
"Charleston, WV Metro Area","107"
"Charleston-North Charleston, SC Metro Area","221"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","1,343"
"Charlottesville, VA Metro Area","24"
"Chattanooga, TN-GA Metro Area","94"
"Cheyenne, WY Metro Area","19"
"Chicago-Naperville-Elgin, IL-IN Metro Area","3,574"
"Chico, CA Metro Area","60"
"Cincinnati, OH-KY-IN Metro Area","641"
"Clarksville, TN-KY Metro Area","78"
"Cleveland, OH Metro Area","856"
"Cleveland, TN Metro Area","25"
"Coeur d'Alene, ID Metro Area","14"
"College Station-Bryan, TX Metro Area","5"
"Colorado Springs, CO Metro Area","88"
"Columbia, MO Metro Area","180"
"Columbia, SC Metro Area","218"
"Columbus, GA-AL Metro Area","0"
"Columbus, IN Metro Area","8"
"Columbus, OH Metro Area","992"
"Corpus Christi, TX Metro Area","119"
"Corvallis, OR Metro Area","0"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","59"
"Dallas-Fort Worth-Arlington, TX Metro Area","4,115"
"Dalton, GA Metro Area","32"
"Daphne-Fairhope-Foley, AL Metro Area","54"
"Davenport-Moline-Rock Island, IA-IL Metro Area","135"
"Dayton-Kettering-Beavercreek, OH Metro Area","695"
"Decatur, AL Metro Area","75"
"Decatur, IL Metro Area","89"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","265"
"Denver-Aurora-Centennial, CO Metro Area","1,154"
"Des Moines-West Des Moines, IA Metro Area","272"
"Detroit-Warren-Dearborn, MI Metro Area","1,628"
"Dothan, AL Metro Area","15"
"Dover, DE Metro Area","65"
"Dubuque, IA Metro Area","22"
"Duluth, MN-WI Metro Area","60"
"Durham-Chapel Hill, NC Metro Area","328"
"Eagle Pass, TX Metro Area","0"
"Eau Claire, WI Metro Area","60"
"El Centro, CA Metro Area","0"
"Elizabethtown, KY Metro Area","25"
"Elkhart-Goshen, IN Metro Area","52"
"Elmira, NY Metro Area","16"
"El Paso, TX Metro Area","143"
"Enid, OK Metro Area","73"
"Erie, PA Metro Area","60"
"Eugene-Springfield, OR Metro Area","81"
"Evansville, IN Metro Area","7"
"Fairbanks-College, AK Metro Area","0"
"Fargo, ND-MN Metro Area","174"
"Farmington, NM Metro Area","0"
"Fayetteville, NC Metro Area","20"
"Fayetteville-Springdale-Rogers, AR Metro Area","517"
"Flagstaff, AZ Metro Area","22"
"Flint, MI Metro Area","172"
"Florence, SC Metro Area","360"
"Florence-Muscle Shoals, AL Metro Area","12"
"Fond du Lac, WI Metro Area","22"
"Fort Collins-Loveland, CO Metro Area","105"
"Fort Smith, AR-OK Metro Area","85"
"Fort Wayne, IN Metro Area","26"
"Fresno, CA Metro Area","270"
"Gadsden, AL Metro Area","37"
"Gainesville, FL Metro Area","13"
"Gainesville, GA Metro Area","122"
"Gettysburg, PA Metro Area","13"
"Glens Falls, NY Metro Area","16"
"Goldsboro, NC Metro Area","0"
"Grand Forks, ND-MN Metro Area","1"
"Grand Island, NE Metro Area","42"
"Grand Junction, CO Metro Area","23"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","339"
"Grants Pass, OR Metro Area","0"
"Great Falls, MT Metro Area","32"
"Greeley, CO Metro Area","374"
"Green Bay, WI Metro Area","75"
"Greensboro-High Point, NC Metro Area","314"
"Greenville, NC Metro Area","8"
"Greenville-Anderson-Greer, SC Metro Area","288"
"Guayama, PR Metro Area","0"
"Gulfport-Biloxi, MS Metro Area","55"
"Hagerstown-Martinsburg, MD-WV Metro Area","27"
"Hammond, LA Metro Area","35"
"Hanford-Corcoran, CA Metro Area","23"
"Harrisburg-Carlisle, PA Metro Area","147"
"Harrisonburg, VA Metro Area","17"
"Hartford-West Hartford-East Hartford, CT Metro Area","405"
"Hattiesburg, MS Metro Area","69"
"Helena, MT Metro Area","34"
"Hickory-Lenoir-Morganton, NC Metro Area","53"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","38"
"Hinesville, GA Metro Area","37"
"Homosassa Springs, FL Metro Area","0"
"Hot Springs, AR Metro Area","13"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","0"
"Houston-Pasadena-The Woodlands, TX Metro Area","3,520"
"Huntington-Ashland, WV-KY-OH Metro Area","12"
"Huntsville, AL Metro Area","102"
"Idaho Falls, ID Metro Area","0"
"Indianapolis-Carmel-Greenwood, IN Metro Area","568"
"Iowa City, IA Metro Area","16"
"Ithaca, NY Metro Area","36"
"Jackson, MI Metro Area","45"
"Jackson, MS Metro Area","78"
"Jackson, TN Metro Area","0"
"Jacksonville, FL Metro Area","420"
"Jacksonville, NC Metro Area","36"
"Janesville-Beloit, WI Metro Area","106"
"Jefferson City, MO Metro Area","27"
"Johnson City, TN Metro Area","60"
"Johnstown, PA Metro Area","17"
"Jonesboro, AR Metro Area","0"
"Joplin, MO-KS Metro Area","94"
"Kahului-Wailuku, HI Metro Area","9"
"Kalamazoo-Portage, MI Metro Area","36"
"Kankakee, IL Metro Area","0"
"Kansas City, MO-KS Metro Area","459"
"Kennewick-Richland, WA Metro Area","48"
"Kenosha, WI Metro Area","60"
"Killeen-Temple, TX Metro Area","91"
"Kingsport-Bristol, TN-VA Metro Area","81"
"Kingston, NY Metro Area","52"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","61"
"Knoxville, TN Metro Area","389"
"Kokomo, IN Metro Area","38"
"La Crosse-Onalaska, WI-MN Metro Area","31"
"Lafayette, LA Metro Area","9"
"Lafayette-West Lafayette, IN Metro Area","2"
"Lake Charles, LA Metro Area","0"
"Lake Havasu City-Kingman, AZ Metro Area","0"
"Lakeland-Winter Haven, FL Metro Area","236"
"Lancaster, PA Metro Area","44"
"Lansing-East Lansing, MI Metro Area","32"
"Laredo, TX Metro Area","0"
"Las Cruces, NM Metro Area","20"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","815"
"Lawrence, KS Metro Area","13"
"Lawton, OK Metro Area","15"
"Lebanon, PA Metro Area","32"
"Lewiston, ID-WA Metro Area","8"
"Lewiston-Auburn, ME Metro Area","0"
"Lexington-Fayette, KY Metro Area","103"
"Lexington Park, MD Metro Area","55"
"Lima, OH Metro Area","8"
"Lincoln, NE Metro Area","31"
"Little Rock-North Little Rock-Conway, AR Metro Area","143"
"Logan, UT-ID Metro Area","0"
"Longview, TX Metro Area","0"
"Longview-Kelso, WA Metro Area","0"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","3,938"
"Louisville/Jefferson County, KY-IN Metro Area","361"
"Lubbock, TX Metro Area","87"
"Lynchburg, VA Metro Area","82"
"Macon-Bibb County, GA Metro Area","0"
"Madison, WI Metro Area","223"
"Manchester-Nashua, NH Metro Area","142"
"Manhattan, KS Metro Area","0"
"Mankato, MN Metro Area","40"
"Mansfield, OH Metro Area","0"
"Mayagüez, PR Metro Area","13"
"McAllen-Edinburg-Mission, TX Metro Area","96"
"Medford, OR Metro Area","98"
"Memphis, TN-MS-AR Metro Area","357"
"Merced, CA Metro Area","40"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","1,738"
"Michigan City-La Porte, IN Metro Area","0"
"Midland, MI Metro Area","28"
"Midland, TX Metro Area","113"
"Milwaukee-Waukesha, WI Metro Area","720"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","2,572"
"Minot, ND Metro Area","27"
"Missoula, MT Metro Area","6"
"Mobile, AL Metro Area","48"
"Modesto, CA Metro Area","37"
"Monroe, LA Metro Area","6"
"Monroe, MI Metro Area","17"
"Montgomery, AL Metro Area","137"
"Morgantown, WV Metro Area","13"
"Morristown, TN Metro Area","20"
"Mount Vernon-Anacortes, WA Metro Area","18"
"Muncie, IN Metro Area","0"
"Muskegon-Norton Shores, MI Metro Area","52"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","73"
"Napa, CA Metro Area","18"
"Naples-Marco Island, FL Metro Area","74"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","2,551"
"New Haven, CT Metro Area","402"
"New Orleans-Metairie, LA Metro Area","237"
"New York-Newark-Jersey City, NY-NJ Metro Area","7,332"
"Niles, MI Metro Area","59"
"North Port-Bradenton-Sarasota, FL Metro Area","188"
"Norwich-New London-Willimantic, CT Metro Area","23"
"Ocala, FL Metro Area","6"
"Odessa, TX Metro Area","0"
"Ogden, UT Metro Area","111"
"Oklahoma City, OK Metro Area","428"
"Olympia-Lacey-Tumwater, WA Metro Area","15"
"Omaha, NE-IA Metro Area","392"
"Orlando-Kissimmee-Sanford, FL Metro Area","897"
"Oshkosh-Neenah, WI Metro Area","81"
"Owensboro, KY Metro Area","0"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","325"
"Paducah, KY-IL Metro Area","89"
"Palm Bay-Melbourne-Titusville, FL Metro Area","602"
"Panama City-Panama City Beach, FL Metro Area","127"
"Parkersburg-Vienna, WV Metro Area","0"
"Pensacola-Ferry Pass-Brent, FL Metro Area","15"
"Peoria, IL Metro Area","334"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","2,716"
"Phoenix-Mesa-Chandler, AZ Metro Area","2,310"
"Pinehurst-Southern Pines, NC Metro Area","10"
"Pittsburgh, PA Metro Area","698"
"Pittsfield, MA Metro Area","6"
"Pocatello, ID Metro Area","10"
"Ponce, PR Metro Area","9"
"Portland-South Portland, ME Metro Area","152"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","1,146"
"Port St. Lucie, FL Metro Area","109"
"Prescott Valley-Prescott, AZ Metro Area","166"
"Providence-Warwick, RI-MA Metro Area","1,016"
"Provo-Orem-Lehi, UT Metro Area","172"
"Pueblo, CO Metro Area","55"
"Punta Gorda, FL Metro Area","68"
"Racine-Mount Pleasant, WI Metro Area","81"
"Raleigh-Cary, NC Metro Area","327"
"Rapid City, SD Metro Area","26"
"Reading, PA Metro Area","40"
"Redding, CA Metro Area","17"
"Reno, NV Metro Area","122"
"Richmond, VA Metro Area","703"
"Riverside-San Bernardino-Ontario, CA Metro Area","486"
"Roanoke, VA Metro Area","86"
"Rochester, MN Metro Area","25"
"Rochester, NY Metro Area","173"
"Rockford, IL Metro Area","104"
"Rocky Mount, NC Metro Area","8"
"Rome, GA Metro Area","10"
"Sacramento-Roseville-Folsom, CA Metro Area","988"
"Saginaw, MI Metro Area","108"
"St. Cloud, MN Metro Area","43"
"St. George, UT Metro Area","17"
"St. Joseph, MO-KS Metro Area","5"
"St. Louis, MO-IL Metro Area","1,901"
"Salem, OR Metro Area","9"
"Salinas, CA Metro Area","99"
"Salisbury, MD Metro Area","28"
"Salt Lake City-Murray, UT Metro Area","393"
"San Angelo, TX Metro Area","44"
"San Antonio-New Braunfels, TX Metro Area","1,335"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","1,541"
"Sandusky, OH Metro Area","16"
"San Francisco-Oakland-Fremont, CA Metro Area","1,431"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","590"
"San Juan-Bayamón-Caguas, PR Metro Area","129"
"San Luis Obispo-Paso Robles, CA Metro Area","88"
"Santa Cruz-Watsonville, CA Metro Area","49"
"Santa Fe, NM Metro Area","3"
"Santa Maria-Santa Barbara, CA Metro Area","161"
"Santa Rosa-Petaluma, CA Metro Area","97"
"Savannah, GA Metro Area","107"
"Scranton--Wilkes-Barre, PA Metro Area","129"
"Seattle-Tacoma-Bellevue, WA Metro Area","2,708"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","31"
"Sebring, FL Metro Area","0"
"Sheboygan, WI Metro Area","62"
"Sherman-Denison, TX Metro Area","0"
"Shreveport-Bossier City, LA Metro Area","19"
"Sierra Vista-Douglas, AZ Metro Area","0"
"Sioux City, IA-NE-SD Metro Area","0"
"Sioux Falls, SD-MN Metro Area","318"
"Slidell-Mandeville-Covington, LA Metro Area","0"
"South Bend-Mishawaka, IN-MI Metro Area","148"
"Spartanburg, SC Metro Area","59"
"Spokane-Spokane Valley, WA Metro Area","103"
"Springfield, IL Metro Area","58"
"Springfield, MA Metro Area","38"
"Springfield, MO Metro Area","200"
"Springfield, OH Metro Area","105"
"State College, PA Metro Area","1"
"Staunton-Stuarts Draft, VA Metro Area","35"
"Stockton-Lodi, CA Metro Area","190"
"Sumter, SC Metro Area","45"
"Syracuse, NY Metro Area","169"
"Tallahassee, FL Metro Area","15"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","1,336"
"Terre Haute, IN Metro Area","38"
"Texarkana, TX-AR Metro Area","17"
"Toledo, OH Metro Area","192"
"Topeka, KS Metro Area","34"
"Traverse City, MI Metro Area","4"
"Trenton-Princeton, NJ Metro Area","143"
