"Region","Public administration"
"Abilene, TX Metro Area","1,886"
"Aguadilla, PR Metro Area","2,863"
"Akron, OH Metro Area","4,424"
"Albany, GA Metro Area","2,083"
"Albany, OR Metro Area","2,175"
"Albany-Schenectady-Troy, NY Metro Area","21,938"
"Albuquerque, NM Metro Area","13,881"
"Alexandria, LA Metro Area","2,155"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","4,350"
"Altoona, PA Metro Area","805"
"Amarillo, TX Metro Area","3,085"
"Ames, IA Metro Area","1,274"
"Amherst Town-Northampton, MA Metro Area","1,433"
"Anchorage, AK Metro Area","8,489"
"Ann Arbor, MI Metro Area","2,142"
"Anniston-Oxford, AL Metro Area","1,265"
"Appleton, WI Metro Area","1,473"
"Arecibo, PR Metro Area","2,320"
"Asheville, NC Metro Area","3,186"
"Athens-Clarke County, GA Metro Area","1,706"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","64,709"
"Atlantic City-Hammonton, NJ Metro Area","3,634"
"Auburn-Opelika, AL Metro Area","1,423"
"Augusta-Richmond County, GA-SC Metro Area","6,988"
"Austin-Round Rock-San Marcos, TX Metro Area","39,209"
"Bakersfield-Delano, CA Metro Area","8,912"
"Baltimore-Columbia-Towson, MD Metro Area","67,082"
"Bangor, ME Metro Area","1,521"
"Barnstable Town, MA Metro Area","2,150"
"Baton Rouge, LA Metro Area","14,266"
"Battle Creek, MI Metro Area","1,400"
"Bay City, MI Metro Area","691"
"Beaumont-Port Arthur, TX Metro Area","3,730"
"Beckley, WV Metro Area","1,306"
"Bellingham, WA Metro Area","2,449"
"Bend, OR Metro Area","2,614"
"Billings, MT Metro Area","2,120"
"Binghamton, NY Metro Area","2,243"
"Birmingham, AL Metro Area","10,567"
"Bismarck, ND Metro Area","2,416"
"Blacksburg-Christiansburg-Radford, VA Metro Area","1,295"
"Bloomington, IL Metro Area","1,019"
"Bloomington, IN Metro Area","1,350"
"Boise City, ID Metro Area","8,699"
"Boston-Cambridge-Newton, MA-NH Metro Area","44,003"
"Boulder, CO Metro Area","2,253"
"Bowling Green, KY Metro Area","1,068"
"Bozeman, MT Metro Area","800"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","4,378"
"Bridgeport-Stamford-Danbury, CT Metro Area","5,236"
"Brownsville-Harlingen, TX Metro Area","3,055"
"Brunswick-St. Simons, GA Metro Area","1,579"
"Buffalo-Cheektowaga, NY Metro Area","10,548"
"Burlington, NC Metro Area","1,129"
"Burlington-South Burlington, VT Metro Area","3,480"
"Canton-Massillon, OH Metro Area","2,267"
"Cape Coral-Fort Myers, FL Metro Area","5,084"
"Cape Girardeau, MO-IL Metro Area","1,037"
"Carson City, NV Metro Area","1,633"
"Casper, WY Metro Area","811"
"Cedar Rapids, IA Metro Area","1,643"
"Chambersburg, PA Metro Area","1,633"
"Champaign-Urbana, IL Metro Area","1,447"
"Charleston, WV Metro Area","4,210"
"Charleston-North Charleston, SC Metro Area","9,146"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","16,131"
"Charlottesville, VA Metro Area","1,910"
"Chattanooga, TN-GA Metro Area","3,451"
"Cheyenne, WY Metro Area","2,506"
"Chicago-Naperville-Elgin, IL-IN Metro Area","68,480"
"Chico, CA Metro Area","2,127"
"Cincinnati, OH-KY-IN Metro Area","16,287"
"Clarksville, TN-KY Metro Area","3,607"
"Cleveland, OH Metro Area","19,005"
"Cleveland, TN Metro Area","743"
"Coeur d'Alene, ID Metro Area","1,638"
"College Station-Bryan, TX Metro Area","1,960"
"Colorado Springs, CO Metro Area","7,050"
"Columbia, MO Metro Area","2,052"
"Columbia, SC Metro Area","14,462"
"Columbus, GA-AL Metro Area","4,183"
"Columbus, IN Metro Area","458"
"Columbus, OH Metro Area","22,426"
"Corpus Christi, TX Metro Area","4,467"
"Corvallis, OR Metro Area","835"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","4,139"
"Dallas-Fort Worth-Arlington, TX Metro Area","51,371"
"Dalton, GA Metro Area","650"
"Daphne-Fairhope-Foley, AL Metro Area","1,860"
"Davenport-Moline-Rock Island, IA-IL Metro Area","4,139"
"Dayton-Kettering-Beavercreek, OH Metro Area","8,236"
"Decatur, AL Metro Area","1,145"
"Decatur, IL Metro Area","817"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","5,731"
"Denver-Aurora-Centennial, CO Metro Area","33,727"
"Des Moines-West Des Moines, IA Metro Area","6,234"
"Detroit-Warren-Dearborn, MI Metro Area","32,715"
"Dothan, AL Metro Area","1,446"
"Dover, DE Metro Area","3,913"
"Dubuque, IA Metro Area","427"
"Duluth, MN-WI Metro Area","3,147"
"Durham-Chapel Hill, NC Metro Area","4,924"
"Eagle Pass, TX Metro Area","645"
"Eau Claire, WI Metro Area","1,206"
"El Centro, CA Metro Area","2,436"
"Elizabethtown, KY Metro Area","1,859"
"Elkhart-Goshen, IN Metro Area","723"
"Elmira, NY Metro Area","615"
"El Paso, TX Metro Area","9,988"
"Enid, OK Metro Area","737"
"Erie, PA Metro Area","1,940"
"Eugene-Springfield, OR Metro Area","3,683"
"Evansville, IN Metro Area","1,617"
"Fairbanks-College, AK Metro Area","1,486"
"Fargo, ND-MN Metro Area","2,151"
"Farmington, NM Metro Area","1,255"
"Fayetteville, NC Metro Area","5,075"
"Fayetteville-Springdale-Rogers, AR Metro Area","2,533"
"Flagstaff, AZ Metro Area","1,451"
"Flint, MI Metro Area","2,805"
"Florence, SC Metro Area","1,624"
"Florence-Muscle Shoals, AL Metro Area","1,271"
"Fond du Lac, WI Metro Area","986"
"Fort Collins-Loveland, CO Metro Area","3,291"
"Fort Smith, AR-OK Metro Area","1,643"
"Fort Wayne, IN Metro Area","2,394"
"Fresno, CA Metro Area","14,856"
"Gadsden, AL Metro Area","869"
"Gainesville, FL Metro Area","3,787"
"Gainesville, GA Metro Area","688"
"Gettysburg, PA Metro Area","1,168"
"Glens Falls, NY Metro Area","1,862"
"Goldsboro, NC Metro Area","1,099"
"Grand Forks, ND-MN Metro Area","779"
"Grand Island, NE Metro Area","712"
"Grand Junction, CO Metro Area","1,531"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","6,107"
"Grants Pass, OR Metro Area","917"
"Great Falls, MT Metro Area","968"
"Greeley, CO Metro Area","3,218"
"Green Bay, WI Metro Area","2,448"
"Greensboro-High Point, NC Metro Area","5,050"
"Greenville, NC Metro Area","1,091"
"Greenville-Anderson-Greer, SC Metro Area","6,119"
"Guayama, PR Metro Area","965"
"Gulfport-Biloxi, MS Metro Area","4,745"
"Hagerstown-Martinsburg, MD-WV Metro Area","4,605"
"Hammond, LA Metro Area","1,264"
"Hanford-Corcoran, CA Metro Area","2,246"
"Harrisburg-Carlisle, PA Metro Area","10,526"
"Harrisonburg, VA Metro Area","692"
"Hartford-West Hartford-East Hartford, CT Metro Area","10,318"
"Hattiesburg, MS Metro Area","1,661"
"Helena, MT Metro Area","3,888"
"Hickory-Lenoir-Morganton, NC Metro Area","2,666"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","1,489"
"Hinesville, GA Metro Area","1,137"
"Homosassa Springs, FL Metro Area","880"
"Hot Springs, AR Metro Area","780"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","1,882"
"Houston-Pasadena-The Woodlands, TX Metro Area","49,036"
"Huntington-Ashland, WV-KY-OH Metro Area","3,773"
"Huntsville, AL Metro Area","7,697"
"Idaho Falls, ID Metro Area","1,337"
"Indianapolis-Carmel-Greenwood, IN Metro Area","20,117"
"Iowa City, IA Metro Area","1,212"
"Ithaca, NY Metro Area","646"
"Jackson, MI Metro Area","1,738"
"Jackson, MS Metro Area","9,580"
"Jackson, TN Metro Area","1,579"
"Jacksonville, FL Metro Area","14,703"
"Jacksonville, NC Metro Area","1,891"
"Janesville-Beloit, WI Metro Area","1,471"
"Jefferson City, MO Metro Area","4,911"
"Johnson City, TN Metro Area","1,483"
"Johnstown, PA Metro Area","1,187"
"Jonesboro, AR Metro Area","992"
"Joplin, MO-KS Metro Area","1,267"
"Kahului-Wailuku, HI Metro Area","1,653"
"Kalamazoo-Portage, MI Metro Area","1,762"
"Kankakee, IL Metro Area","601"
"Kansas City, MO-KS Metro Area","22,124"
"Kennewick-Richland, WA Metro Area","2,915"
"Kenosha, WI Metro Area","1,365"
"Killeen-Temple, TX Metro Area","7,686"
"Kingsport-Bristol, TN-VA Metro Area","2,422"
"Kingston, NY Metro Area","1,687"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","6,788"
"Knoxville, TN Metro Area","6,667"
"Kokomo, IN Metro Area","640"
"La Crosse-Onalaska, WI-MN Metro Area","1,754"
"Lafayette, LA Metro Area","3,307"
"Lafayette-West Lafayette, IN Metro Area","1,131"
"Lake Charles, LA Metro Area","1,852"
"Lake Havasu City-Kingman, AZ Metro Area","1,789"
"Lakeland-Winter Haven, FL Metro Area","6,429"
"Lancaster, PA Metro Area","2,564"
"Lansing-East Lansing, MI Metro Area","10,416"
"Laredo, TX Metro Area","2,067"
"Las Cruces, NM Metro Area","2,869"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","15,819"
"Lawrence, KS Metro Area","1,424"
"Lawton, OK Metro Area","1,865"
"Lebanon, PA Metro Area","1,331"
