"Region","Professional, scientific, and technical services"
"Abilene, TX Metro Area","1,360"
"Aguadilla, PR Metro Area","1,586"
"Akron, OH Metro Area","10,583"
"Albany, GA Metro Area","1,471"
"Albany, OR Metro Area","1,215"
"Albany-Schenectady-Troy, NY Metro Area","16,914"
"Albuquerque, NM Metro Area","17,235"
"Alexandria, LA Metro Area","1,037"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","12,079"
"Altoona, PA Metro Area","1,184"
"Amarillo, TX Metro Area","2,421"
"Ames, IA Metro Area","1,652"
"Amherst Town-Northampton, MA Metro Area","2,282"
"Anchorage, AK Metro Area","5,517"
"Ann Arbor, MI Metro Area","6,828"
"Anniston-Oxford, AL Metro Area","767"
"Appleton, WI Metro Area","2,703"
"Arecibo, PR Metro Area","570"
"Asheville, NC Metro Area","6,231"
"Athens-Clarke County, GA Metro Area","3,049"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","149,869"
"Atlantic City-Hammonton, NJ Metro Area","4,920"
"Auburn-Opelika, AL Metro Area","2,480"
"Augusta-Richmond County, GA-SC Metro Area","8,121"
"Austin-Round Rock-San Marcos, TX Metro Area","75,763"
"Bakersfield-Delano, CA Metro Area","6,455"
"Baltimore-Columbia-Towson, MD Metro Area","68,043"
"Bangor, ME Metro Area","1,325"
"Barnstable Town, MA Metro Area","4,594"
"Baton Rouge, LA Metro Area","10,785"
"Battle Creek, MI Metro Area","888"
"Bay City, MI Metro Area","860"
"Beaumont-Port Arthur, TX Metro Area","3,223"
"Beckley, WV Metro Area","674"
"Bellingham, WA Metro Area","4,138"
"Bend, OR Metro Area","5,469"
"Billings, MT Metro Area","2,934"
"Binghamton, NY Metro Area","2,955"
"Birmingham, AL Metro Area","15,172"
"Bismarck, ND Metro Area","1,696"
"Blacksburg-Christiansburg-Radford, VA Metro Area","2,200"
"Bloomington, IL Metro Area","2,395"
"Bloomington, IN Metro Area","1,666"
"Boise City, ID Metro Area","13,164"
"Boston-Cambridge-Newton, MA-NH Metro Area","156,475"
"Boulder, CO Metro Area","11,570"
"Bowling Green, KY Metro Area","1,857"
"Bozeman, MT Metro Area","3,357"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","4,564"
"Bridgeport-Stamford-Danbury, CT Metro Area","21,808"
"Brownsville-Harlingen, TX Metro Area","2,409"
"Brunswick-St. Simons, GA Metro Area","1,173"
"Buffalo-Cheektowaga, NY Metro Area","17,420"
"Burlington, NC Metro Area","1,715"
"Burlington-South Burlington, VT Metro Area","4,843"
"Canton-Massillon, OH Metro Area","3,575"
"Cape Coral-Fort Myers, FL Metro Area","11,375"
"Cape Girardeau, MO-IL Metro Area","1,145"
"Carson City, NV Metro Area","781"
"Casper, WY Metro Area","793"
"Cedar Rapids, IA Metro Area","3,658"
"Chambersburg, PA Metro Area","1,581"
"Champaign-Urbana, IL Metro Area","3,022"
"Charleston, WV Metro Area","2,136"
"Charleston-North Charleston, SC Metro Area","17,293"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","52,284"
"Charlottesville, VA Metro Area","5,633"
"Chattanooga, TN-GA Metro Area","7,051"
"Cheyenne, WY Metro Area","1,194"
"Chicago-Naperville-Elgin, IL-IN Metro Area","201,338"
"Chico, CA Metro Area","3,269"
"Cincinnati, OH-KY-IN Metro Area","39,509"
"Clarksville, TN-KY Metro Area","3,244"
"Cleveland, OH Metro Area","32,543"
"Cleveland, TN Metro Area","1,196"
"Coeur d'Alene, ID Metro Area","2,537"
"College Station-Bryan, TX Metro Area","3,660"
"Colorado Springs, CO Metro Area","15,082"
"Columbia, MO Metro Area","3,152"
"Columbia, SC Metro Area","11,121"
"Columbus, GA-AL Metro Area","2,551"
"Columbus, IN Metro Area","1,062"
"Columbus, OH Metro Area","36,087"
"Corpus Christi, TX Metro Area","4,281"
"Corvallis, OR Metro Area","1,569"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","4,017"
"Dallas-Fort Worth-Arlington, TX Metro Area","157,998"
"Dalton, GA Metro Area","1,073"
"Daphne-Fairhope-Foley, AL Metro Area","3,159"
"Davenport-Moline-Rock Island, IA-IL Metro Area","3,353"
"Dayton-Kettering-Beavercreek, OH Metro Area","11,622"
"Decatur, AL Metro Area","1,751"
"Decatur, IL Metro Area","792"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","9,586"
"Denver-Aurora-Centennial, CO Metro Area","88,852"
"Des Moines-West Des Moines, IA Metro Area","11,183"
"Detroit-Warren-Dearborn, MI Metro Area","68,680"
"Dothan, AL Metro Area","1,030"
"Dover, DE Metro Area","1,799"
"Dubuque, IA Metro Area","1,197"
"Duluth, MN-WI Metro Area","2,809"
"Durham-Chapel Hill, NC Metro Area","15,953"
"Eagle Pass, TX Metro Area","67"
