"Region","Educational services, and health care and social assistance:"
"Abilene, TX Metro Area","17,131"
"Aguadilla, PR Metro Area","12,033"
"Akron, OH Metro Area","63,216"
"Albany, GA Metro Area","12,952"
"Albany, OR Metro Area","10,672"
"Albany-Schenectady-Troy, NY Metro Area","88,236"
"Albuquerque, NM Metro Area","79,303"
"Alexandria, LA Metro Area","13,641"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","83,891"
"Altoona, PA Metro Area","11,617"
"Amarillo, TX Metro Area","21,747"
"Ames, IA Metro Area","14,211"
"Amherst Town-Northampton, MA Metro Area","20,961"
"Anchorage, AK Metro Area","33,207"
"Ann Arbor, MI Metro Area","44,255"
"Anniston-Oxford, AL Metro Area","8,759"
"Appleton, WI Metro Area","21,596"
"Arecibo, PR Metro Area","9,821"
"Asheville, NC Metro Area","33,469"
"Athens-Clarke County, GA Metro Area","21,972"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","465,322"
"Atlantic City-Hammonton, NJ Metro Area","32,397"
"Auburn-Opelika, AL Metro Area","18,512"
"Augusta-Richmond County, GA-SC Metro Area","48,980"
"Austin-Round Rock-San Marcos, TX Metro Area","178,954"
"Bakersfield-Delano, CA Metro Area","60,177"
"Baltimore-Columbia-Towson, MD Metro Area","272,033"
"Bangor, ME Metro Area","18,101"
"Barnstable Town, MA Metro Area","20,708"
"Baton Rouge, LA Metro Area","75,373"
"Battle Creek, MI Metro Area","11,082"
"Bay City, MI Metro Area","10,003"
"Beaumont-Port Arthur, TX Metro Area","28,553"
"Beckley, WV Metro Area","8,928"
"Bellingham, WA Metro Area","19,001"
"Bend, OR Metro Area","20,925"
"Billings, MT Metro Area","17,945"
"Binghamton, NY Metro Area","24,114"
"Birmingham, AL Metro Area","100,204"
"Bismarck, ND Metro Area","13,843"
"Blacksburg-Christiansburg-Radford, VA Metro Area","17,349"
"Bloomington, IL Metro Area","15,674"
"Bloomington, IN Metro Area","17,413"
"Boise City, ID Metro Area","62,830"
"Boston-Cambridge-Newton, MA-NH Metro Area","518,253"
"Boulder, CO Metro Area","28,974"
"Bowling Green, KY Metro Area","15,140"
"Bozeman, MT Metro Area","10,794"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","18,064"
"Bridgeport-Stamford-Danbury, CT Metro Area","81,601"
"Brownsville-Harlingen, TX Metro Area","38,943"
"Brunswick-St. Simons, GA Metro Area","8,125"
"Buffalo-Cheektowaga, NY Metro Area","114,454"
"Burlington, NC Metro Area","16,904"
"Burlington-South Burlington, VT Metro Area","25,448"
"Canton-Massillon, OH Metro Area","35,047"
"Cape Coral-Fort Myers, FL Metro Area","52,462"
"Cape Girardeau, MO-IL Metro Area","10,236"
"Carson City, NV Metro Area","3,912"
"Casper, WY Metro Area","7,886"
"Cedar Rapids, IA Metro Area","25,142"
"Chambersburg, PA Metro Area","14,181"
"Champaign-Urbana, IL Metro Area","27,442"
"Charleston, WV Metro Area","17,796"
"Charleston-North Charleston, SC Metro Area","65,631"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","204,158"
"Charlottesville, VA Metro Area","24,790"
"Chattanooga, TN-GA Metro Area","44,402"
"Cheyenne, WY Metro Area","8,297"
"Chicago-Naperville-Elgin, IL-IN Metro Area","786,969"
"Chico, CA Metro Area","17,702"
"Cincinnati, OH-KY-IN Metro Area","195,662"
"Clarksville, TN-KY Metro Area","24,393"
"Cleveland, OH Metro Area","199,441"
"Cleveland, TN Metro Area","9,729"
"Coeur d'Alene, ID Metro Area","13,930"
"College Station-Bryan, TX Metro Area","26,060"
"Colorado Springs, CO Metro Area","61,073"
"Columbia, MO Metro Area","25,463"
"Columbia, SC Metro Area","71,054"
"Columbus, GA-AL Metro Area","23,160"
"Columbus, IN Metro Area","5,983"
"Columbus, OH Metro Area","194,318"
"Corpus Christi, TX Metro Area","35,624"
"Corvallis, OR Metro Area","10,742"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","17,209"
"Dallas-Fort Worth-Arlington, TX Metro Area","580,824"
"Dalton, GA Metro Area","8,566"
"Daphne-Fairhope-Foley, AL Metro Area","17,393"
"Davenport-Moline-Rock Island, IA-IL Metro Area","33,269"
"Dayton-Kettering-Beavercreek, OH Metro Area","71,679"
"Decatur, AL Metro Area","9,901"
"Decatur, IL Metro Area","8,149"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","49,036"
"Denver-Aurora-Centennial, CO Metro Area","248,444"
"Des Moines-West Des Moines, IA Metro Area","61,409"
"Detroit-Warren-Dearborn, MI Metro Area","344,502"
"Dothan, AL Metro Area","12,674"
"Dover, DE Metro Area","15,832"
"Dubuque, IA Metro Area","10,210"
"Duluth, MN-WI Metro Area","28,857"
"Durham-Chapel Hill, NC Metro Area","68,624"
"Eagle Pass, TX Metro Area","4,528"
"Eau Claire, WI Metro Area","17,726"
"El Centro, CA Metro Area","10,900"
"Elizabethtown, KY Metro Area","9,152"
"Elkhart-Goshen, IN Metro Area","14,674"
"Elmira, NY Metro Area","8,553"
"El Paso, TX Metro Area","67,551"
"Enid, OK Metro Area","5,008"
"Erie, PA Metro Area","25,087"
"Eugene-Springfield, OR Metro Area","35,300"
"Evansville, IN Metro Area","24,963"
"Fairbanks-College, AK Metro Area","8,090"
"Fargo, ND-MN Metro Area","30,619"
"Farmington, NM Metro Area","9,753"
"Fayetteville, NC Metro Area","29,521"
"Fayetteville-Springdale-Rogers, AR Metro Area","43,155"
"Flagstaff, AZ Metro Area","13,202"
"Flint, MI Metro Area","31,825"
"Florence, SC Metro Area","18,075"
"Florence-Muscle Shoals, AL Metro Area","11,332"
"Fond du Lac, WI Metro Area","8,400"
"Fort Collins-Loveland, CO Metro Area","33,722"
"Fort Smith, AR-OK Metro Area","16,428"
"Fort Wayne, IN Metro Area","40,776"
"Fresno, CA Metro Area","86,846"
"Gadsden, AL Metro Area","7,790"
"Gainesville, FL Metro Area","37,282"
"Gainesville, GA Metro Area","13,328"
"Gettysburg, PA Metro Area","9,862"
"Glens Falls, NY Metro Area","11,266"
"Goldsboro, NC Metro Area","8,912"
"Grand Forks, ND-MN Metro Area","12,160"
"Grand Island, NE Metro Area","6,243"
"Grand Junction, CO Metro Area","13,850"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","98,671"
"Grants Pass, OR Metro Area","6,279"
"Great Falls, MT Metro Area","7,572"
"Greeley, CO Metro Area","26,986"
"Green Bay, WI Metro Area","29,011"
"Greensboro-High Point, NC Metro Area","66,335"
"Greenville, NC Metro Area","18,984"
"Greenville-Anderson-Greer, SC Metro Area","76,810"
"Guayama, PR Metro Area","3,241"
"Gulfport-Biloxi, MS Metro Area","33,942"
"Hagerstown-Martinsburg, MD-WV Metro Area","24,663"
"Hammond, LA Metro Area","13,027"
"Hanford-Corcoran, CA Metro Area","8,320"
"Harrisburg-Carlisle, PA Metro Area","53,906"
"Harrisonburg, VA Metro Area","12,146"
"Hartford-West Hartford-East Hartford, CT Metro Area","113,092"
"Hattiesburg, MS Metro Area","15,292"
"Helena, MT Metro Area","7,231"
"Hickory-Lenoir-Morganton, NC Metro Area","27,574"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","14,902"
"Hinesville, GA Metro Area","5,238"
"Homosassa Springs, FL Metro Area","9,015"
"Hot Springs, AR Metro Area","7,551"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","15,739"
"Houston-Pasadena-The Woodlands, TX Metro Area","542,747"
"Huntington-Ashland, WV-KY-OH Metro Area","35,071"
"Huntsville, AL Metro Area","36,290"
"Idaho Falls, ID Metro Area","12,930"
"Indianapolis-Carmel-Greenwood, IN Metro Area","186,644"
"Iowa City, IA Metro Area","23,774"
