"Region","In labor force:","MoE"
"Abilene, TX Metro Area","87,084","± 1,360"
"Aguadilla, PR Metro Area","88,143","± 2,017"
"Akron, OH Metro Area","372,765","± 2,617"
"Albany, GA Metro Area","66,396","± 1,192"
"Albany, OR Metro Area","62,540","± 1,053"
"Albany-Schenectady-Troy, NY Metro Area","480,117","± 2,559"
"Albuquerque, NM Metro Area","457,524","± 3,052"
"Alexandria, LA Metro Area","66,437","± 1,397"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","453,503","± 2,812"
"Altoona, PA Metro Area","59,231","± 1,100"
"Amarillo, TX Metro Area","131,577","± 1,570"
"Ames, IA Metro Area","69,828","± 1,096"
"Amherst Town-Northampton, MA Metro Area","84,172","± 1,307"
"Anchorage, AK Metro Area","210,132","± 2,538"
"Ann Arbor, MI Metro Area","196,143","± 2,031"
"Anniston-Oxford, AL Metro Area","52,679","± 1,021"
"Appleton, WI Metro Area","135,640","± 1,306"
"Arecibo, PR Metro Area","66,356","± 1,684"
"Asheville, NC Metro Area","202,754","± 2,249"
"Athens-Clarke County, GA Metro Area","111,298","± 1,537"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","3,293,972","± 10,382"
"Atlantic City-Hammonton, NJ Metro Area","188,605","± 2,077"
"Auburn-Opelika, AL Metro Area","95,279","± 1,842"
"Augusta-Richmond County, GA-SC Metro Area","299,265","± 3,140"
"Austin-Round Rock-San Marcos, TX Metro Area","1,351,165","± 6,411"
"Bakersfield-Delano, CA Metro Area","398,143","± 3,164"
"Baltimore-Columbia-Towson, MD Metro Area","1,521,759","± 5,134"
"Bangor, ME Metro Area","77,964","± 1,041"
"Barnstable Town, MA Metro Area","119,509","± 1,598"
"Baton Rouge, LA Metro Area","430,683","± 3,659"
"Battle Creek, MI Metro Area","63,490","± 833"
"Bay City, MI Metro Area","50,494","± 848"
"Beaumont-Port Arthur, TX Metro Area","176,766","± 2,140"
"Beckley, WV Metro Area","44,583","± 1,513"
"Bellingham, WA Metro Area","119,729","± 1,615"
"Bend, OR Metro Area","129,804","± 1,757"
"Billings, MT Metro Area","98,092","± 1,434"
"Binghamton, NY Metro Area","116,204","± 1,622"
"Birmingham, AL Metro Area","573,684","± 4,293"
"Bismarck, ND Metro Area","71,947","± 1,048"
"Blacksburg-Christiansburg-Radford, VA Metro Area","89,152","± 1,473"
"Bloomington, IL Metro Area","89,043","± 1,461"
"Bloomington, IN Metro Area","84,708","± 1,152"
