"Region","Finance and insurance","MoE"
"Abilene, TX Metro Area","1,258","± 318"
"Aguadilla, PR Metro Area","686","± 262"
"Akron, OH Metro Area","6,861","± 644"
"Albany, GA Metro Area","375","± 130"
"Albany, OR Metro Area","506","± 173"
"Albany-Schenectady-Troy, NY Metro Area","11,510","± 844"
"Albuquerque, NM Metro Area","6,167","± 790"
"Alexandria, LA Metro Area","689","± 227"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","6,412","± 553"
"Altoona, PA Metro Area","531","± 158"
"Amarillo, TX Metro Area","1,538","± 300"
"Ames, IA Metro Area","1,122","± 213"
"Amherst Town-Northampton, MA Metro Area","1,103","± 227"
"Anchorage, AK Metro Area","1,946","± 348"
"Ann Arbor, MI Metro Area","2,347","± 403"
"Anniston-Oxford, AL Metro Area","369","± 149"
"Appleton, WI Metro Area","2,513","± 320"
"Arecibo, PR Metro Area","570","± 243"
"Asheville, NC Metro Area","2,370","± 480"
"Athens-Clarke County, GA Metro Area","1,406","± 245"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","69,948","± 2,393"
"Atlantic City-Hammonton, NJ Metro Area","2,716","± 359"
"Auburn-Opelika, AL Metro Area","1,518","± 318"
"Augusta-Richmond County, GA-SC Metro Area","2,537","± 518"
"Austin-Round Rock-San Marcos, TX Metro Area","33,187","± 1,988"
"Bakersfield-Delano, CA Metro Area","3,116","± 786"
"Baltimore-Columbia-Towson, MD Metro Area","28,098","± 1,459"
"Bangor, ME Metro Area","927","± 243"
"Barnstable Town, MA Metro Area","2,025","± 415"
"Baton Rouge, LA Metro Area","5,812","± 779"
"Battle Creek, MI Metro Area","593","± 141"
"Bay City, MI Metro Area","636","± 236"
"Beaumont-Port Arthur, TX Metro Area","1,141","± 285"
"Beckley, WV Metro Area","345","± 146"
"Bellingham, WA Metro Area","1,153","± 241"
"Bend, OR Metro Area","1,895","± 323"
"Billings, MT Metro Area","1,594","± 320"
"Binghamton, NY Metro Area","1,243","± 240"
"Birmingham, AL Metro Area","13,376","± 961"
"Bismarck, ND Metro Area","1,110","± 253"
"Blacksburg-Christiansburg-Radford, VA Metro Area","771","± 227"
"Bloomington, IL Metro Area","7,349","± 704"
"Bloomington, IN Metro Area","855","± 259"
"Boise City, ID Metro Area","6,568","± 673"
"Boston-Cambridge-Newton, MA-NH Metro Area","88,522","± 2,219"
"Boulder, CO Metro Area","2,898","± 541"
"Bowling Green, KY Metro Area","1,214","± 321"
"Bozeman, MT Metro Area","1,040","± 211"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","1,186","± 260"
"Bridgeport-Stamford-Danbury, CT Metro Area","29,214","± 1,529"
