"Region","Information","MoE"
"Abilene, TX Metro Area","559","± 189"
"Aguadilla, PR Metro Area","678","± 335"
"Akron, OH Metro Area","2,697","± 375"
"Albany, GA Metro Area","468","± 169"
"Albany, OR Metro Area","236","± 104"
"Albany-Schenectady-Troy, NY Metro Area","4,827","± 519"
"Albuquerque, NM Metro Area","4,261","± 509"
"Alexandria, LA Metro Area","238","± 119"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","4,650","± 556"
"Altoona, PA Metro Area","297","± 102"
"Amarillo, TX Metro Area","728","± 216"
"Ames, IA Metro Area","409","± 153"
"Amherst Town-Northampton, MA Metro Area","804","± 214"
"Anchorage, AK Metro Area","2,098","± 491"
"Ann Arbor, MI Metro Area","1,517","± 304"
"Anniston-Oxford, AL Metro Area","189","± 89"
"Appleton, WI Metro Area","956","± 250"
"Arecibo, PR Metro Area","339","± 183"
"Asheville, NC Metro Area","1,481","± 287"
"Athens-Clarke County, GA Metro Area","832","± 185"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","54,886","± 2,309"
"Atlantic City-Hammonton, NJ Metro Area","1,507","± 366"
"Auburn-Opelika, AL Metro Area","747","± 258"
"Augusta-Richmond County, GA-SC Metro Area","2,349","± 468"
"Austin-Round Rock-San Marcos, TX Metro Area","23,465","± 1,765"
"Bakersfield-Delano, CA Metro Area","2,011","± 401"
"Baltimore-Columbia-Towson, MD Metro Area","14,666","± 1,162"
"Bangor, ME Metro Area","656","± 176"
"Barnstable Town, MA Metro Area","965","± 311"
"Baton Rouge, LA Metro Area","3,687","± 668"
"Battle Creek, MI Metro Area","301","± 123"
"Bay City, MI Metro Area","431","± 157"
"Beaumont-Port Arthur, TX Metro Area","618","± 180"
"Beckley, WV Metro Area","525","± 257"
"Bellingham, WA Metro Area","1,082","± 247"
"Bend, OR Metro Area","1,459","± 387"
"Billings, MT Metro Area","792","± 197"
"Binghamton, NY Metro Area","673","± 160"
"Birmingham, AL Metro Area","4,776","± 492"
"Bismarck, ND Metro Area","501","± 142"
"Blacksburg-Christiansburg-Radford, VA Metro Area","588","± 198"
"Bloomington, IL Metro Area","516","± 195"
"Bloomington, IN Metro Area","837","± 203"
"Boise City, ID Metro Area","4,411","± 751"
"Boston-Cambridge-Newton, MA-NH Metro Area","35,119","± 1,551"
"Boulder, CO Metro Area","3,701","± 483"
"Bowling Green, KY Metro Area","476","± 161"
"Bozeman, MT Metro Area","433","± 150"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","1,221","± 294"
"Bridgeport-Stamford-Danbury, CT Metro Area","7,786","± 750"
"Brownsville-Harlingen, TX Metro Area","1,153","± 320"
"Brunswick-St. Simons, GA Metro Area","487","± 182"
"Buffalo-Cheektowaga, NY Metro Area","4,600","± 512"
"Burlington, NC Metro Area","409","± 130"
"Burlington-South Burlington, VT Metro Area","1,570","± 342"
"Canton-Massillon, OH Metro Area","1,374","± 339"
"Cape Coral-Fort Myers, FL Metro Area","3,131","± 592"
"Cape Girardeau, MO-IL Metro Area","364","± 145"
"Carson City, NV Metro Area","173","± 104"
"Casper, WY Metro Area","237","± 138"
"Cedar Rapids, IA Metro Area","1,316","± 259"
"Chambersburg, PA Metro Area","376","± 155"
"Champaign-Urbana, IL Metro Area","1,437","± 286"
"Charleston, WV Metro Area","831","± 211"
"Charleston-North Charleston, SC Metro Area","2,919","± 416"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","15,332","± 929"
"Charlottesville, VA Metro Area","1,001","± 257"
"Chattanooga, TN-GA Metro Area","1,757","± 379"
"Cheyenne, WY Metro Area","633","± 199"
"Chicago-Naperville-Elgin, IL-IN Metro Area","48,209","± 1,513"
"Chico, CA Metro Area","1,182","± 289"
"Cincinnati, OH-KY-IN Metro Area","8,990","± 772"
"Clarksville, TN-KY Metro Area","1,161","± 300"
"Cleveland, OH Metro Area","8,479","± 733"
"Cleveland, TN Metro Area","539","± 216"
"Coeur d'Alene, ID Metro Area","936","± 293"
"College Station-Bryan, TX Metro Area","1,176","± 293"
"Colorado Springs, CO Metro Area","5,672","± 602"
"Columbia, MO Metro Area","1,066","± 339"
"Columbia, SC Metro Area","3,067","± 547"
"Columbus, GA-AL Metro Area","872","± 213"
"Columbus, IN Metro Area","156","± 84"
"Columbus, OH Metro Area","11,710","± 858"
"Corpus Christi, TX Metro Area","1,224","± 355"
"Corvallis, OR Metro Area","352","± 191"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","741","± 220"
"Dallas-Fort Worth-Arlington, TX Metro Area","53,526","± 2,312"
"Dalton, GA Metro Area","374","± 163"
"Daphne-Fairhope-Foley, AL Metro Area","568","± 248"
"Davenport-Moline-Rock Island, IA-IL Metro Area","1,217","± 252"
"Dayton-Kettering-Beavercreek, OH Metro Area","2,853","± 418"
"Decatur, AL Metro Area","636","± 230"
"Decatur, IL Metro Area","293","± 99"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","2,789","± 517"
"Denver-Aurora-Centennial, CO Metro Area","35,290","± 1,608"
"Des Moines-West Des Moines, IA Metro Area","3,037","± 336"
"Detroit-Warren-Dearborn, MI Metro Area","14,520","± 904"
"Dothan, AL Metro Area","356","± 119"
"Dover, DE Metro Area","328","± 118"
"Dubuque, IA Metro Area","279","± 105"
"Duluth, MN-WI Metro Area","880","± 177"
"Durham-Chapel Hill, NC Metro Area","3,061","± 484"
"Eagle Pass, TX Metro Area","234","± 184"
"Eau Claire, WI Metro Area","798","± 303"
"El Centro, CA Metro Area","345","± 141"
"Elizabethtown, KY Metro Area","590","± 270"
"Elkhart-Goshen, IN Metro Area","611","± 264"
"Elmira, NY Metro Area","306","± 105"
"El Paso, TX Metro Area","3,689","± 663"
"Enid, OK Metro Area","147","± 73"
"Erie, PA Metro Area","846","± 254"
"Eugene-Springfield, OR Metro Area","1,251","± 254"
"Evansville, IN Metro Area","1,364","± 288"
"Fairbanks-College, AK Metro Area","582","± 272"
"Fargo, ND-MN Metro Area","1,026","± 220"
"Farmington, NM Metro Area","290","± 107"
"Fayetteville, NC Metro Area","1,080","± 256"
"Fayetteville-Springdale-Rogers, AR Metro Area","1,597","± 261"
"Flagstaff, AZ Metro Area","394","± 142"
"Flint, MI Metro Area","1,109","± 262"
"Florence, SC Metro Area","553","± 218"
"Florence-Muscle Shoals, AL Metro Area","615","± 253"
"Fond du Lac, WI Metro Area","464","± 134"
"Fort Collins-Loveland, CO Metro Area","1,928","± 384"
"Fort Smith, AR-OK Metro Area","537","± 191"
"Fort Wayne, IN Metro Area","1,396","± 265"
"Fresno, CA Metro Area","3,212","± 435"
"Gadsden, AL Metro Area","211","± 109"
"Gainesville, FL Metro Area","1,144","± 354"
"Gainesville, GA Metro Area","788","± 206"
"Gettysburg, PA Metro Area","389","± 111"
"Glens Falls, NY Metro Area","383","± 120"
"Goldsboro, NC Metro Area","304","± 133"
"Grand Forks, ND-MN Metro Area","292","± 117"
"Grand Island, NE Metro Area","212","± 87"
"Grand Junction, CO Metro Area","554","± 197"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","3,912","± 559"
"Grants Pass, OR Metro Area","284","± 141"
"Great Falls, MT Metro Area","181","± 99"
"Greeley, CO Metro Area","1,537","± 335"
"Green Bay, WI Metro Area","1,049","± 252"
"Greensboro-High Point, NC Metro Area","3,297","± 571"
"Greenville, NC Metro Area","872","± 347"
"Greenville-Anderson-Greer, SC Metro Area","4,127","± 560"
"Guayama, PR Metro Area","100","± 93"
"Gulfport-Biloxi, MS Metro Area","1,074","± 322"
"Hagerstown-Martinsburg, MD-WV Metro Area","1,635","± 324"
"Hammond, LA Metro Area","544","± 236"
"Hanford-Corcoran, CA Metro Area","284","± 143"
"Harrisburg-Carlisle, PA Metro Area","2,160","± 384"
"Harrisonburg, VA Metro Area","508","± 133"
"Hartford-West Hartford-East Hartford, CT Metro Area","5,577","± 536"
"Hattiesburg, MS Metro Area","225","± 104"
"Helena, MT Metro Area","500","± 152"
"Hickory-Lenoir-Morganton, NC Metro Area","1,418","± 294"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","1,204","± 383"
"Hinesville, GA Metro Area","166","± 103"
"Homosassa Springs, FL Metro Area","400","± 154"
"Hot Springs, AR Metro Area","415","± 182"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","172","± 88"
"Houston-Pasadena-The Woodlands, TX Metro Area","25,023","± 1,863"
"Huntington-Ashland, WV-KY-OH Metro Area","1,311","± 263"
"Huntsville, AL Metro Area","1,983","± 511"
"Idaho Falls, ID Metro Area","379","± 128"
"Indianapolis-Carmel-Greenwood, IN Metro Area","7,913","± 850"
"Iowa City, IA Metro Area","851","± 320"
"Ithaca, NY Metro Area","483","± 176"
"Jackson, MI Metro Area","370","± 138"
"Jackson, MS Metro Area","2,375","± 539"
"Jackson, TN Metro Area","478","± 135"
"Jacksonville, FL Metro Area","5,893","± 868"
"Jacksonville, NC Metro Area","712","± 404"
"Janesville-Beloit, WI Metro Area","604","± 187"
"Jefferson City, MO Metro Area","665","± 160"
"Johnson City, TN Metro Area","1,152","± 593"
"Johnstown, PA Metro Area","406","± 119"
"Jonesboro, AR Metro Area","645","± 270"
"Joplin, MO-KS Metro Area","662","± 183"
"Kahului-Wailuku, HI Metro Area","561","± 187"
"Kalamazoo-Portage, MI Metro Area","359","± 136"
"Kankakee, IL Metro Area","365","± 157"
"Kansas City, MO-KS Metro Area","12,111","± 723"
"Kennewick-Richland, WA Metro Area","949","± 237"
"Kenosha, WI Metro Area","580","± 173"
"Killeen-Temple, TX Metro Area","1,199","± 341"
"Kingsport-Bristol, TN-VA Metro Area","1,249","± 267"
"Kingston, NY Metro Area","1,114","± 240"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","4,260","± 464"
"Knoxville, TN Metro Area","4,011","± 523"
"Kokomo, IN Metro Area","214","± 110"
