"Region","Management of companies and enterprises","MoE"
"Abilene, TX Metro Area","3","± 5"
"Aguadilla, PR Metro Area","23","± 38"
"Akron, OH Metro Area","249","± 136"
"Albany, GA Metro Area","0","± 34"
"Albany, OR Metro Area","0","± 31"
"Albany-Schenectady-Troy, NY Metro Area","148","± 82"
"Albuquerque, NM Metro Area","159","± 140"
"Alexandria, LA Metro Area","0","± 33"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","275","± 190"
"Altoona, PA Metro Area","0","± 27"
"Amarillo, TX Metro Area","18","± 19"
"Ames, IA Metro Area","72","± 61"
"Amherst Town-Northampton, MA Metro Area","77","± 55"
"Anchorage, AK Metro Area","177","± 82"
"Ann Arbor, MI Metro Area","127","± 114"
"Anniston-Oxford, AL Metro Area","7","± 12"
"Appleton, WI Metro Area","99","± 68"
"Arecibo, PR Metro Area","11","± 20"
"Asheville, NC Metro Area","15","± 25"
"Athens-Clarke County, GA Metro Area","1","± 3"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","3,646","± 611"
"Atlantic City-Hammonton, NJ Metro Area","31","± 42"
"Auburn-Opelika, AL Metro Area","0","± 31"
"Augusta-Richmond County, GA-SC Metro Area","40","± 47"
"Austin-Round Rock-San Marcos, TX Metro Area","1,055","± 323"
"Bakersfield-Delano, CA Metro Area","105","± 67"
"Baltimore-Columbia-Towson, MD Metro Area","690","± 225"
"Bangor, ME Metro Area","37","± 28"
"Barnstable Town, MA Metro Area","0","± 32"
"Baton Rouge, LA Metro Area","121","± 111"
"Battle Creek, MI Metro Area","16","± 17"
"Bay City, MI Metro Area","0","± 26"
"Beaumont-Port Arthur, TX Metro Area","109","± 78"
"Beckley, WV Metro Area","0","± 30"
"Bellingham, WA Metro Area","33","± 33"
"Bend, OR Metro Area","20","± 32"
"Billings, MT Metro Area","17","± 23"
"Binghamton, NY Metro Area","43","± 47"
"Birmingham, AL Metro Area","238","± 106"
"Bismarck, ND Metro Area","71","± 47"
"Blacksburg-Christiansburg-Radford, VA Metro Area","0","± 31"
"Bloomington, IL Metro Area","77","± 76"
"Bloomington, IN Metro Area","0","± 30"
"Boise City, ID Metro Area","42","± 38"
"Boston-Cambridge-Newton, MA-NH Metro Area","1,971","± 426"
"Boulder, CO Metro Area","132","± 104"
"Bowling Green, KY Metro Area","47","± 45"
"Bozeman, MT Metro Area","0","± 26"
