"Region","Public administration","MoE"
"Abilene, TX Metro Area","2,608","± 413"
"Aguadilla, PR Metro Area","3,955","± 655"
"Akron, OH Metro Area","6,639","± 775"
"Albany, GA Metro Area","2,409","± 438"
"Albany, OR Metro Area","1,776","± 331"
"Albany-Schenectady-Troy, NY Metro Area","22,513","± 1,093"
"Albuquerque, NM Metro Area","16,563","± 1,122"
"Alexandria, LA Metro Area","2,615","± 433"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","7,955","± 631"
"Altoona, PA Metro Area","1,569","± 280"
"Amarillo, TX Metro Area","4,125","± 582"
"Ames, IA Metro Area","1,541","± 286"
"Amherst Town-Northampton, MA Metro Area","1,751","± 341"
"Anchorage, AK Metro Area","10,134","± 807"
"Ann Arbor, MI Metro Area","2,109","± 321"
"Anniston-Oxford, AL Metro Area","2,304","± 437"
"Appleton, WI Metro Area","2,079","± 343"
"Arecibo, PR Metro Area","3,133","± 452"
"Asheville, NC Metro Area","3,521","± 549"
"Athens-Clarke County, GA Metro Area","1,948","± 338"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","62,527","± 2,231"
"Atlantic City-Hammonton, NJ Metro Area","6,592","± 707"
"Auburn-Opelika, AL Metro Area","2,738","± 601"
"Augusta-Richmond County, GA-SC Metro Area","8,998","± 959"
"Austin-Round Rock-San Marcos, TX Metro Area","36,925","± 1,791"
"Bakersfield-Delano, CA Metro Area","14,141","± 922"
"Baltimore-Columbia-Towson, MD Metro Area","75,513","± 2,372"
"Bangor, ME Metro Area","2,276","± 357"
"Barnstable Town, MA Metro Area","3,547","± 456"
"Baton Rouge, LA Metro Area","11,529","± 1,033"
"Battle Creek, MI Metro Area","1,152","± 214"
"Bay City, MI Metro Area","634","± 174"
"Beaumont-Port Arthur, TX Metro Area","4,781","± 647"
"Beckley, WV Metro Area","1,627","± 419"
"Bellingham, WA Metro Area","3,450","± 394"
"Bend, OR Metro Area","2,463","± 399"
"Billings, MT Metro Area","1,855","± 275"
"Binghamton, NY Metro Area","2,667","± 317"
"Birmingham, AL Metro Area","13,137","± 1,158"
"Bismarck, ND Metro Area","3,351","± 442"
