"Region","Professional, scientific, and technical services","MoE"
"Abilene, TX Metro Area","1,943","± 350"
"Aguadilla, PR Metro Area","1,416","± 322"
"Akron, OH Metro Area","12,440","± 781"
"Albany, GA Metro Area","1,416","± 314"
"Albany, OR Metro Area","1,022","± 271"
"Albany-Schenectady-Troy, NY Metro Area","23,856","± 1,127"
"Albuquerque, NM Metro Area","26,341","± 1,262"
"Alexandria, LA Metro Area","1,278","± 283"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","14,989","± 909"
"Altoona, PA Metro Area","1,111","± 232"
"Amarillo, TX Metro Area","3,281","± 505"
"Ames, IA Metro Area","2,175","± 327"
"Amherst Town-Northampton, MA Metro Area","3,450","± 473"
"Anchorage, AK Metro Area","6,520","± 746"
"Ann Arbor, MI Metro Area","12,121","± 839"
"Anniston-Oxford, AL Metro Area","751","± 204"
"Appleton, WI Metro Area","3,504","± 449"
"Arecibo, PR Metro Area","744","± 237"
"Asheville, NC Metro Area","7,804","± 853"
"Athens-Clarke County, GA Metro Area","3,515","± 455"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","190,126","± 3,414"
"Atlantic City-Hammonton, NJ Metro Area","5,283","± 491"
"Auburn-Opelika, AL Metro Area","2,405","± 359"
"Augusta-Richmond County, GA-SC Metro Area","10,520","± 919"
"Austin-Round Rock-San Marcos, TX Metro Area","113,520","± 3,447"
"Bakersfield-Delano, CA Metro Area","8,627","± 848"
"Baltimore-Columbia-Towson, MD Metro Area","95,763","± 2,297"
"Bangor, ME Metro Area","1,466","± 278"
"Barnstable Town, MA Metro Area","5,944","± 700"
"Baton Rouge, LA Metro Area","13,642","± 998"
"Battle Creek, MI Metro Area","868","± 181"
"Bay City, MI Metro Area","804","± 159"
"Beaumont-Port Arthur, TX Metro Area","4,266","± 620"
"Beckley, WV Metro Area","970","± 261"
"Bellingham, WA Metro Area","4,473","± 597"
"Bend, OR Metro Area","5,695","± 741"
"Billings, MT Metro Area","2,890","± 451"
"Binghamton, NY Metro Area","3,512","± 455"
"Birmingham, AL Metro Area","19,115","± 1,175"
"Bismarck, ND Metro Area","2,105","± 399"
"Blacksburg-Christiansburg-Radford, VA Metro Area","3,369","± 518"
"Bloomington, IL Metro Area","2,724","± 330"
"Bloomington, IN Metro Area","2,349","± 374"
"Boise City, ID Metro Area","17,468","± 1,144"
"Boston-Cambridge-Newton, MA-NH Metro Area","206,393","± 3,257"
"Boulder, CO Metro Area","18,707","± 1,078"
"Bowling Green, KY Metro Area","1,923","± 443"
"Bozeman, MT Metro Area","3,641","± 464"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","6,404","± 563"
"Bridgeport-Stamford-Danbury, CT Metro Area","29,015","± 1,243"
"Brownsville-Harlingen, TX Metro Area","3,350","± 540"
"Brunswick-St. Simons, GA Metro Area","1,753","± 377"
"Buffalo-Cheektowaga, NY Metro Area","18,884","± 1,111"
"Burlington, NC Metro Area","2,160","± 378"
"Burlington-South Burlington, VT Metro Area","6,123","± 498"
"Canton-Massillon, OH Metro Area","4,673","± 511"
"Cape Coral-Fort Myers, FL Metro Area","12,605","± 979"
"Cape Girardeau, MO-IL Metro Area","791","± 214"
"Carson City, NV Metro Area","815","± 225"
"Casper, WY Metro Area","1,241","± 252"
"Cedar Rapids, IA Metro Area","4,896","± 658"
"Chambersburg, PA Metro Area","1,483","± 241"
"Champaign-Urbana, IL Metro Area","4,365","± 501"
"Charleston, WV Metro Area","2,687","± 400"
"Charleston-North Charleston, SC Metro Area","22,296","± 1,405"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","63,953","± 2,123"
"Charlottesville, VA Metro Area","6,439","± 607"
"Chattanooga, TN-GA Metro Area","8,756","± 761"
"Cheyenne, WY Metro Area","1,271","± 326"
"Chicago-Naperville-Elgin, IL-IN Metro Area","265,360","± 4,464"
"Chico, CA Metro Area","2,503","± 405"
"Cincinnati, OH-KY-IN Metro Area","50,490","± 1,870"
"Clarksville, TN-KY Metro Area","2,917","± 478"
"Cleveland, OH Metro Area","41,733","± 1,677"
"Cleveland, TN Metro Area","1,030","± 309"
"Coeur d'Alene, ID Metro Area","2,421","± 450"
"College Station-Bryan, TX Metro Area","4,552","± 635"
"Colorado Springs, CO Metro Area","22,706","± 1,194"
"Columbia, MO Metro Area","2,776","± 460"
"Columbia, SC Metro Area","11,823","± 843"
"Columbus, GA-AL Metro Area","3,668","± 485"
"Columbus, IN Metro Area","1,470","± 302"
"Columbus, OH Metro Area","50,459","± 1,705"
"Corpus Christi, TX Metro Area","4,948","± 579"
"Corvallis, OR Metro Area","2,341","± 341"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","7,605","± 822"
"Dallas-Fort Worth-Arlington, TX Metro Area","221,600","± 4,009"
"Dalton, GA Metro Area","1,147","± 356"
"Daphne-Fairhope-Foley, AL Metro Area","3,205","± 514"
"Davenport-Moline-Rock Island, IA-IL Metro Area","3,855","± 485"
"Dayton-Kettering-Beavercreek, OH Metro Area","17,514","± 1,025"
"Decatur, AL Metro Area","2,298","± 380"
"Decatur, IL Metro Area","680","± 168"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","10,137","± 948"
"Denver-Aurora-Centennial, CO Metro Area","119,287","± 2,039"
"Des Moines-West Des Moines, IA Metro Area","15,017","± 1,055"
"Detroit-Warren-Dearborn, MI Metro Area","86,947","± 1,994"
"Dothan, AL Metro Area","1,335","± 205"
"Dover, DE Metro Area","1,696","± 332"
"Dubuque, IA Metro Area","1,246","± 224"
"Duluth, MN-WI Metro Area","2,990","± 325"
"Durham-Chapel Hill, NC Metro Area","20,661","± 1,260"
"Eagle Pass, TX Metro Area","172","± 95"
"Eau Claire, WI Metro Area","2,339","± 445"
"El Centro, CA Metro Area","1,093","± 321"
"Elizabethtown, KY Metro Area","1,424","± 245"
"Elkhart-Goshen, IN Metro Area","1,306","± 248"
"Elmira, NY Metro Area","896","± 247"
"El Paso, TX Metro Area","9,179","± 844"
"Enid, OK Metro Area","445","± 208"
"Erie, PA Metro Area","2,540","± 463"
"Eugene-Springfield, OR Metro Area","6,051","± 603"
"Evansville, IN Metro Area","3,272","± 433"
"Fairbanks-College, AK Metro Area","1,214","± 444"
"Fargo, ND-MN Metro Area","5,806","± 689"
"Farmington, NM Metro Area","839","± 219"
"Fayetteville, NC Metro Area","3,671","± 398"
"Fayetteville-Springdale-Rogers, AR Metro Area","10,952","± 746"
"Flagstaff, AZ Metro Area","1,788","± 305"
"Flint, MI Metro Area","3,643","± 396"
"Florence, SC Metro Area","991","± 254"
"Florence-Muscle Shoals, AL Metro Area","1,198","± 248"
"Fond du Lac, WI Metro Area","861","± 200"
"Fort Collins-Loveland, CO Metro Area","12,260","± 909"
"Fort Smith, AR-OK Metro Area","2,636","± 496"
"Fort Wayne, IN Metro Area","5,298","± 597"
"Fresno, CA Metro Area","11,444","± 932"
"Gadsden, AL Metro Area","341","± 139"
"Gainesville, FL Metro Area","5,338","± 623"
"Gainesville, GA Metro Area","3,526","± 461"
"Gettysburg, PA Metro Area","1,164","± 212"
"Glens Falls, NY Metro Area","1,867","± 312"
"Goldsboro, NC Metro Area","869","± 241"
"Grand Forks, ND-MN Metro Area","1,086","± 202"
"Grand Island, NE Metro Area","540","± 218"
"Grand Junction, CO Metro Area","2,018","± 262"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","20,320","± 977"
"Grants Pass, OR Metro Area","678","± 241"
"Great Falls, MT Metro Area","913","± 204"
"Greeley, CO Metro Area","6,157","± 573"
"Green Bay, WI Metro Area","4,350","± 514"
"Greensboro-High Point, NC Metro Area","10,075","± 854"
"Greenville, NC Metro Area","1,915","± 439"
"Greenville-Anderson-Greer, SC Metro Area","18,013","± 1,009"
"Guayama, PR Metro Area","171","± 134"
"Gulfport-Biloxi, MS Metro Area","3,659","± 553"
"Hagerstown-Martinsburg, MD-WV Metro Area","4,838","± 598"
"Hammond, LA Metro Area","1,061","± 330"
"Hanford-Corcoran, CA Metro Area","908","± 266"
"Harrisburg-Carlisle, PA Metro Area","13,383","± 930"
"Harrisonburg, VA Metro Area","1,948","± 347"
"Hartford-West Hartford-East Hartford, CT Metro Area","26,071","± 1,332"
"Hattiesburg, MS Metro Area","1,817","± 388"
"Helena, MT Metro Area","1,621","± 283"
