"Region","Educational services, and health care and social assistance:","MoE"
"Abilene, TX Metro Area","5,400","± 646"
"Aguadilla, PR Metro Area","4,407","± 553"
"Akron, OH Metro Area","21,570","± 1,294"
"Albany, GA Metro Area","3,207","± 433"
"Albany, OR Metro Area","3,417","± 516"
"Albany-Schenectady-Troy, NY Metro Area","33,152","± 1,352"
"Albuquerque, NM Metro Area","32,076","± 1,659"
"Alexandria, LA Metro Area","4,217","± 541"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","28,883","± 1,313"
"Altoona, PA Metro Area","3,771","± 414"
"Amarillo, TX Metro Area","7,075","± 753"
"Ames, IA Metro Area","8,207","± 587"
"Amherst Town-Northampton, MA Metro Area","9,348","± 711"
"Anchorage, AK Metro Area","12,869","± 1,206"
"Ann Arbor, MI Metro Area","26,051","± 1,157"
"Anniston-Oxford, AL Metro Area","2,572","± 517"
"Appleton, WI Metro Area","5,228","± 443"
"Arecibo, PR Metro Area","2,964","± 487"
"Asheville, NC Metro Area","13,242","± 972"
"Athens-Clarke County, GA Metro Area","11,624","± 931"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","149,540","± 4,019"
"Atlantic City-Hammonton, NJ Metro Area","10,936","± 845"
"Auburn-Opelika, AL Metro Area","8,440","± 756"
"Augusta-Richmond County, GA-SC Metro Area","13,944","± 1,085"
"Austin-Round Rock-San Marcos, TX Metro Area","74,911","± 2,474"
"Bakersfield-Delano, CA Metro Area","19,973","± 1,262"
"Baltimore-Columbia-Towson, MD Metro Area","98,563","± 2,218"
"Bangor, ME Metro Area","7,321","± 640"
"Barnstable Town, MA Metro Area","6,880","± 674"
"Baton Rouge, LA Metro Area","22,626","± 1,799"
"Battle Creek, MI Metro Area","3,044","± 366"
"Bay City, MI Metro Area","2,594","± 318"
"Beaumont-Port Arthur, TX Metro Area","7,219","± 843"
"Beckley, WV Metro Area","2,876","± 443"
"Bellingham, WA Metro Area","7,752","± 781"
"Bend, OR Metro Area","8,058","± 708"
"Billings, MT Metro Area","4,844","± 509"
"Binghamton, NY Metro Area","10,702","± 766"
"Birmingham, AL Metro Area","31,724","± 1,390"
"Bismarck, ND Metro Area","3,636","± 496"
"Blacksburg-Christiansburg-Radford, VA Metro Area","9,677","± 730"
"Bloomington, IL Metro Area","6,577","± 594"
"Bloomington, IN Metro Area","9,538","± 689"
"Boise City, ID Metro Area","23,650","± 1,196"
"Boston-Cambridge-Newton, MA-NH Metro Area","208,462","± 3,470"
"Boulder, CO Metro Area","14,075","± 886"
"Bowling Green, KY Metro Area","5,033","± 736"
"Bozeman, MT Metro Area","4,637","± 507"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","6,139","± 583"
"Bridgeport-Stamford-Danbury, CT Metro Area","29,364","± 1,399"
"Brownsville-Harlingen, TX Metro Area","15,264","± 1,118"
"Brunswick-St. Simons, GA Metro Area","2,509","± 405"
"Buffalo-Cheektowaga, NY Metro Area","43,935","± 2,129"
"Burlington, NC Metro Area","5,311","± 606"
"Burlington-South Burlington, VT Metro Area","10,979","± 854"
"Canton-Massillon, OH Metro Area","9,834","± 723"
"Cape Coral-Fort Myers, FL Metro Area","16,999","± 1,024"
"Cape Girardeau, MO-IL Metro Area","3,506","± 443"
"Carson City, NV Metro Area","1,355","± 280"
"Casper, WY Metro Area","2,510","± 341"
"Cedar Rapids, IA Metro Area","7,756","± 704"
"Chambersburg, PA Metro Area","3,917","± 605"
"Champaign-Urbana, IL Metro Area","17,086","± 1,046"
"Charleston, WV Metro Area","6,504","± 685"
"Charleston-North Charleston, SC Metro Area","20,073","± 1,395"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","59,189","± 1,841"
