"Region","Master's degree","MoE"
"Abilene, TX Metro Area","7,892","± 841"
"Aguadilla, PR Metro Area","9,052","± 818"
"Akron, OH Metro Area","46,987","± 1,830"
"Albany, GA Metro Area","6,869","± 767"
"Albany, OR Metro Area","4,657","± 578"
"Albany-Schenectady-Troy, NY Metro Area","86,548","± 2,051"
"Albuquerque, NM Metro Area","70,842","± 2,087"
"Alexandria, LA Metro Area","4,949","± 531"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","54,797","± 1,920"
"Altoona, PA Metro Area","4,857","± 528"
"Amarillo, TX Metro Area","10,962","± 885"
"Ames, IA Metro Area","8,299","± 692"
"Amherst Town-Northampton, MA Metro Area","18,276","± 987"
"Anchorage, AK Metro Area","23,835","± 1,334"
"Ann Arbor, MI Metro Area","45,780","± 1,352"
"Anniston-Oxford, AL Metro Area","4,500","± 542"
"Appleton, WI Metro Area","11,426","± 686"
"Arecibo, PR Metro Area","6,609","± 841"
"Asheville, NC Metro Area","34,515","± 1,694"
"Athens-Clarke County, GA Metro Area","17,965","± 1,165"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","482,917","± 7,685"
"Atlantic City-Hammonton, NJ Metro Area","21,769","± 1,114"
"Auburn-Opelika, AL Metro Area","14,860","± 1,076"
"Augusta-Richmond County, GA-SC Metro Area","32,663","± 1,685"
"Austin-Round Rock-San Marcos, TX Metro Area","219,024","± 4,334"
"Bakersfield-Delano, CA Metro Area","25,215","± 1,605"
"Baltimore-Columbia-Towson, MD Metro Area","283,121","± 4,599"
"Bangor, ME Metro Area","8,831","± 814"
"Barnstable Town, MA Metro Area","28,497","± 1,446"
"Baton Rouge, LA Metro Area","44,822","± 1,963"
"Battle Creek, MI Metro Area","5,376","± 526"
"Bay City, MI Metro Area","3,932","± 467"
"Beaumont-Port Arthur, TX Metro Area","11,220","± 981"
"Beckley, WV Metro Area","4,511","± 767"
"Bellingham, WA Metro Area","15,226","± 981"
"Bend, OR Metro Area","19,312","± 1,235"
"Billings, MT Metro Area","9,081","± 823"
"Binghamton, NY Metro Area","16,968","± 976"
"Birmingham, AL Metro Area","69,960","± 2,097"
"Bismarck, ND Metro Area","7,108","± 743"
"Blacksburg-Christiansburg-Radford, VA Metro Area","13,188","± 906"
"Bloomington, IL Metro Area","11,734","± 690"
"Bloomington, IN Metro Area","15,165","± 975"
"Boise City, ID Metro Area","47,050","± 2,020"
"Boston-Cambridge-Newton, MA-NH Metro Area","571,007","± 7,033"
"Boulder, CO Metro Area","43,882","± 1,737"
"Bowling Green, KY Metro Area","8,870","± 862"
"Bozeman, MT Metro Area","9,791","± 738"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","18,919","± 968"
"Bridgeport-Stamford-Danbury, CT Metro Area","107,600","± 2,261"
"Brownsville-Harlingen, TX Metro Area","12,773","± 841"
"Brunswick-St. Simons, GA Metro Area","5,857","± 812"
"Buffalo-Cheektowaga, NY Metro Area","95,469","± 2,451"
"Burlington, NC Metro Area","7,700","± 703"
"Burlington-South Burlington, VT Metro Area","22,471","± 1,020"
"Canton-Massillon, OH Metro Area","18,755","± 926"
"Cape Coral-Fort Myers, FL Metro Area","49,326","± 1,919"
"Cape Girardeau, MO-IL Metro Area","5,108","± 592"
"Carson City, NV Metro Area","2,814","± 365"
"Casper, WY Metro Area","4,396","± 469"
"Cedar Rapids, IA Metro Area","15,167","± 951"
"Chambersburg, PA Metro Area","8,018","± 645"
"Champaign-Urbana, IL Metro Area","20,890","± 1,036"
"Charleston, WV Metro Area","10,715","± 860"
"Charleston-North Charleston, SC Metro Area","60,806","± 2,662"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","192,318","± 3,710"
"Charlottesville, VA Metro Area","24,918","± 1,175"
"Chattanooga, TN-GA Metro Area","33,576","± 1,550"
"Cheyenne, WY Metro Area","6,523","± 601"
"Chicago-Naperville-Elgin, IL-IN Metro Area","777,831","± 8,934"
"Chico, CA Metro Area","9,610","± 788"
"Cincinnati, OH-KY-IN Metro Area","158,043","± 3,182"
"Clarksville, TN-KY Metro Area","16,680","± 1,265"
"Cleveland, OH Metro Area","147,649","± 2,719"
"Cleveland, TN Metro Area","5,642","± 657"
"Coeur d'Alene, ID Metro Area","8,445","± 676"
"College Station-Bryan, TX Metro Area","15,405","± 895"
"Colorado Springs, CO Metro Area","63,603","± 1,859"
"Columbia, MO Metro Area","17,077","± 916"
"Columbia, SC Metro Area","57,056","± 2,137"
"Columbus, GA-AL Metro Area","17,408","± 1,382"
"Columbus, IN Metro Area","6,957","± 658"
"Columbus, OH Metro Area","156,566","± 2,966"
"Corpus Christi, TX Metro Area","17,368","± 1,194"
"Corvallis, OR Metro Area","8,915","± 683"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","19,824","± 1,071"
"Dallas-Fort Worth-Arlington, TX Metro Area","545,064","± 7,326"
"Dalton, GA Metro Area","4,545","± 576"
"Daphne-Fairhope-Foley, AL Metro Area","14,835","± 1,176"
"Davenport-Moline-Rock Island, IA-IL Metro Area","21,604","± 908"
"Dayton-Kettering-Beavercreek, OH Metro Area","58,167","± 1,882"
"Decatur, AL Metro Area","6,075","± 698"
"Decatur, IL Metro Area","4,554","± 577"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","35,099","± 1,624"
"Denver-Aurora-Centennial, CO Metro Area","279,049","± 4,287"
"Des Moines-West Des Moines, IA Metro Area","43,549","± 1,732"
"Detroit-Warren-Dearborn, MI Metro Area","316,393","± 4,008"
"Dothan, AL Metro Area","6,025","± 424"
"Dover, DE Metro Area","10,270","± 734"
"Dubuque, IA Metro Area","5,741","± 409"
"Duluth, MN-WI Metro Area","14,635","± 738"
"Durham-Chapel Hill, NC Metro Area","63,329","± 2,130"
"Eagle Pass, TX Metro Area","845","± 306"
"Eau Claire, WI Metro Area","7,903","± 612"
"El Centro, CA Metro Area","3,439","± 416"
"Elizabethtown, KY Metro Area","6,368","± 734"
"Elkhart-Goshen, IN Metro Area","6,708","± 563"
"Elmira, NY Metro Area","5,618","± 513"
"El Paso, TX Metro Area","33,461","± 1,853"
"Enid, OK Metro Area","2,178","± 358"
"Erie, PA Metro Area","15,198","± 1,000"
"Eugene-Springfield, OR Metro Area","24,968","± 1,257"
"Evansville, IN Metro Area","14,736","± 993"
"Fairbanks-College, AK Metro Area","6,173","± 696"
"Fargo, ND-MN Metro Area","15,401","± 1,080"
"Farmington, NM Metro Area","4,173","± 495"
"Fayetteville, NC Metro Area","17,829","± 862"
"Fayetteville-Springdale-Rogers, AR Metro Area","35,320","± 1,678"
"Flagstaff, AZ Metro Area","9,806","± 807"
"Flint, MI Metro Area","17,155","± 1,075"
"Florence, SC Metro Area","8,722","± 692"
