"Region","Civilian employed population 16 years and over","MoE"
"Abilene, TX Metro Area","63.8%","± 1.6%"
"Aguadilla, PR Metro Area","63.5%","± 1.6%"
"Akron, OH Metro Area","70.5%","± 0.7%"
"Albany, GA Metro Area","63.5%","± 2.0%"
"Albany, OR Metro Area","64.1%","± 1.7%"
"Albany-Schenectady-Troy, NY Metro Area","57.2%","± 0.6%"
"Albuquerque, NM Metro Area","58.8%","± 0.8%"
"Alexandria, LA Metro Area","62.5%","± 1.8%"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","70.6%","± 0.6%"
"Altoona, PA Metro Area","68.1%","± 1.2%"
"Amarillo, TX Metro Area","67.7%","± 1.2%"
"Ames, IA Metro Area","57.9%","± 1.4%"
"Amherst Town-Northampton, MA Metro Area","51.6%","± 1.4%"
"Anchorage, AK Metro Area","59.1%","± 1.5%"
"Ann Arbor, MI Metro Area","56.8%","± 1.0%"
"Anniston-Oxford, AL Metro Area","68.3%","± 1.9%"
"Appleton, WI Metro Area","72.2%","± 0.8%"
"Arecibo, PR Metro Area","65.5%","± 1.7%"
"Asheville, NC Metro Area","66.8%","± 0.9%"
"Athens-Clarke County, GA Metro Area","59.9%","± 1.4%"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","70.4%","± 0.3%"
"Atlantic City-Hammonton, NJ Metro Area","65.2%","± 1.1%"
"Auburn-Opelika, AL Metro Area","63.6%","± 1.5%"
"Augusta-Richmond County, GA-SC Metro Area","66.5%","± 1.0%"
"Austin-Round Rock-San Marcos, TX Metro Area","67.4%","± 0.4%"
"Bakersfield-Delano, CA Metro Area","66.8%","± 0.7%"
"Baltimore-Columbia-Towson, MD Metro Area","59.9%","± 0.4%"
"Bangor, ME Metro Area","57.6%","± 1.5%"
"Barnstable Town, MA Metro Area","59.7%","± 1.4%"
"Baton Rouge, LA Metro Area","65.8%","± 0.8%"
"Battle Creek, MI Metro Area","69.7%","± 1.1%"
"Bay City, MI Metro Area","71.1%","± 1.8%"
"Beaumont-Port Arthur, TX Metro Area","72.3%","± 1.1%"
"Beckley, WV Metro Area","67.8%","± 2.5%"
"Bellingham, WA Metro Area","62.4%","± 1.2%"
"Bend, OR Metro Area","62.3%","± 1.3%"
"Billings, MT Metro Area","64.0%","± 1.5%"
"Binghamton, NY Metro Area","58.5%","± 1.2%"
"Birmingham, AL Metro Area","68.0%","± 0.6%"
"Bismarck, ND Metro Area","57.2%","± 1.7%"
"Blacksburg-Christiansburg-Radford, VA Metro Area","61.5%","± 1.3%"
"Bloomington, IL Metro Area","69.3%","± 1.2%"
"Bloomington, IN Metro Area","57.0%","± 1.5%"
"Boise City, ID Metro Area","65.9%","± 0.7%"
"Boston-Cambridge-Newton, MA-NH Metro Area","65.2%","± 0.3%"
"Boulder, CO Metro Area","63.1%","± 0.9%"
"Bowling Green, KY Metro Area","68.9%","± 1.5%"
"Bozeman, MT Metro Area","61.3%","± 1.5%"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","54.0%","± 1.1%"
"Bridgeport-Stamford-Danbury, CT Metro Area","67.7%","± 0.6%"
"Brownsville-Harlingen, TX Metro Area","64.2%","± 1.1%"
"Brunswick-St. Simons, GA Metro Area","63.8%","± 1.9%"
"Buffalo-Cheektowaga, NY Metro Area","64.3%","± 0.5%"
"Burlington, NC Metro Area","70.1%","± 1.3%"
"Burlington-South Burlington, VT Metro Area","57.4%","± 1.2%"
"Canton-Massillon, OH Metro Area","70.8%","± 0.8%"
"Cape Coral-Fort Myers, FL Metro Area","68.8%","± 0.8%"
"Cape Girardeau, MO-IL Metro Area","65.0%","± 1.7%"
"Carson City, NV Metro Area","63.5%","± 2.5%"
"Casper, WY Metro Area","63.6%","± 1.8%"
"Cedar Rapids, IA Metro Area","71.6%","± 1.0%"
"Chambersburg, PA Metro Area","66.8%","± 1.8%"
"Champaign-Urbana, IL Metro Area","54.3%","± 1.2%"
"Charleston, WV Metro Area","61.5%","± 1.3%"
"Charleston-North Charleston, SC Metro Area","65.5%","± 0.8%"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","73.4%","± 0.4%"
"Charlottesville, VA Metro Area","53.8%","± 1.3%"
"Chattanooga, TN-GA Metro Area","69.4%","± 1.0%"
"Cheyenne, WY Metro Area","55.6%","± 2.0%"
"Chicago-Naperville-Elgin, IL-IN Metro Area","69.8%","± 0.2%"
"Chico, CA Metro Area","58.9%","± 1.4%"
"Cincinnati, OH-KY-IN Metro Area","71.0%","± 0.4%"
"Clarksville, TN-KY Metro Area","63.5%","± 1.2%"
"Cleveland, OH Metro Area","67.7%","± 0.4%"
"Cleveland, TN Metro Area","67.6%","± 1.7%"
"Coeur d'Alene, ID Metro Area","66.6%","± 1.5%"
"College Station-Bryan, TX Metro Area","60.6%","± 1.1%"
"Colorado Springs, CO Metro Area","63.1%","± 0.8%"
"Columbia, MO Metro Area","59.3%","± 1.4%"
"Columbia, SC Metro Area","63.6%","± 0.7%"
"Columbus, GA-AL Metro Area","65.5%","± 1.4%"
"Columbus, IN Metro Area","75.6%","± 1.9%"
"Columbus, OH Metro Area","67.9%","± 0.4%"
"Corpus Christi, TX Metro Area","68.7%","± 1.0%"
"Corvallis, OR Metro Area","52.2%","± 1.7%"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","62.0%","± 1.2%"
"Dallas-Fort Worth-Arlington, TX Metro Area","72.8%","± 0.3%"
"Dalton, GA Metro Area","76.2%","± 1.6%"
"Daphne-Fairhope-Foley, AL Metro Area","67.7%","± 1.7%"
"Davenport-Moline-Rock Island, IA-IL Metro Area","68.4%","± 0.8%"
"Dayton-Kettering-Beavercreek, OH Metro Area","67.3%","± 0.7%"
"Decatur, AL Metro Area","72.6%","± 1.6%"
"Decatur, IL Metro Area","71.2%","± 1.6%"
