"Region","Professional school degree","MoE"
"Abilene, TX Metro Area","1,433","± 327"
"Aguadilla, PR Metro Area","1,250","± 367"
"Akron, OH Metro Area","9,160","± 721"
"Albany, GA Metro Area","2,066","± 386"
"Albany, OR Metro Area","934","± 272"
"Albany-Schenectady-Troy, NY Metro Area","17,042","± 1,127"
"Albuquerque, NM Metro Area","15,444","± 966"
"Alexandria, LA Metro Area","1,548","± 342"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","10,116","± 893"
"Altoona, PA Metro Area","1,247","± 292"
"Amarillo, TX Metro Area","2,067","± 308"
"Ames, IA Metro Area","1,699","± 355"
"Amherst Town-Northampton, MA Metro Area","2,872","± 399"
"Anchorage, AK Metro Area","6,163","± 649"
"Ann Arbor, MI Metro Area","12,015","± 971"
"Anniston-Oxford, AL Metro Area","955","± 265"
"Appleton, WI Metro Area","2,146","± 304"
"Arecibo, PR Metro Area","647","± 200"
"Asheville, NC Metro Area","9,200","± 955"
"Athens-Clarke County, GA Metro Area","4,371","± 569"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","108,945","± 2,817"
"Atlantic City-Hammonton, NJ Metro Area","6,273","± 539"
"Auburn-Opelika, AL Metro Area","2,665","± 489"
"Augusta-Richmond County, GA-SC Metro Area","9,423","± 943"
"Austin-Round Rock-San Marcos, TX Metro Area","42,905","± 1,722"
"Bakersfield-Delano, CA Metro Area","6,405","± 725"
"Baltimore-Columbia-Towson, MD Metro Area","61,228","± 2,138"
"Bangor, ME Metro Area","1,815","± 319"
"Barnstable Town, MA Metro Area","6,122","± 562"
"Baton Rouge, LA Metro Area","10,088","± 1,037"
"Battle Creek, MI Metro Area","984","± 204"
"Bay City, MI Metro Area","745","± 195"
"Beaumont-Port Arthur, TX Metro Area","2,134","± 370"
"Beckley, WV Metro Area","953","± 265"
"Bellingham, WA Metro Area","3,501","± 409"
"Bend, OR Metro Area","4,698","± 633"
"Billings, MT Metro Area","2,864","± 495"
"Binghamton, NY Metro Area","2,509","± 337"
"Birmingham, AL Metro Area","21,326","± 1,222"
"Bismarck, ND Metro Area","1,568","± 354"
"Blacksburg-Christiansburg-Radford, VA Metro Area","2,169","± 425"
"Bloomington, IL Metro Area","2,717","± 560"
"Bloomington, IN Metro Area","2,397","± 505"
"Boise City, ID Metro Area","11,084","± 913"
"Boston-Cambridge-Newton, MA-NH Metro Area","125,219","± 3,102"
"Boulder, CO Metro Area","8,369","± 708"
"Bowling Green, KY Metro Area","2,202","± 472"
"Bozeman, MT Metro Area","2,799","± 443"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","4,589","± 468"
"Bridgeport-Stamford-Danbury, CT Metro Area","29,236","± 1,484"
"Brownsville-Harlingen, TX Metro Area","2,752","± 480"
