"Region","Public transportation (excluding taxicab):","MoE"
"Abilene, TX Metro Area","320","± 175"
"Aguadilla, PR Metro Area","328","± 217"
"Akron, OH Metro Area","2,854","± 504"
"Albany, GA Metro Area","482","± 178"
"Albany, OR Metro Area","115","± 82"
"Albany-Schenectady-Troy, NY Metro Area","12,114","± 1,146"
"Albuquerque, NM Metro Area","4,149","± 585"
"Alexandria, LA Metro Area","1,169","± 405"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","5,214","± 624"
"Altoona, PA Metro Area","359","± 137"
"Amarillo, TX Metro Area","499","± 196"
"Ames, IA Metro Area","2,103","± 377"
"Amherst Town-Northampton, MA Metro Area","1,979","± 450"
"Anchorage, AK Metro Area","2,320","± 468"
"Ann Arbor, MI Metro Area","6,895","± 616"
"Anniston-Oxford, AL Metro Area","284","± 168"
"Appleton, WI Metro Area","449","± 168"
"Arecibo, PR Metro Area","178","± 158"
"Asheville, NC Metro Area","1,125","± 392"
"Athens-Clarke County, GA Metro Area","1,358","± 322"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","54,159","± 2,457"
"Atlantic City-Hammonton, NJ Metro Area","5,401","± 648"
"Auburn-Opelika, AL Metro Area","660","± 228"
"Augusta-Richmond County, GA-SC Metro Area","1,986","± 455"
"Austin-Round Rock-San Marcos, TX Metro Area","14,237","± 1,282"
"Bakersfield-Delano, CA Metro Area","1,669","± 393"
"Baltimore-Columbia-Towson, MD Metro Area","54,297","± 2,252"
"Bangor, ME Metro Area","336","± 150"
"Barnstable Town, MA Metro Area","1,367","± 284"
"Baton Rouge, LA Metro Area","2,872","± 612"
"Battle Creek, MI Metro Area","322","± 128"
"Bay City, MI Metro Area","163","± 100"
"Beaumont-Port Arthur, TX Metro Area","567","± 257"
"Beckley, WV Metro Area","27","± 33"
"Bellingham, WA Metro Area","2,133","± 421"
"Bend, OR Metro Area","318","± 174"
"Billings, MT Metro Area","926","± 275"
"Binghamton, NY Metro Area","2,409","± 399"
"Birmingham, AL Metro Area","1,850","± 473"
"Bismarck, ND Metro Area","89","± 89"
"Blacksburg-Christiansburg-Radford, VA Metro Area","1,691","± 373"
"Bloomington, IL Metro Area","664","± 191"
"Bloomington, IN Metro Area","1,447","± 292"
"Boise City, ID Metro Area","1,356","± 376"
"Boston-Cambridge-Newton, MA-NH Metro Area","234,560","± 5,003"
"Boulder, CO Metro Area","5,497","± 723"
"Bowling Green, KY Metro Area","137","± 105"
"Bozeman, MT Metro Area","373","± 192"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","8,344","± 804"
"Bridgeport-Stamford-Danbury, CT Metro Area","32,897","± 1,462"
"Brownsville-Harlingen, TX Metro Area","824","± 233"
"Brunswick-St. Simons, GA Metro Area","76","± 55"
"Buffalo-Cheektowaga, NY Metro Area","14,317","± 1,035"
"Burlington, NC Metro Area","59","± 58"
"Burlington-South Burlington, VT Metro Area","1,921","± 391"
"Canton-Massillon, OH Metro Area","1,636","± 396"
"Cape Coral-Fort Myers, FL Metro Area","1,730","± 421"
"Cape Girardeau, MO-IL Metro Area","74","± 61"
"Carson City, NV Metro Area","402","± 171"
"Casper, WY Metro Area","290","± 134"
"Cedar Rapids, IA Metro Area","766","± 237"
"Chambersburg, PA Metro Area","155","± 81"
"Champaign-Urbana, IL Metro Area","3,691","± 665"
"Charleston, WV Metro Area","1,331","± 431"
"Charleston-North Charleston, SC Metro Area","2,602","± 639"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","14,105","± 1,243"
"Charlottesville, VA Metro Area","2,247","± 414"
"Chattanooga, TN-GA Metro Area","1,279","± 387"
"Cheyenne, WY Metro Area","136","± 105"
"Chicago-Naperville-Elgin, IL-IN Metro Area","381,364","± 6,186"
"Chico, CA Metro Area","595","± 215"
"Cincinnati, OH-KY-IN Metro Area","14,424","± 1,252"
"Clarksville, TN-KY Metro Area","616","± 221"
"Cleveland, OH Metro Area","21,343","± 1,391"
"Cleveland, TN Metro Area","7","± 12"
"Coeur d'Alene, ID Metro Area","312","± 266"
"College Station-Bryan, TX Metro Area","1,729","± 392"
"Colorado Springs, CO Metro Area","1,275","± 313"
"Columbia, MO Metro Area","840","± 279"
"Columbia, SC Metro Area","2,174","± 469"
"Columbus, GA-AL Metro Area","1,276","± 609"
"Columbus, IN Metro Area","225","± 105"
"Columbus, OH Metro Area","12,640","± 977"
"Corpus Christi, TX Metro Area","2,076","± 444"
"Corvallis, OR Metro Area","865","± 205"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","369","± 158"
"Dallas-Fort Worth-Arlington, TX Metro Area","31,254","± 1,629"
"Dalton, GA Metro Area","149","± 146"
"Daphne-Fairhope-Foley, AL Metro Area","100","± 113"
"Davenport-Moline-Rock Island, IA-IL Metro Area","1,609","± 312"
"Dayton-Kettering-Beavercreek, OH Metro Area","4,259","± 666"
"Decatur, AL Metro Area","79","± 61"
"Decatur, IL Metro Area","362","± 119"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","1,272","± 328"
"Denver-Aurora-Centennial, CO Metro Area","42,347","± 1,828"
"Des Moines-West Des Moines, IA Metro Area","1,722","± 336"
"Detroit-Warren-Dearborn, MI Metro Area","21,733","± 1,336"
"Dothan, AL Metro Area","91","± 46"
"Dover, DE Metro Area","933","± 265"
"Dubuque, IA Metro Area","483","± 188"
"Duluth, MN-WI Metro Area","1,745","± 248"
"Durham-Chapel Hill, NC Metro Area","6,659","± 841"
"Eagle Pass, TX Metro Area","31","± 48"
"Eau Claire, WI Metro Area","480","± 215"
"El Centro, CA Metro Area","283","± 161"
"Elizabethtown, KY Metro Area","119","± 70"
"Elkhart-Goshen, IN Metro Area","261","± 134"
"Elmira, NY Metro Area","524","± 171"
"El Paso, TX Metro Area","3,486","± 619"
"Enid, OK Metro Area","38","± 55"
"Erie, PA Metro Area","1,348","± 289"
"Eugene-Springfield, OR Metro Area","3,384","± 544"
"Evansville, IN Metro Area","857","± 248"
"Fairbanks-College, AK Metro Area","413","± 206"
"Fargo, ND-MN Metro Area","1,170","± 300"
"Farmington, NM Metro Area","97","± 50"
"Fayetteville, NC Metro Area","870","± 259"
