"Region","Total:","MoE"
"Abilene, TX Metro Area","77,051","± 1,536"
"Aguadilla, PR Metro Area","70,598","± 2,195"
"Akron, OH Metro Area","300,233","± 2,683"
"Albany, GA Metro Area","55,399","± 1,424"
"Albany, OR Metro Area","51,812","± 1,013"
"Albany-Schenectady-Troy, NY Metro Area","385,567","± 3,610"
"Albuquerque, NM Metro Area","370,582","± 3,499"
"Alexandria, LA Metro Area","58,805","± 1,559"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","370,897","± 3,629"
"Altoona, PA Metro Area","52,208","± 1,100"
"Amarillo, TX Metro Area","117,936","± 1,475"
"Ames, IA Metro Area","58,023","± 1,411"
"Amherst Town-Northampton, MA Metro Area","64,314","± 1,441"
"Anchorage, AK Metro Area","176,517","± 3,515"
"Ann Arbor, MI Metro Area","145,686","± 2,066"
"Anniston-Oxford, AL Metro Area","46,384","± 947"
"Appleton, WI Metro Area","115,944","± 1,339"
"Arecibo, PR Metro Area","53,713","± 1,619"
"Asheville, NC Metro Area","165,613","± 2,308"
"Athens-Clarke County, GA Metro Area","91,283","± 1,829"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","2,487,664","± 11,204"
"Atlantic City-Hammonton, NJ Metro Area","154,993","± 2,463"
"Auburn-Opelika, AL Metro Area","81,664","± 1,813"
"Augusta-Richmond County, GA-SC Metro Area","252,863","± 3,598"
"Austin-Round Rock-San Marcos, TX Metro Area","964,227","± 7,756"
"Bakersfield-Delano, CA Metro Area","330,507","± 3,586"
"Baltimore-Columbia-Towson, MD Metro Area","1,195,592","± 6,189"
"Bangor, ME Metro Area","65,024","± 1,306"
"Barnstable Town, MA Metro Area","94,875","± 1,658"
"Baton Rouge, LA Metro Area","367,393","± 4,175"
"Battle Creek, MI Metro Area","53,578","± 915"
"Bay City, MI Metro Area","43,721","± 1,001"
"Beaumont-Port Arthur, TX Metro Area","158,327","± 2,209"
"Beckley, WV Metro Area","38,391","± 1,454"
"Bellingham, WA Metro Area","96,302","± 1,913"
"Bend, OR Metro Area","98,016","± 2,063"
"Billings, MT Metro Area","85,605","± 1,582"
"Binghamton, NY Metro Area","96,882","± 1,700"
"Birmingham, AL Metro Area","483,872","± 4,506"
"Bismarck, ND Metro Area","63,801","± 1,204"
"Blacksburg-Christiansburg-Radford, VA Metro Area","75,559","± 1,608"
"Bloomington, IL Metro Area","71,076","± 1,388"
"Bloomington, IN Metro Area","67,122","± 1,322"
"Boise City, ID Metro Area","329,390","± 3,427"
