"Region","Total:","MoE"
"Abilene, TX Metro Area","83,512","± 1,427"
"Aguadilla, PR Metro Area","75,170","± 2,218"
"Akron, OH Metro Area","345,459","± 2,542"
"Albany, GA Metro Area","59,585","± 1,315"
"Albany, OR Metro Area","57,548","± 1,033"
"Albany-Schenectady-Troy, NY Metro Area","446,685","± 2,935"
"Albuquerque, NM Metro Area","425,556","± 2,991"
"Alexandria, LA Metro Area","61,592","± 1,528"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","421,007","± 2,945"
"Altoona, PA Metro Area","55,495","± 1,055"
"Amarillo, TX Metro Area","125,793","± 1,535"
"Ames, IA Metro Area","64,841","± 1,323"
"Amherst Town-Northampton, MA Metro Area","76,989","± 1,338"
"Anchorage, AK Metro Area","195,777","± 3,077"
"Ann Arbor, MI Metro Area","182,797","± 1,981"
"Anniston-Oxford, AL Metro Area","48,427","± 972"
"Appleton, WI Metro Area","129,877","± 1,269"
"Arecibo, PR Metro Area","57,020","± 1,681"
"Asheville, NC Metro Area","192,619","± 2,456"
"Athens-Clarke County, GA Metro Area","103,807","± 1,681"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","3,052,086","± 11,101"
"Atlantic City-Hammonton, NJ Metro Area","170,044","± 2,209"
"Auburn-Opelika, AL Metro Area","88,995","± 1,837"
"Augusta-Richmond County, GA-SC Metro Area","276,884","± 3,296"
"Austin-Round Rock-San Marcos, TX Metro Area","1,272,236","± 7,054"
"Bakersfield-Delano, CA Metro Area","353,983","± 3,657"
"Baltimore-Columbia-Towson, MD Metro Area","1,425,759","± 5,410"
"Bangor, ME Metro Area","72,714","± 1,142"
"Barnstable Town, MA Metro Area","111,039","± 1,662"
"Baton Rouge, LA Metro Area","394,252","± 4,062"
"Battle Creek, MI Metro Area","57,707","± 940"
"Bay City, MI Metro Area","47,222","± 888"
"Beaumont-Port Arthur, TX Metro Area","163,843","± 2,236"
"Beckley, WV Metro Area","41,041","± 1,534"
"Bellingham, WA Metro Area","111,136","± 1,606"
"Bend, OR Metro Area","120,483","± 1,921"
"Billings, MT Metro Area","93,219","± 1,445"
"Binghamton, NY Metro Area","105,772","± 1,662"
"Birmingham, AL Metro Area","538,805","± 4,533"
"Bismarck, ND Metro Area","69,448","± 1,037"
"Blacksburg-Christiansburg-Radford, VA Metro Area","83,652","± 1,588"
"Bloomington, IL Metro Area","84,403","± 1,414"
"Bloomington, IN Metro Area","77,827","± 1,358"
"Boise City, ID Metro Area","388,128","± 2,886"
"Boston-Cambridge-Newton, MA-NH Metro Area","2,618,891","± 7,143"
"Boulder, CO Metro Area","174,585","± 1,765"
"Bowling Green, KY Metro Area","85,456","± 1,326"
"Bozeman, MT Metro Area","68,936","± 1,121"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","131,800","± 1,393"
"Bridgeport-Stamford-Danbury, CT Metro Area","474,955","± 3,716"
"Brownsville-Harlingen, TX Metro Area","170,465","± 2,071"
"Brunswick-St. Simons, GA Metro Area","48,007","± 1,451"
"Buffalo-Cheektowaga, NY Metro Area","552,754","± 3,477"
"Burlington, NC Metro Area","82,208","± 1,111"
"Burlington-South Burlington, VT Metro Area","123,135","± 1,559"
"Canton-Massillon, OH Metro Area","188,395","± 1,849"
"Cape Coral-Fort Myers, FL Metro Area","336,152","± 3,620"
"Cape Girardeau, MO-IL Metro Area","47,527","± 955"
"Carson City, NV Metro Area","26,634","± 549"
"Casper, WY Metro Area","39,736","± 847"
"Cedar Rapids, IA Metro Area","140,935","± 1,704"
"Chambersburg, PA Metro Area","73,658","± 1,224"
"Champaign-Urbana, IL Metro Area","112,769","± 1,618"
"Charleston, WV Metro Area","85,429","± 1,581"
"Charleston-North Charleston, SC Metro Area","410,326","± 3,166"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","1,358,636","± 6,134"
"Charlottesville, VA Metro Area","109,211","± 1,494"
"Chattanooga, TN-GA Metro Area","268,098","± 2,731"
"Cheyenne, WY Metro Area","50,586","± 931"
"Chicago-Naperville-Elgin, IL-IN Metro Area","4,625,828","± 11,159"
"Chico, CA Metro Area","90,852","± 1,597"
"Cincinnati, OH-KY-IN Metro Area","1,106,616","± 4,862"
"Clarksville, TN-KY Metro Area","148,720","± 1,936"
"Cleveland, OH Metro Area","1,040,354","± 4,603"
"Cleveland, TN Metro Area","57,789","± 1,310"
"Coeur d'Alene, ID Metro Area","81,868","± 1,346"
"College Station-Bryan, TX Metro Area","129,653","± 1,770"
"Colorado Springs, CO Metro Area","386,109","± 2,819"
"Columbia, MO Metro Area","107,821","± 1,482"
"Columbia, SC Metro Area","400,718","± 3,249"
"Columbus, GA-AL Metro Area","140,282","± 1,943"
"Columbus, IN Metro Area","40,985","± 895"
"Columbus, OH Metro Area","1,085,993","± 5,046"
"Corpus Christi, TX Metro Area","198,267","± 2,447"
"Corvallis, OR Metro Area","46,041","± 1,221"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","141,849","± 1,973"
"Dallas-Fort Worth-Arlington, TX Metro Area","3,936,306","± 10,257"
"Dalton, GA Metro Area","65,894","± 1,323"
