"Region","Total:","MoE"
"Abilene, TX Metro Area","113,167","± 284"
"Aguadilla, PR Metro Area","189,038","*****"
"Akron, OH Metro Area","490,098","± 253"
"Albany, GA Metro Area","97,281","± 341"
"Albany, OR Metro Area","91,102","± 122"
"Albany-Schenectady-Troy, NY Metro Area","630,215","± 263"
"Albuquerque, NM Metro Area","645,319","± 404"
"Alexandria, LA Metro Area","101,423","± 174"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","607,910","± 243"
"Altoona, PA Metro Area","87,152","± 150"
"Amarillo, TX Metro Area","176,439","± 268"
"Ames, IA Metro Area","71,626","± 182"
"Amherst Town-Northampton, MA Metro Area","99,992","± 381"
"Anchorage, AK Metro Area","265,583","± 119"
"Ann Arbor, MI Metro Area","235,668","± 73"
"Anniston-Oxford, AL Metro Area","78,627","± 174"
"Appleton, WI Metro Area","167,974","± 190"
"Arecibo, PR Metro Area","135,776","*****"
"Asheville, NC Metro Area","305,486","± 171"
"Athens-Clarke County, GA Metro Area","134,162","± 351"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","4,142,821","± 742"
"Atlantic City-Hammonton, NJ Metro Area","265,414","± 339"
"Auburn-Opelika, AL Metro Area","121,536","± 228"
"Augusta-Richmond County, GA-SC Metro Area","420,649","± 482"
"Austin-Round Rock-San Marcos, TX Metro Area","1,616,126","± 329"
"Bakersfield-Delano, CA Metro Area","558,810","± 39"
"Baltimore-Columbia-Towson, MD Metro Area","1,972,838","± 275"
"Bangor, ME Metro Area","110,847","± 185"
"Barnstable Town, MA Metro Area","182,012","± 249"
"Baton Rouge, LA Metro Area","567,496","± 617"
"Battle Creek, MI Metro Area","91,704","± 90"
"Bay City, MI Metro Area","75,148","± 91"
"Beaumont-Port Arthur, TX Metro Area","264,780","± 357"
"Beckley, WV Metro Area","81,508","± 325"
"Bellingham, WA Metro Area","155,393","± 111"
"Bend, OR Metro Area","187,049","± 314"
"Billings, MT Metro Area","130,251","± 169"
"Binghamton, NY Metro Area","165,470","± 170"
"Birmingham, AL Metro Area","808,313","± 468"
"Bismarck, ND Metro Area","91,124","± 319"
"Blacksburg-Christiansburg-Radford, VA Metro Area","112,841","± 275"
"Bloomington, IL Metro Area","105,692","± 32"
"Bloomington, IN Metro Area","98,744","± 127"
"Boise City, ID Metro Area","531,687","± 251"
"Boston-Cambridge-Newton, MA-NH Metro Area","3,479,921","± 368"
"Boulder, CO Metro Area","219,110","± 96"
"Bowling Green, KY Metro Area","116,859","± 192"
"Bozeman, MT Metro Area","79,165","± 182"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","196,424","*****"
"Bridgeport-Stamford-Danbury, CT Metro Area","653,985","± 76"
"Brownsville-Harlingen, TX Metro Area","254,070","± 205"
"Brunswick-St. Simons, GA Metro Area","82,013","± 308"
"Buffalo-Cheektowaga, NY Metro Area","824,795","± 124"
"Burlington, NC Metro Area","117,453","± 101"
"Burlington-South Burlington, VT Metro Area","155,079","± 219"
"Canton-Massillon, OH Metro Area","281,389","± 180"
"Cape Coral-Fort Myers, FL Metro Area","599,971","± 98"
"Cape Girardeau, MO-IL Metro Area","64,150","± 228"
"Carson City, NV Metro Area","42,169","± 144"
"Casper, WY Metro Area","54,406","± 160"
"Cedar Rapids, IA Metro Area","189,591","± 113"
"Chambersburg, PA Metro Area","110,515","± 256"
"Champaign-Urbana, IL Metro Area","141,728","± 119"
"Charleston, WV Metro Area","149,983","± 163"
"Charleston-North Charleston, SC Metro Area","570,635","± 206"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","1,848,090","± 447"
"Charlottesville, VA Metro Area","153,164","± 360"
"Chattanooga, TN-GA Metro Area","401,795","± 426"
"Cheyenne, WY Metro Area","68,915","± 249"
"Chicago-Naperville-Elgin, IL-IN Metro Area","6,448,476","± 570"
"Chico, CA Metro Area","136,246","± 131"
"Cincinnati, OH-KY-IN Metro Area","1,523,760","± 561"
"Clarksville, TN-KY Metro Area","204,142","± 228"
"Cleveland, OH Metro Area","1,541,948","± 351"
"Cleveland, TN Metro Area","88,359","± 112"
"Coeur d'Alene, ID Metro Area","124,748","± 136"
"College Station-Bryan, TX Metro Area","151,102","± 221"
"Colorado Springs, CO Metro Area","506,237","± 130"
"Columbia, MO Metro Area","130,980","± 144"
"Columbia, SC Metro Area","559,923","± 424"
"Columbus, GA-AL Metro Area","217,743","± 401"
"Columbus, IN Metro Area","56,045","± 191"
"Columbus, OH Metro Area","1,454,674","± 492"
"Corpus Christi, TX Metro Area","298,507","± 534"
"Corvallis, OR Metro Area","59,446","± 149"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","206,158","± 211"
"Dallas-Fort Worth-Arlington, TX Metro Area","5,114,705","± 476"
"Dalton, GA Metro Area","94,441","± 237"
"Daphne-Fairhope-Foley, AL Metro Area","171,988","± 153"
"Davenport-Moline-Rock Island, IA-IL Metro Area","263,087","± 185"
"Dayton-Kettering-Beavercreek, OH Metro Area","558,510","± 233"
"Decatur, AL Metro Area","108,473","± 179"
"Decatur, IL Metro Area","70,727","± 90"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","517,931","± 175"
"Denver-Aurora-Centennial, CO Metro Area","2,100,262","± 460"
"Des Moines-West Des Moines, IA Metro Area","481,410","± 258"
"Detroit-Warren-Dearborn, MI Metro Area","3,060,702","± 262"
"Dothan, AL Metro Area","106,181","± 130"
"Dover, DE Metro Area","124,582","± 92"
"Dubuque, IA Metro Area","66,561","± 249"
"Duluth, MN-WI Metro Area","195,908","± 239"
"Durham-Chapel Hill, NC Metro Area","407,395","± 454"
"Eagle Pass, TX Metro Area","33,346","± 98"
"Eau Claire, WI Metro Area","115,827","± 264"
"El Centro, CA Metro Area","110,582","± 194"
"Elizabethtown, KY Metro Area","84,893","± 172"
"Elkhart-Goshen, IN Metro Area","130,799","± 114"
"Elmira, NY Metro Area","58,452","± 208"
"El Paso, TX Metro Area","544,907","± 224"
"Enid, OK Metro Area","40,397","± 243"
"Erie, PA Metro Area","186,451","± 57"
"Eugene-Springfield, OR Metro Area","266,887","± 50"
"Evansville, IN Metro Area","186,207","± 243"
"Fairbanks-College, AK Metro Area","61,207","± 283"
"Fargo, ND-MN Metro Area","159,504","± 216"
"Farmington, NM Metro Area","80,157","± 136"
"Fayetteville, NC Metro Area","244,233","± 121"
"Fayetteville-Springdale-Rogers, AR Metro Area","360,911","± 164"
"Flagstaff, AZ Metro Area","87,596","± 199"
"Flint, MI Metro Area","280,372","± 55"
"Florence, SC Metro Area","135,807","± 238"
"Florence-Muscle Shoals, AL Metro Area","105,909","± 439"
"Fond du Lac, WI Metro Area","72,965","± 139"
"Fort Collins-Loveland, CO Metro Area","243,809","± 69"
"Fort Smith, AR-OK Metro Area","154,832","± 209"
"Fort Wayne, IN Metro Area","297,539","± 143"
"Fresno, CA Metro Area","731,484","± 368"
"Gadsden, AL Metro Area","72,570","± 88"
"Gainesville, FL Metro Area","217,718","± 200"
"Gainesville, GA Metro Area","138,951","± 41"
"Gettysburg, PA Metro Area","74,009","± 102"
"Glens Falls, NY Metro Area","94,674","± 195"
"Goldsboro, NC Metro Area","78,414","± 96"
"Grand Forks, ND-MN Metro Area","64,037","± 191"
"Grand Island, NE Metro Area","49,857","± 159"
"Grand Junction, CO Metro Area","111,117","± 141"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","769,986","± 492"
"Grants Pass, OR Metro Area","65,715","± 194"
"Great Falls, MT Metro Area","58,110","± 145"
"Greeley, CO Metro Area","222,955","± 111"
"Green Bay, WI Metro Area","225,719","± 93"
"Greensboro-High Point, NC Metro Area","526,403","± 276"
"Greenville, NC Metro Area","106,434","± 137"
"Greenville-Anderson-Greer, SC Metro Area","641,750","± 281"
"Guayama, PR Metro Area","49,311","*****"
"Gulfport-Biloxi, MS Metro Area","286,899","± 425"
"Hagerstown-Martinsburg, MD-WV Metro Area","209,291","± 170"
"Hammond, LA Metro Area","88,549","± 197"
"Hanford-Corcoran, CA Metro Area","95,545","± 185"
"Harrisburg-Carlisle, PA Metro Area","416,722","± 91"
"Harrisonburg, VA Metro Area","84,187","± 193"
"Hartford-West Hartford-East Hartford, CT Metro Area","805,745","± 201"
"Hattiesburg, MS Metro Area","99,076","± 228"
"Helena, MT Metro Area","66,195","± 214"
"Hickory-Lenoir-Morganton, NC Metro Area","262,495","± 485"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","160,996","± 405"
"Hinesville, GA Metro Area","49,639","± 298"
"Homosassa Springs, FL Metro Area","126,772","± 383"
"Hot Springs, AR Metro Area","72,924","± 148"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","137,396","± 452"
"Houston-Pasadena-The Woodlands, TX Metro Area","4,718,703","± 883"
"Huntington-Ashland, WV-KY-OH Metro Area","260,388","± 352"
"Huntsville, AL Metro Area","348,153","± 125"
"Idaho Falls, ID Metro Area","98,433","± 232"
