"Region","Unemployed","MoE"
"Abilene, TX Metro Area","2,235","± 374"
"Aguadilla, PR Metro Area","10,417","± 963"
"Akron, OH Metro Area","19,495","± 1,264"
"Albany, GA Metro Area","5,395","± 546"
"Albany, OR Metro Area","3,705","± 613"
"Albany-Schenectady-Troy, NY Metro Area","23,096","± 1,383"
"Albuquerque, NM Metro Area","24,836","± 1,473"
"Alexandria, LA Metro Area","3,186","± 482"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","24,321","± 1,349"
"Altoona, PA Metro Area","2,628","± 421"
"Amarillo, TX Metro Area","4,289","± 627"
"Ames, IA Metro Area","2,955","± 692"
"Amherst Town-Northampton, MA Metro Area","4,265","± 526"
"Anchorage, AK Metro Area","9,835","± 984"
"Ann Arbor, MI Metro Area","8,556","± 849"
"Anniston-Oxford, AL Metro Area","3,362","± 661"
"Appleton, WI Metro Area","3,791","± 446"
"Arecibo, PR Metro Area","7,316","± 694"
"Asheville, NC Metro Area","6,903","± 780"
"Athens-Clarke County, GA Metro Area","5,045","± 725"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","163,200","± 4,852"
"Atlantic City-Hammonton, NJ Metro Area","14,284","± 1,199"
"Auburn-Opelika, AL Metro Area","4,091","± 628"
"Augusta-Richmond County, GA-SC Metro Area","17,474","± 1,448"
"Austin-Round Rock-San Marcos, TX Metro Area","57,495","± 2,704"
"Bakersfield-Delano, CA Metro Area","33,049","± 1,678"
"Baltimore-Columbia-Towson, MD Metro Area","70,197","± 2,478"
"Bangor, ME Metro Area","3,175","± 424"
"Barnstable Town, MA Metro Area","5,492","± 619"
"Baton Rouge, LA Metro Area","28,116","± 1,859"
"Battle Creek, MI Metro Area","4,276","± 520"
"Bay City, MI Metro Area","2,304","± 366"
"Beaumont-Port Arthur, TX Metro Area","9,982","± 932"
"Beckley, WV Metro Area","2,687","± 471"
"Bellingham, WA Metro Area","6,050","± 650"
"Bend, OR Metro Area","6,481","± 840"
"Billings, MT Metro Area","3,439","± 467"
"Binghamton, NY Metro Area","7,409","± 740"
"Birmingham, AL Metro Area","25,868","± 1,423"
"Bismarck, ND Metro Area","1,856","± 343"
"Blacksburg-Christiansburg-Radford, VA Metro Area","3,283","± 547"
"Bloomington, IL Metro Area","2,691","± 450"
"Bloomington, IN Metro Area","4,575","± 729"
"Boise City, ID Metro Area","12,839","± 1,331"
"Boston-Cambridge-Newton, MA-NH Metro Area","135,677","± 3,457"
"Boulder, CO Metro Area","8,593","± 811"
"Bowling Green, KY Metro Area","4,594","± 592"
"Bozeman, MT Metro Area","1,689","± 281"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","6,125","± 588"
"Bridgeport-Stamford-Danbury, CT Metro Area","31,665","± 2,023"
"Brownsville-Harlingen, TX Metro Area","10,484","± 830"
"Brunswick-St. Simons, GA Metro Area","2,129","± 477"
"Buffalo-Cheektowaga, NY Metro Area","29,977","± 1,422"
"Burlington, NC Metro Area","4,305","± 543"
"Burlington-South Burlington, VT Metro Area","4,569","± 607"
"Canton-Massillon, OH Metro Area","7,715","± 757"
"Cape Coral-Fort Myers, FL Metro Area","14,873","± 1,253"
"Cape Girardeau, MO-IL Metro Area","1,691","± 392"
"Carson City, NV Metro Area","1,176","± 300"
"Casper, WY Metro Area","1,568","± 370"
"Cedar Rapids, IA Metro Area","5,221","± 744"
"Chambersburg, PA Metro Area","2,782","± 459"
"Champaign-Urbana, IL Metro Area","5,347","± 612"
"Charleston, WV Metro Area","5,461","± 633"
"Charleston-North Charleston, SC Metro Area","16,085","± 1,384"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","64,865","± 2,840"
"Charlottesville, VA Metro Area","4,214","± 593"
"Chattanooga, TN-GA Metro Area","12,634","± 973"
"Cheyenne, WY Metro Area","1,674","± 327"
"Chicago-Naperville-Elgin, IL-IN Metro Area","303,952","± 4,641"
"Chico, CA Metro Area","7,192","± 737"
"Cincinnati, OH-KY-IN Metro Area","50,518","± 2,191"
"Clarksville, TN-KY Metro Area","8,033","± 767"
"Cleveland, OH Metro Area","65,049","± 2,402"
"Cleveland, TN Metro Area","3,546","± 495"
"Coeur d'Alene, ID Metro Area","2,804","± 481"
"College Station-Bryan, TX Metro Area","6,531","± 738"
"Colorado Springs, CO Metro Area","20,415","± 1,307"
"Columbia, MO Metro Area","4,304","± 702"
"Columbia, SC Metro Area","23,074","± 1,680"
"Columbus, GA-AL Metro Area","8,747","± 824"
"Columbus, IN Metro Area","1,578","± 313"
"Columbus, OH Metro Area","47,218","± 2,181"
"Corpus Christi, TX Metro Area","11,369","± 917"
"Corvallis, OR Metro Area","3,400","± 559"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","5,068","± 633"
"Dallas-Fort Worth-Arlington, TX Metro Area","189,453","± 4,747"
"Dalton, GA Metro Area","3,735","± 627"
"Daphne-Fairhope-Foley, AL Metro Area","3,615","± 584"
"Davenport-Moline-Rock Island, IA-IL Metro Area","8,607","± 684"
"Dayton-Kettering-Beavercreek, OH Metro Area","21,064","± 1,282"
"Decatur, AL Metro Area","2,592","± 389"
