"Region","Total:","MoE"
"Abilene, TX Metro Area","79,704","± 1,350"
"Aguadilla, PR Metro Area","77,598","± 2,220"
"Akron, OH Metro Area","352,709","± 2,569"
"Albany, GA Metro Area","60,581","± 1,308"
"Albany, OR Metro Area","58,767","± 1,046"
"Albany-Schenectady-Troy, NY Metro Area","455,608","± 2,614"
"Albuquerque, NM Metro Area","428,298","± 2,951"
"Alexandria, LA Metro Area","62,667","± 1,450"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","428,874","± 2,856"
"Altoona, PA Metro Area","56,533","± 1,080"
"Amarillo, TX Metro Area","126,873","± 1,530"
"Ames, IA Metro Area","66,717","± 1,277"
"Amherst Town-Northampton, MA Metro Area","79,837","± 1,277"
"Anchorage, AK Metro Area","189,255","± 7,553"
"Ann Arbor, MI Metro Area","187,381","± 2,054"
"Anniston-Oxford, AL Metro Area","48,859","± 972"
"Appleton, WI Metro Area","131,767","± 1,312"
"Arecibo, PR Metro Area","58,929","± 1,684"
"Asheville, NC Metro Area","195,538","± 2,434"
"Athens-Clarke County, GA Metro Area","105,955","± 1,616"
"Atlanta-Sandy Springs-Roswell, GA Metro Area","3,123,977","± 10,872"
"Atlantic City-Hammonton, NJ Metro Area","173,038","± 2,175"
"Auburn-Opelika, AL Metro Area","90,436","± 1,840"
"Augusta-Richmond County, GA-SC Metro Area","270,385","± 3,250"
"Austin-Round Rock-San Marcos, TX Metro Area","1,290,400","± 6,834"
"Bakersfield-Delano, CA Metro Area","362,655","± 3,723"
"Baltimore-Columbia-Towson, MD Metro Area","1,434,072","± 5,528"
"Bangor, ME Metro Area","74,573","± 1,069"
"Barnstable Town, MA Metro Area","113,261","± 1,598"
"Baton Rouge, LA Metro Area","401,569","± 4,117"
"Battle Creek, MI Metro Area","58,971","± 900"
"Bay City, MI Metro Area","48,149","± 918"
"Beaumont-Port Arthur, TX Metro Area","166,237","± 2,198"
"Beckley, WV Metro Area","41,753","± 1,605"
"Bellingham, WA Metro Area","113,292","± 1,566"
"Bend, OR Metro Area","123,144","± 1,907"
"Billings, MT Metro Area","94,576","± 1,484"
"Binghamton, NY Metro Area","108,752","± 1,580"
"Birmingham, AL Metro Area","546,581","± 4,372"
"Bismarck, ND Metro Area","69,702","± 1,102"
"Blacksburg-Christiansburg-Radford, VA Metro Area","85,554","± 1,580"
"Bloomington, IL Metro Area","86,270","± 1,455"
"Bloomington, IN Metro Area","80,039","± 1,284"
"Boise City, ID Metro Area","393,380","± 2,794"
"Boston-Cambridge-Newton, MA-NH Metro Area","2,673,516","± 7,021"
"Boulder, CO Metro Area","177,426","± 1,717"
"Bowling Green, KY Metro Area","87,886","± 1,380"
"Bozeman, MT Metro Area","70,355","± 1,110"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","121,151","± 1,499"
"Bridgeport-Stamford-Danbury, CT Metro Area","485,624","± 3,610"
"Brownsville-Harlingen, TX Metro Area","172,143","± 2,074"
"Brunswick-St. Simons, GA Metro Area","48,723","± 1,444"
"Buffalo-Cheektowaga, NY Metro Area","564,976","± 3,409"
"Burlington, NC Metro Area","83,828","± 1,169"
"Burlington-South Burlington, VT Metro Area","125,354","± 1,478"
"Canton-Massillon, OH Metro Area","191,301","± 1,913"
"Cape Coral-Fort Myers, FL Metro Area","342,267","± 3,572"
"Cape Girardeau, MO-IL Metro Area","48,585","± 906"
"Carson City, NV Metro Area","27,220","± 619"
"Casper, WY Metro Area","40,237","± 861"
"Cedar Rapids, IA Metro Area","143,571","± 1,787"
"Chambersburg, PA Metro Area","75,094","± 1,202"
"Champaign-Urbana, IL Metro Area","114,410","± 1,730"
"Charleston, WV Metro Area","86,279","± 1,587"
"Charleston-North Charleston, SC Metro Area","405,245","± 3,343"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","1,385,603","± 5,902"
"Charlottesville, VA Metro Area","110,966","± 1,539"
"Chattanooga, TN-GA Metro Area","273,551","± 2,786"
"Cheyenne, WY Metro Area","48,612","± 942"
"Chicago-Naperville-Elgin, IL-IN Metro Area","4,711,018","± 10,494"
"Chico, CA Metro Area","93,949","± 1,509"
"Cincinnati, OH-KY-IN Metro Area","1,124,225","± 4,646"
"Clarksville, TN-KY Metro Area","132,152","± 2,122"
"Cleveland, OH Metro Area","1,060,356","± 4,550"
"Cleveland, TN Metro Area","59,133","± 1,268"
"Coeur d'Alene, ID Metro Area","82,964","± 1,315"
"College Station-Bryan, TX Metro Area","131,942","± 1,757"
"Colorado Springs, CO Metro Area","357,894","± 3,067"
"Columbia, MO Metro Area","109,294","± 1,449"
"Columbia, SC Metro Area","397,263","± 3,239"
"Columbus, GA-AL Metro Area","129,791","± 1,897"
"Columbus, IN Metro Area","41,316","± 871"
"Columbus, OH Metro Area","1,105,666","± 4,774"
"Corpus Christi, TX Metro Area","198,442","± 2,535"
"Corvallis, OR Metro Area","47,156","± 1,207"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","131,370","± 1,957"
"Dallas-Fort Worth-Arlington, TX Metro Area","4,000,995","± 10,491"
"Dalton, GA Metro Area","66,534","± 1,330"
"Daphne-Fairhope-Foley, AL Metro Area","109,556","± 1,998"
"Davenport-Moline-Rock Island, IA-IL Metro Area","184,364","± 1,519"
"Dayton-Kettering-Beavercreek, OH Metro Area","387,011","± 3,242"
"Decatur, AL Metro Area","69,434","± 1,377"
"Decatur, IL Metro Area","43,884","± 1,025"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","299,930","± 3,084"
"Denver-Aurora-Centennial, CO Metro Area","1,654,202","± 5,185"
"Des Moines-West Des Moines, IA Metro Area","382,003","± 2,800"
"Detroit-Warren-Dearborn, MI Metro Area","2,065,420","± 6,886"
"Dothan, AL Metro Area","64,951","± 978"
"Dover, DE Metro Area","84,137","± 1,436"
"Dubuque, IA Metro Area","51,563","± 951"
"Duluth, MN-WI Metro Area","136,562","± 1,122"
"Durham-Chapel Hill, NC Metro Area","302,497","± 2,502"
"Eagle Pass, TX Metro Area","22,428","± 835"
"Eau Claire, WI Metro Area","91,333","± 1,103"
"El Centro, CA Metro Area","61,339","± 1,592"
"Elizabethtown, KY Metro Area","54,476","± 1,048"
"Elkhart-Goshen, IN Metro Area","98,106","± 1,503"
"Elmira, NY Metro Area","36,535","± 745"
"El Paso, TX Metro Area","372,932","± 3,966"
"Enid, OK Metro Area","28,340","± 724"
"Erie, PA Metro Area","122,520","± 1,454"
"Eugene-Springfield, OR Metro Area","181,926","± 2,408"
"Evansville, IN Metro Area","133,599","± 1,449"
"Fairbanks-College, AK Metro Area","40,873","± 3,544"
"Fargo, ND-MN Metro Area","145,213","± 1,507"
"Farmington, NM Metro Area","46,212","± 1,241"
"Fayetteville, NC Metro Area","144,391","± 1,806"
"Fayetteville-Springdale-Rogers, AR Metro Area","278,140","± 2,753"
"Flagstaff, AZ Metro Area","68,549","± 1,184"
"Flint, MI Metro Area","173,265","± 2,252"
"Florence, SC Metro Area","86,017","± 1,376"
"Florence-Muscle Shoals, AL Metro Area","69,463","± 1,482"
"Fond du Lac, WI Metro Area","53,313","± 911"
"Fort Collins-Loveland, CO Metro Area","194,799","± 2,008"
"Fort Smith, AR-OK Metro Area","97,985","± 1,483"
"Fort Wayne, IN Metro Area","221,978","± 1,576"
"Fresno, CA Metro Area","485,852","± 4,007"
"Gadsden, AL Metro Area","43,234","± 1,274"
"Gainesville, FL Metro Area","160,279","± 2,504"
"Gainesville, GA Metro Area","99,845","± 1,429"
"Gettysburg, PA Metro Area","53,027","± 914"
"Glens Falls, NY Metro Area","60,536","± 977"
"Goldsboro, NC Metro Area","49,904","± 1,363"
"Grand Forks, ND-MN Metro Area","54,761","± 883"
"Grand Island, NE Metro Area","38,513","± 698"
"Grand Junction, CO Metro Area","74,658","± 1,492"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","587,379","± 3,333"
"Grants Pass, OR Metro Area","33,509","± 962"
"Great Falls, MT Metro Area","38,670","± 821"
"Greeley, CO Metro Area","174,373","± 1,498"
"Green Bay, WI Metro Area","172,344","± 1,515"
"Greensboro-High Point, NC Metro Area","374,159","± 3,721"
"Greenville, NC Metro Area","80,980","± 1,569"
"Greenville-Anderson-Greer, SC Metro Area","452,591","± 3,621"
"Guayama, PR Metro Area","18,765","± 1,023"
"Gulfport-Biloxi, MS Metro Area","179,029","± 2,139"
"Hagerstown-Martinsburg, MD-WV Metro Area","142,678","± 1,556"
"Hammond, LA Metro Area","58,376","± 1,637"
"Hanford-Corcoran, CA Metro Area","53,156","± 1,558"
"Harrisburg-Carlisle, PA Metro Area","297,919","± 2,299"
"Harrisonburg, VA Metro Area","66,937","± 1,132"
"Hartford-West Hartford-East Hartford, CT Metro Area","590,367","± 3,605"
"Hattiesburg, MS Metro Area","70,959","± 1,554"
"Helena, MT Metro Area","45,122","± 1,094"
"Hickory-Lenoir-Morganton, NC Metro Area","169,854","± 2,333"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","93,990","± 1,749"
"Hinesville, GA Metro Area","30,290","± 1,028"
"Homosassa Springs, FL Metro Area","51,098","± 1,499"
"Hot Springs, AR Metro Area","42,590","± 1,138"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","88,112","± 1,862"
"Houston-Pasadena-The Woodlands, TX Metro Area","3,490,021","± 10,071"
"Huntington-Ashland, WV-KY-OH Metro Area","153,677","± 1,958"
"Huntsville, AL Metro Area","248,290","± 2,507"
"Idaho Falls, ID Metro Area","73,983","± 1,094"
"Indianapolis-Carmel-Greenwood, IN Metro Area","1,069,712","± 5,146"
"Iowa City, IA Metro Area","97,611","± 1,215"
"Ithaca, NY Metro Area","49,388","± 1,001"
"Jackson, MI Metro Area","69,430","± 1,188"
"Jackson, MS Metro Area","274,479","± 3,008"
"Jackson, TN Metro Area","80,279","± 1,069"
"Jacksonville, FL Metro Area","783,495","± 5,156"
"Jacksonville, NC Metro Area","69,573","± 2,042"
"Janesville-Beloit, WI Metro Area","82,190","± 969"
"Jefferson City, MO Metro Area","70,938","± 986"
"Johnson City, TN Metro Area","94,869","± 1,611"
"Johnstown, PA Metro Area","57,010","± 828"
"Jonesboro, AR Metro Area","60,682","± 1,220"
"Joplin, MO-KS Metro Area","94,215","± 1,332"
"Kahului-Wailuku, HI Metro Area","80,960","± 1,386"
"Kalamazoo-Portage, MI Metro Area","131,924","± 1,576"
"Kankakee, IL Metro Area","49,969","± 1,012"
"Kansas City, MO-KS Metro Area","1,129,635","± 3,895"
"Kennewick-Richland, WA Metro Area","139,338","± 2,005"
"Kenosha, WI Metro Area","86,642","± 1,288"
"Killeen-Temple, TX Metro Area","189,559","± 2,799"
"Kingsport-Bristol, TN-VA Metro Area","131,467","± 1,791"
"Kingston, NY Metro Area","86,003","± 1,548"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","333,990","± 2,764"
"Knoxville, TN Metro Area","437,256","± 3,272"
"Kokomo, IN Metro Area","37,222","± 992"
"La Crosse-Onalaska, WI-MN Metro Area","87,476","± 1,029"
"Lafayette, LA Metro Area","187,193","± 2,571"
"Lafayette-West Lafayette, IN Metro Area","111,261","± 1,729"
"Lake Charles, LA Metro Area","107,301","± 2,004"
"Lake Havasu City-Kingman, AZ Metro Area","75,937","± 1,576"
